房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
8座4806,90.30,47624.60,63.91,67289.96,4300501.68,在售,住宅
8座4805,103.70,46307.67,73.39,65432.70,4802105.93,在售,住宅
8座4801,132.50,46433.30,93.78,65604.74,6152412.69,在售,住宅
8座4706,90.19,47592.11,63.91,67162.14,4292332.70,在售,住宅
8座4705,103.56,46275.18,73.39,65298.51,4792258.19,在售,住宅
8座4703,108.48,48372.95,76.84,68291.23,5247498.30,在售,住宅
8座4702,108.49,48377.28,76.84,68303.64,5248452.01,在售,住宅
8座4701,132.33,46400.81,93.78,65474.72,6140219.63,在售,住宅
8座4606,90.30,47559.62,63.91,67198.15,4294633.99,在售,住宅
8座4605,103.70,46242.69,73.39,65340.88,4795367.51,在售,住宅
8座4601,132.50,46368.32,93.78,65512.93,6143802.84,在售,住宅
8座4506,90.19,47527.13,63.91,67070.44,4286472.15,在售,住宅
8座4505,103.56,46210.20,73.39,65206.82,4785528.86,在售,住宅
8座4503,108.48,48307.97,76.84,68199.49,5240449.27,在售,住宅
8座4502,108.49,48312.30,76.84,68211.89,5241402.33,在售,住宅
8座4501,132.33,46335.83,93.78,65383.03,6131620.83,在售,住宅
8座4406,90.30,47494.64,63.91,67106.34,4288766.29,在售,住宅
8座4405,103.70,46177.71,73.39,65249.06,4788629.08,在售,住宅
8座4401,132.50,46303.34,93.78,65421.12,6135192.99,在售,住宅
8座4306,90.19,47462.15,63.91,66978.74,4280611.61,在售,住宅
8座4305,103.56,46145.22,73.39,65115.13,4778799.53,在售,住宅
8座4303,108.48,48242.99,76.84,68107.75,5233400.24,在售,住宅
8座4302,108.49,48247.32,76.84,68120.15,5234352.65,在售,住宅
8座4301,132.33,46270.85,93.78,65291.34,6123022.02,在售,住宅
8座4206,90.30,47429.66,63.91,67014.52,4282898.60,在售,住宅
8座4205,103.70,46112.73,73.39,65157.25,4781890.65,在售,住宅
8座4201,132.50,46238.36,93.78,65329.31,6126583.14,在售,住宅
8座4106,90.19,47397.17,63.91,66887.04,4274751.06,在售,住宅
8座4105,103.56,46080.24,73.39,65023.43,4772070.21,在售,住宅
8座4103,108.48,48178.01,76.84,68016.02,5226351.21,在售,住宅
8座4102,108.49,48182.34,76.84,68028.40,5227302.97,在售,住宅
8座4101,132.33,46205.87,93.78,65199.65,6114423.22,在售,住宅
8座4006,90.30,47364.68,63.91,66922.71,4277030.90,在售,住宅
8座4005,103.70,46047.75,73.39,65065.43,4775152.23,在售,住宅
8座4001,132.50,46173.38,93.78,65237.50,6117973.29,在售,住宅
8座3906,90.19,47332.19,63.91,66795.34,4268890.52,在售,住宅
8座3905,103.56,46015.26,73.39,64931.74,4765340.88,在售,住宅
8座3903,108.48,48113.03,76.84,67924.28,5219302.18,在售,住宅
8座3902,108.49,48117.36,76.84,67936.66,5220253.29,在售,住宅
8座3901,132.33,46140.89,93.78,65107.95,6105824.41,在售,住宅
8座3806,90.30,47299.70,63.91,66830.90,4271163.21,在售,住宅
8座3805,103.70,45982.77,73.39,64973.61,4768413.80,在售,住宅
8座3801,132.50,46108.40,93.78,65145.69,6109363.44,在售,住宅
8座3706,90.19,47267.21,63.91,66703.64,4263029.97,在售,住宅
8座3705,103.56,45950.28,73.39,64840.05,4758611.55,在售,住宅
8座3703,108.48,48048.05,76.84,67832.55,5212253.15,在售,住宅
8座3702,108.49,48052.38,76.84,67844.91,5213203.61,在售,住宅
8座3701,132.33,46075.91,93.78,65016.26,6097225.61,在售,住宅
8座3601,132.07,46043.42,93.78,64842.76,6080954.92,在售,住宅
8座3501,132.33,46010.93,93.78,64924.57,6088626.81,在售,住宅
8座3406,90.30,47148.08,63.91,66616.67,4257471.92,在售,住宅
8座3405,103.70,45831.15,73.39,64759.37,4752690.81,在售,住宅
8座3401,132.50,45956.78,93.78,64931.47,6089273.79,在售,住宅
8座3306,90.19,47093.93,63.91,66459.11,4247401.85,在售,住宅
8座3305,103.56,45777.00,73.39,64595.53,4740666.67,在售,住宅
8座3303,108.48,47874.77,76.84,67587.91,5193455.74,在售,住宅
8座3302,108.49,47879.10,76.84,67600.26,5194404.46,在售,住宅
8座3301,132.33,45902.63,93.78,64771.75,6074295.47,在售,住宅
8座3206,90.30,47039.78,63.91,66463.65,4247692.43,在售,住宅
8座3205,103.70,45722.85,73.39,64606.35,4741460.10,在售,住宅
8座3201,132.50,45848.48,93.78,64778.46,6074924.04,在售,住宅
8座3106,90.19,46985.63,63.91,66306.27,4237634.27,在售,住宅
8座3105,103.56,45668.70,73.39,64442.71,4729451.12,在售,住宅
8座3103,108.48,47766.47,76.84,67435.02,5181707.35,在售,住宅
8座3102,108.49,47770.80,76.84,67447.35,5182655.00,在售,住宅
8座3101,132.33,45794.33,93.78,64618.93,6059964.13,在售,住宅
8座3006,90.30,46931.48,63.91,66310.63,4237912.94,在售,住宅
8座3005,103.70,45614.55,73.39,64453.32,4730229.39,在售,住宅
8座3001,132.50,45740.18,93.78,64625.44,6060574.29,在售,住宅
8座2906,90.19,46877.33,63.91,66153.44,4227866.69,在售,住宅
8座2905,103.56,45560.40,73.39,64289.89,4718235.58,在售,住宅
8座2903,108.48,47658.17,76.84,67282.13,5169958.97,在售,住宅
8座2902,108.49,47662.50,76.84,67294.44,5170905.53,在售,住宅
8座2901,132.33,45686.03,93.78,64466.12,6045632.79,在售,住宅
8座2806,90.30,46823.18,63.91,66157.61,4228133.45,在售,住宅
8座2805,103.70,45506.25,73.39,64300.29,4718998.68,在售,住宅
8座2801,132.50,45631.88,93.78,64472.43,6046224.54,在售,住宅
8座2706,90.19,46769.03,63.91,66000.61,4218099.11,在售,住宅
8座2705,103.56,45452.10,73.39,64137.07,4707020.03,在售,住宅
8座2703,108.48,47549.87,76.84,67129.23,5158210.58,在售,住宅
8座2702,108.49,47554.20,76.84,67141.54,5159156.06,在售,住宅
8座2701,132.33,45577.73,93.78,64313.30,6031301.45,在售,住宅
8座2606,90.30,46714.88,63.91,66004.59,4218353.96,在售,住宅
8座2605,103.70,45397.95,73.39,64147.26,4707767.97,在售,住宅
8座2601,132.50,45523.58,93.78,64319.41,6031874.79,在售,住宅
8座2506,90.19,46660.73,63.91,65847.77,4208331.54,在售,住宅
8座2505,103.56,45343.80,73.39,63984.25,4695804.48,在售,住宅
8座2503,108.48,47441.57,76.84,66976.34,5146462.20,在售,住宅
8座2502,108.49,47445.90,76.84,66988.63,5147406.59,在售,住宅
