房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
裙楼05,78.75,111351.00,74.68,117419.97,8768923.00,在售,商业
裙楼04,57.32,102052.06,54.36,107608.00,5849624.00,在售,办公
裙楼03,69.98,96136.00,66.37,101365.00,6727597.00,在售,办公
裙楼02,69.98,96136.00,66.37,101365.00,6727597.00,在售,办公
裙楼01,45.57,84275.01,43.22,88857.00,3840412.00,在售,办公
D08,314.19,69491.90,268.71,81253.62,21833662.84,在售,办公
D07,313.32,64738.00,267.97,75693.96,20283711.45,在售,办公
D06,314.19,64704.65,268.71,75656.11,20329554.28,在售,办公
D05,313.33,64737.61,267.97,75695.93,20284238.38,在售,办公
D04,314.19,65672.13,268.71,76787.34,20633527.37,在售,办公
D03,313.32,65705.98,267.97,76825.76,20586999.09,在售,办公
D02,314.19,65672.13,268.71,76787.34,20633527.37,在售,办公
D01,313.32,71274.27,267.97,83336.40,22331655.97,在售,办公
C08,342.66,77228.13,276.02,95873.46,26462993.04,在售,办公
C07,363.46,71528.69,292.77,88799.46,25997817.92,在售,办公
C06,364.26,71488.05,293.42,88747.32,26040240.57,在售,办公
C05,363.67,71518.00,292.95,88782.91,26008953.87,在售,办公
C04,364.27,72958.20,293.42,90574.89,26576486.85,在售,办公
C03,363.67,72989.29,292.95,90609.37,26544015.32,在售,办公
C02,364.27,72958.20,293.42,90574.89,26576486.85,在售,办公
C01,363.16,77214.75,292.53,95857.89,28041309.33,在售,办公
