房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3栋B座3206,102.69,56887.00,84.43,69190.00,5841729.00,在售,住宅
3栋B座3205,103.79,60325.00,85.34,73367.00,6261120.00,在售,住宅
3栋B座3203,102.95,61354.00,84.65,74617.00,6316360.00,在售,住宅
3栋B座3202,103.20,59448.00,84.85,72304.00,6135026.00,在售,住宅
3栋B座3201,103.47,60074.00,85.07,73068.00,6215866.00,在售,住宅
3栋B座3106,102.69,57314.00,84.43,69710.00,5885579.00,在售,住宅
3栋B座3105,103.79,60752.00,85.34,73886.00,6305452.00,在售,住宅
3栋B座3103,102.95,61781.00,84.65,75137.00,6360355.00,在售,住宅
3栋B座3102,103.20,59876.00,84.85,72825.00,6179159.00,在售,住宅
3栋B座3101,103.47,60502.00,85.07,73588.00,6260127.00,在售,住宅
3栋B座3006,102.69,57256.00,84.43,69639.00,5879600.00,在售,住宅
3栋B座3005,103.79,60694.00,85.34,73815.00,6299407.00,在售,住宅
3栋B座3003,102.95,61723.00,84.65,75066.00,6354356.00,在售,住宅
3栋B座3002,103.20,59817.00,84.85,72754.00,6173140.00,在售,住宅
3栋B座3001,103.47,60444.00,85.07,73517.00,6254091.00,在售,住宅
3栋B座2906,102.69,57198.00,84.43,69568.00,5873620.00,在售,住宅
3栋B座2905,103.79,60636.00,85.34,73745.00,6293362.00,在售,住宅
3栋B座2903,102.95,61664.00,84.65,74995.00,6348357.00,在售,住宅
3栋B座2902,103.20,59759.00,84.85,72683.00,6167122.00,在售,住宅
3栋B座2901,103.47,60385.00,85.07,73446.00,6248056.00,在售,住宅
3栋B座2806,102.69,57236.00,84.43,69615.00,5877607.00,在售,住宅
3栋B座2805,103.79,60674.00,85.34,73792.00,6297392.00,在售,住宅
3栋B座2803,102.95,61703.00,84.65,75043.00,6352356.00,在售,住宅
3栋B座2802,103.20,59798.00,84.85,72730.00,6171134.00,在售,住宅
3栋B座2801,103.47,60424.00,85.07,73493.00,6252079.00,在售,住宅
3栋B座2706,102.69,57178.00,84.43,69544.00,5871627.00,在售,住宅
3栋B座2705,103.79,60616.00,85.34,73721.00,6291347.00,在售,住宅
3栋B座2703,102.95,61645.00,84.65,74972.00,6346357.00,在售,住宅
3栋B座2702,103.20,59739.00,84.85,72659.00,6165116.00,在售,住宅
3栋B座2701,103.47,60366.00,85.07,73422.00,6246044.00,在售,住宅
3栋B座2606,102.69,57120.00,84.43,69473.00,5865647.00,在售,住宅
3栋B座2605,103.79,60558.00,85.34,73650.00,6285301.00,在售,住宅
3栋B座2603,102.95,61587.00,84.65,74901.00,6340357.00,在售,住宅
3栋B座2602,103.20,59681.00,84.85,72588.00,6159098.00,在售,住宅
3栋B座2601,103.47,60307.00,85.07,73351.00,6240008.00,在售,住宅
3栋B座2506,102.69,57159.00,84.43,69521.00,5869634.00,在售,住宅
