房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
43D,479.42,54120.00,306.27,84716.78,25946210.40,在售,办公
43C,510.05,54014.00,325.84,84550.21,27549840.70,在售,办公
43B,510.05,52112.00,325.84,81572.93,26579725.60,在售,办公
43A,437.06,51663.00,279.21,80870.42,22579830.78,在售,办公
42D,479.42,53676.00,306.27,84021.77,25733347.92,在售,办公
42C,510.05,53571.00,325.84,83856.76,27323888.55,在售,办公
42B,510.05,51685.00,325.84,80904.53,26361934.25,在售,办公
42A,437.06,51240.00,279.21,80208.28,22394954.40,在售,办公
41D,478.97,53232.00,304.81,83647.29,25496531.04,在售,办公
41C,507.74,53128.00,323.12,83483.56,26975210.72,在售,办公
41B,507.74,51258.00,323.12,80545.11,26025736.92,在售,办公
41A,436.45,50816.00,277.75,79851.10,22178643.20,在售,办公
40D,478.97,52789.00,304.81,82951.17,25284347.33,在售,办公
40C,507.74,52686.00,323.12,82789.02,26750789.64,在售,办公
40B,507.74,50831.00,323.12,79874.13,25808931.94,在售,办公
40A,436.45,50393.00,277.75,79186.40,21994024.85,在售,办公
39D,478.97,52345.00,304.81,82253.48,25071684.65,在售,办公
39C,507.74,52243.00,323.12,82092.90,26525860.82,在售,办公
39B,507.74,50404.00,323.12,79203.16,25592126.96,在售,办公
39A,436.45,49969.00,277.75,78520.14,21808970.05,在售,办公
38D,478.97,51902.00,304.81,81557.36,24859500.94,在售,办公
38C,507.74,51800.00,323.12,81396.79,26300932.00,在售,办公
38B,507.74,49976.00,323.12,78530.62,25374814.24,在售,办公
38A,436.45,49546.00,277.75,77855.45,21624351.70,在售,办公
36D,420.13,51371.00,277.90,77662.82,21582498.23,在售,办公
36C,487.47,51271.00,322.44,77512.32,24993074.37,在售,办公
36B,487.47,49466.00,322.44,74783.49,24113191.02,在售,办公
36A,420.13,49040.00,277.90,74138.80,20603175.20,在售,办公
34G,200.99,42552.94,125.98,67889.47,8552715.64,在售,办公
33I,166.12,42397.64,101.33,69506.53,7043097.12,在售,办公
32G,437.53,42187.05,274.38,67272.04,18458103.84,在售,办公
28F,255.20,41350.58,159.08,66335.61,10552670.11,在售,办公
28E,256.73,41435.29,160.04,66468.90,10637683.05,在售,办公
27J,202.33,41861.17,123.42,68625.60,8469771.83,在售,办公
26G,32.61,39044.70,20.60,61808.14,1273247.85,在售,办公
23I,182.39,41114.11,114.43,65531.80,7498803.91,在售,办公
19F,260.65,39418.82,168.38,61019.81,10274516.35,在售,办公
18I,56.49,36810.58,35.79,58100.86,2079430.12,在售,办公
16F,333.67,38952.94,215.12,60419.43,12997427.88,在售,办公
15F,454.55,44855.00,288.15,70757.73,20388840.25,在售,办公
15E,195.90,45339.00,124.18,71524.48,8881910.10,在售,办公
15D,234.59,46286.00,148.71,73016.15,10858232.74,在售,办公
15C,234.59,46009.00,148.71,72579.18,10793251.31,在售,办公
15B,195.90,45247.00,124.18,71379.34,8863887.30,在售,办公
15A,454.55,44785.00,288.15,70647.30,20357021.75,在售,办公
14F,454.55,44640.00,288.15,70418.57,20291112.00,在售,办公
14E,195.90,45122.00,124.18,71182.15,8839399.80,在售,办公
14D,234.59,46064.00,148.71,72665.95,10806153.76,在售,办公
14C,234.59,45788.00,148.71,72230.56,10741406.92,在售,办公
14B,195.90,45030.00,124.18,71037.01,8821377.00,在售,办公
14A,454.55,44571.00,288.15,70309.72,20259748.05,在售,办公
13F,454.55,43529.00,288.15,68665.99,19786106.95,在售,办公
13E,195.90,43529.00,124.18,68669.11,8527331.10,在售,办公
13D,234.59,43529.00,148.71,68666.99,10211468.11,在售,办公
13C,234.59,43529.00,148.71,68666.99,10211468.11,在售,办公
13B,195.90,43529.00,124.18,68669.11,8527331.10,在售,办公
13A,454.55,43529.00,288.15,68665.99,19786106.95,在售,办公
12F,454.55,43529.00,288.15,68665.99,19786106.95,在售,办公
12E,195.90,43529.00,124.18,68669.11,8527331.10,在售,办公
12D,234.59,43529.00,148.71,68666.99,10211468.11,在售,办公
12C,234.59,43529.00,148.71,68666.99,10211468.11,在售,办公
12B,195.90,43529.00,124.18,68669.11,8527331.10,在售,办公
12A,454.55,43529.00,288.15,68665.99,19786106.95,在售,办公
11F,454.55,43529.00,288.15,68665.99,19786106.95,在售,办公
11E,195.90,43529.00,124.18,68669.11,8527331.10,在售,办公
11D,234.59,43529.00,148.71,68666.99,10211468.11,在售,办公
11C,234.59,43529.00,148.71,68666.99,10211468.11,在售,办公
11B,195.90,43529.00,124.18,68669.11,8527331.10,在售,办公
11A,454.55,43529.00,288.15,68665.99,19786106.95,在售,办公
10F,454.55,43529.00,288.15,68665.99,19786106.95,在售,办公
10E,195.90,43529.00,124.18,68669.11,8527331.10,在售,办公
10D,234.59,43529.00,148.71,68666.99,10211468.11,在售,办公
10C,234.59,43529.00,148.71,68666.99,10211468.11,在售,办公
10B,195.90,43529.00,124.18,68669.11,8527331.10,在售,办公
10A,454.55,43529.00,288.15,68665.99,19786106.95,在售,办公
9F,433.71,43529.00,274.63,68743.26,18878962.59,在售,办公
9E,216.54,43529.00,137.11,68746.04,9425769.66,在售,办公
9D,233.68,43529.00,147.97,68742.69,10171856.72,在售,办公
9C,233.68,43529.00,147.97,68742.69,10171856.72,在售,办公
9B,216.54,43529.00,137.11,68746.04,9425769.66,在售,办公
9A,433.71,43529.00,274.63,68743.26,18878962.59,在售,办公
8F,433.71,42557.00,274.63,67208.23,18457396.47,在售,办公
8E,216.54,43017.00,137.11,67937.43,9314901.18,在售,办公
8D,233.68,43915.00,147.97,69352.28,10262057.20,在售,办公
8C,233.68,43652.00,147.97,68936.94,10200599.36,在售,办公
8B,216.54,42929.00,137.11,67798.45,9295845.66,在售,办公
8A,433.71,42491.00,274.63,67104.00,18428771.61,在售,办公
