房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2栋商铺01层10号,166.01,40000.00,143.04,46423.37,6640400.00,在售,商业
2栋商铺01层09号,132.57,40000.00,114.23,46422.13,5302800.00,在售,商业
2栋商铺01层08号,151.78,40000.00,130.78,46423.00,6071200.00,在售,商业
2栋商铺01层07号,151.78,40000.00,130.78,46423.00,6071200.00,在售,商业
2栋商铺01层06号,151.78,40000.00,130.78,46423.00,6071200.00,在售,商业
2栋商铺01层05号,151.78,40000.00,130.78,46423.00,6071200.00,在售,商业
2栋商铺01层04号,151.78,40000.00,130.78,46423.00,6071200.00,在售,商业
2栋商铺01层03号,151.78,40000.00,130.78,46423.00,6071200.00,在售,商业
2栋商铺01层02号,151.78,40000.00,130.78,46423.00,6071200.00,在售,商业
2栋商铺01层01号,151.78,40000.00,130.78,46423.00,6071200.00,在售,商业
2栋商铺半地下01层34号,321.97,40000.00,277.42,46423.47,12878800.00,在售,商业
2栋商铺半地下01层33号,132.56,40000.00,114.22,46422.69,5302400.00,在售,商业
2栋商铺半地下01层32号,58.45,40000.00,50.37,46416.51,2338000.00,在售,商业
2栋商铺半地下01层31号,58.45,40000.00,50.37,46416.51,2338000.00,在售,商业
2栋商铺半地下01层30号,63.41,40000.00,54.64,46420.20,2536400.00,在售,商业
2栋商铺半地下01层29号,85.54,40000.00,73.71,46419.75,3421600.00,在售,商业
2栋商铺半地下01层28号,39.55,40000.00,34.07,46433.81,1582000.00,在售,商业
2栋商铺半地下01层27号,43.75,40000.00,37.70,46419.09,1750000.00,在售,商业
2栋商铺半地下01层26号,59.57,40000.00,51.33,46421.19,2382800.00,在售,商业
2栋商铺半地下01层25号,58.46,40000.00,50.37,46424.45,2338400.00,在售,商业
2栋商铺半地下01层24号,58.46,40000.00,50.37,46424.45,2338400.00,在售,商业
2栋商铺半地下01层23号,68.80,40000.00,59.28,46423.75,2752000.00,在售,商业
2栋商铺半地下01层22号,41.34,40000.00,35.62,46423.35,1653600.00,在售,商业
2栋商铺半地下01层21号,34.18,40000.00,29.45,46424.44,1367200.00,在售,商业
2栋商铺半地下01层20号,67.48,40000.00,58.14,46425.86,2699200.00,在售,商业
2栋商铺半地下01层19号,51.45,40000.00,44.33,46424.54,2058000.00,在售,商业
2栋商铺半地下01层18号,45.35,40000.00,39.07,46429.48,1814000.00,在售,商业
2栋商铺半地下01层17号,42.24,40000.00,36.40,46417.58,1689600.00,在售,商业
2栋商铺半地下01层16号,48.27,40000.00,41.59,46424.62,1930800.00,在售,商业
2栋商铺半地下01层15号,41.24,40000.00,35.53,46428.37,1649600.00,在售,商业
2栋商铺半地下01层14号,37.24,40000.00,32.08,46433.91,1489600.00,在售,商业
2栋商铺半地下01层13号,30.01,40000.00,25.86,46419.18,1200400.00,在售,商业
2栋商铺半地下01层12号,57.37,40000.00,49.43,46425.24,2294800.00,在售,商业
2栋商铺半地下01层11号,29.42,40000.00,25.35,46422.09,1176800.00,在售,商业
2栋商铺半地下01层10号,29.42,40000.00,25.35,46422.09,1176800.00,在售,商业
2栋商铺半地下01层09号,22.63,40000.00,19.50,46420.51,905200.00,在售,商业
2栋商铺半地下01层08号,118.46,40000.00,102.07,46423.04,4738400.00,在售,商业
2栋商铺半地下01层07号,95.51,40000.00,82.30,46420.41,3820400.00,在售,商业
2栋商铺半地下01层06号,32.90,40000.00,28.35,46419.75,1316000.00,在售,商业
2栋商铺半地下01层05号,34.36,40000.00,29.61,46416.75,1374400.00,在售,商业
2栋商铺半地下01层04号,29.61,40000.00,15.51,76363.63,1184400.00,在售,商业
2栋商铺半地下01层03号,33.65,40000.00,29.00,46413.79,1346000.00,在售,商业
2栋商铺半地下01层02号,80.90,40000.00,69.71,46420.88,3236000.00,在售,商业
2栋商铺半地下01层01号,67.76,40000.00,58.38,46426.85,2710400.00,在售,商业
2栋B座2单元3203,132.43,99120.00,104.36,125781.23,13126529.00,在售,住宅
2栋B座2单元3103,129.62,19025.00,101.96,24186.30,2466036.00,在售,住宅
2栋B座2单元3003,129.62,19025.00,101.96,24186.30,2466036.00,在售,住宅
2栋B座2单元2903,129.62,19025.00,101.96,24186.30,2466036.00,在售,住宅
2栋B座2单元2803,129.62,19025.00,101.96,24186.30,2466036.00,在售,住宅
2栋B座2单元2703,129.62,19025.00,101.96,24186.30,2466036.00,在售,住宅
2栋B座2单元2603,129.62,19025.00,101.96,24186.30,2466036.00,在售,住宅
2栋B座2单元2503,129.62,19025.00,101.96,24186.30,2466036.00,在售,住宅
2栋B座2单元2403,129.62,19025.00,101.96,24186.30,2466036.00,在售,住宅
2栋B座2单元2303,129.62,19025.00,101.96,24186.30,2466036.00,在售,住宅
2栋B座2单元2203,129.62,19025.00,101.96,24186.30,2466036.00,在售,住宅
2栋B座2单元2103,129.62,17589.88,101.96,22361.00,2280000.00,在售,住宅
2栋B座2单元2003,129.62,18961.00,101.96,24104.94,2457740.00,在售,住宅
