房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
6栋B座3107,88.26,41488.34,69.46,52717.55,3661761.00,在售,住宅
6栋B座3106,89.05,40162.54,70.08,51034.16,3576474.00,在售,住宅
6栋B座3105,80.53,39758.13,63.37,50524.25,3201722.00,在售,住宅
6栋B座3103,89.17,40770.86,70.17,51810.43,3635538.00,在售,住宅
6栋B座3102,89.17,40412.54,70.17,51355.08,3603586.00,在售,住宅
6栋B座3101,106.88,41573.49,84.11,52828.14,4443375.00,在售,住宅
6栋B座3007,88.26,41488.34,69.46,52717.55,3661761.00,在售,住宅
6栋B座3006,89.05,40162.54,70.08,51034.16,3576474.00,在售,住宅
6栋B座3005,80.53,39758.13,63.37,50524.25,3201722.00,在售,住宅
6栋B座3003,89.17,40770.86,70.17,51810.43,3635538.00,在售,住宅
6栋B座3002,89.17,40412.54,70.17,51355.08,3603586.00,在售,住宅
6栋B座3001,106.88,41573.49,84.11,52828.14,4443375.00,在售,住宅
6栋B座2907,88.26,41458.34,69.46,52679.43,3659113.00,在售,住宅
6栋B座2906,89.05,40132.53,70.08,50996.03,3573802.00,在售,住宅
6栋B座2905,80.53,39728.13,63.37,50486.13,3199306.00,在售,住宅
6栋B座2903,89.17,40740.85,70.17,51772.30,3632862.00,在售,住宅
6栋B座2902,89.17,40382.54,70.17,51316.96,3600911.00,在售,住宅
6栋B座2901,106.88,41543.50,84.11,52790.02,4440169.00,在售,住宅
6栋B座2807,88.26,41428.34,69.46,52641.30,3656465.00,在售,住宅
6栋B座2806,89.05,40102.54,70.08,50957.92,3571131.00,在售,住宅
6栋B座2805,80.53,39698.12,63.37,50448.00,3196890.00,在售,住宅
6栋B座2803,89.17,40710.86,70.17,51734.17,3630187.00,在售,住宅
6栋B座2802,89.17,40352.53,70.17,51278.82,3598235.00,在售,住宅
6栋B座2801,106.88,41513.49,84.11,52751.90,4436962.00,在售,住宅
6栋B座2707,88.26,41398.33,69.46,52603.18,3653817.00,在售,住宅
6栋B座2706,89.05,40072.53,70.08,50919.79,3568459.00,在售,住宅
6栋B座2705,80.53,39668.12,63.37,50409.88,3194474.00,在售,住宅
6栋B座2703,89.17,40680.86,70.17,51696.05,3627512.00,在售,住宅
6栋B座2702,89.17,40322.53,70.17,51240.70,3595560.00,在售,住宅
6栋B座2701,106.88,41483.50,84.11,52713.78,4433756.00,在售,住宅
6栋B座2607,88.26,41368.34,69.46,52565.07,3651170.00,在售,住宅
6栋B座2606,89.05,40042.54,70.08,50881.68,3565788.00,在售,住宅
6栋B座2605,80.53,39638.12,63.37,50371.75,3192058.00,在售,住宅
6栋B座2603,89.17,40650.86,70.17,51657.93,3624837.00,在售,住宅
6栋B座2602,89.17,40292.53,70.17,51202.58,3592885.00,在售,住宅
6栋B座2601,106.88,41453.50,84.11,52675.66,4430550.00,在售,住宅
6栋B座2507,88.26,41338.34,69.46,52526.95,3648522.00,在售,住宅
6栋B座2506,89.05,40012.53,70.08,50843.55,3563116.00,在售,住宅
6栋B座2505,80.53,39608.13,63.37,50333.64,3189643.00,在售,住宅
