房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3栋C座136,65.20,98000.00,63.85,100072.04,6389600.00,在售,商业
3栋C座135,64.23,98000.00,62.90,100072.18,6294540.00,在售,商业
3栋C座133,68.01,98000.00,66.60,100074.77,6664980.00,在售,商业
3栋C座132,64.98,98000.00,63.63,100079.21,6368040.00,在售,商业
3栋C座131,68.77,98000.00,67.34,100081.08,6739460.00,在售,商业
3栋C座130,78.59,98000.00,76.97,100062.62,7701820.00,在售,商业
3栋C座129,101.26,98000.00,99.16,100075.43,9923480.00,在售,商业
3栋C座128,55.92,98000.00,54.76,100075.97,5480160.00,在售,商业
3栋C座127,61.21,98000.00,59.94,100076.41,5998580.00,在售,商业
3栋C座126,59.70,98000.00,58.46,100078.69,5850600.00,在售,商业
3栋C座3207,86.03,42392.77,66.94,54482.37,3647050.00,在售,住宅
3栋C座3206,108.77,47019.97,84.64,60424.88,5114362.00,在售,住宅
3栋C座3205,122.83,47153.22,95.59,60590.33,5791830.00,在售,住宅
3栋C座3203,107.77,47777.07,83.86,61399.18,5148935.00,在售,住宅
3栋C座3201,77.28,42505.36,60.14,54619.45,3284814.00,在售,住宅
3栋C座3107,86.03,42392.77,66.94,54482.37,3647050.00,在售,住宅
3栋C座3106,108.77,47019.97,84.64,60424.88,5114362.00,在售,住宅
3栋C座3105,122.83,47153.22,95.59,60590.33,5791830.00,在售,住宅
3栋C座3103,107.73,47777.07,83.83,61398.35,5147024.00,在售,住宅
3栋C座3102,113.65,62865.00,88.44,80784.79,7144607.00,在售,住宅
3栋C座3101,77.28,42505.36,60.14,54619.45,3284814.00,在售,住宅
3栋C座3007,86.03,42352.76,66.94,54430.95,3643608.00,在售,住宅
3栋C座3006,108.77,46979.97,84.64,60373.48,5110011.00,在售,住宅
3栋C座3005,122.83,47113.22,95.59,60538.94,5786917.00,在售,住宅
3栋C座3003,107.73,47737.06,83.83,61346.94,5142714.00,在售,住宅
3栋C座3002,88.35,45584.24,68.75,58579.90,4027368.00,在售,住宅
3栋C座3001,77.28,42465.35,60.14,54568.04,3281722.00,在售,住宅
3栋C座2907,86.03,42312.76,66.94,54379.55,3640167.00,在售,住宅
3栋C座2906,108.77,46939.97,84.64,60322.07,5105660.00,在售,住宅
3栋C座2905,122.83,47073.22,95.59,60487.53,5782003.00,在售,住宅
3栋C座2903,107.73,47697.07,83.83,61295.54,5138405.00,在售,住宅
3栋C座2902,88.35,45544.24,68.75,58528.49,4023834.00,在售,住宅
3栋C座2901,77.28,42425.35,60.14,54516.64,3278631.00,在售,住宅
3栋C座2807,86.03,42272.77,66.94,54328.14,3636726.00,在售,住宅
3栋C座2806,108.77,46899.96,84.64,60270.66,5101309.00,在售,住宅
3栋C座2805,122.83,47033.22,95.59,60436.13,5777090.00,在售,住宅
3栋C座2803,107.73,47657.07,83.83,61244.14,5134096.00,在售,住宅
3栋C座2802,88.35,45504.24,68.75,58477.09,4020300.00,在售,住宅
3栋C座2801,77.28,42385.35,60.14,54465.25,3275540.00,在售,住宅
3栋C座2707,86.03,42232.77,66.94,54276.74,3633285.00,在售,住宅
3栋C座2706,108.77,46859.97,84.64,60219.27,5096959.00,在售,住宅
3栋C座2705,122.83,46993.22,95.59,60384.74,5772177.00,在售,住宅
3栋C座2703,107.73,47617.07,83.83,61192.74,5129787.00,在售,住宅
3栋C座2702,88.35,45464.24,68.75,58425.69,4016766.00,在售,住宅
3栋C座2701,77.28,42345.35,60.14,54413.85,3272449.00,在售,住宅
3栋C座2607,86.03,42192.77,66.94,54225.34,3629844.00,在售,住宅
3栋C座2606,108.77,46819.97,84.64,60167.86,5092608.00,在售,住宅
3栋C座2605,122.83,46953.22,95.59,60333.34,5767264.00,在售,住宅
3栋C座2603,107.73,47577.07,83.83,61141.33,5125478.00,在售,住宅
3栋C座2602,88.35,45424.24,68.75,58374.28,4013232.00,在售,住宅
3栋C座2601,77.28,42305.36,60.14,54362.45,3269358.00,在售,住宅
