房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋商业32商铺,40.55,95311.22,39.72,97302.87,3864870.00,在售,商铺
1栋商业31商铺,37.15,86233.97,36.39,88034.95,3203592.00,在售,商铺
1栋商业30商铺,66.52,89480.42,65.16,91348.03,5952238.00,在售,商铺
1栋商业29商铺,64.36,106110.82,63.04,108332.69,6829293.00,在售,商铺
1栋商业28商铺,27.97,106524.31,27.40,108740.32,2979485.00,在售,商铺
1栋商业27商铺,79.03,96005.03,76.71,98908.59,7587278.00,在售,商铺
1栋商业26商铺,41.91,118360.34,40.68,121939.08,4960482.00,在售,商铺
1栋商业25商铺,42.16,129632.75,41.30,132332.13,5465317.00,在售,商铺
1栋商业24商铺,84.07,116216.62,82.35,118643.98,9770332.00,在售,商铺
1栋商业23商铺,98.42,116216.63,96.41,118639.57,11438041.00,在售,商铺
1栋商业22商铺,73.75,116216.62,72.24,118645.84,8570976.00,在售,商铺
1栋商业21商铺,41.86,129632.77,41.00,132351.90,5426428.00,在售,商铺
1栋商业20商铺,42.29,129632.77,40.98,133776.72,5482170.00,在售,商铺
1栋商业19商铺,60.59,105148.37,58.72,108496.93,6370940.00,在售,商铺
1栋商业18商铺,35.40,126814.66,34.17,131379.54,4489239.00,在售,商铺
1栋商业17商铺,45.30,154995.69,43.73,160560.37,7021305.00,在售,商铺
1栋商业16商铺,40.40,154995.69,39.57,158246.80,6261826.00,在售,商铺
1栋商业15商铺,51.86,126814.65,50.80,129460.78,6576608.00,在售,商铺
1栋商业14商铺,66.56,98002.37,64.91,100493.57,6523038.00,在售,商铺
1栋商业13商铺,37.16,129632.77,36.23,132960.36,4817154.00,在售,商铺
1栋商业12商铺,42.84,129632.77,41.96,132351.47,5553468.00,在售,商铺
1栋商业11商铺,57.38,153725.70,56.20,156953.39,8820781.00,在售,商铺
1栋商业10商铺,58.65,139085.14,57.45,141990.32,8157344.00,在售,商铺
1栋商业09商铺,76.92,116216.62,75.34,118653.87,8939383.00,在售,商铺
1栋商业08商铺,43.68,129632.76,42.79,132329.02,5662359.00,在售,商铺
1栋商业07商铺,41.52,129632.75,40.44,133094.75,5382352.00,在售,商铺
1栋商业06商铺,72.60,118360.35,71.11,120840.41,8592962.00,在售,商铺
1栋商业05商铺,54.93,154995.70,53.81,158221.78,8513914.00,在售,商铺
1栋商业04商铺,84.40,116216.62,82.22,119298.01,9808683.00,在售,商铺
1栋商业03商铺,64.64,108318.40,61.89,113131.39,7001702.00,在售,商铺
1栋商业02商铺,53.42,128950.48,51.14,134699.55,6888535.00,在售,商铺
1栋商业01商铺,53.93,128950.49,52.82,131660.35,6954300.00,在售,商铺
1栋C座2014,36.71,50351.40,23.35,79160.59,1848400.00,在售,办公
1栋C座2013,36.63,49129.15,23.30,77236.09,1799601.00,在售,办公
1栋C座2012,36.63,49018.04,23.30,77061.41,1795531.00,在售,办公
1栋C座2011,37.08,49795.84,23.59,78271.72,1846430.00,在售,办公
1栋C座2010,36.91,50795.82,23.48,79849.82,1874874.00,在售,办公
1栋C座2009,36.63,50684.71,23.30,79681.58,1856581.00,在售,办公
1栋C座2008,36.63,50462.48,23.30,79332.23,1848441.00,在售,办公
1栋C座2007,37.08,50573.62,23.59,79494.27,1875270.00,在售,办公
1栋C座2006,36.67,52240.27,23.33,82111.05,1915651.00,在售,办公
1栋C座2005,36.67,47295.82,23.33,74339.39,1734338.00,在售,办公
1栋C座2004,37.08,46851.40,23.59,73643.49,1737250.00,在售,办公
1栋C座2003,36.91,46962.50,23.48,73823.93,1733386.00,在售,办公
1栋C座2002,37.08,48295.84,23.59,75913.94,1790810.00,在售,办公
1栋C座2001,36.58,47073.61,23.27,73998.83,1721953.00,在售,办公
1栋C座1920,36.04,46984.71,23.30,72675.06,1693329.00,在售,办公
1栋C座1919,35.81,49762.49,23.15,76976.02,1781995.00,在售,办公
1栋C座1918,35.82,52595.84,23.15,81381.55,1883983.00,在售,办公
1栋C座1917,36.04,52373.61,23.30,81010.51,1887545.00,在售,办公
1栋C座1916,36.05,52262.49,23.30,80861.07,1884063.00,在售,办公
1栋C座1914,35.92,50595.82,23.22,78268.81,1817402.00,在售,办公
1栋C座1913,36.05,49373.61,23.30,76391.37,1779919.00,在售,办公
1栋C座1912,36.05,49262.49,23.30,76219.44,1775913.00,在售,办公
1栋C座1911,36.49,50040.28,23.59,77404.40,1825970.00,在售,办公
1栋C座1910,36.32,51040.28,23.48,78951.57,1853783.00,在售,办公
1栋C座1909,36.05,50929.18,23.30,78798.15,1835997.00,在售,办公
1栋C座1908,36.05,50706.93,23.30,78454.29,1827985.00,在售,办公
1栋C座1907,36.49,50818.05,23.59,78607.50,1854351.00,在售,办公
1栋C座1906,36.09,52484.73,23.33,81190.48,1894174.00,在售,办公
1栋C座1905,36.09,47540.28,23.33,73541.74,1715729.00,在售,办公
1栋C座1904,36.49,47095.83,23.59,72849.80,1718527.00,在售,办公
1栋C座1903,36.32,47206.93,23.48,73021.97,1714556.00,在售,办公
1栋C座1902,36.49,48540.28,23.59,75084.14,1771235.00,在售,办公
1栋C座1901,36.00,47318.05,23.27,73203.69,1703450.00,在售,办公
1栋C座1820,36.06,46929.17,23.30,72629.44,1692266.00,在售,办公
1栋C座1819,35.83,49706.94,23.15,76933.04,1781000.00,在售,办公
1栋C座1818,35.83,52540.27,23.15,81318.27,1882518.00,在售,办公
1栋C座1817,36.06,52318.05,23.30,80969.48,1886589.00,在售,办公
1栋C座1816,36.06,52206.93,23.30,80797.51,1882582.00,在售,办公
1栋C座1814,35.94,50540.28,23.22,78226.44,1816418.00,在售,办公
1栋C座1813,36.06,49318.05,23.30,76326.56,1778409.00,在售,办公
1栋C座1812,36.06,49206.93,23.30,76154.59,1774402.00,在售,办公
1栋C座1811,36.50,49984.71,23.59,77339.63,1824442.00,在售,办公
1栋C座1810,36.34,50984.72,23.48,78909.07,1852785.00,在售,办公
1栋C座1809,36.06,50873.59,23.30,78733.99,1834502.00,在售,办公
1栋C座1808,36.06,50651.38,23.30,78390.08,1826489.00,在售,办公
1栋C座1807,36.50,50762.49,23.59,78543.06,1852831.00,在售,办公
1栋C座1806,36.10,52429.16,23.33,81127.00,1892693.00,在售,办公
1栋C座1805,36.10,47484.73,23.33,73476.16,1714199.00,在售,办公
1栋C座1804,36.50,47040.27,23.59,72783.80,1716970.00,在售,办公
1栋C座1803,36.34,47151.40,23.48,72976.23,1713482.00,在售,办公
1栋C座1802,36.50,48484.71,23.59,75018.73,1769692.00,在售,办公
1栋C座1801,36.01,47262.51,23.27,73138.07,1701923.00,在售,办公
1栋C座1720,36.04,46873.61,23.30,72503.21,1689325.00,在售,办公
1栋C座1719,35.81,49651.38,23.15,76804.14,1778016.00,在售,办公
1栋C座1718,35.82,52484.72,23.15,81209.63,1880003.00,在售,办公
1栋C座1717,36.04,52262.51,23.30,80838.66,1883541.00,在售,办公
1栋C座1716,36.05,52151.40,23.30,80689.18,1880058.00,在售,办公
1栋C座1715,40.23,52595.82,26.00,81381.92,2115930.00,在售,办公
1栋C座1714,35.92,50484.71,23.22,78096.94,1813411.00,在售,办公
1栋C座1713,36.05,49262.49,23.30,76219.44,1775913.00,在售,办公
1栋C座1712,36.05,49151.40,23.30,76047.55,1771908.00,在售,办公
1栋C座1711,36.49,49929.15,23.59,77232.51,1821915.00,在售,办公
1栋C座1710,36.32,50929.15,23.48,78779.68,1849747.00,在售,办公
1栋C座1709,36.05,50818.05,23.30,78626.22,1831991.00,在售,办公
1栋C座1708,36.05,50595.83,23.30,78282.40,1823980.00,在售,办公
1栋C座1707,36.49,50706.93,23.59,78435.60,1850296.00,在售,办公
1栋C座1706,36.09,52373.62,23.33,81018.60,1890164.00,在售,办公
1栋C座1705,36.09,47429.17,23.33,73369.86,1711719.00,在售,办公
1栋C座1704,36.49,46984.73,23.59,72677.95,1714473.00,在售,办公
1栋C座1703,36.32,47095.84,23.48,72850.12,1710521.00,在售,办公
1栋C座1702,36.49,48429.15,23.59,74912.25,1767180.00,在售,办公
1栋C座1701,36.00,47206.94,23.27,73031.80,1699450.00,在售,办公
1栋C座1620,36.06,46818.05,23.30,72457.46,1688259.00,在售,办公
1栋C座1619,35.83,49595.84,23.15,76761.07,1777019.00,在售,办公
1栋C座1618,35.83,52429.16,23.15,81146.30,1878537.00,在售,办公
1栋C座1617,36.06,52206.93,23.30,80797.51,1882582.00,在售,办公
1栋C座1616,36.06,52095.84,23.30,80625.57,1878576.00,在售,办公
1栋C座1615,40.24,52540.28,26.00,81316.19,2114221.00,在售,办公
1栋C座1614,35.94,50429.15,23.22,78054.43,1812424.00,在售,办公
1栋C座1613,36.06,49206.93,23.30,76154.59,1774402.00,在售,办公
1栋C座1612,36.06,49095.84,23.30,75982.66,1770396.00,在售,办公
