房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
A5栋25层2504,88.68,54620.00,66.14,73234.07,4843701.60,在售,住宅
A5栋25层2503,85.46,54620.00,63.74,73232.27,4667825.20,在售,住宅
A5栋25层2502,85.46,54620.00,63.74,73232.27,4667825.20,在售,住宅
A5栋25层2501,88.57,54620.00,66.07,73220.72,4837693.40,在售,住宅
A5栋24层2404,88.68,54940.00,66.14,73663.12,4872079.20,在售,住宅
A5栋24层2403,85.46,54940.00,63.74,73661.31,4695172.40,在售,住宅
A5栋24层2402,85.46,54940.00,63.74,73661.31,4695172.40,在售,住宅
A5栋24层2401,88.57,54940.00,66.07,73649.70,4866035.80,在售,住宅
A5栋23层2304,88.68,54890.00,66.14,73596.08,4867645.20,在售,住宅
A5栋23层2303,85.46,54890.00,63.74,73594.27,4690899.40,在售,住宅
A5栋23层2302,85.46,54890.00,63.74,73594.27,4690899.40,在售,住宅
A5栋23层2301,88.57,54890.00,66.07,73582.67,4861607.30,在售,住宅
A5栋22层2204,88.68,54840.00,66.14,73529.04,4863211.20,在售,住宅
A5栋22层2203,85.46,54840.00,63.74,73527.24,4686626.40,在售,住宅
A5栋22层2202,85.46,54840.00,63.74,73527.24,4686626.40,在售,住宅
A5栋22层2201,88.57,54840.00,66.07,73515.64,4857178.80,在售,住宅
A5栋21层2104,88.68,54790.00,66.14,73462.00,4858777.20,在售,住宅
A5栋21层2103,85.46,54790.00,63.74,73460.20,4682353.40,在售,住宅
A5栋21层2102,85.46,54790.00,63.74,73460.20,4682353.40,在售,住宅
A5栋21层2101,88.57,54790.00,66.07,73448.61,4852750.30,在售,住宅
A5栋20层2004,88.68,54740.00,66.14,73394.96,4854343.20,在售,住宅
A5栋20层2003,85.46,54740.00,63.74,73393.16,4678080.40,在售,住宅
A5栋20层2002,85.46,54740.00,63.74,73393.16,4678080.40,在售,住宅
A5栋20层2001,88.57,54740.00,66.07,73381.59,4848321.80,在售,住宅
A5栋19层1904,88.68,54620.00,66.14,73234.07,4843701.60,在售,住宅
A5栋19层1903,85.46,54620.00,63.74,73232.27,4667825.20,在售,住宅
A5栋19层1902,85.46,54620.00,63.74,73232.27,4667825.20,在售,住宅
A5栋19层1901,88.57,54620.00,66.07,73220.72,4837693.40,在售,住宅
A5栋18层1804,88.68,54500.00,66.14,73073.17,4833060.00,在售,住宅
A5栋18层1803,85.46,54500.00,63.74,73071.38,4657570.00,在售,住宅
A5栋18层1802,85.46,54500.00,63.74,73071.38,4657570.00,在售,住宅
A5栋18层1801,88.57,54500.00,66.07,73059.86,4827065.00,在售,住宅
A5栋17层1704,88.68,54380.00,66.14,72912.28,4822418.40,在售,住宅
A5栋17层1703,85.46,54380.00,63.74,72910.49,4647314.80,在售,住宅
A5栋17层1702,85.46,54380.00,63.74,72910.49,4647314.80,在售,住宅
A5栋17层1701,88.57,54380.00,66.07,72898.99,4816436.60,在售,住宅
A5栋16层1604,88.68,54260.00,66.14,72751.38,4811776.80,在售,住宅
A5栋16层1603,85.46,54260.00,63.74,72749.60,4637059.60,在售,住宅
A5栋16层1602,85.46,54260.00,63.74,72749.60,4637059.60,在售,住宅
A5栋16层1601,88.57,54260.00,66.07,72738.12,4805808.20,在售,住宅
A5栋15层1504,88.68,54140.00,66.14,72590.49,4801135.20,在售,住宅
A5栋15层1503,85.46,54140.00,63.74,72588.71,4626804.40,在售,住宅
A5栋15层1502,85.46,54140.00,63.74,72588.71,4626804.40,在售,住宅
A5栋15层1501,88.57,54140.00,66.07,72577.26,4795179.80,在售,住宅
A5栋14层1404,88.68,54020.00,66.14,72429.59,4790493.60,在售,住宅
A5栋14层1403,85.46,54020.00,63.74,72427.81,4616549.20,在售,住宅
A5栋14层1402,85.46,54020.00,63.74,72427.81,4616549.20,在售,住宅
A5栋14层1401,88.57,54020.00,66.07,72416.39,4784551.40,在售,住宅
A5栋13层1304,88.68,53900.00,66.14,72268.70,4779852.00,在售,住宅
A5栋13层1303,85.46,53900.00,63.74,72266.92,4606294.00,在售,住宅
A5栋13层1302,85.46,53900.00,63.74,72266.92,4606294.00,在售,住宅
A5栋13层1301,88.57,53900.00,66.07,72255.53,4773923.00,在售,住宅
A5栋12层1204,88.68,53780.00,66.14,72107.80,4769210.40,在售,住宅
A5栋12层1203,85.46,53780.00,63.74,72106.03,4596038.80,在售,住宅
A5栋12层1202,85.46,53780.00,63.74,72106.03,4596038.80,在售,住宅
A5栋12层1201,88.57,53780.00,66.07,72094.66,4763294.60,在售,住宅
A5栋11层1104,88.68,53660.00,66.14,71946.91,4758568.80,在售,住宅
A5栋11层1103,85.46,53660.00,63.74,71945.14,4585783.60,在售,住宅
A5栋11层1102,85.46,53660.00,63.74,71945.14,4585783.60,在售,住宅
A5栋11层1101,88.57,53660.00,66.07,71933.80,4752666.20,在售,住宅
A5栋10层1004,88.68,53540.00,66.14,71786.01,4747927.20,在售,住宅
A5栋10层1003,85.46,53540.00,63.74,71784.25,4575528.40,在售,住宅
A5栋10层1002,85.46,53540.00,63.74,71784.25,4575528.40,在售,住宅
A5栋10层1001,88.57,53540.00,66.07,71772.93,4742037.80,在售,住宅
A5栋09层904,88.68,53460.00,66.14,71678.75,4740832.80,在售,住宅
A5栋09层903,85.46,53460.00,63.74,71676.99,4568691.60,在售,住宅
A5栋09层902,85.46,53460.00,63.74,71676.99,4568691.60,在售,住宅
A5栋09层901,88.57,53460.00,66.07,71665.69,4734952.20,在售,住宅
A5栋08层804,88.68,53380.00,66.14,71571.49,4733738.40,在售,住宅
A5栋08层803,85.46,53380.00,63.74,71569.73,4561854.80,在售,住宅
A5栋08层802,85.46,53380.00,63.74,71569.73,4561854.80,在售,住宅
A5栋08层801,88.57,53380.00,66.07,71558.44,4727866.60,在售,住宅
A5栋07层704,88.68,53300.00,66.14,71464.22,4726644.00,在售,住宅
A5栋07层703,85.46,53300.00,63.74,71462.47,4555018.00,在售,住宅
A5栋07层702,85.46,53300.00,63.74,71462.47,4555018.00,在售,住宅
A5栋07层701,88.57,53300.00,66.07,71451.20,4720781.00,在售,住宅
A5栋06层604,88.68,53220.00,66.14,71356.96,4719549.60,在售,住宅
A5栋06层603,85.46,53220.00,63.74,71355.21,4548181.20,在售,住宅
A5栋06层602,85.46,53220.00,63.74,71355.21,4548181.20,在售,住宅
A5栋06层601,88.57,53220.00,66.07,71343.95,4713695.40,在售,住宅
A5栋05层504,88.68,53140.00,66.14,71249.70,4712455.20,在售,住宅
A5栋05层503,85.46,53140.00,63.74,71247.95,4541344.40,在售,住宅
A5栋05层502,85.46,53140.00,63.74,71247.95,4541344.40,在售,住宅
A5栋05层501,88.57,53140.00,66.07,71236.71,4706609.80,在售,住宅
A5栋04层404,88.68,53060.00,66.14,71142.43,4705360.80,在售,住宅
A5栋04层403,85.46,53060.00,63.74,71140.69,4534507.60,在售,住宅
A5栋04层402,85.46,53060.00,63.74,71140.69,4534507.60,在售,住宅
A5栋04层401,88.57,53060.00,66.07,71129.47,4699524.20,在售,住宅
A5栋03层304,88.68,52980.00,66.14,71035.17,4698266.40,在售,住宅
A5栋03层303,85.46,52980.00,63.74,71033.42,4527670.80,在售,住宅
A5栋03层302,85.46,52980.00,63.74,71033.42,4527670.80,在售,住宅
A5栋03层301,88.57,52980.00,66.07,71022.22,4692438.60,在售,住宅
A5栋02层204,88.68,52900.00,66.14,70927.91,4691172.00,在售,住宅
A5栋02层203,85.46,52900.00,63.74,70926.16,4520834.00,在售,住宅
A5栋02层202,85.46,52900.00,63.74,70926.16,4520834.00,在售,住宅
A5栋02层201,88.57,52900.00,66.07,70914.98,4685353.00,在售,住宅
A5栋01层104,88.87,52820.00,66.29,70811.78,4694113.40,在售,住宅
A5栋01层102,85.56,52820.00,63.81,70823.99,4519279.20,在售,住宅
A5栋01层101,88.57,52820.00,66.07,70807.74,4678267.40,在售,住宅
A5栋半地下室01层半地下110,139.29,200000.00,135.72,205260.83,27858000.00,在售,商业
A5栋半地下室01层半地下109,29.49,200000.00,28.73,205290.63,5898000.00,在售,商业
A5栋半地下室01层半地下108,46.48,200000.00,45.29,205255.02,9296000.00,在售,商业
A5栋半地下室01层半地下107,56.93,200000.00,55.47,205264.10,11386000.00,在售,商业
A5栋半地下室01层半地下106,39.48,200000.00,38.46,205304.21,7896000.00,在售,商业
A5栋半地下室01层半地下105,31.30,200000.00,30.50,205245.90,6260000.00,在售,商业
A5栋半地下室01层半地下104,29.45,200000.00,28.70,205226.48,5890000.00,在售,商业
A5栋半地下室01层半地下103,35.30,200000.00,34.40,205232.55,7060000.00,在售,商业
A5栋半地下室01层半地下102,35.30,200000.00,34.40,205232.55,7060000.00,在售,商业
A5栋半地下室01层半地下101,148.72,200000.00,144.90,205272.60,29744000.00,在售,商业
A4栋25层2504,88.57,54620.00,66.06,73231.81,4837693.40,在售,住宅
A4栋25层2503,85.45,54620.00,63.74,73223.70,4667279.00,在售,住宅
A4栋25层2502,85.45,54620.00,63.74,73223.70,4667279.00,在售,住宅
A4栋25层2501,88.67,54620.00,66.15,73214.74,4843155.40,在售,住宅
A4栋24层2404,88.57,54940.00,66.06,73660.85,4866035.80,在售,住宅
A4栋24层2403,85.45,54940.00,63.74,73652.69,4694623.00,在售,住宅
A4栋24层2402,85.45,54940.00,63.74,73652.69,4694623.00,在售,住宅
A4栋24层2401,88.67,54940.00,66.15,73643.68,4871529.80,在售,住宅
A4栋23层2304,88.57,54890.00,66.06,73593.81,4861607.30,在售,住宅
A4栋23层2303,85.45,54890.00,63.74,73585.66,4690350.50,在售,住宅
A4栋23层2302,85.45,54890.00,63.74,73585.66,4690350.50,在售,住宅
A4栋23层2301,88.67,54890.00,66.15,73576.66,4867096.30,在售,住宅
A4栋22层2204,88.57,54840.00,66.06,73526.77,4857178.80,在售,住宅
A4栋22层2203,85.45,54840.00,63.74,73518.63,4686078.00,在售,住宅
A4栋22层2202,85.45,54840.00,63.74,73518.63,4686078.00,在售,住宅
A4栋22层2201,88.67,54840.00,66.15,73509.64,4862662.80,在售,住宅
A4栋21层2104,88.57,54790.00,66.06,73459.73,4852750.30,在售,住宅
A4栋21层2103,85.45,54790.00,63.74,73451.60,4681805.50,在售,住宅
A4栋21层2102,85.45,54790.00,63.74,73451.60,4681805.50,在售,住宅
A4栋21层2101,88.67,54790.00,66.15,73442.61,4858229.30,在售,住宅
A4栋20层2004,88.57,54740.00,66.06,73392.70,4848321.80,在售,住宅
A4栋20层2003,85.45,54740.00,63.74,73384.57,4677533.00,在售,住宅
A4栋20层2002,85.45,54740.00,63.74,73384.57,4677533.00,在售,住宅
A4栋20层2001,88.67,54740.00,66.15,73375.59,4853795.80,在售,住宅
A4栋19层1904,88.57,54620.00,66.06,73231.81,4837693.40,在售,住宅
A4栋19层1903,85.45,54620.00,63.74,73223.70,4667279.00,在售,住宅
A4栋19层1902,85.45,54620.00,63.74,73223.70,4667279.00,在售,住宅
A4栋19层1901,88.67,54620.00,66.15,73214.74,4843155.40,在售,住宅
A4栋18层1804,88.57,54500.00,66.06,73070.92,4827065.00,在售,住宅
A4栋18层1803,85.45,54500.00,63.74,73062.83,4657025.00,在售,住宅
A4栋18层1802,85.45,54500.00,63.74,73062.83,4657025.00,在售,住宅
A4栋18层1801,88.67,54500.00,66.15,73053.89,4832515.00,在售,住宅
A4栋17层1704,88.57,54380.00,66.06,72910.03,4816436.60,在售,住宅
A4栋17层1703,85.45,54380.00,63.74,72901.96,4646771.00,在售,住宅
A4栋17层1702,85.45,54380.00,63.74,72901.96,4646771.00,在售,住宅
A4栋17层1701,88.67,54380.00,66.15,72893.04,4821874.60,在售,住宅
A4栋16层1604,88.57,54260.00,66.06,72749.14,4805808.20,在售,住宅
A4栋16层1603,85.45,54260.00,63.74,72741.08,4636517.00,在售,住宅
A4栋16层1602,85.45,54260.00,63.74,72741.08,4636517.00,在售,住宅
A4栋16层1601,88.67,54260.00,66.15,72732.18,4811234.20,在售,住宅
A4栋15层1504,88.57,54140.00,66.06,72588.25,4795179.80,在售,住宅
A4栋15层1503,85.45,54140.00,63.74,72580.21,4626263.00,在售,住宅
A4栋15层1502,85.45,54140.00,63.74,72580.21,4626263.00,在售,住宅
