房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
E栋二单元4206,293.89,146403.00,232.78,184837.09,43026378.00,在售,住宅
E栋二单元4205,131.35,118290.00,104.04,149340.56,15537392.00,在售,住宅
E栋二单元4204,270.11,151904.00,213.95,191777.47,41030790.00,在售,住宅
E栋二单元4106,293.89,145195.00,232.78,183311.96,42671359.00,在售,住宅
E栋二单元4105,131.35,117283.00,104.04,148069.23,15405123.00,在售,住宅
E栋二单元4104,270.11,150695.00,213.95,190251.11,40704227.00,在售,住宅
E栋二单元4006,293.89,143986.00,232.78,181785.57,42316046.00,在售,住宅
E栋二单元4005,131.35,116276.00,104.04,146797.89,15272853.00,在售,住宅
E栋二单元4004,270.11,149487.00,213.95,188726.02,40377934.00,在售,住宅
E栋二单元3906,293.64,142778.00,232.58,180261.98,41925332.00,在售,住宅
E栋二单元3905,131.23,115269.00,103.94,145533.49,15126751.00,在售,住宅
E栋二单元3904,270.11,148278.00,213.95,187199.67,40051371.00,在售,住宅
E栋二单元3806,293.64,141569.00,232.58,178735.58,41570322.00,在售,住宅
E栋二单元3805,131.23,114262.00,103.94,144262.10,14994603.00,在售,住宅
E栋二单元3804,270.11,147070.00,213.95,185674.58,39725078.00,在售,住宅
E栋二单元3706,293.64,140361.00,232.58,177210.44,41215605.00,在售,住宅
E栋二单元3705,131.23,113254.00,103.94,142989.44,14862323.00,在售,住宅
E栋二单元3704,270.11,145861.00,213.95,184148.23,39398515.00,在售,住宅
E栋二单元3606,293.64,139152.00,232.58,175684.03,40860594.00,在售,住宅
E栋二单元3605,131.23,112247.00,103.94,141718.04,14730174.00,在售,住宅
E栋二单元3604,270.11,144653.00,213.95,182623.14,39072222.00,在售,住宅
E栋二单元3506,293.64,137944.00,232.58,174158.90,40505877.00,在售,住宅
E栋二单元3505,131.23,111240.00,103.94,140446.66,14598026.00,在售,住宅
E栋二单元3504,270.11,143444.00,213.95,181096.79,38745659.00,在售,住宅
E栋二单元3406,293.64,135728.00,232.58,171361.12,39855170.00,在售,住宅
E栋二单元3405,131.23,109226.00,103.94,137903.86,14333728.00,在售,住宅
E栋二单元3404,270.11,141229.00,213.95,178300.37,38147366.00,在售,住宅
E栋二单元3306,292.67,134520.00,231.82,169829.90,39369969.00,在售,住宅
E栋二单元3305,131.23,108219.00,103.95,136619.33,14201580.00,在售,住宅
E栋二单元3304,268.37,140020.00,212.57,176775.49,37577168.00,在售,住宅
E栋二单元3206,292.67,133311.00,231.82,168303.55,39016131.00,在售,住宅
E栋二单元3205,131.23,107212.00,103.95,135348.06,14069431.00,在售,住宅
E栋二单元3204,268.37,138812.00,212.57,175250.39,37252977.00,在售,住宅
E栋二单元3106,292.67,132103.00,231.82,166778.47,38662586.00,在售,住宅
E栋二单元3105,131.23,106205.00,103.95,134076.79,13937283.00,在售,住宅
E栋二单元3104,268.37,137603.00,212.57,173724.03,36928518.00,在售,住宅
E栋二单元3006,292.67,130894.00,231.82,165252.12,38308747.00,在售,住宅
E栋二单元3005,131.23,105198.00,103.95,132805.52,13805134.00,在售,住宅
E栋二单元3004,268.37,136395.00,212.57,172198.93,36604327.00,在售,住宅
E栋二单元2906,292.67,129686.00,231.82,163727.03,37955202.00,在售,住宅
E栋二单元2905,131.23,104191.00,103.95,131534.24,13672985.00,在售,住宅
E栋二单元2904,268.37,135186.00,212.57,170672.56,36279867.00,在售,住宅
E栋二单元2806,292.67,128175.00,231.82,161819.42,37512978.00,在售,住宅
E栋二单元2805,131.23,103184.00,103.95,130262.98,13540837.00,在售,住宅
E栋二单元2804,268.37,133676.00,212.57,168766.18,35874629.00,在售,住宅
E栋二单元2706,292.67,126665.00,231.82,159913.06,37071046.00,在售,住宅
E栋二单元2705,131.23,102177.00,103.95,128991.70,13408688.00,在售,住宅
E栋二单元2704,268.37,132165.00,212.57,166858.55,35469122.00,在售,住宅
E栋二单元2606,292.67,125154.00,231.82,158005.44,36628822.00,在售,住宅
E栋二单元2605,131.23,101170.00,103.95,127720.44,13276540.00,在售,住宅
E栋二单元2604,268.37,130655.00,212.57,164952.17,35063883.00,在售,住宅
E栋二单元2506,292.67,123643.00,231.82,156097.82,36186597.00,在售,住宅
E栋二单元2505,131.23,100163.00,103.95,126449.16,13144391.00,在售,住宅
E栋二单元2504,268.37,129144.00,212.57,163044.53,34658376.00,在售,住宅
E栋二单元2406,292.56,122133.00,231.73,154193.37,35731231.00,在售,住宅
E栋二单元2405,130.73,99156.00,103.55,125182.65,12962664.00,在售,住宅
E栋二单元2404,268.54,127633.00,212.70,161140.41,34274566.00,在售,住宅
E栋二单元2306,292.56,120622.00,231.73,152285.73,35289173.00,在售,住宅
E栋二单元2305,130.73,98149.00,103.55,123911.33,12831019.00,在售,住宅
E栋二单元2304,268.54,126123.00,212.70,159233.99,33869071.00,在售,住宅
E栋二单元2206,292.56,119112.00,231.73,150379.35,34847407.00,在售,住宅
E栋二单元2205,130.73,97141.00,103.55,122638.75,12699243.00,在售,住宅
E栋二单元2204,268.54,124612.00,212.70,157326.31,33463307.00,在售,住宅
E栋二单元2106,292.56,117601.00,231.73,148471.70,34405349.00,在售,住宅
E栋二单元2105,130.73,96134.00,103.55,121367.43,12567598.00,在售,住宅
E栋二单元2104,268.54,123102.00,212.70,155419.89,33057812.00,在售,住宅
E栋二单元2006,292.56,116090.00,231.73,146564.06,33963291.00,在售,住宅
E栋二单元2005,130.73,95127.00,103.55,120096.11,12435953.00,在售,住宅
E栋二单元2004,268.54,121591.00,212.70,153512.21,32652048.00,在售,住宅
E栋二单元1906,292.56,114580.00,231.73,144657.68,33521525.00,在售,住宅
E栋二单元1905,130.73,94120.00,103.55,118824.79,12304308.00,在售,住宅
E栋二单元1904,268.54,120080.00,212.70,151604.53,32246284.00,在售,住宅
E栋二单元1806,292.56,113069.00,231.73,142750.04,33079467.00,在售,住宅
E栋二单元1805,130.73,93113.00,103.55,117553.48,12172663.00,在售,住宅
E栋二单元1804,268.54,118570.00,212.70,149698.11,31840788.00,在售,住宅
E栋二单元1706,292.56,111559.00,231.73,140843.66,32637702.00,在售,住宅
E栋二单元1705,130.73,92106.00,103.55,116282.16,12041018.00,在售,住宅
E栋二单元1704,268.54,117059.00,212.70,147790.42,31435024.00,在售,住宅
E栋二单元1606,292.56,108034.00,231.73,136393.33,31606428.00,在售,住宅
E栋二单元1605,130.73,89085.00,103.55,112468.20,11646083.00,在售,住宅
E栋二单元1604,268.54,113534.00,212.70,143340.01,30488421.00,在售,住宅
E栋二单元1506,292.56,106221.00,231.73,134104.41,31076016.00,在售,住宅
E栋二单元1505,130.73,88783.00,103.55,112086.93,11606602.00,在售,住宅
E栋二单元1504,268.54,112729.00,212.70,142323.67,30272246.00,在售,住宅
E栋二单元1406,292.56,105416.00,231.73,133088.09,30840505.00,在售,住宅
E栋二单元1405,130.73,88682.00,103.55,111959.42,11593398.00,在售,住宅
E栋二单元1404,268.54,111923.00,212.70,141306.07,30055803.00,在售,住宅
E栋二单元1306,292.56,104610.00,231.73,132070.52,30604702.00,在售,住宅
E栋二单元1305,130.73,88078.00,103.55,111196.88,11514437.00,在售,住宅
E栋二单元1304,268.54,111118.00,212.70,140289.74,29839628.00,在售,住宅
E栋二单元1206,291.95,103804.00,231.25,131051.14,30305578.00,在售,住宅
E栋二单元1205,130.73,87474.00,103.55,110434.35,11435477.00,在售,住宅
E栋二单元1204,267.92,110312.00,212.22,139264.87,29554792.00,在售,住宅
E栋二单元1106,291.95,102999.00,231.25,130034.84,30070559.00,在售,住宅
E栋二单元1105,130.73,86869.00,103.55,109670.54,11356385.00,在售,住宅
E栋二单元1104,267.92,109506.00,212.22,138247.32,29338848.00,在售,住宅
E栋二单元1006,291.95,102193.00,231.25,129017.28,29835247.00,在售,住宅
E栋二单元1005,130.73,86265.00,103.55,108908.00,11277424.00,在售,住宅
E栋二单元1004,267.92,108701.00,212.22,137231.04,29123172.00,在售,住宅
E栋二单元906,291.95,101689.00,231.25,128380.99,29688104.00,在售,住宅
E栋二单元905,130.73,85963.00,103.55,108526.73,11237943.00,在售,住宅
E栋二单元904,267.92,108197.00,212.22,136594.76,28988141.00,在售,住宅
E栋二单元806,290.94,101387.00,230.44,128005.26,29497534.00,在售,住宅
E栋二单元805,131.38,85862.00,104.07,108393.86,11280550.00,在售,住宅
E栋二单元804,267.09,107895.00,211.56,136215.14,28817676.00,在售,住宅
E栋二单元706,290.94,100783.00,230.44,127242.69,29321807.00,在售,住宅
E栋二单元705,131.38,85460.00,104.07,107886.37,11227735.00,在售,住宅
E栋二单元704,267.09,107794.00,211.56,136087.63,28790700.00,在售,住宅
E栋二单元606,290.94,100481.00,230.44,126861.40,29233943.00,在售,住宅
E栋二单元605,131.38,85359.00,104.07,107758.87,11214466.00,在售,住宅
E栋二单元604,267.09,106989.00,211.56,135071.34,28575693.00,在售,住宅
E栋二单元506,290.94,100179.00,230.44,126480.12,29146079.00,在售,住宅
E栋二单元505,131.38,85258.00,104.07,107631.37,11201197.00,在售,住宅
E栋二单元504,267.09,106686.00,211.56,134688.80,28494764.00,在售,住宅
E栋二单元406,289.96,99373.00,229.67,125459.11,28814196.00,在售,住宅
E栋二单元405,131.42,84654.00,104.09,106880.86,11125229.00,在售,住宅
E栋二单元404,265.26,105881.00,210.11,133672.81,28085995.00,在售,住宅
E栋二单元306,289.96,98567.00,229.67,124441.53,28580488.00,在售,住宅
E栋二单元305,131.42,84251.00,104.09,106372.05,11072267.00,在售,住宅
E栋二单元304,265.26,105075.00,210.11,132655.25,27872195.00,在售,住宅
E栋二单元206,289.88,97258.00,229.61,122787.11,28193150.00,在售,住宅
E栋二单元205,131.42,84211.00,104.09,106321.54,11067010.00,在售,住宅
E栋二单元204,265.18,103262.00,210.04,130370.49,27383018.00,在售,住宅
E栋一单元4003,260.43,149031.00,204.66,189642.06,38812144.00,在售,住宅
E栋一单元4002,135.52,116984.00,106.50,148860.76,15853672.00,在售,住宅
E栋一单元4001,294.95,153034.00,231.78,194742.33,45137379.00,在售,住宅
E栋一单元3903,260.14,147823.00,204.43,188106.81,38454676.00,在售,住宅
E栋一单元3902,135.52,115977.00,106.50,147579.38,15717204.00,在售,住宅
E栋一单元3901,294.95,151825.00,231.78,193203.83,44780784.00,在售,住宅
E栋一单元3803,260.14,146615.00,204.43,186569.61,38140427.00,在售,住宅
E栋一单元3802,135.52,114970.00,106.50,146297.98,15580735.00,在售,住宅
E栋一单元3801,294.95,150617.00,231.78,191666.60,44424485.00,在售,住宅
