房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
6栋1404,133.81,94260.00,90.17,139879.46,12612931.00,在售,办公
6栋1403,263.15,94060.00,188.18,131533.04,24751889.00,在售,复式办公
6栋1402,402.62,92259.99,271.30,136917.51,37145721.00,在售,办公
6栋1401,395.37,92759.99,266.42,137656.78,36674521.00,在售,办公
6栋1304,136.81,94060.00,90.36,142412.00,12868349.00,在售,办公
6栋1303,135.32,93859.99,89.38,142102.65,12701135.00,在售,办公
6栋1302,411.86,92060.00,272.02,139386.19,37915832.00,在售,办公
6栋1301,403.21,92560.00,266.31,140141.63,37321118.00,在售,办公
6栋1204,137.67,93859.99,90.87,142199.91,12921706.00,在售,办公
6栋1203,136.18,93660.00,89.88,141907.19,12754619.00,在售,办公
6栋1202,409.91,91860.00,270.55,139176.98,37654333.00,在售,办公
6栋1201,402.51,92360.00,265.67,139932.33,37175824.00,在售,办公
6栋1104,136.81,93660.00,90.36,141806.38,12813625.00,在售,办公
6栋1103,135.32,93459.99,89.38,141497.05,12647007.00,在售,办公
6栋1102,411.86,90576.74,272.02,137140.42,37304938.00,在售,办公
6栋1101,403.21,92160.00,266.31,139536.00,37159834.00,在售,办公
6栋1004,137.67,93459.99,90.87,141593.90,12866638.00,在售,办公
6栋1003,136.18,93260.00,89.88,141301.14,12700147.00,在售,办公
6栋1002,409.91,90344.18,270.55,136880.37,37032985.00,在售,办公
6栋1001,402.51,91960.00,265.67,139326.30,37014820.00,在售,办公
6栋904,136.81,93260.00,90.36,141200.76,12758901.00,在售,办公
6栋903,135.32,93059.99,89.38,140891.46,12592879.00,在售,办公
6栋902,411.86,90111.62,272.02,136436.19,37113375.00,在售,办公
6栋901,403.21,90693.02,266.31,137314.91,36568334.00,在售,办公
6栋804,137.67,93059.99,90.87,140987.89,12811570.00,在售,办公
6栋803,136.18,92860.00,89.88,140695.09,12645675.00,在售,办公
6栋802,409.91,89879.06,270.55,136175.67,36842329.00,在售,办公
6栋801,402.51,90460.46,265.67,137054.39,36411242.00,在售,办公
6栋704,136.81,92860.00,90.36,140595.14,12704177.00,在售,办公
6栋703,135.32,92659.99,89.38,140285.86,12538751.00,在售,办公
6栋702,411.86,89646.51,272.02,135731.97,36921812.00,在售,办公
6栋701,403.21,90227.90,266.31,136610.69,36380794.00,在售,办公
6栋604,137.67,92659.99,90.87,140381.88,12756502.00,在售,办公
6栋603,136.18,92460.00,89.88,140089.04,12591203.00,在售,办公
6栋602,409.91,89413.95,270.55,135470.98,36651674.00,在售,办公
6栋601,402.51,89995.34,265.67,136349.71,36224028.00,在售,办公
6栋504,136.89,92459.99,90.36,140071.37,12656849.00,在售,办公
6栋503,135.40,92260.00,89.38,139762.85,12492004.00,在售,办公
6栋502,412.12,89181.39,272.04,135103.06,36753437.00,在售,办公
6栋501,399.53,89762.79,263.73,135983.49,35862928.00,在售,办公
6栋405,211.47,90227.90,146.49,130251.17,19080495.00,在售,办公
6栋404,180.07,91859.99,124.73,132616.29,16541230.00,在售,办公
6栋403,130.45,92360.00,90.36,133337.33,12048362.00,在售,办公
6栋402,133.51,92160.00,92.48,133048.03,12304282.00,在售,办公
6栋401,907.00,89065.11,628.29,128574.47,80782060.00,在售,办公
6栋305,213.31,90111.62,146.33,131358.64,19221711.00,在售,办公
