房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
0,1.00,1.00,1.00,1.00,1.00,在售,1
0,1.00,1.00,1.00,1.00,1.00,在售,1
0,1.00,1.00,1.00,1.00,1.00,在售,1
3-4号楼B座3404,108.17,32366.30,87.05,40218.98,3501063.00,在售,住宅
3-4号楼B座3401,105.41,30284.22,84.83,37631.26,3192260.00,在售,住宅
3-4号楼B座3304,108.68,32453.09,87.05,40516.96,3527002.00,在售,住宅
3-4号楼B座3303,150.61,39998.99,120.88,49836.60,6024249.00,在售,住宅
3-4号楼B座3302,150.61,27440.00,120.88,34189.08,4132775.00,在售,住宅
3-4号楼B座3301,108.62,30353.47,87.00,37896.48,3296994.00,在售,住宅
3-4号楼B座3204,108.52,32444.09,87.05,40446.09,3520833.00,在售,住宅
3-4号楼B座3203,89.03,30140.95,71.42,37572.79,2683449.00,在售,住宅
3-4号楼B座3202,89.03,29950.94,71.42,37335.94,2666533.00,在售,住宅
3-4号楼B座3201,108.47,30344.40,87.00,37832.85,3291458.00,在售,住宅
3-4号楼B座3104,108.52,32434.09,87.05,40433.63,3519748.00,在售,住宅
3-4号楼B座3103,89.03,37292.00,71.42,46487.90,3320165.00,在售,住宅
3-4号楼B座3102,89.03,29940.95,71.42,37323.48,2665643.00,在售,住宅
3-4号楼B座3101,108.47,30334.40,87.00,37820.37,3290373.00,在售,住宅
3-4号楼B座3004,108.52,32424.09,87.05,40421.17,3518663.00,在售,住宅
3-4号楼B座3003,89.03,30120.94,71.42,37547.85,2681668.00,在售,住宅
3-4号楼B座3002,89.03,29930.95,71.42,37311.01,2664753.00,在售,住宅
3-4号楼B座3001,108.47,30324.41,87.00,37807.91,3289289.00,在售,住宅
3-4号楼B座2904,108.52,32414.09,87.05,40408.70,3517578.00,在售,住宅
3-4号楼B座2903,89.03,30110.95,71.42,37535.39,2680778.00,在售,住宅
3-4号楼B座2902,89.03,29920.94,71.42,37298.54,2663862.00,在售,住宅
3-4号楼B座2901,108.47,30314.40,87.00,37795.44,3288204.00,在售,住宅
3-4号楼B座2804,108.52,32404.09,87.05,40396.23,3516492.00,在售,住宅
3-4号楼B座2803,89.03,30100.95,71.42,37522.93,2679888.00,在售,住宅
3-4号楼B座2802,89.03,29910.95,71.42,37286.08,2662972.00,在售,住宅
3-4号楼B座2801,108.47,30304.40,87.00,37782.97,3287119.00,在售,住宅
