房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋2115,36.71,21999.00,26.52,30451.85,807583.29,在售,办公
1栋2114,36.83,21999.00,26.61,30448.07,810223.17,在售,办公
1栋2113,36.85,21999.00,26.63,30441.72,810663.15,在售,办公
1栋2112,36.85,32905.00,26.63,45533.00,1212549.00,在售,办公
1栋2111,36.83,32904.00,26.61,45541.00,1211854.00,在售,办公
1栋2110,44.53,21999.00,32.17,30451.21,979615.47,在售,办公
1栋2109,84.49,21999.00,61.04,30450.45,1858695.51,在售,办公
1栋2108,84.65,21999.00,61.16,30448.25,1862215.35,在售,办公
1栋2107,84.65,21999.00,61.16,30448.25,1862215.35,在售,办公
1栋2106,78.43,21999.00,56.66,30451.49,1725381.57,在售,办公
1栋2105,78.43,21999.00,56.67,30446.11,1725381.57,在售,办公
1栋2104,84.64,21999.00,61.16,30444.65,1861995.36,在售,办公
1栋2103,84.65,21999.00,61.16,30448.25,1862215.35,在售,办公
1栋2102,84.65,21999.00,61.16,30448.25,1862215.35,在售,办公
1栋2101,84.48,21999.00,61.04,30446.84,1858475.52,在售,办公
1栋2015,36.71,21999.00,26.52,30451.85,807583.29,在售,办公
1栋2014,36.83,21999.00,26.61,30448.07,810223.17,在售,办公
1栋2013,36.85,33041.00,26.63,45721.00,1217560.00,在售,办公
1栋2012,36.85,21999.00,26.63,30441.72,810663.15,在售,办公
1栋2011,36.83,21999.00,26.61,30448.07,810223.17,在售,办公
1栋2010,44.53,21999.00,32.17,30451.21,979615.47,在售,办公
1栋2009,84.49,21999.00,61.04,30450.45,1858695.51,在售,办公
1栋2008,84.65,21999.00,61.16,30448.25,1862215.35,在售,办公
1栋2007,84.65,21999.00,61.16,30448.25,1862215.35,在售,办公
1栋2006,78.43,21999.00,56.66,30451.49,1725381.57,在售,办公
1栋2005,78.43,21999.00,56.67,30446.11,1725381.57,在售,办公
1栋2004,84.64,21999.00,61.16,30444.65,1861995.36,在售,办公
1栋2003,84.65,21999.00,61.16,30448.25,1862215.35,在售,办公
1栋2002,84.65,21999.00,61.16,30448.25,1862215.35,在售,办公
1栋2001,84.49,29813.00,61.04,41266.00,2518900.00,在售,办公
1栋1915,36.71,21999.00,26.52,30451.85,807583.29,在售,办公
1栋1914,36.83,21999.00,26.61,30448.07,810223.17,在售,办公
1栋1913,36.85,21999.00,26.63,30441.72,810663.15,在售,办公
1栋1912,36.85,32920.00,26.63,45553.00,1213102.00,在售,办公
1栋1911,36.83,21999.00,26.61,30448.07,810223.17,在售,办公
1栋1910,44.53,21999.00,32.17,30451.21,979615.47,在售,办公
1栋1909,84.49,21999.00,61.04,30450.45,1858695.51,在售,办公
1栋1908,84.65,21999.00,61.16,30448.25,1862215.35,在售,办公
1栋1907,84.65,21999.00,61.16,30448.25,1862215.35,在售,办公
1栋1906,78.43,21999.00,56.66,30451.49,1725381.57,在售,办公
1栋1905,78.43,21999.00,56.67,30446.11,1725381.57,在售,办公
1栋1904,84.64,21999.00,61.16,30444.65,1861995.36,在售,办公
