房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
6栋3802,231.45,107504.19,183.76,135404.03,24881845.27,在售,住宅
6栋3702,231.45,107504.19,183.76,135404.03,24881845.27,在售,住宅
6栋3602,231.45,107504.19,183.76,135404.03,24881845.27,在售,住宅
6栋3502,231.45,107201.75,183.76,135023.10,24811845.27,在售,住宅
6栋3402,231.45,106899.30,183.76,134642.17,24741845.27,在售,住宅
6栋3302,231.45,106596.86,183.76,134261.23,24671845.27,在售,住宅
6栋3202,231.45,106294.42,183.76,133880.30,24601845.27,在售,住宅
6栋3102,231.45,105991.98,183.76,133499.37,24531845.27,在售,住宅
6栋3002,231.45,105689.54,183.76,133118.44,24461845.27,在售,住宅
6栋2902,231.45,105387.10,183.76,132737.51,24391845.27,在售,住宅
6栋2702,231.45,105084.66,183.76,132356.58,24321845.27,在售,住宅
6栋2602,231.45,104782.22,183.76,131975.64,24251845.27,在售,住宅
6栋2502,231.45,104479.78,183.76,131594.71,24181845.27,在售,住宅
6栋2402,231.45,104177.33,183.76,131213.78,24111845.27,在售,住宅
6栋2302,231.45,103874.89,183.76,130832.85,24041845.27,在售,住宅
6栋2202,231.45,103572.45,183.76,130451.92,23971845.27,在售,住宅
6栋2102,231.45,103270.01,183.76,130070.99,23901845.27,在售,住宅
6栋2002,231.45,102967.57,183.76,129690.05,23831845.27,在售,住宅
6栋1902,231.45,102665.13,183.76,129309.12,23761845.27,在售,住宅
6栋1802,231.45,102362.69,183.76,128928.19,23691845.27,在售,住宅
6栋1702,231.45,102060.25,183.76,128547.26,23621845.27,在售,住宅
6栋1602,231.45,101757.81,183.76,128166.33,23551845.27,在售,住宅
6栋1502,231.45,101455.36,183.76,127785.40,23481845.27,在售,住宅
6栋1402,231.45,101152.92,183.76,127404.46,23411845.27,在售,住宅
6栋1202,231.45,100850.48,183.76,127023.53,23341845.27,在售,住宅
6栋1102,231.45,100548.04,183.76,126642.60,23271845.27,在售,住宅
6栋1002,231.45,100245.60,183.76,126261.67,23201845.27,在售,住宅
6栋902,231.45,99943.16,183.76,125880.74,23131845.27,在售,住宅
6栋802,231.45,92166.10,183.76,116085.35,21331845.27,在售,住宅
6栋702,231.45,91863.66,183.76,115704.42,21261845.27,在售,住宅
6栋602,231.45,91561.22,183.76,115323.49,21191845.27,在售,住宅
6栋502,231.45,91258.78,183.76,114942.56,21121845.27,在售,住宅
6栋402,231.45,89098.48,183.76,112221.62,20621845.27,在售,住宅
6栋302,231.45,89098.48,183.76,112221.62,20621845.27,在售,住宅
6栋202,231.45,86938.19,183.76,109500.68,20121845.27,在售,住宅
6栋3801,231.45,101023.31,183.76,127241.21,23381845.27,在售,住宅
6栋3701,231.45,101023.31,183.76,127241.21,23381845.27,在售,住宅
6栋3601,231.45,101023.31,183.76,127241.21,23381845.27,在售,住宅
6栋3501,231.45,100720.86,183.76,126860.28,23311845.27,在售,住宅
6栋3401,231.45,100418.42,183.76,126479.34,23241845.27,在售,住宅
6栋3301,231.45,100115.98,183.76,126098.41,23171845.27,在售,住宅
6栋3201,231.45,99813.54,183.76,125717.48,23101845.27,在售,住宅
6栋3101,231.45,99511.10,183.76,125336.55,23031845.27,在售,住宅
6栋3001,231.45,99208.66,183.76,124955.62,22961845.27,在售,住宅
6栋2901,231.45,98906.22,183.76,124574.69,22891845.27,在售,住宅
6栋2701,231.45,98603.78,183.76,124193.75,22821845.27,在售,住宅
6栋2601,231.45,98301.34,183.76,123812.82,22751845.27,在售,住宅
6栋2501,231.45,97998.89,183.76,123431.89,22681845.27,在售,住宅
6栋2401,231.45,97696.45,183.76,123050.96,22611845.27,在售,住宅
6栋2301,231.45,97394.01,183.76,122670.03,22541845.27,在售,住宅
6栋2201,231.45,97091.57,183.76,122289.10,22471845.27,在售,住宅
6栋2101,231.45,96789.13,183.76,121908.16,22401845.27,在售,住宅
6栋2001,231.45,96486.69,183.76,121527.23,22331845.27,在售,住宅
6栋1901,231.45,96184.25,183.76,121146.30,22261845.27,在售,住宅
6栋1801,231.45,95881.81,183.76,120765.37,22191845.27,在售,住宅
6栋1701,231.45,95579.37,183.76,120384.44,22121845.27,在售,住宅
6栋1601,231.45,95276.92,183.76,120003.51,22051845.27,在售,住宅
6栋1501,231.45,94974.48,183.76,119622.57,21981845.27,在售,住宅
6栋1401,231.45,94672.04,183.76,119241.64,21911845.27,在售,住宅
6栋1201,231.45,94369.60,183.76,118860.71,21841845.27,在售,住宅
6栋1101,231.45,94067.16,183.76,118479.78,21771845.27,在售,住宅
6栋1001,231.45,93764.72,183.76,118098.85,21701845.27,在售,住宅
6栋901,231.45,93462.28,183.76,117717.92,21631845.27,在售,住宅
6栋801,231.45,92166.10,183.76,116085.35,21331845.27,在售,住宅
6栋701,231.45,91863.66,183.76,115704.42,21261845.27,在售,住宅
6栋601,231.45,91561.22,183.76,115323.49,21191845.27,在售,住宅
6栋501,231.45,91258.78,183.76,114942.56,21121845.27,在售,住宅
6栋401,231.45,89098.48,183.76,112221.62,20621845.27,在售,住宅
6栋301,231.45,89098.48,183.76,112221.62,20621845.27,在售,住宅
6栋201,231.45,86938.19,183.76,109500.68,20121845.27,在售,住宅
2栋4102,240.37,108964.70,189.70,138069.82,26191845.27,在售,住宅
2栋4002,240.37,108964.70,189.70,138069.82,26191845.27,在售,住宅
2栋3902,240.37,108964.70,189.70,138069.82,26191845.27,在售,住宅
2栋3802,240.37,108673.48,189.70,137700.81,26121845.27,在售,住宅
2栋3702,240.37,108382.26,189.70,137331.81,26051845.27,在售,住宅
2栋3602,240.37,108091.04,189.70,136962.81,25981845.27,在售,住宅
2栋3502,240.37,107799.83,189.70,136593.80,25911845.27,在售,住宅
2栋3402,240.37,107508.61,189.70,136224.80,25841845.27,在售,住宅
2栋3302,240.37,107217.39,189.70,135855.80,25771845.27,在售,住宅
2栋3202,240.37,106926.17,189.70,135486.79,25701845.27,在售,住宅
2栋3102,240.37,106634.95,189.70,135117.79,25631845.27,在售,住宅
2栋2902,240.37,106343.74,189.70,134748.78,25561845.27,在售,住宅
2栋2802,240.37,106052.52,189.70,134379.78,25491845.27,在售,住宅
2栋2702,240.37,105761.30,189.70,134010.78,25421845.27,在售,住宅
2栋2602,240.37,105470.08,189.70,133641.77,25351845.27,在售,住宅
2栋2502,240.37,105178.87,189.70,133272.77,25281845.27,在售,住宅
2栋2402,240.37,104887.65,189.70,132903.77,25211845.27,在售,住宅
2栋2302,240.37,104596.43,189.70,132534.76,25141845.27,在售,住宅
2栋2202,240.37,104305.21,189.70,132165.76,25071845.27,在售,住宅
2栋2102,240.37,104014.00,189.70,131796.75,25001845.27,在售,住宅
2栋2002,240.37,103722.78,189.70,131427.75,24931845.27,在售,住宅
2栋1902,240.37,103431.56,189.70,131058.75,24861845.27,在售,住宅
2栋1802,240.37,103140.34,189.70,130689.74,24791845.27,在售,住宅
2栋1702,240.37,102849.12,189.70,130320.74,24721845.27,在售,住宅
2栋1602,240.37,102557.91,189.70,129951.74,24651845.27,在售,住宅
2栋1402,240.37,102266.69,189.70,129582.73,24581845.27,在售,住宅
2栋1302,240.37,101975.47,189.70,129213.73,24511845.27,在售,住宅
2栋1202,240.37,101684.25,189.70,128844.72,24441845.27,在售,住宅
2栋1102,240.37,101393.04,189.70,128475.72,24371845.27,在售,住宅
2栋1002,240.37,101101.82,189.70,128106.72,24301845.27,在售,住宅
2栋902,240.37,100810.60,189.70,127737.71,24231845.27,在售,住宅
2栋802,240.37,99562.52,189.70,126156.27,23931845.27,在售,住宅
2栋702,240.37,99271.31,189.70,125787.27,23861845.27,在售,住宅
2栋602,240.37,98980.09,189.70,125418.26,23791845.27,在售,住宅
2栋502,240.37,98688.87,189.70,125049.26,23721845.27,在售,住宅
2栋402,240.37,96608.75,189.70,122413.52,23221845.27,在售,住宅
2栋302,240.37,96608.75,189.70,122413.52,23221845.27,在售,住宅
2栋202,240.37,94528.62,189.70,119777.78,22721845.27,在售,住宅
2栋4101,240.37,102516.30,189.70,129899.02,24641845.27,在售,住宅
2栋4001,240.37,102516.30,189.70,129899.02,24641845.27,在售,住宅
2栋3901,240.37,102516.30,189.70,129899.02,24641845.27,在售,住宅
2栋3801,240.37,102225.09,189.70,129530.02,24571845.27,在售,住宅
2栋3701,240.37,101933.87,189.70,129161.01,24501845.27,在售,住宅
2栋3601,240.37,101642.65,189.70,128792.01,24431845.27,在售,住宅
2栋3501,240.37,101351.43,189.70,128423.01,24361845.27,在售,住宅
2栋3401,240.37,101060.22,189.70,128054.00,24291845.27,在售,住宅
2栋3301,240.37,100769.00,189.70,127685.00,24221845.27,在售,住宅
2栋3201,240.37,100477.78,189.70,127316.00,24151845.27,在售,住宅
2栋3101,240.37,100186.56,189.70,126946.99,24081845.27,在售,住宅
2栋2901,240.37,99895.34,189.70,126577.99,24011845.27,在售,住宅
2栋2801,240.37,99604.13,189.70,126208.98,23941845.27,在售,住宅
2栋2701,240.37,99312.91,189.70,125839.98,23871845.27,在售,住宅
2栋2601,240.37,99021.69,189.70,125470.98,23801845.27,在售,住宅
2栋2501,240.37,98730.47,189.70,125101.97,23731845.27,在售,住宅
2栋2401,240.37,98439.26,189.70,124732.97,23661845.27,在售,住宅
2栋2301,240.37,98148.04,189.70,124363.97,23591845.27,在售,住宅
2栋2201,240.37,97856.82,189.70,123994.96,23521845.27,在售,住宅
2栋2101,240.37,97565.60,189.70,123625.96,23451845.27,在售,住宅
2栋2001,240.37,97274.39,189.70,123256.95,23381845.27,在售,住宅
2栋1901,240.37,96983.17,189.70,122887.95,23311845.27,在售,住宅
2栋1801,240.37,96691.95,189.70,122518.95,23241845.27,在售,住宅
2栋1701,240.37,96400.73,189.70,122149.94,23171845.27,在售,住宅
2栋1601,240.37,96109.51,189.70,121780.94,23101845.27,在售,住宅
2栋1401,240.37,95818.30,189.70,121411.94,23031845.27,在售,住宅
2栋1301,240.37,95527.08,189.70,121042.93,22961845.27,在售,住宅
2栋1201,240.37,95235.86,189.70,120673.93,22891845.27,在售,住宅
2栋1101,240.37,94944.64,189.70,120304.93,22821845.27,在售,住宅
2栋1001,240.37,94653.43,189.70,119935.92,22751845.27,在售,住宅
2栋901,240.37,94362.21,189.70,119566.92,22681845.27,在售,住宅
2栋801,240.37,93114.13,189.70,117985.47,22381845.27,在售,住宅
2栋701,240.37,92822.91,189.70,117616.47,22311845.27,在售,住宅
2栋601,240.37,92531.70,189.70,117247.47,22241845.27,在售,住宅
2栋501,240.37,92240.48,189.70,116878.46,22171845.27,在售,住宅
2栋401,240.37,90160.35,189.70,114242.72,21671845.27,在售,住宅
2栋301,240.37,90160.35,189.70,114242.72,21671845.27,在售,住宅
2栋201,240.37,88080.23,189.70,111606.98,21171845.27,在售,住宅
1栋4102,240.37,101060.22,189.70,128054.00,24291845.27,在售,住宅
1栋4002,240.37,101060.22,189.70,128054.00,24291845.27,在售,住宅
1栋3902,240.37,101060.22,189.70,128054.00,24291845.27,在售,住宅
1栋3802,240.37,100769.00,189.70,127685.00,24221845.27,在售,住宅
1栋3702,240.37,100477.78,189.70,127316.00,24151845.27,在售,住宅
1栋3602,240.37,100186.56,189.70,126946.99,24081845.27,在售,住宅
1栋3502,240.37,99895.34,189.70,126577.99,24011845.27,在售,住宅
1栋3402,240.37,99604.13,189.70,126208.98,23941845.27,在售,住宅
1栋3302,240.37,99312.91,189.70,125839.98,23871845.27,在售,住宅
1栋3202,240.37,99021.69,189.70,125470.98,23801845.27,在售,住宅
1栋3102,240.37,98730.47,189.70,125101.97,23731845.27,在售,住宅
