房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
B栋负地下05,33.88,45587.36,32.92,46916.76,1544500.00,在售,商铺
B栋负地下04,39.19,40625.46,38.08,41809.66,1592112.00,在售,商铺
B栋负地下03,52.03,41555.81,50.55,42772.48,2162149.00,在售,商铺
B栋负地下02,22.76,38764.76,22.12,39886.34,882286.00,在售,商铺
B栋负地下01,34.77,45277.22,33.78,46604.17,1574289.00,在售,商铺
A栋2单元110,109.75,48068.30,105.80,49862.91,5275496.00,在售,商铺
A栋2单元109,125.39,57311.00,120.87,59455.00,7186325.00,在售,商铺
A栋2单元108,26.34,53030.18,25.39,55014.37,1396815.00,在售,商铺
A栋2单元107,109.28,42796.29,105.35,44392.77,4676779.00,在售,商铺
A栋2单元106,91.61,42796.28,88.31,44395.51,3920568.00,在售,商铺
A栋1单元105,91.75,42796.29,88.28,44478.47,3926560.00,在售,商铺
A栋1单元104,106.08,43726.64,102.07,45444.52,4638523.00,在售,商铺
A栋1单元103,29.02,54890.90,27.92,57053.51,1592934.00,在售,商铺
A栋1单元102,129.16,45277.23,124.28,47055.10,5848008.00,在售,商铺
A栋1单元101,115.73,49929.00,111.35,51892.98,5778284.00,在售,商铺
B栋1003,88.10,18557.93,69.29,23595.81,1634954.00,在售,住宅
B栋903,88.10,18557.93,69.29,23595.81,1634954.00,在售,住宅
B栋803,88.10,18557.93,69.29,23595.81,1634954.00,在售,住宅
B栋703,88.10,18342.93,69.29,23322.45,1616013.00,在售,住宅
B栋603,88.10,18342.93,69.29,23322.45,1616013.00,在售,住宅
B栋503,88.10,18342.93,69.29,23322.45,1616013.00,在售,住宅
B栋403,88.10,18117.93,69.29,23036.36,1596190.00,在售,住宅
B栋303,88.10,18117.93,69.29,23036.36,1596190.00,在售,住宅
B栋1002,87.02,18792.93,68.44,23894.81,1635361.00,在售,住宅
B栋902,87.02,18792.93,68.44,23894.81,1635361.00,在售,住宅
B栋802,87.02,18792.93,68.44,23894.81,1635361.00,在售,住宅
B栋702,87.02,18483.93,68.44,23501.92,1608472.00,在售,住宅
B栋602,87.02,18483.93,68.44,23501.92,1608472.00,在售,住宅
B栋502,87.02,18483.93,68.44,23501.92,1608472.00,在售,住宅
B栋402,87.02,18267.93,68.44,23227.29,1589676.00,在售,住宅
B栋302,87.02,18267.93,68.44,23227.29,1589676.00,在售,住宅
B栋1001,87.61,18677.93,68.91,23746.53,1636374.00,在售,住宅
B栋901,87.61,18677.93,68.91,23746.53,1636374.00,在售,住宅
B栋801,87.61,18677.93,68.91,23746.53,1636374.00,在售,住宅
B栋701,87.61,18177.93,68.91,23110.85,1592569.00,在售,住宅
B栋601,87.61,18177.93,68.91,23110.85,1592569.00,在售,住宅
B栋501,87.61,18177.93,68.91,23110.85,1592569.00,在售,住宅
B栋401,87.61,17997.93,68.91,22882.00,1576799.00,在售,住宅
A栋2单元2104,87.48,20447.85,65.38,27359.71,1788778.00,在售,住宅
A栋2单元2004,87.48,20447.85,65.38,27359.71,1788778.00,在售,住宅
A栋2单元1904,87.48,19981.84,65.38,26736.18,1748012.00,在售,住宅
A栋2单元1804,87.48,19981.84,65.38,26736.18,1748012.00,在售,住宅
A栋2单元1704,87.48,19981.84,65.38,26736.18,1748012.00,在售,住宅
A栋2单元1604,87.48,19567.85,65.38,26182.25,1711796.00,在售,住宅
A栋2单元1504,87.48,19567.85,65.38,26182.25,1711796.00,在售,住宅
A栋2单元1404,87.48,19567.85,65.38,26182.25,1711796.00,在售,住宅
A栋2单元1304,87.48,18903.85,65.38,25293.80,1653709.00,在售,住宅
A栋2单元1204,87.48,18903.85,65.38,25293.80,1653709.00,在售,住宅
A栋2单元1104,87.48,18903.85,65.38,25293.80,1653709.00,在售,住宅
A栋2单元1004,87.48,18594.85,65.38,24880.36,1626678.00,在售,住宅
A栋2单元904,87.48,18594.85,65.38,24880.36,1626678.00,在售,住宅
A栋2单元804,87.48,18594.85,65.38,24880.36,1626678.00,在售,住宅
A栋2单元704,87.48,18348.85,65.38,24551.20,1605158.00,在售,住宅
A栋2单元604,87.48,18348.85,65.38,24551.20,1605158.00,在售,住宅
A栋2单元504,87.48,18348.85,65.38,24551.20,1605158.00,在售,住宅
A栋2单元404,87.48,18168.85,65.38,24310.35,1589411.00,在售,住宅
A栋2单元304,87.48,18168.85,65.38,24310.35,1589411.00,在售,住宅
A栋2单元204,87.48,18168.85,65.38,24310.35,1589411.00,在售,住宅
A栋2单元2103,87.42,20447.84,65.33,27361.87,1787551.00,在售,住宅
A栋2单元2003,87.42,20447.84,65.33,27361.87,1787551.00,在售,住宅
A栋2单元1903,87.42,19981.85,65.33,26738.31,1746814.00,在售,住宅
A栋2单元1803,87.42,19981.85,65.33,26738.31,1746814.00,在售,住宅
A栋2单元1703,87.42,19981.85,65.33,26738.31,1746814.00,在售,住宅
A栋2单元1603,87.42,19567.85,65.33,26184.32,1710622.00,在售,住宅
A栋2单元1503,87.42,19567.85,65.33,26184.32,1710622.00,在售,住宅
A栋2单元1403,87.42,19567.85,65.33,26184.32,1710622.00,在售,住宅
A栋2单元1303,87.42,18953.85,65.33,25362.71,1656946.00,在售,住宅
A栋2单元1203,87.42,18953.85,65.33,25362.71,1656946.00,在售,住宅
A栋2单元1103,87.42,18953.85,65.33,25362.71,1656946.00,在售,住宅
A栋2单元1003,87.42,18656.85,65.33,24965.28,1630982.00,在售,住宅
A栋2单元903,87.42,18656.85,65.33,24965.28,1630982.00,在售,住宅
A栋2单元803,87.42,18656.85,65.33,24965.28,1630982.00,在售,住宅
A栋2单元703,87.42,18398.85,65.33,24620.05,1608428.00,在售,住宅
A栋2单元603,87.42,18398.85,65.33,24620.05,1608428.00,在售,住宅
A栋2单元503,87.42,18398.85,65.33,24620.05,1608428.00,在售,住宅
A栋2单元403,87.42,18218.85,65.33,24379.18,1592692.00,在售,住宅
A栋2单元303,87.42,18218.85,65.33,24379.18,1592692.00,在售,住宅
A栋2单元203,87.42,18218.85,65.33,24379.18,1592692.00,在售,住宅
A栋2单元2102,88.94,19636.85,66.47,26275.04,1746502.00,在售,住宅
A栋2单元2002,88.94,19636.85,66.47,26275.04,1746502.00,在售,住宅
A栋2单元1902,88.94,19324.84,66.47,25857.55,1718752.00,在售,住宅
A栋2单元1802,88.94,19324.84,66.47,25857.55,1718752.00,在售,住宅
A栋2单元1702,88.94,19324.84,66.47,25857.55,1718752.00,在售,住宅
A栋2单元1602,88.94,19036.85,66.47,25472.21,1693138.00,在售,住宅
A栋2单元1502,88.94,19036.85,66.47,25472.21,1693138.00,在售,住宅
A栋2单元1402,88.94,19036.85,66.47,25472.21,1693138.00,在售,住宅
A栋2单元1302,88.94,18698.85,66.47,25019.94,1663076.00,在售,住宅
A栋2单元1202,88.94,18698.85,66.47,25019.94,1663076.00,在售,住宅
A栋2单元1102,88.94,18698.85,66.47,25019.94,1663076.00,在售,住宅
A栋2单元1002,88.94,18396.85,66.47,24615.85,1636216.00,在售,住宅
A栋2单元902,88.94,18396.85,66.47,24615.85,1636216.00,在售,住宅
A栋2单元802,88.94,18396.85,66.47,24615.85,1636216.00,在售,住宅
A栋2单元702,88.94,18198.85,66.47,24350.92,1618606.00,在售,住宅
A栋2单元602,88.94,18198.85,66.47,24350.92,1618606.00,在售,住宅
A栋2单元502,88.94,18198.85,66.47,24350.92,1618606.00,在售,住宅
A栋2单元402,88.94,18018.85,66.47,24110.07,1602597.00,在售,住宅
A栋2单元302,88.94,18018.85,66.47,24110.07,1602597.00,在售,住宅
A栋2单元202,88.94,18618.85,66.47,24912.90,1655961.00,在售,住宅
A栋2单元2101,115.94,20335.85,86.65,27209.91,2357739.00,在售,住宅
A栋2单元2001,115.94,20335.85,86.65,27209.91,2357739.00,在售,住宅
