房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
5#楼3004,89.48,14700.00,65.87,19968.96,1315356.00,在售,住宅
5#楼2904,89.44,14700.00,65.84,19969.13,1314768.00,在售,住宅
5#楼2804,89.48,14700.00,65.87,19968.96,1315356.00,在售,住宅
5#楼2704,89.44,14700.00,65.84,19969.13,1314768.00,在售,住宅
5#楼2604,89.48,14700.00,65.87,19968.96,1315356.00,在售,住宅
5#楼2504,89.44,14700.00,65.84,19969.13,1314768.00,在售,住宅
5#楼2404,89.48,14700.00,65.87,19968.96,1315356.00,在售,住宅
5#楼2304,89.44,14700.00,65.84,19969.13,1314768.00,在售,住宅
5#楼2204,89.48,14700.00,65.87,19968.96,1315356.00,在售,住宅
5#楼2104,89.44,14700.00,65.84,19969.13,1314768.00,在售,住宅
5#楼2004,89.48,14700.00,65.87,19968.96,1315356.00,在售,住宅
5#楼1904,89.44,14700.00,65.84,19969.13,1314768.00,在售,住宅
5#楼1804,89.48,14700.00,65.87,19968.96,1315356.00,在售,住宅
5#楼1704,89.44,14700.00,65.84,19969.13,1314768.00,在售,住宅
5#楼1604,89.48,14700.00,65.87,19968.96,1315356.00,在售,住宅
5#楼1504,89.44,14700.00,65.84,19969.13,1314768.00,在售,住宅
5#楼1404,89.48,14700.00,65.87,19968.96,1315356.00,在售,住宅
5#楼1304,89.44,14700.00,65.84,19969.13,1314768.00,在售,住宅
5#楼1204,89.48,14700.00,65.87,19968.96,1315356.00,在售,住宅
5#楼1104,89.44,14700.00,65.84,19969.13,1314768.00,在售,住宅
5#楼1004,89.48,14700.00,65.87,19968.96,1315356.00,在售,住宅
5#楼904,89.44,14700.00,65.84,19969.13,1314768.00,在售,住宅
5#楼804,89.48,14700.00,65.87,19968.96,1315356.00,在售,住宅
5#楼704,89.44,14700.00,65.84,19969.13,1314768.00,在售,住宅
5#楼604,89.48,14700.00,65.87,19968.96,1315356.00,在售,住宅
5#楼504,89.44,14700.00,65.84,19969.13,1314768.00,在售,住宅
5#楼404,89.48,14700.00,65.87,19968.96,1315356.00,在售,住宅
5#楼304,89.44,14700.00,65.84,19969.13,1314768.00,在售,住宅
5#楼3003,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼2903,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼2803,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼2703,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼2603,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼2503,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼2403,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼2303,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼2203,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼2103,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼2003,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼1903,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼1803,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼1703,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼1603,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼1503,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼1403,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼1303,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼1203,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼1103,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼1003,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼903,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼803,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼703,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼603,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼503,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼403,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼303,82.83,14000.00,60.97,19019.51,1159620.00,在售,住宅
5#楼3002,81.81,14000.00,60.22,19019.26,1145340.00,在售,住宅
5#楼2902,81.81,14000.00,60.22,19019.26,1145340.00,在售,住宅
5#楼2802,81.81,14000.00,60.22,19019.26,1145340.00,在售,住宅
5#楼2702,81.81,14000.00,60.22,19019.26,1145340.00,在售,住宅
5#楼2602,81.81,14000.00,60.22,19019.26,1145340.00,在售,住宅
5#楼2502,81.81,14000.00,60.22,19019.26,1145340.00,在售,住宅
5#楼2402,81.81,14000.00,60.22,19019.26,1145340.00,在售,住宅
5#楼2302,81.81,14000.00,60.22,19019.26,1145340.00,在售,住宅
5#楼2202,81.81,14000.00,60.22,19019.26,1145340.00,在售,住宅
5#楼2102,81.81,14000.00,60.22,19019.26,1145340.00,在售,住宅
5#楼2002,81.81,14000.00,60.22,19019.26,1145340.00,在售,住宅
5#楼1902,81.81,14000.00,60.22,19019.26,1145340.00,在售,住宅
5#楼1802,81.81,14000.00,60.22,19019.26,1145340.00,在售,住宅
5#楼1702,81.81,14000.00,60.22,19019.26,1145340.00,在售,住宅
5#楼1602,81.81,14000.00,60.22,19019.26,1145340.00,在售,住宅
5#楼1502,81.81,14000.00,60.22,19019.26,1145340.00,在售,住宅
