房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3416,67.51,22117.00,49.96,29886.00,1493119.00,在售,安居型商品房
3415,67.51,22117.00,49.96,29886.00,1493119.00,在售,安居型商品房
3414,67.51,21617.00,49.96,29211.00,1459364.00,在售,安居型商品房
3413,67.47,21617.00,49.93,29211.00,1458499.00,在售,安居型商品房
3412,67.47,21617.00,49.93,29211.00,1458499.00,在售,安居型商品房
3411,67.51,21831.00,49.96,29500.00,1473811.00,在售,安居型商品房
3410,67.42,22331.00,49.90,30171.00,1505556.00,在售,安居型商品房
3409,67.51,22331.00,49.96,30175.00,1507566.00,在售,安居型商品房
3408,67.51,21817.00,49.96,29481.00,1472866.00,在售,安居型商品房
3407,67.51,21817.00,49.96,29481.00,1472866.00,在售,安居型商品房
3406,67.51,21817.00,49.96,29481.00,1472866.00,在售,安居型商品房
3405,67.51,21817.00,49.96,29481.00,1472866.00,在售,安居型商品房
3404,67.51,22231.00,49.96,30040.00,1500815.00,在售,安居型商品房
3403,67.42,22617.00,49.90,30558.00,1524838.00,在售,安居型商品房
3402,67.51,22617.00,49.96,30562.00,1526874.00,在售,安居型商品房
3401,67.51,22617.00,49.96,30562.00,1526874.00,在售,安居型商品房
3316,67.51,22097.00,49.96,29859.00,1491768.00,在售,安居型商品房
3315,67.51,22097.00,49.96,29859.00,1491768.00,在售,安居型商品房
3314,67.51,21597.00,49.96,29184.00,1458013.00,在售,安居型商品房
3313,67.47,21597.00,49.93,29184.00,1457150.00,在售,安居型商品房
3312,67.47,21597.00,49.93,29184.00,1457150.00,在售,安居型商品房
3311,67.51,21811.00,49.96,29473.00,1472461.00,在售,安居型商品房
3310,67.42,22311.00,49.90,30144.00,1504208.00,在售,安居型商品房
3309,67.51,22311.00,49.96,30148.00,1506216.00,在售,安居型商品房
3308,67.51,21797.00,49.96,29454.00,1471515.00,在售,安居型商品房
3307,67.51,21797.00,49.96,29454.00,1471515.00,在售,安居型商品房
3306,67.51,21797.00,49.96,29454.00,1471515.00,在售,安居型商品房
3305,67.51,21797.00,49.96,29454.00,1471515.00,在售,安居型商品房
3304,67.51,22211.00,49.96,30013.00,1499465.00,在售,安居型商品房
3303,67.42,22597.00,49.90,30531.00,1523490.00,在售,安居型商品房
3302,67.51,22597.00,49.96,30535.00,1525523.00,在售,安居型商品房
3301,67.51,22597.00,49.96,30535.00,1525523.00,在售,安居型商品房
3216,67.51,22077.00,49.96,29832.00,1490418.00,在售,安居型商品房
3215,67.51,22077.00,49.96,29832.00,1490418.00,在售,安居型商品房
3214,67.51,21577.00,49.96,29157.00,1456663.00,在售,安居型商品房
3213,67.47,21577.00,49.93,29157.00,1455800.00,在售,安居型商品房
3212,67.47,21577.00,49.93,29157.00,1455800.00,在售,安居型商品房
3211,67.51,21791.00,49.96,29446.00,1471110.00,在售,安居型商品房
3210,67.42,22291.00,49.90,30117.00,1502859.00,在售,安居型商品房
3209,67.51,22291.00,49.96,30121.00,1504865.00,在售,安居型商品房
3208,67.51,21777.00,49.96,29427.00,1470165.00,在售,安居型商品房
3207,67.51,21777.00,49.96,29427.00,1470165.00,在售,安居型商品房
3206,67.51,21777.00,49.96,29427.00,1470165.00,在售,安居型商品房
3205,67.51,21777.00,49.96,29427.00,1470165.00,在售,安居型商品房
3204,67.51,22191.00,49.96,29986.00,1498114.00,在售,安居型商品房
3203,67.42,22577.00,49.90,30504.00,1522141.00,在售,安居型商品房
3202,67.51,22577.00,49.96,30508.00,1524173.00,在售,安居型商品房
3201,67.51,22577.00,49.96,30508.00,1524173.00,在售,安居型商品房
3116,67.51,22057.00,49.96,29805.00,1489068.00,在售,安居型商品房
3115,67.51,22057.00,49.96,29805.00,1489068.00,在售,安居型商品房
3114,67.51,21557.00,49.96,29130.00,1455313.00,在售,安居型商品房
3113,67.47,21557.00,49.93,29130.00,1454451.00,在售,安居型商品房
3112,67.47,21557.00,49.93,29130.00,1454451.00,在售,安居型商品房
3111,67.51,21771.00,49.96,29419.00,1469760.00,在售,安居型商品房
3110,67.42,22271.00,49.90,30090.00,1501511.00,在售,安居型商品房
3109,67.51,22271.00,49.96,30094.00,1503515.00,在售,安居型商品房
3108,67.51,21757.00,49.96,29400.00,1468815.00,在售,安居型商品房
3107,67.51,21757.00,49.96,29400.00,1468815.00,在售,安居型商品房
3106,67.51,21757.00,49.96,29400.00,1468815.00,在售,安居型商品房
3105,67.51,21757.00,49.96,29400.00,1468815.00,在售,安居型商品房
3104,67.51,22171.00,49.96,29959.00,1496764.00,在售,安居型商品房
3103,67.42,22557.00,49.90,30477.00,1520793.00,在售,安居型商品房
3102,67.51,22557.00,49.96,30481.00,1522823.00,在售,安居型商品房
3101,67.51,22557.00,49.96,30481.00,1522823.00,在售,安居型商品房
3016,67.51,22037.00,49.96,29778.00,1487718.00,在售,安居型商品房
3015,67.51,22037.00,49.96,29778.00,1487718.00,在售,安居型商品房
3014,67.51,21537.00,49.96,29103.00,1453963.00,在售,安居型商品房
3013,67.47,21537.00,49.93,29103.00,1453101.00,在售,安居型商品房
3012,67.47,21537.00,49.93,29103.00,1453101.00,在售,安居型商品房
3011,67.51,21751.00,49.96,29392.00,1468410.00,在售,安居型商品房
3010,67.42,22251.00,49.90,30063.00,1500162.00,在售,安居型商品房
3009,67.51,22251.00,49.96,30067.00,1502165.00,在售,安居型商品房
3008,67.51,21737.00,49.96,29373.00,1467465.00,在售,安居型商品房
3007,67.51,21737.00,49.96,29373.00,1467465.00,在售,安居型商品房
3006,67.51,21737.00,49.96,29373.00,1467465.00,在售,安居型商品房
3005,67.51,21737.00,49.96,29373.00,1467465.00,在售,安居型商品房
3004,67.51,22151.00,49.96,29932.00,1495414.00,在售,安居型商品房
3003,67.42,22537.00,49.90,30450.00,1519445.00,在售,安居型商品房
3002,67.51,22537.00,49.96,30454.00,1521473.00,在售,安居型商品房
3001,67.51,22537.00,49.96,30454.00,1521473.00,在售,安居型商品房
2916,67.51,22017.00,49.96,29751.00,1486368.00,在售,安居型商品房
2915,67.51,22017.00,49.96,29751.00,1486368.00,在售,安居型商品房
2914,67.51,21517.00,49.96,29076.00,1452613.00,在售,安居型商品房
2913,67.47,21517.00,49.93,29076.00,1451752.00,在售,安居型商品房
2912,67.47,21517.00,49.93,29076.00,1451752.00,在售,安居型商品房
2911,67.51,21731.00,49.96,29365.00,1467060.00,在售,安居型商品房
2910,67.42,22231.00,49.90,30036.00,1498814.00,在售,安居型商品房
2909,67.51,22231.00,49.96,30040.00,1500815.00,在售,安居型商品房
2908,67.51,21717.00,49.96,29346.00,1466115.00,在售,安居型商品房
2907,67.51,21717.00,49.96,29346.00,1466115.00,在售,安居型商品房
2906,67.51,21717.00,49.96,29346.00,1466115.00,在售,安居型商品房
2905,67.51,21717.00,49.96,29346.00,1466115.00,在售,安居型商品房
2904,67.51,22131.00,49.96,29905.00,1494064.00,在售,安居型商品房
2903,67.42,22517.00,49.90,30423.00,1518096.00,在售,安居型商品房
2902,67.51,22517.00,49.96,30427.00,1520123.00,在售,安居型商品房
2901,67.51,22517.00,49.96,30427.00,1520123.00,在售,安居型商品房
2816,67.51,21997.00,49.96,29724.00,1485017.00,在售,安居型商品房
2815,67.51,21997.00,49.96,29724.00,1485017.00,在售,安居型商品房
2814,67.51,21497.00,49.96,29048.00,1451262.00,在售,安居型商品房
2813,67.47,21497.00,49.93,29049.00,1450403.00,在售,安居型商品房
2812,67.47,21497.00,49.93,29049.00,1450403.00,在售,安居型商品房
2811,67.51,21711.00,49.96,29338.00,1465710.00,在售,安居型商品房
2810,67.42,22211.00,49.90,30009.00,1497466.00,在售,安居型商品房
2809,67.51,22211.00,49.96,30013.00,1499465.00,在售,安居型商品房
2808,67.51,21697.00,49.96,29319.00,1464764.00,在售,安居型商品房
2807,67.51,21697.00,49.96,29319.00,1464764.00,在售,安居型商品房
2806,67.51,21697.00,49.96,29319.00,1464764.00,在售,安居型商品房
2805,67.51,21697.00,49.96,29319.00,1464764.00,在售,安居型商品房
2804,67.51,22111.00,49.96,29878.00,1492714.00,在售,安居型商品房
2803,67.42,22497.00,49.90,30396.00,1516748.00,在售,安居型商品房
2802,67.51,22497.00,49.96,30400.00,1518772.00,在售,安居型商品房
2801,67.51,22497.00,49.96,30400.00,1518772.00,在售,安居型商品房
2716,67.51,21977.00,49.96,29697.00,1483667.00,在售,安居型商品房
2715,67.51,21977.00,49.96,29697.00,1483667.00,在售,安居型商品房
2714,67.51,21477.00,49.96,29021.00,1449912.00,在售,安居型商品房
2713,67.47,21477.00,49.93,29022.00,1449053.00,在售,安居型商品房
2712,67.47,21477.00,49.93,29022.00,1449053.00,在售,安居型商品房
2711,67.51,21691.00,49.96,29311.00,1464359.00,在售,安居型商品房
2710,67.42,22191.00,49.90,29982.00,1496117.00,在售,安居型商品房
2709,67.51,22191.00,49.96,29986.00,1498114.00,在售,安居型商品房
2708,67.51,21677.00,49.96,29292.00,1463414.00,在售,安居型商品房
2707,67.51,21677.00,49.96,29292.00,1463414.00,在售,安居型商品房
2706,67.51,21677.00,49.96,29292.00,1463414.00,在售,安居型商品房
2705,67.51,21677.00,49.96,29292.00,1463414.00,在售,安居型商品房
2704,67.51,22091.00,49.96,29851.00,1491363.00,在售,安居型商品房
2703,67.42,22477.00,49.90,30369.00,1515399.00,在售,安居型商品房
2702,67.51,22477.00,49.96,30373.00,1517422.00,在售,安居型商品房
2701,67.51,22477.00,49.96,30373.00,1517422.00,在售,安居型商品房
2616,67.51,21957.00,49.96,29670.00,1482317.00,在售,安居型商品房
2615,67.51,21957.00,49.96,29670.00,1482317.00,在售,安居型商品房
2614,67.51,21457.00,49.96,28994.00,1448562.00,在售,安居型商品房
2613,67.47,21457.00,49.93,28995.00,1447704.00,在售,安居型商品房
2612,67.47,21457.00,49.93,28995.00,1447704.00,在售,安居型商品房
2611,67.51,21671.00,49.96,29284.00,1463009.00,在售,安居型商品房
2610,67.42,22171.00,49.90,29955.00,1494769.00,在售,安居型商品房
2609,67.51,22171.00,49.96,29959.00,1496764.00,在售,安居型商品房
2608,67.51,21657.00,49.96,29265.00,1462064.00,在售,安居型商品房
2607,67.51,21657.00,49.96,29265.00,1462064.00,在售,安居型商品房
2606,67.51,21657.00,49.96,29265.00,1462064.00,在售,安居型商品房
2605,67.51,21657.00,49.96,29265.00,1462064.00,在售,安居型商品房
2604,67.51,22071.00,49.96,29824.00,1490013.00,在售,安居型商品房
2603,67.42,22457.00,49.90,30342.00,1514051.00,在售,安居型商品房
2602,67.51,22457.00,49.96,30346.00,1516072.00,在售,安居型商品房
2601,67.51,22457.00,49.96,30346.00,1516072.00,在售,安居型商品房
2516,67.51,21937.00,49.96,29643.00,1480967.00,在售,安居型商品房
2515,67.51,21937.00,49.96,29643.00,1480967.00,在售,安居型商品房
2514,67.51,21437.00,49.96,28967.00,1447212.00,在售,安居型商品房
2513,67.47,21437.00,49.93,28968.00,1446354.00,在售,安居型商品房
2512,67.47,21437.00,49.93,28968.00,1446354.00,在售,安居型商品房
2511,67.51,21651.00,49.96,29257.00,1461659.00,在售,安居型商品房
2510,67.42,22151.00,49.90,29928.00,1493420.00,在售,安居型商品房
2509,67.51,22151.00,49.96,29932.00,1495414.00,在售,安居型商品房
2508,67.51,21637.00,49.96,29238.00,1460714.00,在售,安居型商品房
2507,67.51,21637.00,49.96,29238.00,1460714.00,在售,安居型商品房
2506,67.51,21637.00,49.96,29238.00,1460714.00,在售,安居型商品房
2505,67.51,21637.00,49.96,29238.00,1460714.00,在售,安居型商品房
2504,67.51,22051.00,49.96,29797.00,1488663.00,在售,安居型商品房
2503,67.42,22437.00,49.90,30315.00,1512703.00,在售,安居型商品房
2502,67.51,22437.00,49.96,30319.00,1514722.00,在售,安居型商品房
2501,67.51,22437.00,49.96,30319.00,1514722.00,在售,安居型商品房
2416,67.51,21917.00,49.96,29616.00,1479617.00,在售,安居型商品房
2415,67.51,21917.00,49.96,29616.00,1479617.00,在售,安居型商品房
2414,67.51,21417.00,49.96,28940.00,1445862.00,在售,安居型商品房
2413,67.47,21417.00,49.93,28941.00,1445005.00,在售,安居型商品房
2412,67.47,21417.00,49.93,28941.00,1445005.00,在售,安居型商品房
2411,67.51,21631.00,49.96,29230.00,1460309.00,在售,安居型商品房
2410,67.42,22131.00,49.90,29901.00,1492072.00,在售,安居型商品房
2409,67.51,22131.00,49.96,29905.00,1494064.00,在售,安居型商品房
2408,67.51,21617.00,49.96,29211.00,1459364.00,在售,安居型商品房
2407,67.51,21617.00,49.96,29211.00,1459364.00,在售,安居型商品房
2406,67.51,21617.00,49.96,29211.00,1459364.00,在售,安居型商品房
2405,67.51,21617.00,49.96,29211.00,1459364.00,在售,安居型商品房
2404,67.51,22031.00,49.96,29770.00,1487313.00,在售,安居型商品房
2403,67.42,22417.00,49.90,30288.00,1511354.00,在售,安居型商品房
2402,67.51,22417.00,49.96,30292.00,1513372.00,在售,安居型商品房
2401,67.51,22417.00,49.96,30292.00,1513372.00,在售,安居型商品房
2316,67.51,21897.00,49.96,29589.00,1478266.00,在售,安居型商品房
2315,67.51,21897.00,49.96,29589.00,1478266.00,在售,安居型商品房
2314,67.51,21397.00,49.96,28913.00,1444511.00,在售,安居型商品房
2313,67.47,21397.00,49.93,28914.00,1443656.00,在售,安居型商品房
2312,67.47,21397.00,49.93,28914.00,1443656.00,在售,安居型商品房
2311,67.51,21611.00,49.96,29203.00,1458959.00,在售,安居型商品房
2310,67.42,22111.00,49.90,29874.00,1490724.00,在售,安居型商品房
2309,67.51,22111.00,49.96,29878.00,1492714.00,在售,安居型商品房
2308,67.51,21597.00,49.96,29184.00,1458013.00,在售,安居型商品房
2307,67.51,21597.00,49.96,29184.00,1458013.00,在售,安居型商品房
2306,67.51,21597.00,49.96,29184.00,1458013.00,在售,安居型商品房
2305,67.51,21597.00,49.96,29184.00,1458013.00,在售,安居型商品房
2304,67.51,22011.00,49.96,29743.00,1485963.00,在售,安居型商品房
2303,67.42,22397.00,49.90,30261.00,1510006.00,在售,安居型商品房
2302,67.51,22397.00,49.96,30265.00,1512021.00,在售,安居型商品房
2301,67.51,22397.00,49.96,30265.00,1512021.00,在售,安居型商品房
2216,67.51,21877.00,49.96,29562.00,1476916.00,在售,安居型商品房
2215,67.51,21877.00,49.96,29562.00,1476916.00,在售,安居型商品房
2214,67.51,21377.00,49.96,28886.00,1443161.00,在售,安居型商品房
2213,67.47,21377.00,49.93,28887.00,1442306.00,在售,安居型商品房
2212,67.47,21377.00,49.93,28887.00,1442306.00,在售,安居型商品房
2211,67.51,21591.00,49.96,29176.00,1457608.00,在售,安居型商品房
2210,67.42,22091.00,49.90,29847.00,1489375.00,在售,安居型商品房
2209,67.51,22091.00,49.96,29851.00,1491363.00,在售,安居型商品房
2208,67.51,21577.00,49.96,29157.00,1456663.00,在售,安居型商品房
2207,67.51,21577.00,49.96,29157.00,1456663.00,在售,安居型商品房
2206,67.51,21577.00,49.96,29157.00,1456663.00,在售,安居型商品房
2205,67.51,21577.00,49.96,29157.00,1456663.00,在售,安居型商品房
2204,67.51,21991.00,49.96,29716.00,1484612.00,在售,安居型商品房
2203,67.42,22377.00,49.90,30234.00,1508657.00,在售,安居型商品房
2202,67.51,22377.00,49.96,30238.00,1510671.00,在售,安居型商品房
2201,67.51,22377.00,49.96,30238.00,1510671.00,在售,安居型商品房
2116,67.51,21857.00,49.96,29535.00,1475566.00,在售,安居型商品房
2115,67.51,21857.00,49.96,29535.00,1475566.00,在售,安居型商品房
2114,67.51,21357.00,49.96,28859.00,1441811.00,在售,安居型商品房
2113,67.47,21357.00,49.93,28860.00,1440957.00,在售,安居型商品房
2112,67.47,21357.00,49.93,28860.00,1440957.00,在售,安居型商品房
2111,67.51,21571.00,49.96,29148.00,1456258.00,在售,安居型商品房
2110,67.42,22071.00,49.90,29820.00,1488027.00,在售,安居型商品房
2109,67.51,22071.00,49.96,29824.00,1490013.00,在售,安居型商品房
2108,67.51,21557.00,49.96,29130.00,1455313.00,在售,安居型商品房
2107,67.51,21557.00,49.96,29130.00,1455313.00,在售,安居型商品房
2106,67.51,21557.00,49.96,29130.00,1455313.00,在售,安居型商品房
2105,67.51,21557.00,49.96,29130.00,1455313.00,在售,安居型商品房
2104,67.51,21971.00,49.96,29689.00,1483262.00,在售,安居型商品房
2103,67.42,22357.00,49.90,30207.00,1507309.00,在售,安居型商品房
2102,67.51,22357.00,49.96,30211.00,1509321.00,在售,安居型商品房
2101,67.51,22357.00,49.96,30211.00,1509321.00,在售,安居型商品房
2016,67.51,21837.00,49.96,29508.00,1474216.00,在售,安居型商品房
2015,67.51,21837.00,49.96,29508.00,1474216.00,在售,安居型商品房
2014,67.51,21337.00,49.96,28832.00,1440461.00,在售,安居型商品房
2013,67.47,21337.00,49.93,28833.00,1439607.00,在售,安居型商品房
2012,67.47,21337.00,49.93,28833.00,1439607.00,在售,安居型商品房
2011,67.51,21551.00,49.96,29121.00,1454908.00,在售,安居型商品房
2010,67.42,22051.00,49.90,29793.00,1486678.00,在售,安居型商品房
2009,67.51,22051.00,49.96,29797.00,1488663.00,在售,安居型商品房
2008,67.51,21537.00,49.96,29103.00,1453963.00,在售,安居型商品房
2007,67.51,21537.00,49.96,29103.00,1453963.00,在售,安居型商品房
2006,67.51,21537.00,49.96,29103.00,1453963.00,在售,安居型商品房
2005,67.51,21537.00,49.96,29103.00,1453963.00,在售,安居型商品房
2004,67.51,21951.00,49.96,29662.00,1481912.00,在售,安居型商品房
2003,67.42,22337.00,49.90,30180.00,1505961.00,在售,安居型商品房
2002,67.51,22337.00,49.96,30184.00,1507971.00,在售,安居型商品房
2001,67.51,22337.00,49.96,30184.00,1507971.00,在售,安居型商品房
1916,67.51,21817.00,49.96,29481.00,1472866.00,在售,安居型商品房
1915,67.51,21817.00,49.96,29481.00,1472866.00,在售,安居型商品房
1914,67.51,21317.00,49.96,28805.00,1439111.00,在售,安居型商品房
1913,67.47,21317.00,49.93,28805.00,1438258.00,在售,安居型商品房
1912,67.47,21317.00,49.93,28805.00,1438258.00,在售,安居型商品房
1911,67.51,21531.00,49.96,29094.00,1453558.00,在售,安居型商品房
1910,67.42,22031.00,49.90,29766.00,1485330.00,在售,安居型商品房
1909,67.51,22031.00,49.96,29770.00,1487313.00,在售,安居型商品房
