房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3栋E座3409,65.81,7423.59,51.70,9449.65,488547.00,在售,住宅
3栋E座3408,67.00,9250.23,52.64,11773.67,619766.00,在售,住宅
3栋E座3407,64.48,8336.92,50.66,10611.23,537565.00,在售,住宅
3栋E座3406,64.49,7930.99,50.66,10096.13,511470.00,在售,住宅
3栋E座3405,64.40,7728.04,50.59,9837.63,497686.00,在售,住宅
3栋E座3404,67.00,8133.95,52.63,10354.83,544975.00,在售,住宅
3栋E座3403,65.81,7017.68,51.70,8932.95,461834.00,在售,住宅
3栋E座3402,86.97,8438.40,68.32,10741.92,733888.00,在售,住宅
3栋E座3401,86.97,8641.35,68.32,11000.27,751539.00,在售,住宅
3栋E座3309,65.78,7413.60,51.67,9438.10,487667.00,在售,住宅
3栋E座3308,66.92,9240.24,52.57,11762.54,618357.00,在售,住宅
3栋E座3307,64.45,8326.92,50.63,10599.84,536670.00,在售,住宅
3栋E座3306,64.45,7920.99,50.63,10083.11,510508.00,在售,住宅
3栋E座3305,64.36,7718.03,50.56,9824.62,496733.00,在售,住宅
3栋E座3304,66.92,8123.95,52.57,10341.54,543655.00,在售,住宅
3栋E座3303,65.78,7007.67,51.67,8921.32,460965.00,在售,住宅
3栋E座3302,86.93,8428.40,68.29,10728.96,732681.00,在售,住宅
3栋E座3301,86.94,8631.35,68.29,10988.57,750410.00,在售,住宅
3栋E座3209,65.78,7403.60,51.67,9425.37,487009.00,在售,住宅
3栋E座3208,66.92,9230.24,52.57,11749.81,617688.00,在售,住宅
3栋E座3207,64.45,8316.91,50.63,10587.10,536025.00,在售,住宅
3栋E座3206,64.45,7911.00,50.63,10070.39,509864.00,在售,住宅
3栋E座3205,64.36,7708.03,50.56,9811.88,496089.00,在售,住宅
3栋E座3204,66.92,8113.95,52.57,10328.81,542986.00,在售,住宅
3栋E座3203,65.78,6997.67,51.67,8908.59,460307.00,在售,住宅
3栋E座3202,86.93,8418.40,68.29,10716.23,731812.00,在售,住宅
3栋E座3201,86.93,8621.36,68.29,10974.59,749455.00,在售,住宅
3栋E座3109,65.78,7393.59,51.67,9412.63,486351.00,在售,住宅
3栋E座3108,66.92,9220.23,52.57,11737.07,617018.00,在售,住宅
3栋E座3107,64.45,8306.92,50.63,10574.38,535381.00,在售,住宅
3栋E座3106,64.45,7900.99,50.63,10057.65,509219.00,在售,住宅
3栋E座3105,64.36,7698.04,50.56,9799.16,495446.00,在售,住宅
3栋E座3104,66.92,8103.95,52.57,10316.09,542317.00,在售,住宅
3栋E座3103,65.78,6987.68,51.67,8895.87,459650.00,在售,住宅
3栋E座3102,86.93,8408.39,68.29,10703.49,730942.00,在售,住宅
3栋E座3101,86.94,8611.36,68.29,10963.12,748672.00,在售,住宅
3栋E座3009,65.78,7383.59,51.67,9399.90,485693.00,在售,住宅
3栋E座3008,66.92,9210.23,52.57,11724.34,616349.00,在售,住宅
3栋E座3007,64.45,8296.91,50.63,10561.64,534736.00,在售,住宅
3栋E座3006,64.45,7891.00,50.63,10044.93,508575.00,在售,住宅
3栋E座3005,64.36,7688.03,50.56,9786.43,494802.00,在售,住宅
3栋E座3004,66.92,8093.96,52.57,10303.36,541648.00,在售,住宅
3栋E座3003,65.78,6977.68,51.67,8883.14,458992.00,在售,住宅
3栋E座3002,86.93,8398.40,68.29,10690.77,730073.00,在售,住宅
3栋E座3001,86.93,8601.35,68.29,10949.12,747716.00,在售,住宅
3栋E座2909,65.78,7373.59,51.67,9387.16,485035.00,在售,住宅
3栋E座2908,66.92,9200.23,52.57,11711.62,615680.00,在售,住宅
3栋E座2907,64.45,8286.92,50.63,10548.92,534092.00,在售,住宅
3栋E座2906,64.45,7880.99,50.63,10032.19,507930.00,在售,住宅
3栋E座2905,64.36,7678.04,50.56,9773.71,494159.00,在售,住宅
3栋E座2904,66.92,8083.96,52.57,10290.64,540979.00,在售,住宅
3栋E座2903,65.78,6967.68,51.67,8870.40,458334.00,在售,住宅
3栋E座2902,86.93,8388.40,68.29,10678.04,729204.00,在售,住宅
3栋E座2901,86.94,8591.36,68.29,10937.66,746933.00,在售,住宅
3栋E座2809,65.78,7363.60,51.67,9374.45,484378.00,在售,住宅
3栋E座2808,66.92,9190.24,52.57,11698.89,615011.00,在售,住宅
3栋E座2807,64.45,8276.91,50.63,10536.18,533447.00,在售,住宅
3栋E座2806,64.45,7871.00,50.63,10019.47,507286.00,在售,住宅
3栋E座2805,64.36,7668.03,50.56,9760.97,493515.00,在售,住宅
3栋E座2804,66.92,8073.95,52.57,10277.89,540309.00,在售,住宅
3栋E座2803,65.78,6957.67,51.67,8857.67,457676.00,在售,住宅
3栋E座2802,86.93,8378.39,68.29,10665.30,728334.00,在售,住宅
3栋E座2801,86.93,8581.36,68.29,10923.67,745978.00,在售,住宅
3栋E座2709,65.78,7353.60,51.67,9361.71,483720.00,在售,住宅
3栋E座2708,66.92,9180.24,52.57,11686.17,614342.00,在售,住宅
3栋E座2707,64.45,8266.92,50.63,10523.46,532803.00,在售,住宅
3栋E座2706,64.45,7860.99,50.63,10006.73,506641.00,在售,住宅
3栋E座2705,64.36,7658.03,50.56,9748.23,492871.00,在售,住宅
3栋E座2704,66.92,8063.95,52.57,10265.17,539640.00,在售,住宅
3栋E座2703,65.78,6947.67,51.67,8844.93,457018.00,在售,住宅
3栋E座2702,86.93,8368.39,68.29,10652.58,727465.00,在售,住宅
3栋E座2701,86.94,8571.35,68.29,10912.19,745194.00,在售,住宅
3栋E座2609,65.78,7343.59,51.67,9348.98,483062.00,在售,住宅
3栋E座2608,66.92,9170.23,52.57,11673.42,613672.00,在售,住宅
3栋E座2607,64.45,8256.91,50.63,10510.72,532158.00,在售,住宅
3栋E座2606,64.45,7851.00,50.63,9994.01,505997.00,在售,住宅
3栋E座2605,64.36,7648.04,50.56,9735.52,492228.00,在售,住宅
3栋E座2604,66.92,8053.95,52.57,10252.44,538971.00,在售,住宅
3栋E座2603,65.78,6937.68,51.67,8832.22,456361.00,在售,住宅
3栋E座2602,86.93,8358.40,68.29,10639.85,726596.00,在售,住宅
3栋E座2601,86.93,8561.35,68.29,10898.21,744239.00,在售,住宅
3栋E座2509,65.78,7333.59,51.67,9336.24,482404.00,在售,住宅
3栋E座2508,66.92,9160.23,52.57,11660.70,613003.00,在售,住宅
3栋E座2507,64.45,8246.92,50.63,10498.00,531514.00,在售,住宅
3栋E座2506,64.45,7840.99,50.63,9981.27,505352.00,在售,住宅
3栋E座2505,64.36,7638.03,50.56,9722.78,491584.00,在售,住宅
3栋E座2504,66.92,8043.96,52.57,10239.71,538302.00,在售,住宅
3栋E座2503,65.78,6927.68,51.67,8819.48,455703.00,在售,住宅
3栋E座2502,86.93,8348.39,68.29,10627.11,725726.00,在售,住宅
3栋E座2501,86.94,8551.35,68.29,10886.73,743455.00,在售,住宅
3栋E座2409,65.78,7323.59,51.67,9323.51,481746.00,在售,住宅
3栋E座2408,66.92,9150.23,52.57,11647.97,612334.00,在售,住宅
3栋E座2407,64.45,8236.91,50.63,10485.26,530869.00,在售,住宅
3栋E座2406,64.45,7831.00,50.63,9968.55,504708.00,在售,住宅
3栋E座2405,64.36,7628.04,50.56,9710.06,490941.00,在售,住宅
