房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
11栋6B,183.44,82405.39,157.73,95837.48,15116446.00,在售,住宅
11栋6A,183.44,81552.06,157.72,94851.07,14959911.00,在售,住宅
11栋5B,183.44,82738.73,157.73,96225.15,15177593.00,在售,住宅
11栋5A,183.44,81885.39,157.72,95238.75,15021057.00,在售,住宅
11栋4B,183.44,81072.06,157.73,94286.81,14871859.00,在售,住宅
11栋4A,183.44,80218.73,157.72,93300.30,14715324.00,在售,住宅
11栋3B,183.44,79405.39,157.73,92348.48,14566126.00,在售,住宅
11栋3A,183.44,78552.06,157.72,91361.85,14409591.00,在售,住宅
11栋2B,183.44,87627.62,157.73,101910.93,16074411.00,在售,住宅
11栋2A,183.44,86774.28,157.72,100924.89,15917875.00,在售,住宅
11栋1B,168.56,90516.51,144.93,105274.70,15257463.00,在售,住宅
11栋1A,168.56,89663.17,144.93,104282.23,15113625.00,在售,住宅
10栋二单元7B,132.02,81770.07,112.49,95966.61,10795285.00,在售,住宅
10栋二单元7A,132.02,78570.07,112.49,92211.04,10372821.00,在售,住宅
10栋二单元6B,132.02,80325.62,112.49,94271.39,10604589.00,在售,住宅
10栋二单元6A,132.02,77125.62,112.49,90515.82,10182125.00,在售,住宅
10栋二单元5B,132.02,79770.07,112.49,93619.38,10531245.00,在售,住宅
10栋二单元5A,132.02,76570.07,112.49,89863.81,10108781.00,在售,住宅
10栋二单元4B,132.02,79214.52,112.49,92967.38,10457901.00,在售,住宅
10栋二单元4A,132.02,76014.52,112.49,89211.81,10035437.00,在售,住宅
10栋二单元3B,132.02,78658.96,112.49,92315.37,10384556.00,在售,住宅
10栋二单元3A,132.02,75458.96,112.49,88559.80,9962092.00,在售,住宅
10栋二单元2B,132.02,90881.18,112.48,106669.04,11998134.00,在售,住宅
10栋二单元2A,132.02,87681.18,112.49,102903.99,11575670.00,在售,住宅
10栋二单元1B,129.89,90325.62,110.67,106012.43,11732396.00,在售,住宅
10栋二单元1A,129.89,87125.62,110.67,102256.69,11316748.00,在售,住宅
