房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
6栋1A,88.86,56210.53,72.60,68799.83,4994868.00,在售,住宅
6栋1B,83.97,57501.18,68.61,70374.20,4828374.00,在售,住宅
6栋1C,84.05,57767.70,68.67,70705.91,4855375.00,在售,住宅
6栋1D,108.16,58270.43,88.37,71319.79,6302530.00,在售,住宅
6栋2A,91.59,55635.08,72.60,70187.56,5095617.00,在售,住宅
6栋2B,86.55,56887.11,68.61,71761.83,4923579.00,在售,住宅
6栋2C,86.63,57147.27,68.67,72093.61,4950668.00,在售,住宅
6栋2D,111.48,57635.07,88.37,72707.46,6425158.00,在售,住宅
6栋3A,91.59,56735.08,72.60,71575.29,5196366.00,在售,住宅
6栋3B,86.55,57987.11,68.61,73149.45,5018784.00,在售,住宅
6栋3C,86.63,58247.27,68.67,73481.30,5045961.00,在售,住宅
6栋3D,111.48,58735.07,88.37,74095.12,6547786.00,在售,住宅
6栋4A,91.59,57135.08,72.60,72079.92,5233002.00,在售,住宅
6栋4B,86.55,58387.11,68.61,73654.04,5053404.00,在售,住宅
6栋4C,86.63,58647.27,68.67,73985.92,5080613.00,在售,住宅
6栋4D,111.48,59135.07,88.37,74599.73,6592378.00,在售,住宅
6栋5A,91.59,58235.08,72.60,73467.64,5333751.00,在售,住宅
6栋5B,86.55,59487.11,68.61,75041.67,5148609.00,在售,住宅
6栋5C,86.63,59247.27,68.67,74742.84,5132591.00,在售,住宅
6栋5D,111.48,59735.07,88.37,75356.64,6659266.00,在售,住宅
6栋6A,91.59,58335.08,72.60,73593.80,5342910.00,在售,住宅
6栋6B,86.55,59587.11,68.61,75167.82,5157264.00,在售,住宅
6栋6C,86.63,59347.27,68.67,74869.00,5141254.00,在售,住宅
6栋6D,111.48,59835.07,88.37,75482.79,6670414.00,在售,住宅
6栋7A,91.59,58435.08,72.60,73719.96,5352069.00,在售,住宅
6栋7B,86.55,59687.11,68.61,75293.97,5165919.00,在售,住宅
6栋7C,86.63,59447.27,68.67,74995.15,5149917.00,在售,住宅
6栋7D,111.48,59935.07,88.37,75608.94,6681562.00,在售,住宅
6栋8A,91.59,58535.08,72.60,73846.12,5361228.00,在售,住宅
6栋8B,86.55,59787.11,68.61,75420.11,5174574.00,在售,住宅
6栋8C,86.63,60047.27,68.67,75752.08,5201895.00,在售,住宅
6栋8D,111.48,60535.07,88.37,76365.85,6748450.00,在售,住宅
6栋9A,91.59,59135.08,72.60,74603.06,5416182.00,在售,住宅
6栋9B,86.55,60387.11,68.61,76177.00,5226504.00,在售,住宅
6栋9C,86.63,61147.27,68.67,77139.77,5297188.00,在售,住宅
6栋9D,111.48,61635.07,88.37,77753.51,6871078.00,在售,住宅
6栋10A,91.59,59435.08,72.60,74981.53,5443659.00,在售,住宅
6栋10B,86.55,60687.11,68.61,76555.44,5252469.00,在售,住宅
6栋10C,86.63,61447.27,68.67,77518.23,5323177.00,在售,住宅
6栋10D,111.48,61935.07,88.37,78131.97,6904522.00,在售,住宅
6栋11A,91.59,59635.08,72.60,75233.84,5461977.00,在售,住宅
6栋11B,86.55,60887.11,68.61,76807.74,5269779.00,在售,住宅
6栋11C,86.63,61547.27,68.67,77644.39,5331840.00,在售,住宅
6栋11D,111.48,62035.07,88.37,78258.12,6915670.00,在售,住宅
6栋12A,91.59,59735.08,72.60,75360.00,5471136.00,在售,住宅
6栋12B,86.55,60987.11,68.61,76933.89,5278434.00,在售,住宅
6栋12C,86.63,61647.27,68.67,77770.54,5340503.00,在售,住宅
6栋12D,111.48,62135.07,88.37,78384.27,6926818.00,在售,住宅
6栋13A,91.59,60135.08,72.60,75864.63,5507772.00,在售,住宅
6栋13B,86.55,61387.11,68.61,77438.48,5313054.00,在售,住宅
6栋13C,86.63,62047.27,68.67,78275.16,5375155.00,在售,住宅
6栋13D,111.48,62535.07,88.37,78888.88,6971410.00,在售,住宅
6栋14A,91.59,60235.08,72.60,75990.79,5516931.00,在售,住宅
6栋14B,86.55,61387.11,68.61,77438.48,5313054.00,在售,住宅
6栋14C,86.63,62147.27,68.67,78401.31,5383818.00,在售,住宅
6栋14D,111.48,62635.07,88.37,79015.03,6982558.00,在售,住宅
6栋15A,93.04,61635.07,72.65,78933.61,5734527.00,在售,住宅
6栋15C,87.95,62547.27,68.67,80108.23,5501032.00,在售,住宅
6栋15D,113.19,62035.07,88.37,79458.53,7021750.00,在售,住宅
