房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
54A,2329.31,400000.00,1750.27,532331.58,931724000.00,在售,商务办公
53F,335.28,300000.00,216.43,464741.48,100584000.00,在售,商务办公
53E,526.41,300000.00,339.80,464752.79,157923000.00,在售,商务办公
53D,326.29,300000.00,210.62,464756.43,97887000.00,在售,商务办公
53C,360.29,300000.00,232.57,464750.39,108087000.00,在售,商务办公
53B,435.07,300000.00,280.84,464752.17,130521000.00,在售,商务办公
53A,353.76,300000.00,228.35,464760.23,106128000.00,在售,商务办公
52F,334.89,200000.00,216.43,309467.26,66978000.00,在售,商务办公
52E,525.79,200000.00,339.80,309470.27,105158000.00,在售,商务办公
52D,325.91,200000.00,210.62,309476.78,65182000.00,在售,商务办公
52C,362.31,200000.00,234.15,309468.28,72462000.00,在售,商务办公
52B,434.56,200000.00,280.84,309471.58,86912000.00,在售,商务办公
52A,353.34,200000.00,228.35,309472.30,70668000.00,在售,商务办公
51F,334.89,200000.00,216.43,309467.26,66978000.00,在售,商务办公
51E,525.79,200000.00,339.80,309470.27,105158000.00,在售,商务办公
51D,325.91,200000.00,210.62,309476.78,65182000.00,在售,商务办公
51C,362.31,200000.00,234.15,309468.28,72462000.00,在售,商务办公
51B,434.56,200000.00,280.84,309471.58,86912000.00,在售,商务办公
51A,353.34,200000.00,228.35,309472.30,70668000.00,在售,商务办公
50F,334.89,148795.78,216.43,230237.12,49830220.40,在售,商务办公
50E,525.79,145129.79,339.80,224566.78,76307792.67,在售,商务办公
50D,325.91,148795.78,210.62,230244.20,48494034.25,在售,商务办公
50C,362.31,146680.78,234.15,226965.26,53143916.39,在售,商务办公
50B,434.56,146398.78,280.84,226531.32,63619057.62,在售,商务办公
50A,353.34,149782.78,228.35,231768.11,52924248.66,在售,商务办公
49F,334.89,148103.16,216.43,229165.40,49598268.22,在售,商务办公
49E,525.79,144456.00,339.80,223524.20,75953523.26,在售,商务办公
49D,325.91,148103.16,210.62,229172.45,48268301.82,在售,商务办公
49C,362.31,145999.03,234.15,225910.35,52896909.92,在售,商务办公
49B,434.56,145718.48,280.84,225478.65,63323424.07,在售,商务办公
49A,353.34,149085.08,228.35,230688.52,52677725.63,在售,商务办公
48F,334.92,147410.54,216.43,228114.11,49370738.35,在售,商务办公
48E,525.05,143782.22,339.29,222502.44,75492855.00,在售,商务办公
48D,325.94,147410.54,210.62,228121.69,48046991.70,在售,商务办公
48C,362.34,145317.27,234.15,224874.06,52654262.97,在售,商务办公
48B,432.75,145038.17,279.65,224442.23,62765271.41,在售,商务办公
48A,353.37,148387.39,228.35,229628.43,52435654.23,在售,商务办公
47F,334.92,146717.91,216.43,227042.30,49138765.39,在售,商务办公
47E,525.05,143108.43,339.29,221459.76,75139084.19,在售,商务办公
