房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋3304,86.46,48000.00,64.61,64232.78,4150080.00,在售,住宅
1栋3303,125.33,56000.00,93.65,74943.72,7018480.00,在售,住宅
1栋3302,125.33,54600.00,93.65,73070.13,6843018.00,在售,住宅
1栋3301,86.46,47000.00,64.61,62894.59,4063620.00,在售,住宅
1栋3204,86.15,32700.00,64.42,43730.28,2817105.00,在售,住宅
1栋3203,129.95,39271.00,97.17,52518.95,5103266.45,在售,住宅
1栋3202,129.95,38271.00,97.17,51181.60,4973316.45,在售,住宅
1栋3201,86.15,31700.00,64.42,42392.96,2730955.00,在售,住宅
1栋3104,86.15,32660.00,64.42,43676.79,2813659.00,在售,住宅
1栋3103,129.95,39231.00,97.17,52465.45,5098068.45,在售,住宅
1栋3102,129.95,38231.00,97.17,51128.11,4968118.45,在售,住宅
1栋3101,86.15,31660.00,64.42,42339.47,2727509.00,在售,住宅
1栋3004,86.15,32640.00,64.42,43650.04,2811936.00,在售,住宅
1栋3003,129.95,39201.00,97.17,52425.33,5094169.95,在售,住宅
1栋3002,129.95,38201.00,97.17,51087.98,4964219.95,在售,住宅
1栋3001,86.15,31640.00,64.42,42312.72,2725786.00,在售,住宅
1栋2904,86.15,32630.00,64.42,43636.67,2811074.50,在售,住宅
1栋2903,129.95,39201.00,97.17,52425.33,5094169.95,在售,住宅
1栋2902,129.95,38201.00,97.17,51087.98,4964219.95,在售,住宅
1栋2901,86.15,31630.00,64.42,42299.35,2724924.50,在售,住宅
1栋2804,86.15,32590.00,64.42,43583.18,2807628.50,在售,住宅
1栋2803,129.95,39161.00,97.17,52371.84,5088971.95,在售,住宅
1栋2802,129.95,38161.00,97.17,51034.49,4959021.95,在售,住宅
1栋2801,86.15,31590.00,64.42,42245.86,2721478.50,在售,住宅
1栋2704,86.15,32500.00,64.42,43462.82,2799875.00,在售,住宅
1栋2703,129.95,39071.00,97.17,52251.48,5077276.45,在售,住宅
1栋2702,129.95,38071.00,97.17,50914.13,4947326.45,在售,住宅
1栋2701,86.15,31500.00,64.42,42125.50,2713725.00,在售,住宅
1栋2604,86.15,32460.00,64.42,43409.32,2796429.00,在售,住宅
1栋2603,129.95,39031.00,97.17,52197.98,5072078.45,在售,住宅
1栋2602,129.95,38031.00,97.17,50860.64,4942128.45,在售,住宅
1栋2601,86.15,31460.00,64.42,42072.01,2710279.00,在售,住宅
1栋2504,86.15,32420.00,64.42,43355.83,2792983.00,在售,住宅
1栋2503,129.95,38991.00,97.17,52144.49,5066880.45,在售,住宅
1栋2502,129.95,37991.00,97.17,50807.14,4936930.45,在售,住宅
1栋2501,86.15,31420.00,64.42,42018.51,2706833.00,在售,住宅
1栋2404,86.15,32280.00,64.42,43168.61,2780922.00,在售,住宅
1栋2403,129.95,38851.00,97.17,51957.26,5048687.45,在售,住宅
1栋2402,129.95,37851.00,97.17,50619.91,4918737.45,在售,住宅
1栋2401,86.15,31280.00,64.42,41831.29,2694772.00,在售,住宅
1栋2304,86.15,32340.00,64.42,43248.85,2786091.00,在售,住宅
1栋2303,129.95,38911.00,97.17,52037.50,5056484.45,在售,住宅
1栋2302,129.95,37911.00,97.17,50700.15,4926534.45,在售,住宅
1栋2301,86.15,31340.00,64.42,41911.53,2699941.00,在售,住宅
1栋2204,86.15,32300.00,64.42,43195.35,2782645.00,在售,住宅
1栋2203,129.95,38871.00,97.17,51984.01,5051286.45,在售,住宅
1栋2202,129.95,37871.00,97.17,50646.66,4921336.45,在售,住宅
1栋2201,86.15,31300.00,64.42,41858.04,2696495.00,在售,住宅
1栋2104,86.15,32260.00,64.42,43141.86,2779199.00,在售,住宅
1栋2103,129.95,38831.00,97.17,51930.51,5046088.45,在售,住宅
1栋2102,129.95,37831.00,97.17,50593.17,4916138.45,在售,住宅
1栋2101,86.15,31260.00,64.42,41804.54,2693049.00,在售,住宅
1栋2004,86.15,32220.00,64.42,43088.37,2775753.00,在售,住宅
1栋2003,129.95,38831.00,97.17,51930.51,5046088.45,在售,住宅
1栋2002,129.95,37831.00,97.17,50593.17,4916138.45,在售,住宅
1栋2001,86.15,31220.00,64.42,41751.05,2689603.00,在售,住宅
1栋1904,86.15,32180.00,64.42,43034.88,2772307.00,在售,住宅
1栋1903,129.95,38761.00,97.17,51836.90,5036991.95,在售,住宅
1栋1902,129.95,37761.00,97.17,50499.55,4907041.95,在售,住宅
1栋1901,86.15,31180.00,64.42,41697.56,2686157.00,在售,住宅
1栋1804,86.15,32040.00,64.42,42847.65,2760246.00,在售,住宅
1栋1803,129.95,38591.00,97.17,51609.55,5014900.45,在售,住宅
1栋1802,129.95,37591.00,97.17,50272.20,4884950.45,在售,住宅
1栋1801,86.15,31040.00,64.42,41510.33,2674096.00,在售,住宅
1栋1704,86.15,32100.00,64.42,42927.89,2765415.00,在售,住宅
1栋1703,129.95,38621.00,97.17,51649.67,5018798.95,在售,住宅
1栋1702,129.95,37621.00,97.17,50312.32,4888848.95,在售,住宅
1栋1701,86.15,31100.00,64.42,41590.57,2679265.00,在售,住宅
1栋1604,86.15,32060.00,64.42,42874.40,2761969.00,在售,住宅
1栋1603,129.95,38551.00,97.17,51556.06,5009702.45,在售,住宅
1栋1602,129.95,37551.00,97.17,50218.71,4879752.45,在售,住宅
1栋1601,86.15,31060.00,64.42,41537.08,2675819.00,在售,住宅
1栋1504,86.15,32020.00,64.42,42820.90,2758523.00,在售,住宅
1栋1503,129.95,38481.00,97.17,51462.44,5000605.95,在售,住宅
1栋1502,129.95,37481.00,97.17,50125.09,4870655.95,在售,住宅
1栋1501,86.15,31020.00,64.42,41483.59,2672373.00,在售,住宅
1栋1404,86.15,31880.00,64.42,42633.68,2746462.00,在售,住宅
1栋1403,129.95,38311.00,97.17,51235.09,4978514.45,在售,住宅
1栋1402,129.95,37311.00,97.17,49897.75,4848564.45,在售,住宅
1栋1401,86.15,30880.00,64.42,41296.36,2660312.00,在售,住宅
1栋1304,86.15,31940.00,64.42,42713.92,2751631.00,在售,住宅
1栋1303,129.95,38341.00,97.17,51275.21,4982412.95,在售,住宅
1栋1302,129.95,37341.00,97.17,49937.87,4852462.95,在售,住宅
1栋1301,86.15,30940.00,64.42,41376.60,2665481.00,在售,住宅
1栋1204,86.15,31900.00,64.42,42660.43,2748185.00,在售,住宅
1栋1203,129.95,38271.00,97.17,51181.60,4973316.45,在售,住宅
