房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋二单元2704,71.59,16715.00,51.51,23230.96,1196627.00,在售,住宅
1栋二单元2703,71.59,16642.00,51.51,23129.50,1191401.00,在售,住宅
1栋二单元2702,81.18,18638.00,58.41,25903.66,1513033.00,在售,住宅
1栋二单元2701,81.18,18780.00,58.41,26101.01,1524560.00,在售,住宅
1栋二单元2604,71.59,17245.00,51.51,23967.57,1234570.00,在售,住宅
1栋二单元2603,71.59,17172.00,51.51,23866.10,1229343.00,在售,住宅
1栋二单元2602,81.18,18738.00,58.41,26042.64,1521151.00,在售,住宅
1栋二单元2601,81.18,18880.00,58.41,26239.99,1532678.00,在售,住宅
1栋二单元2504,73.66,16795.00,53.01,23337.48,1237120.00,在售,住宅
1栋二单元2503,73.66,16722.00,53.01,23236.04,1231743.00,在售,住宅
1栋二单元2502,81.16,18718.00,58.41,26008.44,1519153.00,在售,住宅
1栋二单元2501,81.16,18860.00,58.41,26205.75,1530678.00,在售,住宅
1栋二单元2404,71.59,17205.00,51.51,23911.97,1231706.00,在售,住宅
1栋二单元2403,71.59,17132.00,51.51,23810.52,1226480.00,在售,住宅
1栋二单元2402,81.18,18698.00,58.41,25987.05,1517904.00,在售,住宅
1栋二单元2401,81.18,18840.00,58.41,26184.40,1529431.00,在售,住宅
1栋二单元2304,73.66,16755.00,53.01,23281.89,1234173.00,在售,住宅
1栋二单元2303,73.66,16682.00,53.01,23180.45,1228796.00,在售,住宅
1栋二单元2302,81.16,18678.00,58.41,25952.85,1515906.00,在售,住宅
1栋二单元2301,81.16,18820.00,58.41,26150.16,1527431.00,在售,住宅
1栋二单元2204,71.59,17165.00,51.51,23856.37,1228842.00,在售,住宅
1栋二单元2203,71.59,17092.00,51.51,23754.92,1223616.00,在售,住宅
1栋二单元2202,81.18,18658.00,58.41,25931.45,1514656.00,在售,住宅
1栋二单元2201,81.18,18800.00,58.41,26128.81,1526184.00,在售,住宅
1栋二单元2104,73.66,16715.00,53.01,23226.31,1231227.00,在售,住宅
1栋二单元2103,73.66,16642.00,53.01,23124.88,1225850.00,在售,住宅
1栋二单元2102,81.16,18638.00,58.41,25897.27,1512660.00,在售,住宅
1栋二单元2101,81.16,18780.00,58.41,26094.58,1524185.00,在售,住宅
1栋二单元2004,71.59,17125.00,51.51,23800.79,1225979.00,在售,住宅
1栋二单元2003,71.59,17052.00,51.51,23699.33,1220753.00,在售,住宅
1栋二单元2002,81.18,18618.00,58.41,25875.86,1511409.00,在售,住宅
1栋二单元2001,81.18,18760.00,58.41,26073.22,1522937.00,在售,住宅
1栋二单元1904,73.66,16675.00,53.01,23170.74,1228281.00,在售,住宅
1栋二单元1903,73.66,16602.00,53.01,23069.28,1222903.00,在售,住宅
1栋二单元1902,81.16,18598.00,58.41,25841.70,1509414.00,在售,住宅
1栋二单元1901,81.16,18740.00,58.41,26039.00,1520938.00,在售,住宅
1栋二单元1804,71.59,17085.00,51.51,23745.19,1223115.00,在售,住宅
1栋二单元1803,71.59,17012.00,51.51,23643.73,1217889.00,在售,住宅
1栋二单元1802,81.18,18578.00,58.41,25820.27,1508162.00,在售,住宅
1栋二单元1801,81.18,28880.01,58.41,40138.00,2344479.00,在售,住宅
1栋二单元1704,73.66,16635.00,53.01,23115.14,1225334.00,在售,住宅
1栋二单元1703,73.66,16562.00,53.01,23013.71,1219957.00,在售,住宅
1栋二单元1702,81.16,18558.00,58.41,25786.11,1506167.00,在售,住宅
1栋二单元1701,81.16,18700.00,58.41,25983.42,1517692.00,在售,住宅
1栋二单元1604,71.59,17045.00,51.51,23689.61,1220252.00,在售,住宅
