房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
裙楼产业研发03层08,1211.38,25000.00,682.48,44374.19,30284500.00,在售,产业研发
裙楼产业研发02层37,1774.37,28000.00,999.83,49690.80,49682360.00,在售,产业研发
裙楼产业研发02层36,2894.74,28000.00,1631.14,49690.84,81052720.00,在售,产业研发
裙楼产业研发02层35,70.97,43989.14,39.99,78067.25,3121909.59,在售,产业研发
裙楼产业研发02层34,61.20,46161.44,34.48,81933.89,2825080.62,在售,产业研发
裙楼产业研发02层32,60.38,38015.31,34.02,67471.02,2295364.42,在售,产业研发
裙楼产业研发02层31,97.46,32584.55,54.92,57823.93,3175690.39,在售,产业研发
裙楼产业研发02层30,64.07,26135.52,36.10,46385.12,1674503.13,在售,产业研发
裙楼产业研发02层29,97.18,26135.52,54.76,46381.48,2539850.39,在售,产业研发
裙楼产业研发02层28,94.82,37743.77,53.43,66982.30,3578864.48,在售,产业研发
裙楼产业研发02层27,178.09,32652.43,100.35,57947.90,5815072.33,在售,产业研发
裙楼产业研发02层26,96.02,27221.67,54.10,48314.70,2613825.47,在售,产业研发
裙楼产业研发02层25,162.91,25117.25,91.80,44573.55,4091852.58,在售,产业研发
裙楼产业研发02层24,152.69,28511.48,86.04,50597.60,4353418.28,在售,产业研发
裙楼商业02层23,104.08,39305.11,68.32,59878.16,4090876.40,在售,商业
裙楼商业02层22,42.99,47066.57,28.22,71700.63,2023392.03,在售,商业
裙楼商业02层21,34.34,47066.57,22.54,71706.57,1616266.16,在售,商业
裙楼商业02层20,50.49,47066.57,33.15,71686.01,2376391.34,在售,商业
裙楼商业02层19,123.02,40662.80,80.75,61948.46,5002338.26,在售,商业
裙楼商业02层18,133.34,44328.56,87.53,67528.51,5910771.12,在售,商业
裙楼商业02层17,88.23,46704.52,57.92,71145.37,4120740.14,在售,商业
裙楼商业02层16,39.04,44260.68,25.63,67418.53,1727937.04,在售,商业
裙楼商业02层15,81.12,46976.06,53.25,71562.40,3810698.13,在售,商业
裙楼商业02层14,69.93,34281.66,45.91,52217.74,2397316.73,在售,商业
裙楼商业02层13,55.85,28443.59,36.66,43332.65,1588574.95,在售,商业
裙楼商业02层12,79.48,28443.59,52.17,43333.27,2260697.18,在售,商业
裙楼商业02层11,77.52,28443.59,50.88,43336.23,2204947.72,在售,商业
裙楼商业02层10,57.52,26593.74,37.76,40510.38,1529672.27,在售,商业
裙楼商业02层09,80.02,26593.74,52.53,40510.78,2128031.55,在售,商业
裙楼商业02层08,83.81,26593.74,55.02,40509.30,2228821.85,在售,商业
裙楼商业02层07,77.44,26593.74,50.83,40515.83,2059419.69,在售,商业
裙楼商业02层06,57.61,29326.09,37.82,44671.50,1689476.41,在售,商业
裙楼商业02层05,56.87,25049.37,37.33,38161.20,1424557.90,在售,商业
裙楼商业02层04,50.30,25049.37,33.02,38158.19,1259983.51,在售,商业
裙楼商业02层03,66.90,25049.37,43.91,38164.49,1675803.12,在售,商业
裙楼商业02层02,83.48,27018.02,54.80,41158.11,2255464.64,在售,商业
裙楼商业02层01,82.58,27018.02,54.21,41157.50,2231148.42,在售,商业
裙楼商业01层76,50.39,47339.75,38.27,62332.12,2385450.44,在售,商业
裙楼商业01层75,42.66,66424.37,32.40,87458.75,2833663.77,在售,商业
裙楼商业01层74,35.40,66093.90,26.88,87043.31,2339724.20,在售,商业
裙楼商业01层73,82.45,63863.23,62.62,84086.93,5265523.70,在售,商业
裙楼商业01层72,62.96,48522.79,47.81,63898.66,3054994.93,在售,商业
裙楼商业01层71,95.42,46045.95,72.46,60636.28,4393704.85,在售,商业
裙楼商业01层70,62.71,54444.85,47.63,71682.48,3414236.75,在售,商业
裙楼商业01层69,59.72,55436.26,45.36,72986.18,3310653.56,在售,商业
裙楼商业01层68,52.13,48744.25,39.59,64183.83,2541037.97,在售,商业
裙楼商业01层67,99.56,42300.09,75.61,55698.95,4211397.81,在售,商业
裙楼商业01层66,83.68,42300.09,63.55,55699.01,3539672.24,在售,商业
裙楼商业01层65,68.26,42300.09,51.84,55698.39,2887404.72,在售,商业
