房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3栋36,117.06,100000.00,114.52,102217.95,11706000.00,在售,商业
3栋35,42.83,100000.00,41.90,102219.57,4283000.00,在售,商业
3栋34,74.00,100000.00,72.39,102224.06,7400000.00,在售,商业
3栋33,155.73,100000.00,152.35,102218.57,15573000.00,在售,商业
3栋32,205.11,100000.00,200.66,102217.68,20511000.00,在售,商业
3栋31,293.15,100000.00,286.80,102214.08,29315000.00,在售,商业
3栋30,302.05,100000.00,295.50,102216.58,30205000.00,在售,商业
3栋29,248.38,100000.00,243.00,102213.99,24838000.00,在售,商业
3栋28,248.38,100000.00,243.00,102213.99,24838000.00,在售,商业
5栋3606,142.50,24342.56,111.25,31180.35,3468814.80,在售,住宅
5栋3605,86.65,26199.68,67.65,33558.05,2270202.27,在售,住宅
5栋3604,86.65,25735.40,67.65,32963.37,2229972.41,在售,住宅
5栋3603,86.65,25456.83,67.65,32606.57,2205834.49,在售,住宅
5栋3602,86.66,26013.96,67.65,33324.02,2254370.46,在售,住宅
5栋3601,131.27,24899.69,102.48,31894.83,3268583.09,在售,住宅
5栋3506,142.50,24942.56,111.25,31948.89,3554314.80,在售,住宅
5栋3505,86.65,26799.68,67.65,34326.56,2322192.27,在售,住宅
5栋3504,86.65,26335.40,67.65,33731.89,2281962.41,在售,住宅
5栋3503,86.65,26056.83,67.65,33375.08,2257824.49,在售,住宅
5栋3502,86.66,26613.96,67.65,34092.63,2306366.46,在售,住宅
5栋3501,131.27,25499.69,102.48,32663.39,3347345.09,在售,住宅
5栋3406,142.50,24942.56,111.25,31948.89,3554314.80,在售,住宅
5栋3405,86.65,26799.68,67.65,34326.56,2322192.27,在售,住宅
5栋3404,86.65,26335.40,67.65,33731.89,2281962.41,在售,住宅
5栋3403,86.65,22000.00,67.65,28178.00,1906300.00,在售,住宅
5栋3402,86.66,26613.96,67.65,34092.63,2306366.46,在售,住宅
5栋3401,131.27,25499.69,102.48,32663.39,3347345.09,在售,住宅
5栋3306,142.50,24942.56,111.25,31948.89,3554314.80,在售,住宅
5栋3305,86.65,26799.68,67.65,34326.56,2322192.27,在售,住宅
5栋3304,86.65,26335.40,67.65,33731.89,2281962.41,在售,住宅
5栋3303,86.65,26056.83,67.65,33375.08,2257824.49,在售,住宅
5栋3302,86.66,26613.96,67.65,34092.63,2306366.46,在售,住宅
5栋3301,131.27,25499.69,102.48,32663.39,3347345.09,在售,住宅
5栋3206,142.50,24942.56,111.25,31948.89,3554314.80,在售,住宅
5栋3205,86.65,26799.68,67.65,34326.56,2322192.27,在售,住宅
5栋3204,86.65,26335.40,67.65,33731.89,2281962.41,在售,住宅
5栋3203,86.65,26056.83,67.65,33375.08,2257824.49,在售,住宅
