房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
34D,87.13,34748.00,62.12,48737.66,3027584.00,在售,4栋住宅
34C,87.13,35218.00,62.12,49397.71,3068586.00,在售,4栋住宅
34B,75.97,32450.00,54.16,45517.87,2465248.00,在售,4栋住宅
34A,75.97,32097.00,54.16,45022.80,2438435.00,在售,4栋住宅
33D,87.13,34748.00,62.12,48737.66,3027584.00,在售,4栋住宅
33C,87.13,35218.00,62.12,49397.71,3068586.00,在售,4栋住宅
33B,75.97,34333.00,54.16,48158.19,2608248.00,在售,4栋住宅
33A,75.97,33980.00,54.16,47663.14,2581436.00,在售,4栋住宅
32D,87.13,34701.00,62.12,48671.65,3023483.00,在售,4栋住宅
32C,87.13,35171.00,62.12,49331.69,3064485.00,在售,4栋住宅
32B,75.97,32403.00,54.16,45451.84,2461672.00,在售,4栋住宅
32A,75.97,32050.00,54.16,44956.79,2434860.00,在售,4栋住宅
31D,87.13,34654.00,62.12,48605.65,3019383.00,在售,4栋住宅
31C,87.13,35124.00,62.12,49265.69,3060385.00,在售,4栋住宅
31B,75.97,34238.00,54.16,48026.18,2601098.00,在售,4栋住宅
31A,75.97,33886.00,54.16,47531.11,2574285.00,在售,4栋住宅
30D,87.13,34607.00,62.12,48539.64,3015283.00,在售,4栋住宅
30C,87.13,35077.00,62.12,49199.69,3056285.00,在售,4栋住宅
30B,75.97,32309.00,54.16,45319.83,2454522.00,在售,4栋住宅
30A,75.97,31956.00,54.16,44824.75,2427709.00,在售,4栋住宅
29D,87.13,34560.00,62.12,48473.64,3011183.00,在售,4栋住宅
29C,87.13,35030.00,62.12,49133.69,3052185.00,在售,4栋住宅
29B,75.97,34144.00,54.16,47894.14,2593947.00,在售,4栋住宅
29A,75.97,33791.00,54.16,47399.09,2567135.00,在售,4栋住宅
28D,87.13,34513.00,62.12,48407.64,3007083.00,在售,4栋住宅
28C,87.13,34983.00,62.12,49067.69,3048085.00,在售,4栋住宅
28B,75.97,32215.00,54.16,45187.81,2447372.00,在售,4栋住宅
28A,75.97,31862.00,54.16,44692.76,2420560.00,在售,4栋住宅
27D,87.13,34466.00,62.12,48341.62,3002982.00,在售,4栋住宅
27C,87.13,34936.00,62.12,49001.67,3043984.00,在售,4栋住宅
27B,75.97,34050.00,54.16,47762.14,2586798.00,在售,4栋住宅
27A,75.97,33697.00,54.16,47267.07,2559985.00,在售,4栋住宅
26D,87.13,34418.00,62.12,48275.62,2998882.00,在售,4栋住宅
26C,87.13,34889.00,62.12,48935.67,3039884.00,在售,4栋住宅
26B,75.97,32121.00,54.16,45055.79,2440222.00,在售,4栋住宅
26A,75.97,31768.00,54.16,44560.72,2413409.00,在售,4栋住宅
25D,87.13,34371.00,62.12,48209.62,2994782.00,在售,4栋住宅
25C,87.13,34842.00,62.12,48869.67,3035784.00,在售,4栋住宅
25B,75.97,33956.00,54.16,47630.13,2579648.00,在售,4栋住宅
25A,75.97,33603.00,54.16,47135.06,2552835.00,在售,4栋住宅
24D,87.13,34277.00,62.12,48077.62,2986582.00,在售,4栋住宅
24C,87.13,34748.00,62.12,48737.66,3027584.00,在售,4栋住宅
24B,75.97,32027.00,54.16,44923.76,2433071.00,在售,4栋住宅
24A,75.97,31674.00,54.16,44428.71,2406259.00,在售,4栋住宅
23D,87.13,34277.00,62.12,48077.62,2986582.00,在售,4栋住宅
23C,87.13,34748.00,62.12,48737.66,3027584.00,在售,4栋住宅
23B,75.97,33862.00,54.16,47498.11,2572498.00,在售,4栋住宅
23A,75.97,33509.00,54.16,47003.06,2545686.00,在售,4栋住宅
22D,87.13,46860.85,62.12,65727.00,4082985.00,在售,4栋住宅
22C,87.13,46444.28,62.12,65143.00,4046690.00,在售,4栋住宅
22B,75.97,44186.76,54.16,61980.00,3356868.00,在售,4栋住宅
22A,75.97,44839.58,54.16,62896.00,3406462.00,在售,4栋住宅
21D,87.13,46710.62,62.12,65516.00,4069896.00,在售,4栋住宅
21C,87.13,46294.03,62.12,64932.00,4033598.00,在售,4栋住宅
21B,75.97,46068.76,54.16,64620.00,3499843.00,在售,4栋住宅
21A,75.97,46713.00,54.16,65525.00,3548834.00,在售,4栋住宅
20D,87.13,46535.65,62.12,65271.00,4054651.00,在售,4栋住宅
20C,87.13,46085.32,62.12,64639.00,4015413.00,在售,4栋住宅
20B,75.97,44092.88,54.16,61848.00,3349736.00,在售,4栋住宅
20A,75.97,44477.02,54.16,62387.00,3378919.00,在售,4栋住宅
19D,87.13,33713.00,62.12,47285.56,2937379.00,在售,4栋住宅
19C,87.13,34183.00,62.12,47945.60,2978381.00,在售,4栋住宅
19B,75.97,33297.00,54.16,46706.01,2529598.00,在售,4栋住宅
19A,75.97,32944.00,54.16,46210.94,2502785.00,在售,4栋住宅
18D,87.13,33571.00,62.12,47087.57,2925080.00,在售,4栋住宅
18C,87.13,34042.00,62.12,47747.60,2966081.00,在售,4栋住宅
18B,75.97,31344.00,54.16,43966.65,2381234.00,在售,4栋住宅
18A,75.97,30991.00,54.16,43471.60,2354422.00,在售,4栋住宅
17D,87.13,33571.00,62.12,47087.57,2925080.00,在售,4栋住宅
17C,87.13,34042.00,62.12,47747.60,2966081.00,在售,4栋住宅
