房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
31C02,62.55,51759.00,42.48,76212.93,3237526.00,在售,商务公寓
31C01,62.55,51759.00,42.48,76212.93,3237526.00,在售,商务公寓
31B04,62.55,50752.00,42.48,74730.16,3174538.00,在售,商务公寓
31B03,62.55,45154.00,42.48,66487.35,2824383.00,在售,商务公寓
31B02,62.55,49752.00,42.48,73257.71,3111988.00,在售,商务公寓
31B01,62.55,43920.00,42.48,64670.33,2747196.00,在售,商务公寓
31A16,49.28,44734.00,33.37,66062.07,2204492.00,在售,商务公寓
31A15,49.28,36283.00,33.37,53581.84,1788027.00,在售,商务公寓
31A14,49.28,44734.00,33.37,66062.07,2204492.00,在售,商务公寓
31A13,49.28,36283.00,33.37,53581.84,1788027.00,在售,商务公寓
31A12,49.28,44734.00,33.37,66062.07,2204492.00,在售,商务公寓
31A11,49.28,36283.00,33.37,53581.84,1788027.00,在售,商务公寓
31A10,49.28,44734.00,33.37,66062.07,2204492.00,在售,商务公寓
31A09,49.28,36283.00,33.37,53581.84,1788027.00,在售,商务公寓
31A08,49.28,44734.00,33.37,66062.07,2204492.00,在售,商务公寓
31A07,49.28,36283.00,33.37,53581.84,1788027.00,在售,商务公寓
31A06,49.28,44734.00,33.37,66062.07,2204492.00,在售,商务公寓
31A05,49.28,36283.00,33.37,53581.84,1788027.00,在售,商务公寓
31A04,49.28,44734.00,33.37,66062.07,2204492.00,在售,商务公寓
31A03,49.28,36283.00,33.37,53581.84,1788027.00,在售,商务公寓
31A02,49.28,44734.00,33.37,66062.07,2204492.00,在售,商务公寓
31A01,49.28,36283.00,33.37,53581.84,1788027.00,在售,商务公寓
29C02,62.55,51459.00,42.48,75771.19,3218761.00,在售,商务公寓
29C01,62.55,51459.00,42.48,75771.19,3218761.00,在售,商务公寓
29B04,62.55,50452.00,42.48,74288.43,3155773.00,在售,商务公寓
29B03,62.55,45054.00,42.48,66340.10,2818128.00,在售,商务公寓
29B02,62.55,49452.00,42.48,72815.97,3093223.00,在售,商务公寓
29B01,62.55,43820.00,42.48,64523.09,2740941.00,在售,商务公寓
29A16,49.28,44434.00,33.37,65619.04,2189708.00,在售,商务公寓
29A15,49.28,36183.00,33.37,53434.16,1783099.00,在售,商务公寓
29A14,49.28,44434.00,33.37,65619.04,2189708.00,在售,商务公寓
29A13,49.28,36183.00,33.37,53434.16,1783099.00,在售,商务公寓
29A12,49.28,44434.00,33.37,65619.04,2189708.00,在售,商务公寓
29A11,49.28,36183.00,33.37,53434.16,1783099.00,在售,商务公寓
29A10,49.28,44434.00,33.37,65619.04,2189708.00,在售,商务公寓
29A09,49.28,36183.00,33.37,53434.16,1783099.00,在售,商务公寓
29A08,49.28,44434.00,33.37,65619.04,2189708.00,在售,商务公寓
29A07,49.28,36183.00,33.37,53434.16,1783099.00,在售,商务公寓
29A06,49.28,44434.00,33.37,65619.04,2189708.00,在售,商务公寓
29A05,49.28,36183.00,33.37,53434.16,1783099.00,在售,商务公寓
29A04,49.28,44434.00,33.37,65619.04,2189708.00,在售,商务公寓
29A03,49.28,36183.00,33.37,53434.16,1783099.00,在售,商务公寓
29A02,49.28,44434.00,33.37,65619.04,2189708.00,在售,商务公寓
29A01,49.28,36183.00,33.37,53434.16,1783099.00,在售,商务公寓
27C02,62.55,51159.00,42.48,75329.45,3199996.00,在售,商务公寓
