房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2007,98.86,40343.00,64.28,62045.87,3988308.98,在售,办公
2006,112.40,40418.00,73.08,62164.52,4542983.20,在售,办公
2005,197.10,39806.00,128.16,61218.49,7845762.60,在售,办公
2004,190.00,39980.00,123.54,61487.77,7596200.00,在售,办公
2003,135.47,39968.00,88.08,61472.12,5414464.96,在售,办公
2002,69.86,40105.00,45.42,61685.05,2801735.30,在售,办公
2001,99.27,39367.00,64.54,60551.00,3907962.09,在售,办公
1907,98.86,40043.00,64.28,61584.48,3958650.98,在售,办公
1906,112.40,40118.00,73.08,61703.10,4509263.20,在售,办公
1905,197.10,39506.00,128.16,60757.12,7786632.60,在售,办公
1904,190.00,39680.00,123.54,61026.38,7539200.00,在售,办公
1903,135.47,39668.00,88.08,61010.71,5373823.96,在售,办公
1902,69.86,39805.00,45.42,61223.63,2780777.30,在售,办公
1901,99.27,39067.00,64.54,60089.57,3878181.09,在售,办公
1807,108.56,39693.00,69.08,62377.99,4309072.08,在售,办公
1806,130.69,39318.00,83.16,61790.15,5138469.42,在售,办公
1805,224.03,38706.00,142.56,60825.65,8671305.18,在售,办公
1804,220.92,38880.00,140.58,61099.51,8589369.60,在售,办公
1803,147.27,39318.00,93.71,61790.22,5790361.86,在售,办公
1802,90.24,39305.00,57.42,61770.86,3546883.20,在售,办公
1801,125.28,38767.00,79.72,60922.35,4856729.76,在售,办公
1707,108.56,39443.00,69.08,61985.11,4281932.08,在售,办公
1706,130.69,39068.00,83.16,61397.26,5105796.92,在售,办公
1705,224.03,38456.00,142.56,60432.78,8615297.68,在售,办公
1704,220.92,38630.00,140.58,60706.64,8534139.60,在售,办公
1703,147.27,39068.00,93.71,61397.33,5753544.36,在售,办公
1702,90.24,39055.00,57.42,61377.97,3524323.20,在售,办公
1701,125.28,38517.00,79.72,60529.47,4825409.76,在售,办公
1607,113.28,39193.00,72.39,61331.44,4439783.04,在售,办公
1606,130.12,38818.00,83.16,60738.31,5050998.16,在售,办公
1605,223.06,38206.00,142.56,59779.95,8522230.36,在售,办公
1604,219.97,38380.00,140.58,60054.40,8442448.60,在售,办公
1603,151.20,38818.00,96.63,60739.74,5869281.60,在售,办公
1602,94.83,38805.00,60.60,60724.06,3679878.15,在售,办公
1601,129.20,38267.00,82.57,59877.63,4944096.40,在售,办公
1507,113.28,38983.00,72.39,61002.82,4415994.24,在售,办公
1506,130.12,38608.00,83.16,60409.72,5023672.96,在售,办公
1505,223.06,37996.00,142.56,59451.37,8475387.76,在售,办公
1504,219.97,38170.00,140.58,59725.81,8396254.90,在售,办公
1503,151.20,38608.00,96.63,60411.15,5837529.60,在售,办公
1502,94.83,38595.00,60.60,60395.44,3659963.85,在售,办公
1501,129.20,38057.00,82.57,59549.04,4916964.40,在售,办公
1407,123.63,38273.00,79.71,59361.32,4731690.99,在售,办公
1406,128.97,38398.00,83.16,59550.14,4952190.06,在售,办公
1405,221.09,37786.00,142.56,58600.63,8354106.74,在售,办公
1404,218.03,37960.00,140.58,58873.37,8276418.80,在售,办公
1403,161.22,37898.00,103.95,58777.44,6109915.56,在售,办公
1402,105.35,37885.00,67.92,58763.02,3991184.75,在售,办公
1401,139.41,37347.00,89.89,57921.29,5206545.27,在售,办公
1307,123.63,38093.00,79.71,59082.14,4709437.59,在售,办公
1306,128.97,38218.00,83.16,59270.98,4928975.46,在售,办公
1305,221.09,37606.00,142.56,58321.48,8314310.54,在售,办公
1304,218.03,37780.00,140.58,58594.20,8237173.40,在售,办公
1303,161.22,37718.00,103.95,58498.27,6080895.96,在售,办公
1302,105.35,37705.00,67.92,58483.83,3972221.75,在售,办公
1301,139.41,37167.00,89.89,57642.13,5181451.47,在售,办公
1207,123.63,37913.00,79.71,58802.96,4687184.19,在售,办公
1206,128.97,38038.00,83.16,58991.83,4905760.86,在售,办公
1205,221.09,37426.00,142.56,58042.32,8274514.34,在售,办公
1204,218.03,37600.00,140.58,58315.03,8197928.00,在售,办公
1203,161.22,37538.00,103.95,58219.10,6051876.36,在售,办公
1202,105.35,37525.00,67.92,58204.63,3953258.75,在售,办公
1201,139.41,36987.00,89.89,57362.97,5156357.67,在售,办公
1107,123.63,37733.00,79.71,58523.78,4664930.79,在售,办公
1106,128.97,37858.00,83.16,58712.67,4882546.26,在售,办公
