房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
9栋1602,325.87,29171.00,263.23,36112.73,9505954.00,在售,住宅
9栋1601,270.69,28674.00,218.66,35496.95,7761765.00,在售,住宅
9栋1502,181.44,28971.00,146.56,35865.84,5256498.00,在售,住宅
9栋1501,156.55,28474.00,126.46,35249.13,4457605.00,在售,住宅
9栋1402,181.44,28871.00,146.56,35742.04,5238354.00,在售,住宅
9栋1401,156.55,28374.00,126.46,35125.33,4441950.00,在售,住宅
9栋1302,181.44,28771.00,146.56,35618.24,5220210.00,在售,住宅
9栋1301,156.55,28274.00,126.46,35001.54,4426295.00,在售,住宅
9栋1202,181.44,28671.00,146.56,35494.44,5202066.00,在售,住宅
9栋1201,156.55,28174.00,126.46,34877.74,4410640.00,在售,住宅
9栋1102,181.44,28571.00,146.56,35370.64,5183922.00,在售,住宅
9栋1101,156.55,28074.00,126.46,34753.95,4394985.00,在售,住宅
9栋1002,181.44,28471.00,146.56,35246.84,5165778.00,在售,住宅
9栋1001,156.55,27974.00,126.46,34630.15,4379330.00,在售,住宅
9栋902,181.44,28371.00,146.56,35123.04,5147634.00,在售,住宅
9栋901,156.55,27874.00,126.46,34506.36,4363675.00,在售,住宅
9栋802,181.44,28271.00,146.56,34999.24,5129490.00,在售,住宅
9栋801,156.55,27774.00,126.46,34382.57,4348020.00,在售,住宅
9栋702,181.44,28171.00,146.56,34875.45,5111346.00,在售,住宅
9栋701,156.55,27674.00,126.46,34258.77,4332365.00,在售,住宅
9栋602,181.44,28071.00,146.56,34751.65,5093202.00,在售,住宅
9栋601,156.55,27574.00,126.46,34134.98,4316710.00,在售,住宅
9栋502,181.44,27971.00,146.56,34627.85,5075058.00,在售,住宅
9栋501,156.55,27474.00,126.46,34011.18,4301055.00,在售,住宅
9栋402,181.44,27871.00,146.56,34504.05,5056914.00,在售,住宅
9栋401,156.55,27374.00,126.46,33887.39,4285400.00,在售,住宅
9栋302,181.44,27791.00,146.56,34405.01,5042399.00,在售,住宅
9栋301,156.55,27294.00,126.46,33788.35,4272876.00,在售,住宅
9栋202,181.44,27711.00,146.56,34305.97,5027884.00,在售,住宅
9栋201,156.55,27214.00,126.46,33689.32,4260352.00,在售,住宅
8栋B单元3006,89.58,24470.00,69.40,31585.34,2192023.00,在售,住宅
8栋B单元3005,85.51,24470.00,66.25,31583.84,2092430.00,在售,住宅
8栋B单元3004,83.48,25250.00,64.68,32589.20,2107870.00,在售,住宅
8栋B单元3003,71.71,25250.00,55.56,32589.59,1810678.00,在售,住宅
8栋B单元3002,79.28,24763.00,61.42,31963.70,1963211.00,在售,住宅
8栋B单元3001,68.22,24763.00,52.85,31964.65,1689332.00,在售,住宅
8栋B单元2906,89.44,24316.00,69.40,31337.50,2174823.00,在售,住宅
8栋B单元2905,89.71,24316.00,69.61,31337.27,2181388.00,在售,住宅
8栋B单元2904,84.98,25081.00,65.94,32323.06,2131383.00,在售,住宅
8栋B单元2903,75.14,25081.00,58.31,32320.11,1884586.00,在售,住宅
8栋B单元2902,86.80,24587.00,67.35,31687.48,2134152.00,在售,住宅
8栋B单元2901,68.12,24587.00,52.86,31684.94,1674866.00,在售,住宅
8栋B单元2806,89.44,24256.00,69.40,31260.18,2169457.00,在售,住宅
8栋B单元2805,89.71,24256.00,69.61,31259.96,2176006.00,在售,住宅
8栋B单元2804,84.98,25031.00,65.94,32258.62,2127134.00,在售,住宅
8栋B单元2803,75.96,25031.00,58.95,32253.68,1901355.00,在售,住宅
8栋B单元2802,86.79,24527.00,67.35,31606.50,2128698.00,在售,住宅
8栋B单元2801,68.12,24527.00,52.86,31607.62,1670779.00,在售,住宅
8栋B单元2706,89.44,24196.00,69.40,31182.85,2164090.00,在售,住宅
8栋B单元2705,89.71,24196.00,69.61,31182.63,2170623.00,在售,住宅
8栋B单元2704,84.98,24981.00,65.94,32194.19,2122885.00,在售,住宅
8栋B单元2703,75.14,24981.00,58.31,32191.25,1877072.00,在售,住宅
8栋B单元2702,86.80,24467.00,67.35,31532.82,2123736.00,在售,住宅
8栋B单元2701,68.12,24467.00,52.85,31536.27,1666692.00,在售,住宅
8栋B单元2606,89.44,24136.00,69.40,31105.53,2158724.00,在售,住宅
8栋B单元2605,89.71,24136.00,69.61,31105.31,2165241.00,在售,住宅
8栋B单元2604,84.98,24931.00,65.94,32129.75,2118636.00,在售,住宅
8栋B单元2603,75.96,24931.00,58.95,32124.83,1893759.00,在售,住宅
8栋B单元2602,86.79,24407.00,67.35,31451.87,2118284.00,在售,住宅
8栋B单元2601,68.12,24407.00,52.86,31452.98,1662605.00,在售,住宅
