房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2号楼33B,89.61,29441.40,70.07,37651.54,2638244.00,在售,住宅
2号楼33A,89.61,30398.43,70.07,38875.46,2724004.00,在售,住宅
2号楼32D,176.30,45345.25,137.87,57984.83,7994369.00,在售,住宅
2号楼32C,88.57,35800.10,69.26,45781.33,3170815.00,在售,住宅
2号楼32B,89.12,31686.16,69.69,40520.46,2823871.00,在售,住宅
2号楼32A,89.12,32643.20,69.69,41744.32,2909162.00,在售,住宅
2号楼31D,122.40,33245.44,95.72,42511.94,4069243.00,在售,住宅
2号楼31C,88.57,34650.34,69.26,44311.01,3068981.00,在售,住宅
2号楼31B,89.12,30536.40,69.69,39050.13,2721404.00,在售,住宅
2号楼31A,89.12,31493.43,69.69,40273.99,2806695.00,在售,住宅
2号楼30D,122.36,34285.70,95.69,43841.56,4195199.00,在售,住宅
2号楼30C,88.53,35690.60,69.23,45640.45,3159689.00,在售,住宅
2号楼30B,89.08,31576.66,69.66,40379.68,2812849.00,在售,住宅
2号楼30A,89.08,32533.70,69.66,41603.53,2898102.00,在售,住宅
2号楼29D,122.40,33135.94,95.72,42371.91,4055840.00,在售,住宅
2号楼29C,88.57,34540.84,69.26,44170.99,3059283.00,在售,住宅
2号楼29B,89.12,30426.90,69.69,38910.11,2711646.00,在售,住宅
2号楼29A,89.12,31383.94,69.69,40133.97,2796937.00,在售,住宅
2号楼28D,122.36,34176.20,95.69,43701.54,4181801.00,在售,住宅
2号楼28C,88.53,35581.10,69.23,45500.43,3149995.00,在售,住宅
2号楼28B,89.08,31467.16,69.66,40239.66,2803095.00,在售,住宅
2号楼28A,89.08,32424.20,69.66,41463.50,2888348.00,在售,住宅
2号楼27D,122.40,33015.49,95.72,42217.89,4041097.00,在售,住宅
2号楼27C,88.57,34420.39,69.26,44016.95,3048614.00,在售,住宅
2号楼27B,89.12,30306.45,69.69,38756.07,2700911.00,在售,住宅
2号楼27A,89.12,31263.48,69.69,39979.93,2786202.00,在售,住宅
2号楼26D,122.36,34044.81,95.69,43533.52,4165723.00,在售,住宅
2号楼26C,88.53,35449.70,69.23,45332.39,3138362.00,在售,住宅
2号楼26B,89.08,31335.75,69.66,40071.61,2791389.00,在售,住宅
2号楼26A,89.08,32292.79,69.66,41295.46,2876642.00,在售,住宅
2号楼25D,122.40,32884.10,95.72,42049.87,4025014.00,在售,住宅
2号楼25C,88.57,34288.99,69.26,43848.91,3036976.00,在售,住宅
2号楼25B,89.12,30175.05,69.69,38588.04,2689201.00,在售,住宅
2号楼25A,89.12,31132.09,69.69,39811.90,2774492.00,在售,住宅
2号楼24D,122.36,33913.41,95.69,43365.50,4149645.00,在售,住宅
2号楼24C,88.53,35318.29,69.23,45164.36,3126729.00,在售,住宅
2号楼24B,89.08,31204.36,69.66,39903.60,2779685.00,在售,住宅
2号楼24A,89.08,32161.40,69.66,41127.44,2864938.00,在售,住宅
2号楼23D,122.40,32752.69,95.72,41881.84,4008930.00,在售,住宅
2号楼23C,88.57,34157.59,69.26,43680.88,3025338.00,在售,住宅
2号楼23B,89.12,30043.64,69.69,38420.00,2677490.00,在售,住宅
2号楼23A,89.12,31000.68,69.69,39643.86,2762781.00,在售,住宅
2号楼22D,122.36,33782.00,95.69,43197.47,4133566.00,在售,住宅
2号楼22C,88.53,35186.89,69.23,44996.33,3115096.00,在售,住宅
2号楼22B,89.08,31072.95,69.66,39735.55,2767979.00,在售,住宅
2号楼22A,89.08,32029.99,69.66,40959.40,2853232.00,在售,住宅
2号楼21D,122.40,32621.29,95.72,41713.82,3992847.00,在售,住宅
2号楼21C,88.57,34026.19,69.26,43512.85,3013700.00,在售,住宅
2号楼21B,89.12,29912.25,69.69,38251.97,2665780.00,在售,住宅
2号楼21A,89.12,30869.28,69.69,39475.83,2751071.00,在售,住宅
2号楼20D,122.36,33650.60,95.69,43029.44,4117488.00,在售,住宅
2号楼20C,88.53,25000.00,69.23,31969.00,2213250.00,在售,住宅
2号楼20B,89.08,30941.56,69.66,39567.54,2756275.00,在售,住宅
2号楼20A,89.08,31898.58,69.66,40791.35,2841526.00,在售,住宅
2号楼19D,122.40,32489.89,95.72,41545.78,3976763.00,在售,住宅
2号楼19C,88.57,33894.79,69.26,43344.81,3002062.00,在售,住宅
2号楼19B,89.12,29780.85,69.69,38083.94,2654070.00,在售,住宅
2号楼19A,89.12,30737.89,69.69,39307.80,2739361.00,在售,住宅
2号楼18D,122.36,33519.20,95.69,42861.42,4101410.00,在售,住宅
2号楼18C,88.53,34924.09,69.23,44660.26,3091830.00,在售,住宅
2号楼18B,89.08,30810.15,69.66,39399.49,2744569.00,在售,住宅
2号楼18A,89.08,31767.19,69.66,40623.34,2829822.00,在售,住宅
2号楼17D,122.40,32358.49,95.72,41377.76,3960680.00,在售,住宅
2号楼17C,88.57,33763.38,69.26,43176.76,2990423.00,在售,住宅
2号楼17B,89.12,29649.45,69.69,37915.89,2642359.00,在售,住宅
2号楼17A,89.12,30606.48,69.69,39139.76,2727650.00,在售,住宅
2号楼16D,122.36,33387.80,95.69,42693.40,4085332.00,在售,住宅
2号楼16C,88.53,24999.00,69.23,31969.00,2213213.00,在售,住宅
2号楼16B,89.08,30678.76,69.66,39231.46,2732864.00,在售,住宅
2号楼16A,89.08,31635.78,69.66,40455.29,2818116.00,在售,住宅
2号楼15D,122.40,32227.09,95.72,41209.73,3944596.00,在售,住宅
2号楼15C,88.57,33631.98,69.26,43008.73,2978785.00,在售,住宅
2号楼15B,89.12,29518.05,69.69,37747.86,2630649.00,在售,住宅
2号楼15A,89.12,30475.08,69.69,38971.73,2715940.00,在售,住宅
2号楼14D,122.36,33256.40,95.69,42525.38,4069254.00,在售,住宅
2号楼14C,88.53,34661.30,69.23,44324.20,3068565.00,在售,住宅
2号楼14B,89.08,30547.36,69.66,39063.43,2721159.00,在售,住宅
2号楼14A,89.08,31504.40,69.66,40287.28,2806412.00,在售,住宅
2号楼13D,122.40,32106.64,95.72,41055.71,3929853.00,在售,住宅
2号楼13C,88.57,33511.53,69.26,42854.70,2968117.00,在售,住宅
2号楼13B,89.12,29397.60,69.69,37593.84,2619915.00,在售,住宅
2号楼13A,89.12,30354.64,69.69,38817.70,2705206.00,在售,住宅
2号楼12D,122.36,33146.91,95.69,42385.36,4055856.00,在售,住宅
2号楼12C,88.53,34551.80,69.23,44184.18,3058871.00,在售,住宅
2号楼12B,89.08,30437.86,69.66,38923.41,2711405.00,在售,住宅
2号楼12A,89.08,31394.90,69.66,40147.25,2796658.00,在售,住宅
2号楼11D,122.40,31997.14,95.72,40915.69,3916450.00,在售,住宅
2号楼11C,88.57,33402.03,69.26,42714.66,2958418.00,在售,住宅
2号楼11B,89.12,29288.10,69.69,37453.80,2610156.00,在售,住宅
2号楼11A,89.12,30245.14,69.69,38677.67,2695447.00,在售,住宅
2号楼10D,122.36,33037.40,95.69,42245.34,4042457.00,在售,住宅
2号楼10C,88.53,34442.30,69.23,44044.15,3049177.00,在售,住宅
2号楼10B,89.08,30328.36,69.66,38783.39,2701651.00,在售,住宅
