房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3栋40D,88.90,55262.80,68.23,72004.44,4912863.31,在售,住宅
3栋40C,88.90,55456.74,68.23,72257.13,4930104.49,在售,住宅
3栋40B,87.63,57842.12,67.25,75371.08,5068705.23,在售,住宅
3栋40A,123.71,59380.81,94.94,77375.18,7346000.20,在售,住宅
3栋39D,88.90,45262.80,68.23,58974.98,4023863.31,在售,住宅
3栋39C,88.90,45456.74,68.23,59227.67,4041104.49,在售,住宅
3栋39B,87.63,47842.12,67.25,62340.59,4192405.23,在售,住宅
3栋39A,123.71,57920.00,94.94,75471.00,7165283.00,在售,住宅
3栋38D,88.90,45239.74,68.23,58944.94,4021813.53,在售,住宅
3栋38C,88.90,45433.68,68.23,59197.63,4039054.70,在售,住宅
3栋38B,87.63,47818.82,67.25,62310.24,4190363.68,在售,住宅
3栋38A,123.71,49357.92,94.94,64315.03,6106069.33,在售,住宅
3栋37D,88.90,45216.69,68.23,58914.90,4019763.74,在售,住宅
3栋37C,88.90,45410.62,68.23,59167.59,4037004.92,在售,住宅
3栋37B,87.63,47795.52,67.25,62279.88,4188322.12,在售,住宅
3栋37A,123.71,49335.04,94.94,64285.21,6103238.45,在售,住宅
3栋36D,88.90,45193.63,68.23,58884.85,4017713.96,在售,住宅
3栋36C,88.90,45387.57,68.23,59137.55,4034955.13,在售,住宅
3栋36B,87.63,47772.23,67.25,62249.52,4186280.57,在售,住宅
3栋36A,123.71,57841.00,94.94,75368.00,7155510.00,在售,住宅
3栋35D,88.90,45170.57,68.23,58854.81,4015664.18,在售,住宅
3栋35C,88.90,45364.51,68.23,59107.50,4032905.35,在售,住宅
3栋35B,87.63,47748.93,67.25,62219.16,4184239.01,在售,住宅
3栋35A,123.71,49289.27,94.94,64225.58,6097576.71,在售,住宅
3栋34D,88.90,45147.51,68.23,58824.77,4013614.39,在售,住宅
3栋34C,88.90,45341.45,68.23,59077.46,4030855.57,在售,住宅
3栋34B,87.63,47725.63,67.25,62188.80,4182197.45,在售,住宅
3栋34A,123.71,49266.39,94.94,64195.76,6094745.84,在售,住宅
3栋33D,88.90,45124.46,68.23,58794.73,4011564.61,在售,住宅
3栋33C,88.90,45318.40,68.23,59047.42,4028805.78,在售,住宅
3栋33B,87.63,47702.33,67.25,62158.45,4180155.90,在售,住宅
3栋33A,123.71,49243.51,94.94,64165.94,6091914.97,在售,住宅
3栋32D,88.90,45101.40,68.23,58764.69,4009514.82,在售,住宅
3栋32C,88.90,45295.34,68.23,59017.38,4026756.00,在售,住宅
3栋32B,87.63,47679.04,67.25,62128.09,4178114.34,在售,住宅
3栋32A,123.71,57734.00,94.94,75229.00,7142273.00,在售,住宅
3栋31D,88.90,45078.34,68.23,58734.64,4007465.04,在售,住宅
3栋31C,88.90,45272.28,68.23,58987.34,4024706.21,在售,住宅
3栋31B,87.63,47655.74,67.25,62097.73,4176072.79,在售,住宅
3栋31A,123.71,57708.00,94.94,75195.00,7139056.00,在售,住宅
3栋30D,88.90,45055.28,68.23,58704.60,4005415.26,在售,住宅
3栋30C,88.90,45249.22,68.23,58957.29,4022656.43,在售,住宅
3栋30B,87.63,47632.44,67.25,62067.37,4174031.23,在售,住宅
3栋30A,123.71,57681.00,94.94,75160.00,7135716.00,在售,住宅
3栋29D,88.90,43879.37,68.23,57172.45,3900876.27,在售,住宅
3栋29C,88.90,44073.31,68.23,57425.14,3918117.45,在售,住宅
