房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
半地下室N32,66.57,90000.00,57.56,104087.91,5991300.00,在售,商业
半地下室N31,70.18,90000.00,60.68,104090.31,6316200.00,在售,商业
半地下室N30,60.18,90000.00,52.03,104097.64,5416200.00,在售,商业
半地下室N29,58.28,90000.00,50.39,104092.08,5245200.00,在售,商业
半地下室N28,58.31,90000.00,50.42,104083.70,5247900.00,在售,商业
半地下室N27,60.04,90000.00,51.91,104095.55,5403600.00,在售,商业
半地下室N26,55.35,90000.00,47.86,104084.83,4981500.00,在售,商业
半地下室N25,57.93,90000.00,50.09,104086.64,5213700.00,在售,商业
半地下室N24,43.48,90000.00,37.60,104074.47,3913200.00,在售,商业
半地下室N23,42.07,90000.00,36.38,104076.42,3786300.00,在售,商业
半地下室N22,69.43,90000.00,60.04,104075.62,6248700.00,在售,商业
半地下室N21,62.61,90000.00,54.14,104080.16,5634900.00,在售,商业
半地下室N20,52.46,90000.00,45.36,104087.30,4721400.00,在售,商业
半地下室N19,49.96,90000.00,43.20,104083.33,4496400.00,在售,商业
半地下室N18,45.57,90000.00,39.40,104093.91,4101300.00,在售,商业
半地下室N17,50.86,90000.00,43.98,104079.13,4577400.00,在售,商业
半地下室N16,64.75,90000.00,55.99,104081.09,5827500.00,在售,商业
半地下室N15,52.51,90000.00,45.40,104094.71,4725900.00,在售,商业
半地下室N14,57.05,90000.00,49.33,104084.74,5134500.00,在售,商业
半地下室N13,59.67,90000.00,51.59,104095.75,5370300.00,在售,商业
半地下室N12,42.43,90000.00,36.69,104080.13,3818700.00,在售,商业
半地下室N11,38.68,90000.00,33.44,104102.87,3481200.00,在售,商业
半地下室N10,41.98,90000.00,36.30,104082.64,3778200.00,在售,商业
半地下室N09,44.78,90000.00,38.72,104085.74,4030200.00,在售,商业
半地下室N08,49.91,90000.00,43.16,104075.53,4491900.00,在售,商业
半地下室N07,96.46,90000.00,83.40,104093.53,8681400.00,在售,商业
半地下室N06,40.53,90000.00,35.04,104101.03,3647700.00,在售,商业
半地下室N05,58.39,90000.00,50.49,104082.00,5255100.00,在售,商业
半地下室N04,52.93,90000.00,45.77,104079.09,4763700.00,在售,商业
半地下室N03,45.15,90000.00,39.04,104085.55,4063500.00,在售,商业
半地下室N02,58.76,90000.00,50.80,104102.36,5288400.00,在售,商业
半地下室N01,116.19,90000.00,100.47,104081.82,10457100.00,在售,商业
4栋N29,60.10,84000.00,51.97,97140.66,5048400.00,在售,商业
4栋N28,58.29,84000.00,50.40,97150.00,4896360.00,在售,商业
4栋N27,58.02,84000.00,50.17,97143.31,4873680.00,在售,商业
4栋N26,60.03,84000.00,51.91,97139.66,5042520.00,在售,商业
4栋N25,83.47,84000.00,72.17,97152.28,7011480.00,在售,商业
4栋N24,46.12,84000.00,39.88,97143.43,3874080.00,在售,商业
4栋N23,55.07,84000.00,47.62,97141.54,4625880.00,在售,商业
4栋N22,42.07,84000.00,36.38,97137.99,3533880.00,在售,商业
4栋N21,68.03,84000.00,58.83,97136.16,5714520.00,在售,商业
4栋N20,46.88,84000.00,40.53,97160.62,3937920.00,在售,商业
4栋N19,44.08,84000.00,38.11,97158.75,3702720.00,在售,商业
4栋N18,41.98,84000.00,36.30,97143.80,3526320.00,在售,商业
4栋N17,37.56,84000.00,32.47,97167.85,3155040.00,在售,商业
4栋N16,42.00,84000.00,36.31,97163.32,3528000.00,在售,商业
4栋N15,64.65,84000.00,55.90,97148.48,5430600.00,在售,商业
4栋N14,48.75,84000.00,42.15,97153.02,4095000.00,在售,商业
4栋N13,54.28,84000.00,46.93,97155.76,4559520.00,在售,商业
4栋N12,59.58,84000.00,51.51,97160.16,5004720.00,在售,商业
4栋N11,42.11,84000.00,36.41,97150.23,3537240.00,在售,商业
4栋N10,37.56,84000.00,32.47,97167.85,3155040.00,在售,商业
4栋N09,41.98,84000.00,36.30,97143.80,3526320.00,在售,商业
4栋N08,44.78,84000.00,38.72,97146.69,3761520.00,在售,商业
4栋N07,49.91,84000.00,43.16,97137.16,4192440.00,在售,商业
4栋N06,96.25,84000.00,83.23,97140.45,8085000.00,在售,商业
4栋N05,40.68,84000.00,35.18,97132.46,3417120.00,在售,商业
4栋N04,58.44,84000.00,50.53,97149.42,4908960.00,在售,商业
4栋N03,52.93,84000.00,45.77,97140.49,4446120.00,在售,商业
4栋N02,45.15,84000.00,39.04,97146.52,3792600.00,在售,商业
4栋N01,59.22,84000.00,51.20,97157.81,4974480.00,在售,商业
2栋S23,49.23,140000.00,45.68,150880.00,6892200.00,在售,商业
2栋S22,32.39,140000.00,30.05,150901.00,4534600.00,在售,商业
2栋S21,35.29,140000.00,32.74,150904.00,4940600.00,在售,商业
2栋S20,36.92,140000.00,34.25,150913.00,5168800.00,在售,商业
2栋S19,38.90,140000.00,36.09,150900.00,5446000.00,在售,商业
2栋S18,32.33,140000.00,29.99,150923.00,4526200.00,在售,商业
2栋S17,38.06,140000.00,35.31,150903.00,5328400.00,在售,商业
2栋S14,38.59,140000.00,35.81,150868.00,5402600.00,在售,商业
2栋S11,45.42,140000.00,42.14,150897.00,6358800.00,在售,商业
2栋S10,42.25,140000.00,39.20,150892.00,5915000.00,在售,商业
2栋S09,51.32,140000.00,47.61,150909.00,7184800.00,在售,商业
2栋S08,38.54,140000.00,35.76,150883.00,5395600.00,在售,商业
2栋S07,43.79,140000.00,40.63,150888.00,6130600.00,在售,商业
2栋S06,32.26,140000.00,29.93,150898.00,4516400.00,在售,商业
2栋S05,32.20,140000.00,29.87,150920.00,4508000.00,在售,商业
2栋S04,38.59,140000.00,35.80,150910.00,5402600.00,在售,商业
2栋S03,33.69,140000.00,31.26,150882.00,4716600.00,在售,商业
4栋B座38D,85.80,55193.00,64.75,73136.05,4735559.40,在售,住宅
4栋B座38C,85.80,54036.00,64.75,71602.91,4636288.80,在售,住宅
4栋B座38B,89.85,57196.00,67.81,75786.17,5139060.60,在售,住宅
4栋B座38A,89.85,57966.00,67.81,76806.44,5208245.10,在售,住宅
4栋B座37D,85.80,45192.99,64.75,59885.08,3877559.00,在售,住宅
4栋B座37C,85.80,51082.00,64.75,67688.00,4382835.00,在售,住宅
4栋B座37B,89.85,54748.00,67.81,72542.00,4919107.00,在售,住宅
4栋B座37A,89.85,47965.99,67.81,63556.18,4309745.00,在售,住宅
4栋B座36D,85.80,45170.00,64.75,59854.61,3875586.00,在售,住宅
4栋B座36C,85.80,44012.99,64.75,58321.46,3776315.00,在售,住宅
4栋B座36B,89.85,54721.00,67.81,72506.00,4916681.00,在售,住宅
4栋B座36A,89.85,47943.00,67.81,63525.71,4307679.00,在售,住宅
4栋B座35D,85.80,52371.00,64.75,69396.00,4493431.00,在售,住宅
4栋B座35C,85.80,43990.00,64.75,58290.99,3774342.00,在售,住宅
4栋B座35B,89.85,47150.00,67.81,62474.97,4236428.00,在售,住宅
4栋B座35A,89.85,47920.00,67.81,63495.23,4305612.00,在售,住宅
4栋B座34D,85.80,44547.99,64.75,59030.39,3822218.00,在售,住宅
4栋B座34C,85.80,43967.00,64.75,58260.52,3772369.00,在售,住宅
