房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
B座907,89.07,39876.00,64.12,55392.31,3551755.32,在售,住宅
B座906,89.22,39399.00,64.22,54736.51,3515178.78,在售,住宅
B座905,89.22,39399.00,64.22,54736.51,3515178.78,在售,住宅
B座903,89.22,39399.00,64.22,54736.51,3515178.78,在售,住宅
B座902,89.22,39399.00,64.22,54736.51,3515178.78,在售,住宅
B座901,89.07,39876.00,64.12,55392.31,3551755.32,在售,住宅
B座807,89.07,39776.00,64.12,55253.40,3542848.32,在售,住宅
B座806,89.22,39299.00,64.22,54597.58,3506256.78,在售,住宅
B座805,89.22,39299.00,64.22,54597.58,3506256.78,在售,住宅
B座803,89.22,39299.00,64.22,54597.58,3506256.78,在售,住宅
B座802,89.22,39299.00,64.22,54597.58,3506256.78,在售,住宅
B座801,89.07,39776.00,64.12,55253.40,3542848.32,在售,住宅
B座707,89.07,39676.00,64.12,55114.49,3533941.32,在售,住宅
B座706,89.22,39199.00,64.22,54458.65,3497334.78,在售,住宅
B座705,89.22,39199.00,64.22,54458.65,3497334.78,在售,住宅
B座703,89.22,39199.00,64.22,54458.65,3497334.78,在售,住宅
B座702,89.22,39199.00,64.22,54458.65,3497334.78,在售,住宅
B座701,89.07,39676.00,64.12,55114.49,3533941.32,在售,住宅
B座607,89.07,39576.00,64.12,54975.58,3525034.32,在售,住宅
B座606,89.22,39099.00,64.22,54319.72,3488412.78,在售,住宅
B座605,89.22,39099.00,64.22,54319.72,3488412.78,在售,住宅
B座603,89.22,39099.00,64.22,54319.72,3488412.78,在售,住宅
B座602,89.22,39099.00,64.22,54319.72,3488412.78,在售,住宅
B座601,89.07,39576.00,64.12,54975.58,3525034.32,在售,住宅
B座507,89.07,40226.00,64.12,55878.50,3582929.82,在售,住宅
B座506,89.22,39749.00,64.22,55222.76,3546405.78,在售,住宅
B座505,89.22,39749.00,64.22,55222.76,3546405.78,在售,住宅
B座503,89.22,39749.00,64.22,55222.76,3546405.78,在售,住宅
B座502,89.22,39749.00,64.22,55222.76,3546405.78,在售,住宅
B座501,89.07,40226.00,64.12,55878.50,3582929.82,在售,住宅
B座1507,89.07,40476.00,64.12,56225.78,3605197.32,在售,住宅
B座1506,89.22,39999.00,64.22,55570.08,3568710.78,在售,住宅
B座1505,89.22,39999.00,64.22,55570.08,3568710.78,在售,住宅
B座1503,89.22,39999.00,64.22,55570.08,3568710.78,在售,住宅
B座1502,89.22,39999.00,64.22,55570.08,3568710.78,在售,住宅
B座1501,89.07,40476.00,64.12,56225.78,3605197.32,在售,住宅
B座1407,89.07,40376.00,64.12,56086.87,3596290.32,在售,住宅
B座1406,89.22,39899.00,64.22,55431.15,3559788.78,在售,住宅
B座1405,89.22,39899.00,64.22,55431.15,3559788.78,在售,住宅
B座1403,89.22,39899.00,64.22,55431.15,3559788.78,在售,住宅
B座1402,89.22,39899.00,64.22,55431.15,3559788.78,在售,住宅
B座1401,89.07,40376.00,64.12,56086.87,3596290.32,在售,住宅
B座1307,89.07,40276.00,64.12,55947.96,3587383.32,在售,住宅
B座1306,89.22,39799.00,64.22,55292.22,3550866.78,在售,住宅
B座1305,89.22,39799.00,64.22,55292.22,3550866.78,在售,住宅
B座1303,89.22,39799.00,64.22,55292.22,3550866.78,在售,住宅
B座1302,89.22,39799.00,64.22,55292.22,3550866.78,在售,住宅
B座1301,89.07,40276.00,64.12,55947.96,3587383.32,在售,住宅
B座1207,89.07,40176.00,64.12,55809.05,3578476.32,在售,住宅
B座1206,89.22,39699.00,64.22,55153.29,3541944.78,在售,住宅
B座1205,89.22,39699.00,64.22,55153.29,3541944.78,在售,住宅
B座1203,89.22,39699.00,64.22,55153.29,3541944.78,在售,住宅
