房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
99商铺,49.23,60000.00,47.39,62329.60,2953800.00,在售,商业
98商铺,35.46,60000.00,34.13,62338.11,2127600.00,在售,商业
97商铺,33.88,60000.00,32.61,62336.70,2032800.00,在售,商业
96商铺,58.33,60000.00,56.15,62329.47,3499800.00,在售,商业
95商铺,35.69,60000.00,34.35,62340.61,2141400.00,在售,商业
94商铺,46.76,60000.00,45.01,62332.81,2805600.00,在售,商业
93商铺,44.73,60000.00,43.05,62341.46,2683800.00,在售,商业
92商铺,44.18,60000.00,42.53,62327.76,2650800.00,在售,商业
91商铺,44.18,60000.00,42.52,62342.42,2650800.00,在售,商业
90商铺,44.18,60000.00,42.53,62327.76,2650800.00,在售,商业
89商铺,46.36,60000.00,44.62,62339.75,2781600.00,在售,商业
88商铺,16.41,60000.00,15.80,62316.45,984600.00,在售,商业
87商铺,46.36,60000.00,44.63,62325.78,2781600.00,在售,商业
86商铺,44.18,60000.00,42.52,62342.42,2650800.00,在售,商业
85商铺,49.09,60000.00,47.25,62336.50,2945400.00,在售,商业
84商铺,63.24,60000.00,60.87,62336.12,3794400.00,在售,商业
83商铺,54.60,60000.00,52.55,62340.62,3276000.00,在售,商业
82商铺,49.16,60000.00,47.32,62333.05,2949600.00,在售,商业
81商铺,73.11,60000.00,70.37,62336.22,4386600.00,在售,商业
80商铺,14.43,60000.00,13.89,62332.61,865800.00,在售,商业
79商铺,24.69,60000.00,23.76,62348.48,1481400.00,在售,商业
78商铺,29.06,60000.00,27.97,62338.21,1743600.00,在售,商业
77商铺,52.99,60000.00,48.29,65839.71,3179400.00,在售,商业
76商铺,53.93,60000.00,49.15,65835.19,3235800.00,在售,商业
75商铺,29.06,60000.00,27.97,62338.21,1743600.00,在售,商业
74商铺,19.93,60000.00,19.19,62313.70,1195800.00,在售,商业
73商铺,59.17,60000.00,56.95,62338.89,3550200.00,在售,商业
72商铺,53.65,60000.00,51.64,62335.39,3219000.00,在售,商业
71商铺,55.64,60000.00,53.55,62341.73,3338400.00,在售,商业
70商铺,92.95,60000.00,89.46,62340.71,5577000.00,在售,商业
69商铺,38.22,60000.00,36.79,62332.15,2293200.00,在售,商业
68商铺,34.40,60000.00,33.11,62337.66,2064000.00,在售,商业
67商铺,40.40,60000.00,38.88,62345.67,2424000.00,在售,商业
66商铺,27.73,60000.00,26.69,62337.95,1663800.00,在售,商业
65商铺,24.80,60000.00,23.87,62337.66,1488000.00,在售,商业
64商铺,44.52,60000.00,42.85,62338.38,2671200.00,在售,商业
63商铺,41.43,60000.00,39.87,62347.62,2485800.00,在售,商业
62商铺,30.13,60000.00,29.00,62337.93,1807800.00,在售,商业
61商铺,33.75,60000.00,32.48,62346.05,2025000.00,在售,商业
60商铺,33.75,60000.00,32.48,62346.05,2025000.00,在售,商业
59商铺,30.13,60000.00,29.00,62337.93,1807800.00,在售,商业
58商铺,41.43,60000.00,39.88,62331.99,2485800.00,在售,商业
57商铺,44.52,60000.00,42.85,62338.38,2671200.00,在售,商业
56商铺,24.80,60000.00,23.87,62337.66,1488000.00,在售,商业
55商铺,27.58,60000.00,26.54,62351.16,1654800.00,在售,商业
54商铺,68.86,60000.00,66.28,62335.54,4131600.00,在售,商业
53商铺,98.00,60000.00,94.32,62340.96,5880000.00,在售,商业
52商铺,112.19,60000.00,107.98,62339.32,6731400.00,在售,商业
51商铺,68.88,60000.00,66.29,62344.24,4132800.00,在售,商业
50商铺,27.57,60000.00,26.54,62328.56,1654200.00,在售,商业
49商铺,24.80,60000.00,23.87,62337.66,1488000.00,在售,商业
48商铺,44.52,60000.00,42.85,62338.38,2671200.00,在售,商业
47商铺,41.43,60000.00,39.88,62331.99,2485800.00,在售,商业
46商铺,30.13,60000.00,29.00,62337.93,1807800.00,在售,商业
45商铺,33.75,60000.00,32.48,62346.05,2025000.00,在售,商业
44商铺,47.61,60000.00,45.82,62343.95,2856600.00,在售,商业
43商铺,44.59,60000.00,42.92,62334.57,2675400.00,在售,商业
42商铺,33.64,60000.00,32.38,62334.77,2018400.00,在售,商业
41商铺,30.24,60000.00,29.10,62350.51,1814400.00,在售,商业
40商铺,41.43,60000.00,39.88,62331.99,2485800.00,在售,商业
39商铺,34.08,60000.00,32.80,62341.46,2044800.00,在售,商业
38商铺,24.91,60000.00,23.97,62352.94,1494600.00,在售,商业
37商铺,27.62,60000.00,26.59,62324.18,1657200.00,在售,商业
36商铺,20.29,60000.00,19.53,62334.86,1217400.00,在售,商业
35商铺,24.19,60000.00,23.28,62345.36,1451400.00,在售,商业
34商铺,27.73,60000.00,26.69,62337.95,1663800.00,在售,商业
33商铺,30.85,60000.00,29.70,62323.23,1851000.00,在售,商业
32商铺,58.24,60000.00,56.05,62344.33,3494400.00,在售,商业
31商铺,122.25,60000.00,117.67,62335.34,7335000.00,在售,商业
30商铺,123.86,60000.00,119.21,62340.40,7431600.00,在售,商业
29商铺,122.31,60000.00,117.72,62339.44,7338600.00,在售,商业
复式28商铺,226.65,60000.00,218.16,62334.98,13599000.00,在售,商业
复式27商铺,293.00,60000.00,282.03,62333.79,17580000.00,在售,商业
26商铺,59.47,60000.00,57.24,62337.52,3568200.00,在售,商业
25商铺,48.18,60000.00,46.37,62342.03,2890800.00,在售,商业
24商铺,43.21,60000.00,41.58,62352.09,2592600.00,在售,商业
23商铺,42.18,60000.00,40.60,62334.97,2530800.00,在售,商业
22商铺,31.28,60000.00,30.11,62331.45,1876800.00,在售,商业
21商铺,25.44,60000.00,24.49,62327.48,1526400.00,在售,商业
20商铺,50.79,60000.00,48.88,62344.51,3047400.00,在售,商业
19商铺,53.08,60000.00,51.09,62337.05,3184800.00,在售,商业
18商铺,45.53,60000.00,43.82,62341.39,2731800.00,在售,商业
17商铺,29.71,60000.00,28.60,62328.67,1782600.00,在售,商业
16商铺,39.74,60000.00,35.03,68067.37,2384400.00,在售,商业
15商铺,40.41,60000.00,35.62,68068.50,2424600.00,在售,商业
14商铺,50.36,60000.00,48.47,62339.59,3021600.00,在售,商业
13商铺,46.51,60000.00,44.77,62331.91,2790600.00,在售,商业
12商铺,88.99,60000.00,85.65,62339.75,5339400.00,在售,商业
112商铺,50.77,60000.00,48.86,62345.47,3046200.00,在售,商业
111商铺,27.21,60000.00,26.19,62336.76,1632600.00,在售,商业
110商铺,30.30,60000.00,29.16,62345.67,1818000.00,在售,商业
11商铺,61.01,60000.00,58.72,62339.91,3660600.00,在售,商业
109商铺,73.73,60000.00,70.96,62342.16,4423800.00,在售,商业
108商铺,77.30,60000.00,74.40,62338.70,4638000.00,在售,商业
107商铺,60.59,60000.00,58.32,62335.39,3635400.00,在售,商业
106商铺,60.59,60000.00,58.32,62335.39,3635400.00,在售,商业
105商铺,60.59,60000.00,58.32,62335.39,3635400.00,在售,商业
104商铺,60.59,60000.00,58.32,62335.39,3635400.00,在售,商业
103商铺,60.59,60000.00,58.32,62335.39,3635400.00,在售,商业
102商铺,63.59,60000.00,61.20,62343.13,3815400.00,在售,商业
101商铺,60.46,60000.00,58.19,62340.60,3627600.00,在售,商业
100商铺,35.93,60000.00,34.58,62342.39,2155800.00,在售,商业
10商铺,61.01,60000.00,58.73,62329.30,3660600.00,在售,商业
09商铺,55.74,60000.00,53.65,62337.37,3344400.00,在售,商业
08商铺,55.74,60000.00,53.65,62337.37,3344400.00,在售,商业
07商铺,59.05,60000.00,56.84,62332.86,3543000.00,在售,商业
06商铺,52.25,60000.00,50.29,62338.43,3135000.00,在售,商业
05商铺,63.14,60000.00,60.77,62339.97,3788400.00,在售,商业
04商铺,39.18,60000.00,34.20,68736.84,2350800.00,在售,商业
03商铺,31.14,60000.00,27.19,68716.43,1868400.00,在售,商业
02商铺,20.90,60000.00,20.11,62357.03,1254000.00,在售,商业
01商铺,24.61,60000.00,23.69,62330.09,1476600.00,在售,商业
J座3105,87.10,43458.00,65.79,57534.00,3785191.00,在售,住宅
J座3105,88.88,43258.00,67.68,56808.00,3844771.00,在售,住宅
J座复式3104,161.95,64000.00,122.90,84335.00,10364800.00,在售,住宅
J座复式3103,161.95,64000.00,122.90,84335.00,10364800.00,在售,住宅
J座复式3102,161.60,64000.00,122.66,84317.00,10342400.00,在售,住宅
J座复式3101,219.85,66000.00,166.92,86928.00,14510100.00,在售,住宅
J座3005,88.95,43228.00,67.68,56813.00,3845130.00,在售,住宅
J座3004,88.87,43439.00,67.62,57089.00,3860423.00,在售,住宅
J座3003,89.10,43452.00,67.80,57102.00,3871573.00,在售,住宅
J座3002,90.14,43435.00,68.59,57081.00,3915230.00,在售,住宅
J座3001,141.88,46734.00,107.96,61417.00,6630619.00,在售,住宅
J座2905,88.94,43198.00,67.68,56767.00,3842030.00,在售,住宅
J座2904,88.87,43409.00,67.62,57050.00,3857757.00,在售,住宅
J座2903,89.10,43422.00,67.80,57063.00,3868900.00,在售,住宅
J座2902,90.14,43405.00,68.59,57042.00,3912526.00,在售,住宅
J座2901,142.72,46654.00,108.60,61311.00,6658458.00,在售,住宅
J座2805,88.95,43168.00,67.68,56734.00,3839793.00,在售,住宅
J座2804,88.87,43379.00,67.62,57011.00,3855091.00,在售,住宅
J座2803,89.10,43392.00,67.80,57024.00,3866227.00,在售,住宅
J座2802,90.14,43375.00,68.59,57002.00,3909822.00,在售,住宅
J座2801,141.88,46574.00,107.96,61207.00,6607919.00,在售,住宅
J座2705,88.94,43138.00,67.68,56688.00,3836693.00,在售,住宅
J座2704,88.87,43349.00,67.62,56971.00,3852425.00,在售,住宅
J座2703,89.10,43362.00,67.80,56984.00,3863554.00,在售,住宅
J座2702,90.14,43345.00,68.59,56963.00,3907118.00,在售,住宅
J座2701,142.72,46494.00,108.60,61101.00,6635623.00,在售,住宅
J座2605,88.95,43108.00,67.68,56655.00,3834456.00,在售,住宅
J座2604,88.87,43319.00,67.62,56932.00,3849759.00,在售,住宅
J座2603,89.10,43332.00,67.80,56945.00,3860881.00,在售,住宅
J座2602,90.14,43315.00,68.59,56923.00,3904414.00,在售,住宅
J座2601,141.88,46414.00,107.96,60996.00,6585218.00,在售,住宅
J座2505,88.94,43078.00,67.68,56609.00,3831357.00,在售,住宅
J座2504,88.87,43289.00,67.62,56892.00,3847093.00,在售,住宅
J座2503,89.10,43302.00,67.80,56905.00,3858208.00,在售,住宅
J座2502,90.14,43285.00,68.59,56884.00,3901709.00,在售,住宅
J座2501,142.72,46333.00,108.60,60891.00,6612762.00,在售,住宅
J座2405,88.88,43048.00,67.63,56574.00,3826106.00,在售,住宅
J座2404,88.86,43259.00,67.61,56855.00,3843994.00,在售,住宅
J座2403,89.09,43272.00,67.79,56868.00,3855102.00,在售,住宅
J座2402,90.11,43255.00,68.56,56851.00,3897708.00,在售,住宅
J座2401,141.82,46254.00,107.91,60789.00,6559742.00,在售,住宅
J座2305,88.88,43018.00,67.63,56534.00,3823439.00,在售,住宅
J座2304,88.86,43229.00,67.61,56815.00,3841328.00,在售,住宅
J座2303,89.09,43242.00,67.79,56828.00,3852429.00,在售,住宅
J座2302,90.10,43225.00,68.56,56805.00,3894572.00,在售,住宅
J座2301,142.65,46174.00,108.55,60679.00,6586721.00,在售,住宅
J座2205,88.88,42988.00,67.63,56495.00,3820773.00,在售,住宅
J座2204,88.86,43199.00,67.61,56776.00,3838663.00,在售,住宅
J座2203,89.09,43212.00,67.79,56789.00,3849757.00,在售,住宅
J座2202,90.11,43195.00,68.56,56772.00,3892301.00,在售,住宅
J座2201,141.82,46094.00,107.91,60578.00,6537051.00,在售,住宅
J座2105,88.88,42958.00,67.63,56455.00,3818107.00,在售,住宅
J座2104,88.86,43169.00,67.61,56737.00,3835997.00,在售,住宅
J座2103,89.09,43181.00,67.79,56750.00,3847082.00,在售,住宅
J座2102,90.10,43165.00,68.56,56726.00,3889166.00,在售,住宅
J座2101,142.65,46014.00,108.55,60468.00,6563897.00,在售,住宅
J座2005,88.88,42928.00,67.63,56416.00,3815440.00,在售,住宅
J座2004,88.86,43139.00,67.61,56697.00,3833331.00,在售,住宅
J座2003,89.09,43152.00,67.79,56710.00,3844411.00,在售,住宅
J座2002,90.11,43135.00,68.56,56693.00,3886894.00,在售,住宅
J座2001,141.82,45934.00,107.91,60368.00,6514359.00,在售,住宅
J座1905,88.88,42898.00,67.63,56376.00,3812774.00,在售,住宅
J座1904,88.86,43109.00,67.61,56658.00,3830665.00,在售,住宅
J座1903,89.09,43122.00,67.79,56671.00,3841738.00,在售,住宅
J座1902,90.10,43105.00,68.56,56647.00,3883760.00,在售,住宅
J座1901,142.65,45854.00,108.55,60258.00,6541073.00,在售,住宅
J座1805,88.88,42868.00,67.63,56337.00,3810107.00,在售,住宅
J座1804,88.86,43079.00,67.61,56618.00,3827999.00,在售,住宅
J座1803,89.09,43092.00,67.79,56631.00,3839066.00,在售,住宅
J座1802,90.11,43075.00,68.56,56614.00,3881488.00,在售,住宅
J座1801,141.82,45774.00,107.91,60158.00,6491668.00,在售,住宅
J座1705,88.88,42838.00,67.63,56298.00,3807441.00,在售,住宅
J座1704,88.86,43049.00,67.61,56579.00,3825334.00,在售,住宅
J座1703,89.09,43062.00,67.79,56592.00,3836393.00,在售,住宅
J座1702,90.10,43045.00,68.56,56568.00,3878354.00,在售,住宅
J座1701,142.65,45694.00,108.55,60048.00,6518249.00,在售,住宅
J座1605,88.88,42808.00,67.63,56258.00,3804775.00,在售,住宅
J座1604,88.86,43019.00,67.61,56539.00,3822668.00,在售,住宅
J座1603,89.09,43032.00,67.79,56552.00,3833720.00,在售,住宅
J座1602,90.11,43015.00,68.56,56535.00,3876081.00,在售,住宅
J座1601,141.82,45614.00,107.91,59947.00,6468977.00,在售,住宅
J座1505,88.88,42778.00,67.63,56219.00,3802108.00,在售,住宅
J座1504,88.86,42989.00,67.61,56500.00,3820002.00,在售,住宅
J座1503,89.09,43002.00,67.79,56513.00,3831048.00,在售,住宅
J座1502,90.10,42985.00,68.56,56489.00,3872948.00,在售,住宅
J座1501,142.65,45534.00,108.55,59838.00,6495425.00,在售,住宅
J座1405,88.88,42748.00,67.63,56179.00,3799442.00,在售,住宅
J座1404,88.86,42959.00,67.61,56461.00,3817336.00,在售,住宅
J座1403,89.09,42972.00,67.79,56474.00,3828375.00,在售,住宅
J座1402,90.11,42955.00,68.56,56456.00,3870675.00,在售,住宅
J座1401,141.82,45454.00,107.91,59737.00,6446286.00,在售,住宅
J座1305,88.88,42718.00,67.63,56140.00,3796775.00,在售,住宅
J座1304,88.86,42929.00,67.61,56421.00,3814670.00,在售,住宅
J座1303,89.09,42942.00,67.79,56434.00,3825702.00,在售,住宅
J座1302,90.10,42925.00,68.56,56411.00,3867542.00,在售,住宅
J座1301,142.65,45374.00,108.55,59627.00,6472601.00,在售,住宅
J座1205,88.88,42688.00,67.63,56100.00,3794109.00,在售,住宅
J座1204,88.86,42899.00,67.61,56382.00,3812005.00,在售,住宅
J座1203,89.09,42912.00,67.79,56395.00,3823030.00,在售,住宅
J座1202,90.11,42895.00,68.56,56377.00,3865268.00,在售,住宅
J座1201,141.82,45294.00,107.91,59527.00,6423595.00,在售,住宅
J座1105,88.88,42658.00,67.63,56061.00,3791443.00,在售,住宅
