房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
B座4512,44.08,41667.00,25.18,72942.05,1836681.00,在售,办公
B座4511,76.70,128993.00,43.82,225781.90,9893763.00,在售,办公
B座4510,107.44,129493.00,61.37,226702.42,13912728.00,在售,办公
B座4509,76.16,122493.00,43.50,214461.31,9329067.00,在售,办公
B座4508,82.14,123493.00,46.92,216191.70,10143715.00,在售,办公
B座4507,100.08,135993.00,57.17,238065.05,13610179.00,在售,办公
B座4506,76.70,135493.00,43.81,237213.26,10392313.00,在售,办公
B座4505,107.44,136993.00,61.37,239832.62,14718528.00,在售,办公
B座4503,76.16,134493.00,43.50,235470.96,10242987.00,在售,办公
B座4502,82.14,135493.00,46.92,237199.38,11129395.00,在售,办公
B座4501,100.11,129993.00,57.19,227550.25,13013599.00,在售,办公
B座4412,44.08,41667.00,25.18,72942.05,1836681.00,在售,办公
B座4411,76.70,125493.00,43.82,219655.70,9625313.00,在售,办公
B座4410,107.44,125993.00,61.37,220575.00,13536688.00,在售,办公
B座4409,76.16,118993.00,43.50,208333.49,9062507.00,在售,办公
B座4408,82.14,119993.00,46.92,210064.47,9856225.00,在售,办公
B座4407,100.08,132493.00,57.17,231938.06,13259899.00,在售,办公
B座4406,76.70,131993.00,43.81,231085.66,10123863.00,在售,办公
B座4405,107.44,133493.00,61.37,233705.19,14342488.00,在售,办公
B座4403,76.16,130993.00,43.50,229343.14,9976427.00,在售,办公
B座4402,82.14,131493.00,46.92,230196.82,10800835.00,在售,办公
B座4401,100.11,125993.00,57.19,220548.33,12613159.00,在售,办公
B座4317,41.44,41667.00,25.18,68573.47,1726680.00,在售,办公
B座4316,72.11,121993.00,43.82,200751.14,8796915.00,在售,办公
B座4315,101.00,122493.00,61.37,201593.49,12371793.00,在售,办公
B座4313,71.59,115493.00,43.50,190072.27,8268144.00,在售,办公
B座4312,77.22,116493.00,46.92,191721.84,8995589.00,在售,办公
B座4311,94.08,128993.00,57.17,212273.23,12135661.00,在售,办公
B座4310,72.11,128493.00,43.81,211495.77,9265630.00,在售,办公
B座4309,101.00,129993.00,61.37,213936.66,13129293.00,在售,办公
B座4308,71.59,126493.00,43.50,208175.49,9055634.00,在售,办公
B座4307,72.64,125993.00,44.14,207343.27,9152132.00,在售,办公
B座4306,79.67,125493.00,48.41,206528.13,9998027.00,在售,办公
B座4305,79.49,124993.00,48.30,205707.95,9935694.00,在售,办公
B座4303,109.58,124493.00,66.58,204895.50,13641943.00,在售,办公
B座4302,67.57,123993.00,41.06,204047.90,8378207.00,在售,办公
B座4301,89.12,120993.00,54.16,199093.35,10782896.00,在售,办公
B座4217,41.44,41667.00,25.18,68573.47,1726680.00,在售,办公
B座4216,72.11,118493.00,43.82,194991.55,8544530.00,在售,办公
B座4215,101.00,118993.00,61.37,195833.35,12018293.00,在售,办公
B座4213,71.59,111993.00,43.50,184312.16,8017579.00,在售,办公
B座4212,77.22,112993.00,46.92,185961.61,8725319.00,在售,办公
B座4211,94.08,125493.00,57.17,206513.57,11806381.00,在售,办公
B座4210,72.11,124993.00,43.81,205734.87,9013245.00,在售,办公
B座4209,101.00,126493.00,61.37,208176.51,12775793.00,在售,办公
B座4208,71.59,122993.00,43.50,202415.37,8805069.00,在售,办公
B座4207,72.64,122493.00,44.14,201583.41,8897892.00,在售,办公
B座4206,79.67,121993.00,48.41,200768.06,9719182.00,在售,办公
B座4205,79.49,121493.00,48.30,199947.80,9657479.00,在售,办公
B座4203,109.58,120993.00,66.58,199135.07,13258413.00,在售,办公
B座4202,67.57,120493.00,41.06,198288.16,8141712.00,在售,办公
B座4201,89.12,117493.00,54.16,193334.12,10470976.00,在售,办公
B座4117,41.44,41667.00,25.18,68573.47,1726680.00,在售,办公
B座4116,72.11,114993.00,43.82,189231.97,8292145.00,在售,办公
B座4115,101.00,115493.00,61.37,190073.21,11664793.00,在售,办公
B座4113,71.59,108493.00,43.50,178552.04,7767014.00,在售,办公
B座4112,77.22,109493.00,46.92,180201.38,8455049.00,在售,办公
B座4111,94.08,121993.00,57.17,200753.90,11477101.00,在售,办公
B座4110,72.11,121493.00,43.81,199973.97,8760860.00,在售,办公
B座4109,101.00,122993.00,61.37,202416.37,12422293.00,在售,办公
B座4108,71.59,119493.00,43.50,196655.26,8554504.00,在售,办公
B座4107,72.64,118993.00,44.14,195823.56,8643652.00,在售,办公
B座4106,79.67,118493.00,48.41,195007.99,9440337.00,在售,办公
B座4105,79.49,117993.00,48.30,194187.66,9379264.00,在售,办公
B座4103,109.58,117493.00,66.58,193374.63,12874883.00,在售,办公
B座4102,67.57,116993.00,41.06,192528.42,7905217.00,在售,办公
B座4101,89.12,113993.00,54.16,187574.88,10159056.00,在售,办公
B座4017,41.44,41667.00,25.18,68573.47,1726680.00,在售,办公
B座4016,72.11,111493.00,43.82,183472.38,8039760.00,在售,办公
B座4015,101.00,111993.00,61.37,184313.06,11311293.00,在售,办公
B座4013,71.59,104993.00,43.50,172791.93,7516449.00,在售,办公
B座4012,77.22,104993.00,46.92,172795.37,8107559.00,在售,办公
B座4011,94.08,117493.00,57.17,193348.62,11053741.00,在售,办公
B座4010,72.11,117993.00,43.81,194213.07,8508475.00,在售,办公
B座4009,101.00,119493.00,61.37,196656.23,12068793.00,在售,办公
B座4008,71.59,116993.00,43.50,192540.89,8375529.00,在售,办公
B座4007,72.64,116493.00,44.14,191709.37,8462052.00,在售,办公
B座4006,79.67,115993.00,48.41,190893.65,9241162.00,在售,办公
B座4005,79.49,115493.00,48.30,190073.27,9180539.00,在售,办公
B座4003,109.58,112993.00,66.58,185968.35,12381773.00,在售,办公
B座4002,67.57,112493.00,41.06,185123.03,7601152.00,在售,办公
B座4001,89.12,110493.00,54.16,181815.65,9847136.00,在售,办公
B座3921,39.93,41667.00,25.18,66074.78,1663763.00,在售,办公
B座3920,69.48,107993.00,43.82,171231.26,7503354.00,在售,办公
B座3919,97.31,108493.00,61.37,172029.55,10557454.00,在售,办公
B座3918,68.98,101493.00,43.50,160942.22,7000987.00,在售,办公
B座3917,69.99,100993.00,44.14,160138.19,7068500.00,在售,办公
B座3916,76.77,103993.00,48.41,164915.16,7983543.00,在售,办公
B座3915,76.59,106493.00,48.30,168867.47,8156299.00,在售,办公
B座3913,105.58,111993.00,66.59,177567.51,11824221.00,在售,办公
B座3912,65.11,114993.00,41.06,182347.63,7487194.00,在售,办公
B座3911,85.84,113493.00,54.13,179978.55,9742239.00,在售,办公
B座3910,69.48,114493.00,43.81,181578.95,7954974.00,在售,办公
B座3909,97.31,115993.00,61.37,183921.76,11287279.00,在售,办公
B座3908,68.98,112493.00,43.50,178385.44,7759767.00,在售,办公
B座3907,69.99,111993.00,44.14,177580.19,7838390.00,在售,办公
B座3906,76.77,111493.00,48.41,176808.88,8559318.00,在售,办公
B座3905,76.59,110993.00,48.30,176003.18,8500954.00,在售,办公
B座3903,105.58,109493.00,66.58,173629.78,11560271.00,在售,办公
B座3902,65.11,108993.00,41.06,172833.26,7096534.00,在售,办公
B座3901,85.87,106993.00,54.16,169636.05,9187489.00,在售,办公
B座3721,42.68,41667.00,27.01,65840.35,1778348.00,在售,办公
B座3720,69.23,106393.00,43.82,168087.33,7365587.00,在售,办公
B座3719,96.88,106893.00,61.32,168881.18,10355794.00,在售,办公
B座3718,68.74,99893.00,43.50,157853.90,6866645.00,在售,办公
B座3717,69.74,99393.00,44.14,157038.24,6931668.00,在售,办公
B座3716,76.50,102393.00,48.41,161806.75,7833065.00,在售,办公
B座3715,76.32,104893.00,48.30,165743.97,8005434.00,在售,办公
B座3713,105.12,110393.00,66.53,174425.25,11604512.00,在售,办公
B座3712,64.77,113393.00,40.99,179176.99,7344465.00,在售,办公
B座3711,85.43,111893.00,54.06,176822.40,9559019.00,在售,办公
B座3710,69.23,112893.00,43.81,178397.21,7815582.00,在售,办公
B座3709,96.88,114393.00,61.32,180730.49,11082394.00,在售,办公
B座3708,68.74,110893.00,43.50,175236.43,7622785.00,在售,办公
B座3707,69.74,110393.00,44.14,174417.94,7698808.00,在售,办公
B座3706,76.50,109893.00,48.41,173658.64,8406815.00,在售,办公
