房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1720,51.75,99000.00,33.97,150816.89,5123250.00,在售,商业性办公
1719,51.75,99000.00,33.97,150816.89,5123250.00,在售,商业性办公
1718,66.69,99000.00,43.78,150806.53,6602310.00,在售,商业性办公
1717,51.86,99000.00,34.04,150826.67,5134140.00,在售,商业性办公
1716,51.67,99000.00,33.91,150850.19,5115330.00,在售,商业性办公
1715,51.86,99000.00,34.04,150826.67,5134140.00,在售,商业性办公
1713,51.67,99000.00,33.91,150850.19,5115330.00,在售,商业性办公
1712,51.86,99000.00,34.04,150826.67,5134140.00,在售,商业性办公
1711,51.67,99000.00,33.91,150850.19,5115330.00,在售,商业性办公
1710,81.87,99000.00,53.74,150821.17,8105130.00,在售,商业性办公
1709,81.87,99000.00,53.74,150821.17,8105130.00,在售,商业性办公
1708,51.67,99000.00,33.91,150850.19,5115330.00,在售,商业性办公
1707,51.70,99000.00,33.93,150848.80,5118300.00,在售,商业性办公
1706,51.67,99000.00,33.91,150850.19,5115330.00,在售,商业性办公
1705,51.86,99000.00,34.04,150826.67,5134140.00,在售,商业性办公
1703,51.67,99000.00,33.91,150850.19,5115330.00,在售,商业性办公
1702,51.86,99000.00,34.04,150826.67,5134140.00,在售,商业性办公
1701,66.69,99000.00,43.78,150806.53,6602310.00,在售,商业性办公
1606,85.73,84865.00,57.97,125504.16,7275476.45,在售,商业性办公
1605,224.52,85099.00,151.82,125849.21,19106427.48,在售,商业性办公
1603,240.10,85950.00,162.35,127111.76,20636595.00,在售,商业性办公
1602,240.10,84897.00,162.36,125546.74,20383769.70,在售,商业性办公
1601,224.52,84046.00,151.82,124291.97,18870007.92,在售,商业性办公
1520,51.76,60926.00,33.97,92832.78,3153529.76,在售,商业性办公
1519,51.76,60926.00,33.97,92832.78,3153529.76,在售,商业性办公
1518,66.98,62213.00,43.95,94812.89,4167026.74,在售,商业性办公
1517,51.57,62213.00,33.84,94808.64,3208324.41,在售,商业性办公
1516,51.87,62564.00,34.04,95334.74,3245194.68,在售,商业性办公
1515,51.68,62564.00,33.91,95349.67,3233307.52,在售,商业性办公
1513,51.87,62915.00,34.04,95869.59,3263401.05,在售,商业性办公
1512,51.57,62915.00,33.84,95878.44,3244526.55,在售,商业性办公
1511,51.87,62915.00,34.04,95869.59,3263401.05,在售,商业性办公
1510,81.15,63447.00,53.25,96689.65,5148724.05,在售,商业性办公
1509,81.15,62043.00,53.25,94550.03,5034789.45,在售,商业性办公
1508,51.87,60458.00,34.04,92125.63,3135956.46,在售,商业性办公
1507,51.57,60458.00,33.84,92134.13,3117819.06,在售,商业性办公
1506,51.87,60458.00,34.04,92125.63,3135956.46,在售,商业性办公
1505,51.68,60107.00,33.91,91605.12,3106329.76,在售,商业性办公
1503,51.87,60107.00,34.04,91590.77,3117750.09,在售,商业性办公
1502,51.57,59756.00,33.84,91064.32,3081616.92,在售,商业性办公
1501,66.98,60458.00,43.95,92138.26,4049476.84,在售,商业性办公
1420,51.76,61226.00,33.97,93289.89,3169057.76,在售,商业性办公
1419,51.76,61226.00,33.97,93289.89,3169057.76,在售,商业性办公
1418,66.69,62513.00,43.78,95225.94,4168991.97,在售,商业性办公
1417,51.86,62513.00,34.04,95238.66,3241924.18,在售,商业性办公
1416,51.67,62864.00,33.91,95788.34,3248182.88,在售,商业性办公
1415,51.86,62864.00,34.04,95773.41,3260127.04,在售,商业性办公
1413,51.56,63215.00,33.84,96316.94,3259365.40,在售,商业性办公
1412,51.86,63715.00,34.04,97069.91,3304259.90,在售,商业性办公
1411,51.67,63715.00,33.91,97085.05,3292154.05,在售,商业性办公
1410,81.87,64247.00,53.74,97876.84,5259901.89,在售,商业性办公
1409,81.87,62843.00,53.74,95737.93,5144956.41,在售,商业性办公
1408,51.67,61258.00,33.91,93341.22,3165200.86,在售,商业性办公
1407,51.86,61258.00,34.04,93326.67,3176839.88,在售,商业性办公
1406,51.56,60758.00,33.84,92573.35,3132682.48,在售,商业性办公
1405,51.86,60407.00,34.04,92030.17,3132707.02,在售,商业性办公
1403,51.67,60407.00,33.91,92044.52,3121229.69,在售,商业性办公
1402,51.86,60056.00,34.04,91495.42,3114504.16,在售,商业性办公
1401,66.69,60758.00,43.78,92552.55,4051951.02,在售,商业性办公
1320,51.51,57303.00,33.97,86890.71,2951677.53,在售,商业性办公
1319,51.51,57303.00,33.97,86890.71,2951677.53,在售,商业性办公
1318,66.38,59643.00,43.78,90431.75,3959102.34,在售,商业性办公
1317,51.62,59994.00,34.04,90977.97,3096890.28,在售,商业性办公
1316,51.43,60345.00,33.91,91522.95,3103543.35,在售,商业性办公
1315,51.62,60345.00,34.04,91510.24,3115008.90,在售,商业性办公
1313,51.31,60696.00,33.84,92030.48,3114311.76,在售,商业性办公
1312,51.62,60228.00,34.04,91332.82,3108969.36,在售,商业性办公
1311,51.43,59877.00,33.91,90813.15,3079474.11,在售,商业性办公
1310,81.48,60877.00,53.74,92301.04,4960257.96,在售,商业性办公
1309,81.48,60643.00,53.74,91946.25,4941191.64,在售,商业性办公
1308,51.43,58707.00,33.91,89038.66,3019301.01,在售,商业性办公
1307,51.62,59058.00,34.04,89558.57,3048573.96,在售,商业性办公
1306,51.31,59058.00,33.84,89546.86,3030265.98,在售,商业性办公
1305,51.62,58707.00,34.04,89026.30,3030455.34,在售,商业性办公
1303,51.43,58707.00,33.91,89038.66,3019301.01,在售,商业性办公
1302,51.62,58356.00,34.04,88494.02,3012336.72,在售,商业性办公
1301,66.38,59058.00,43.78,89544.77,3920270.04,在售,商业性办公
1220,51.52,57303.00,33.97,86907.58,2952250.56,在售,商业性办公
1219,51.52,57303.00,33.97,86907.58,2952250.56,在售,商业性办公
1218,66.66,59643.00,43.95,90461.94,3975802.38,在售,商业性办公
1217,51.32,59994.00,33.84,90983.80,3078892.08,在售,商业性办公
1216,51.63,60345.00,34.04,91527.97,3115612.35,在售,商业性办公
1215,51.32,60345.00,33.84,91516.11,3096905.40,在售,商业性办公
1213,51.63,60696.00,34.04,92060.35,3133734.48,在售,商业性办公
1212,51.32,60228.00,33.84,91338.68,3090900.96,在售,商业性办公
1211,51.63,60377.00,34.04,91576.51,3117264.51,在售,商业性办公
1210,80.77,61377.00,53.25,93097.09,4957420.29,在售,商业性办公
1209,80.77,61143.00,53.25,92742.16,4938520.11,在售,商业性办公
1208,51.63,59207.00,34.04,89801.92,3056857.41,在售,商业性办公
1207,51.32,59058.00,33.84,89564.31,3030856.56,在售,商业性办公
1206,51.63,59058.00,34.04,89575.92,3049164.54,在售,商业性办公
1205,51.32,58707.00,33.84,89032.01,3012843.24,在售,商业性办公
1203,51.63,58707.00,34.04,89043.54,3031042.41,在售,商业性办公
1202,51.32,58356.00,33.84,88499.70,2994829.92,在售,商业性办公
1201,66.66,59058.00,43.95,89574.65,3936806.28,在售,商业性办公
1120,51.52,56303.00,33.97,85390.94,2900730.56,在售,商业性办公
1119,51.52,56303.00,33.97,85390.94,2900730.56,在售,商业性办公
1118,66.66,58643.00,43.95,88945.21,3909142.38,在售,商业性办公
1117,51.32,58994.00,33.84,89467.26,3027572.08,在售,商业性办公
1116,51.63,59345.00,34.04,90011.23,3063982.35,在售,商业性办公
1115,51.32,59345.00,33.84,89999.56,3045585.40,在售,商业性办公
1113,51.63,59696.00,34.04,90543.60,3082104.48,在售,商业性办公
1112,51.32,59228.00,33.84,89822.13,3039580.96,在售,商业性办公
1111,51.63,58877.00,34.04,89301.39,3039819.51,在售,商业性办公
1110,80.77,59877.00,53.25,90821.88,4836265.29,在售,商业性办公
1109,80.77,59643.00,53.25,90466.95,4817365.11,在售,商业性办公
1108,51.63,57707.00,34.04,87526.80,2979412.41,在售,商业性办公
1107,51.32,58058.00,33.84,88047.77,2979536.56,在售,商业性办公
1106,51.63,58058.00,34.04,88059.18,2997534.54,在售,商业性办公
1105,51.32,57707.00,33.84,87515.46,2961523.24,在售,商业性办公
1103,51.63,57707.00,34.04,87526.80,2979412.41,在售,商业性办公
1102,51.32,57356.00,33.84,86983.15,2943509.92,在售,商业性办公
1101,66.66,58058.00,43.95,88057.93,3870146.28,在售,商业性办公
1020,51.51,56303.00,33.97,85374.37,2900167.53,在售,商业性办公
1019,51.51,56303.00,33.97,85374.37,2900167.53,在售,商业性办公
1018,66.38,58643.00,43.78,88915.53,3892722.34,在售,商业性办公
1017,51.62,58994.00,34.04,89461.52,3045270.28,在售,商业性办公
1016,51.32,59345.00,33.84,89999.56,3045585.40,在售,商业性办公
1015,51.62,59345.00,34.04,89993.79,3063388.90,在售,商业性办公
1013,51.32,59696.00,33.84,90531.87,3063598.72,在售,商业性办公
1012,51.62,59228.00,34.04,89816.37,3057349.36,在售,商业性办公
1011,51.32,59377.00,33.84,90048.09,3047227.64,在售,商业性办公
1010,81.49,60377.00,53.74,91554.18,4920121.73,在售,商业性办公
1009,81.49,60143.00,53.74,91199.35,4901053.07,在售,商业性办公
1008,51.32,58207.00,33.84,88273.73,2987183.24,在售,商业性办公
1007,51.62,58058.00,34.04,88042.12,2996953.96,在售,商业性办公
1006,51.32,58058.00,33.84,88047.77,2979536.56,在售,商业性办公
1005,51.61,57707.00,34.03,87518.60,2978258.27,在售,商业性办公
1003,51.32,57707.00,33.84,87515.46,2961523.24,在售,商业性办公
1002,51.62,57356.00,34.04,86977.57,2960716.72,在售,商业性办公
1001,66.38,58058.00,43.78,88028.55,3853890.04,在售,商业性办公
920,51.51,55303.00,33.97,83858.03,2848657.53,在售,商业性办公
919,51.52,55303.00,33.97,83874.31,2849210.56,在售,商业性办公
918,66.38,57643.00,43.78,87399.32,3826342.34,在售,商业性办公
917,51.62,57994.00,34.04,87945.07,2993650.28,在售,商业性办公
916,51.32,58345.00,33.84,88483.02,2994265.40,在售,商业性办公
915,51.61,58345.00,34.03,88486.20,3011185.45,在售,商业性办公
913,51.32,58696.00,33.84,89015.32,3012278.72,在售,商业性办公
912,51.62,58228.00,34.04,88299.92,3005729.36,在售,商业性办公
911,51.32,57877.00,33.84,87773.27,2970247.64,在售,商业性办公
910,81.49,58877.00,53.74,89279.61,4797886.73,在售,商业性办公
909,81.49,58643.00,53.74,88924.78,4778818.07,在售,商业性办公
908,51.32,56707.00,33.84,85998.91,2910203.24,在售,商业性办公
907,51.62,57058.00,34.04,86525.67,2945333.96,在售,商业性办公
906,51.32,57058.00,33.84,86531.22,2928216.56,在售,商业性办公
905,51.61,56707.00,34.03,86002.00,2926648.27,在售,商业性办公
903,51.32,56707.00,33.84,85998.91,2910203.24,在售,商业性办公
902,51.62,56356.00,34.04,85461.12,2909096.72,在售,商业性办公
901,66.38,57058.00,43.78,86512.33,3787510.04,在售,商业性办公
818,68.62,66894.00,44.30,103617.74,4590266.28,在售,商业性办公
817,52.41,65075.00,33.84,100785.48,3410580.75,在售,商业性办公
816,52.72,65426.00,34.04,101329.57,3449258.72,在售,商业性办公
815,52.53,65426.00,33.91,101351.45,3436827.78,在售,商业性办公
813,52.72,65777.00,34.04,101873.19,3467763.44,在售,商业性办公
812,52.41,66128.00,33.84,102416.32,3465768.48,在售,商业性办公
811,52.72,65926.00,34.04,102103.95,3475618.72,在售,商业性办公
810,82.48,67160.00,53.25,104025.47,5539356.80,在售,商业性办公
809,82.48,65873.00,53.25,102032.01,5433205.04,在售,商业性办公
808,52.72,64639.00,34.04,100110.69,3407768.08,在售,商业性办公
807,52.41,64490.00,33.84,99879.45,3379920.90,在售,商业性办公
806,52.72,64490.00,34.04,99879.92,3399912.80,在售,商业性办公
805,52.53,64139.00,33.91,99357.76,3369221.67,在售,商业性办公
803,52.72,64139.00,34.04,99336.31,3381408.08,在售,商业性办公
802,52.41,63788.00,33.84,98792.23,3343129.08,在售,商业性办公
801,68.62,64788.00,44.30,100355.58,4445752.56,在售,商业性办公
717,52.36,64175.00,33.84,99296.77,3360203.00,在售,商业性办公
716,52.67,64526.00,34.04,99840.90,3398584.42,在售,商业性办公
715,52.48,64526.00,33.91,99862.11,3386324.48,在售,商业性办公
713,52.67,64877.00,34.04,100384.00,3417071.59,在售,商业性办公
712,52.36,65228.00,33.84,100926.06,3415338.08,在售,商业性办公
711,52.67,64526.00,34.04,99840.90,3398584.42,在售,商业性办公
709,82.40,64473.00,53.25,99766.67,5312575.20,在售,商业性办公
708,52.67,63239.00,34.04,97849.53,3330798.13,在售,商业性办公
707,52.36,63590.00,33.84,98391.61,3329572.40,在售,商业性办公
706,52.67,63590.00,34.04,98392.63,3349285.30,在售,商业性办公
705,52.48,63239.00,33.91,97870.32,3318782.72,在售,商业性办公
703,52.67,63239.00,34.04,97849.53,3330798.13,在售,商业性办公
702,52.36,62888.00,33.84,97305.42,3292815.68,在售,商业性办公
701,68.63,63388.00,44.35,98090.60,4350318.44,在售,商业性办公
621,77.43,57105.00,46.01,96101.72,4421640.15,在售,商业
620,70.60,57456.00,41.95,96695.91,4056393.60,在售,商业
619,48.80,56754.00,29.00,95503.28,2769595.20,在售,商业
618,48.63,56754.00,28.90,95499.89,2759947.02,在售,商业
617,48.75,56754.00,28.97,95504.22,2766757.50,在售,商业
616,48.53,57105.00,28.84,96092.42,2771305.65,在售,商业
615,48.75,57105.00,28.97,96094.88,2783868.75,在售,商业
613,48.41,57807.00,28.76,97303.09,2798436.87,在售,商业
612,48.75,58977.00,28.97,99245.03,2875128.75,在售,商业
611,48.53,59126.00,28.84,99493.23,2869384.78,在售,商业
610,90.44,60009.00,53.74,100990.21,5427213.96,在售,商业
609,90.44,58254.00,53.74,98036.69,5268491.76,在售,商业
608,48.53,56669.00,28.84,95358.75,2750146.57,在售,商业
607,48.75,56520.00,28.97,95110.45,2755350.00,在售,商业
606,48.41,56520.00,28.76,95136.75,2736133.20,在售,商业
605,48.75,56169.00,28.97,94519.80,2738238.75,在售,商业
603,48.53,56169.00,28.84,94517.39,2725881.57,在售,商业
602,48.75,55818.00,28.97,93929.15,2721127.50,在售,商业
601,50.90,55818.00,30.25,93921.85,2841136.20,在售,商业
521,77.43,56437.00,46.01,94977.54,4369916.91,在售,商业
520,70.60,56437.00,41.95,94980.98,3984452.20,在售,商业
519,48.80,55735.00,29.00,93788.55,2719868.00,在售,商业
518,48.63,56086.00,28.90,94375.85,2727462.18,在售,商业
517,48.75,56086.00,28.97,94380.13,2734192.50,在售,商业
516,48.53,56437.00,28.84,94968.36,2738887.61,在售,商业
515,48.75,56437.00,28.97,94970.78,2751303.75,在售,商业
513,48.41,56788.00,28.76,95587.86,2749107.08,在售,商业
512,48.75,56788.00,28.97,95561.44,2768415.00,在售,商业
511,48.53,56437.00,28.84,94968.36,2738887.61,在售,商业
510,90.44,57788.00,53.74,97252.45,5226346.72,在售,商业
