房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3栋7座26G,134.67,48759.65,102.34,64163.00,6566462.00,在售,住宅
3栋7座26F,134.67,48759.65,102.34,64163.00,6566462.00,在售,住宅
3栋7座26E,198.74,45815.82,151.44,60125.00,9105436.00,在售,住宅
3栋7座2D,87.01,33346.67,65.45,44331.00,2901493.00,在售,住宅
3栋7座3D,87.76,33653.26,67.70,43624.00,2953410.00,在售,住宅
3栋7座4D,87.76,37569.47,67.70,48701.00,3297096.00,在售,住宅
3栋7座5D,87.76,32194.76,67.70,41734.00,2825412.00,在售,住宅
3栋7座6D,87.76,31727.04,67.70,41127.00,2784365.00,在售,住宅
3栋7座7D,87.76,32656.58,67.70,42332.00,2865941.00,在售,住宅
3栋7座8D,87.76,32686.22,67.70,42371.00,2868542.00,在售,住宅
3栋7座9D,87.76,38234.54,67.70,49563.00,3355463.00,在售,住宅
3栋7座10D,87.76,33148.02,67.70,42970.00,2909070.00,在售,住宅
3栋7座11D,87.76,25027.90,67.70,32443.85,2196449.00,在售,住宅
3栋7座12D,87.76,25051.16,67.70,32474.00,2198490.00,在售,住宅
3栋7座13D,87.76,25953.48,67.70,33643.69,2277678.00,在售,住宅
3栋7座14D,87.76,25975.58,67.70,33672.33,2279617.00,在售,住宅
3栋7座15D,87.76,25998.83,67.70,33702.48,2281658.00,在售,住宅
3栋7座16D,87.76,26020.93,67.70,33731.12,2283597.00,在售,住宅
3栋7座17D,87.76,26043.02,67.70,33759.76,2285536.00,在售,住宅
3栋7座18D,87.76,26066.28,67.70,33789.91,2287577.00,在售,住宅
3栋7座19D,87.76,26404.64,67.70,34228.53,2317272.00,在售,住宅
3栋7座20D,87.76,26426.75,67.70,34257.19,2319212.00,在售,住宅
3栋7座21D,87.76,26450.00,67.70,34287.32,2321252.00,在售,住宅
3栋7座22D,87.76,26472.09,67.70,34315.96,2323191.00,在售,住宅
3栋7座23D,87.76,26494.18,67.70,34344.60,2325130.00,在售,住宅
3栋7座24D,87.76,26517.44,67.70,34374.75,2327171.00,在售,住宅
3栋7座25D,87.76,26539.52,67.70,34403.38,2329109.00,在售,住宅
3栋7座26D,87.76,26877.90,67.70,34842.02,2358805.00,在售,住宅
3栋7座27D,90.80,26562.78,67.70,35626.30,2411901.00,在售,住宅
3栋7座2C,83.18,28595.78,62.57,38014.00,2378596.00,在售,住宅
3栋7座3C,81.52,29022.51,62.89,37619.00,2365915.00,在售,住宅
3栋7座4C,81.53,29048.58,62.89,37658.00,2368330.00,在售,住宅
3栋7座5C,81.52,29076.01,62.89,37689.00,2370276.00,在售,住宅
3栋7座6C,81.52,29475.31,62.89,38206.00,2402827.00,在售,住宅
3栋7座7C,81.52,29501.38,62.89,38240.00,2404952.00,在售,住宅
3栋7座8C,81.52,29527.43,62.89,38274.00,2407076.00,在售,住宅
3栋7座9C,81.52,33988.13,62.89,44056.00,2770712.00,在售,住宅
3栋7座10C,81.52,29954.17,62.89,38827.00,2441863.00,在售,住宅
3栋7座11C,81.52,29980.24,62.89,38861.00,2443989.00,在售,住宅
3栋7座12C,81.52,30007.67,62.89,38896.00,2446225.00,在售,住宅
3栋7座13C,81.52,31072.42,62.89,40277.00,2533023.00,在售,住宅
3栋7座14C,81.52,31098.49,62.89,40310.00,2535148.00,在售,住宅
3栋7座15C,81.52,31124.57,62.89,40344.00,2537274.00,在售,住宅
3栋7座16C,81.52,31152.00,62.89,40380.00,2539511.00,在售,住宅
3栋7座17C,81.52,31178.07,62.89,40413.00,2541636.00,在售,住宅
3栋7座18C,81.52,35886.33,62.89,46516.00,2925453.00,在售,住宅
3栋7座19C,81.52,36345.52,62.89,47112.00,2962886.00,在售,住宅
3栋7座20C,81.52,36375.50,62.89,47151.00,2965330.00,在售,住宅
3栋7座21C,81.52,36405.46,62.89,47189.00,2967773.00,在售,住宅
3栋7座22C,81.52,36437.04,62.89,47230.00,2970347.00,在售,住宅
3栋7座23C,81.52,36467.02,62.89,47269.00,2972791.00,在售,住宅
3栋7座24C,81.52,36498.56,62.89,47310.00,2975362.00,在售,住宅
3栋7座25C,81.52,36528.56,62.89,47349.00,2977808.00,在售,住宅
3栋7座2B,83.61,32885.16,62.89,43719.00,2749528.00,在售,住宅
3栋7座3B,81.53,33375.89,62.89,43268.00,2721136.00,在售,住宅
