房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋2309,147.81,55555.55,87.82,93505.65,8211666.66,在售,办公
1栋2308,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋2307,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2306,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2305,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2304,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2303,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2302,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋2301,150.33,55555.55,89.32,93502.76,8351666.66,在售,办公
1栋2209,147.81,55555.55,87.82,93505.65,8211666.66,在售,办公
1栋2208,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋2207,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2206,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2205,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2204,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2203,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2202,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋2201,150.33,55555.55,89.32,93502.76,8351666.66,在售,办公
1栋2109,147.81,55555.55,87.82,93505.65,8211666.66,在售,办公
1栋2108,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋2107,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2106,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2105,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2104,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2103,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2102,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋2101,150.33,55555.55,89.32,93502.76,8351666.66,在售,办公
1栋2009,147.81,55555.55,87.82,93505.65,8211666.66,在售,办公
1栋2008,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋2007,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2006,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2005,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2004,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2003,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋2002,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋2001,150.33,55555.55,89.32,93502.76,8351666.66,在售,办公
1栋1909,147.81,55555.55,87.82,93505.65,8211666.66,在售,办公
1栋1908,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋1907,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1906,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1905,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1904,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1903,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1902,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋1901,150.33,55555.55,89.32,93502.76,8351666.66,在售,办公
1栋1809,147.80,55555.55,87.82,93499.32,8211111.11,在售,办公
1栋1808,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋1807,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1806,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1805,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1804,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1803,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1802,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋1801,150.33,55555.55,89.32,93502.76,8351666.66,在售,办公
1栋1709,147.80,55555.55,87.82,93499.32,8211111.11,在售,办公
1栋1708,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋1707,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1706,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1705,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1704,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1703,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1702,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋1701,150.33,55555.55,89.32,93502.76,8351666.66,在售,办公
1栋1609,147.80,55555.55,87.82,93499.32,8211111.11,在售,办公
1栋1608,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋1607,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1606,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1605,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1604,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1603,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1602,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋1601,150.33,55555.55,89.32,93502.76,8351666.66,在售,办公
1栋1509,147.80,55555.55,87.82,93499.32,8211111.11,在售,办公
1栋1508,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋1507,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1506,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1505,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1504,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1503,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1502,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋1501,150.33,55555.55,89.32,93502.76,8351666.66,在售,办公
1栋1409,147.80,55555.55,87.82,93499.32,8211111.11,在售,办公
1栋1408,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋1407,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1406,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1405,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1404,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1403,84.52,55555.55,50.22,93499.71,4695555.55,在售,办公
1栋1402,152.85,55555.55,90.82,93499.96,8491666.66,在售,办公
1栋1401,150.33,55555.55,89.32,93502.76,8351666.66,在售,办公
1栋1309,147.78,55555.55,87.82,93486.67,8210000.00,在售,办公
1栋1308,152.83,55555.55,90.82,93487.72,8490555.55,在售,办公
1栋1307,84.51,55555.55,50.22,93488.64,4695000.00,在售,办公
1栋1306,84.51,55555.55,50.22,93488.64,4695000.00,在售,办公
1栋1305,84.51,55555.55,50.22,93488.64,4695000.00,在售,办公
1栋1304,84.51,55555.55,50.22,93488.64,4695000.00,在售,办公
1栋1303,84.51,55555.55,50.22,93488.64,4695000.00,在售,办公
1栋1302,152.83,55555.55,90.82,93487.72,8490555.55,在售,办公
1栋1301,150.30,55555.55,89.32,93484.10,8350000.00,在售,办公
1栋1209,147.78,55555.55,87.82,93486.67,8210000.00,在售,办公
1栋1208,152.83,55555.55,90.82,93487.72,8490555.55,在售,办公
1栋1207,84.51,55555.55,50.22,93488.64,4695000.00,在售,办公
1栋1206,84.51,55555.55,50.22,93488.64,4695000.00,在售,办公
1栋1205,84.51,55555.55,50.22,93488.64,4695000.00,在售,办公
1栋1204,84.51,55555.55,50.22,93488.64,4695000.00,在售,办公
1栋1203,84.51,55555.55,50.22,93488.64,4695000.00,在售,办公
1栋1202,152.83,55555.55,90.82,93487.72,8490555.55,在售,办公
1栋1201,150.30,55555.55,89.32,93484.10,8350000.00,在售,办公
1栋1109,147.78,55555.55,87.82,93486.67,8210000.00,在售,办公
1栋1108,152.83,55555.55,90.82,93487.72,8490555.55,在售,办公
1栋1107,84.51,55555.55,50.22,93488.64,4695000.00,在售,办公
1栋1106,84.51,55555.55,50.22,93488.64,4695000.00,在售,办公
1栋1105,84.51,55555.55,50.22,93488.64,4695000.00,在售,办公
1栋1104,84.51,55555.55,50.22,93488.64,4695000.00,在售,办公
1栋1103,84.51,55555.55,50.22,93488.64,4695000.00,在售,办公
1栋1102,152.83,55555.55,90.82,93487.72,8490555.55,在售,办公
1栋1101,150.30,55555.55,89.32,93484.10,8350000.00,在售,办公
1栋1009,147.78,55555.55,87.82,93486.67,8210000.00,在售,办公
1栋1008,152.83,55555.55,90.82,93487.72,8490555.55,在售,办公
1栋1007,84.51,55555.55,50.22,93488.64,4695000.00,在售,办公
1栋1006,84.51,55555.55,50.22,93488.64,4695000.00,在售,办公
1栋1005,84.51,55555.55,50.22,93488.64,4695000.00,在售,办公
1栋1004,84.51,55555.55,50.22,93488.64,4695000.00,在售,办公
1栋1003,84.51,55555.55,50.22,93488.64,4695000.00,在售,办公
1栋1002,152.83,55555.55,90.82,93487.72,8490555.55,在售,办公
1栋1001,150.30,55555.55,89.32,93484.10,8350000.00,在售,办公
1栋909,187.83,55555.55,87.82,118822.59,10435000.00,在售,办公
1栋908,194.24,55555.55,90.82,118818.66,10791111.11,在售,办公
1栋907,107.41,55555.55,50.22,118821.62,5967222.22,在售,办公
1栋906,107.41,55555.55,50.22,118821.62,5967222.22,在售,办公
1栋809,147.13,55555.55,87.44,93479.97,8173888.88,在售,办公
1栋808,152.81,55555.55,90.82,93475.49,8489444.44,在售,办公
1栋807,84.50,55555.55,50.22,93477.58,4694444.44,在售,办公
1栋806,84.50,55555.55,50.22,93477.58,4694444.44,在售,办公
1栋805,84.50,55555.55,50.22,93477.58,4694444.44,在售,办公
1栋804,84.50,55555.55,50.22,93477.58,4694444.44,在售,办公
1栋803,84.50,55555.55,50.22,93477.58,4694444.44,在售,办公
1栋802,152.81,55555.55,90.82,93475.49,8489444.44,在售,办公
1栋801,150.28,55555.55,89.32,93471.66,8348888.88,在售,办公
1栋709,147.13,55555.55,87.44,93479.97,8173888.88,在售,办公
1栋708,152.81,55555.55,90.82,93475.49,8489444.44,在售,办公
1栋707,84.50,55555.55,50.22,93477.58,4694444.44,在售,办公
1栋706,84.50,55555.55,50.22,93477.58,4694444.44,在售,办公
1栋705,84.50,55555.55,50.22,93477.58,4694444.44,在售,办公
1栋704,84.50,55555.55,50.22,93477.58,4694444.44,在售,办公
1栋703,84.50,55555.55,50.22,93477.58,4694444.44,在售,办公
1栋702,152.81,55555.55,90.82,93475.49,8489444.44,在售,办公
1栋701,150.28,55555.55,89.32,93471.66,8348888.88,在售,办公
1栋609,147.13,55555.55,87.44,93479.97,8173888.88,在售,办公
1栋608,152.81,55555.55,90.82,93475.49,8489444.44,在售,办公
1栋607,84.50,55555.55,50.22,93477.58,4694444.44,在售,办公
1栋606,84.50,55555.55,50.22,93477.58,4694444.44,在售,办公
1栋605,84.50,55555.55,50.22,93477.58,4694444.44,在售,办公
1栋604,84.50,55555.55,50.22,93477.58,4694444.44,在售,办公
1栋603,84.50,55555.55,50.22,93477.58,4694444.44,在售,办公
1栋602,152.81,55555.55,90.82,93475.49,8489444.44,在售,办公
1栋601,150.28,55555.55,89.32,93471.66,8348888.88,在售,办公
1栋509,147.13,55555.55,87.44,93479.97,8173888.88,在售,办公
1栋508,152.81,55555.55,90.82,93475.49,8489444.44,在售,办公
1栋507,84.50,55555.55,50.22,93477.58,4694444.44,在售,办公
1栋506,84.50,55555.55,50.22,93477.58,4694444.44,在售,办公
1栋505,84.50,55555.55,50.22,93477.58,4694444.44,在售,办公
1栋504,84.50,55555.55,50.22,93477.58,4694444.44,在售,办公
1栋503,84.50,55555.55,50.22,93477.58,4694444.44,在售,办公
1栋502,152.81,55555.55,90.82,93475.49,8489444.44,在售,办公
1栋501,150.28,55555.55,89.32,93471.66,8348888.88,在售,办公
1栋409,147.59,55555.55,87.91,93270.89,8199444.44,在售,办公
1栋408,155.83,55555.55,92.82,93268.93,8657222.22,在售,办公
1栋407,85.67,55555.55,51.03,93267.57,4759444.44,在售,办公
1栋406,85.67,55555.55,51.03,93267.57,4759444.44,在售,办公
1栋405,85.67,55555.55,51.03,93267.57,4759444.44,在售,办公
1栋404,85.67,55555.55,51.03,93267.57,4759444.44,在售,办公
