房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
4栋 s0431,264.64,24246.00,221.80,28929.04,6416461.44,在售,商业
4栋 s0430,79.35,37499.00,59.97,49617.23,2975545.65,在售,商业
4栋 s0429,215.19,26354.00,176.92,32054.69,5671117.26,在售,商业
4栋 s0428,74.24,38111.00,56.28,50272.93,2829360.64,在售,商业
4栋 s0427,265.14,29377.00,219.21,35532.21,7789017.78,在售,商业
4栋 s0426,314.20,29191.00,254.82,35993.29,9171812.20,在售,商业
4栋 s0425,222.81,28523.00,183.06,34716.53,6355209.63,在售,商业
4栋 s0424,116.56,36572.00,88.43,48205.72,4262832.32,在售,商业
4栋 s0423,61.99,38377.00,47.03,50584.52,2378990.23,在售,商业
4栋 s0422,130.08,36482.00,99.23,47824.03,4745578.56,在售,商业
4栋 s0421,114.51,37637.00,87.35,49339.58,4309812.87,在售,商业
4栋 s0420,139.51,37481.00,108.42,48228.87,5228974.31,在售,商业
4栋 s0419,53.34,39689.00,40.40,52401.26,2117011.26,在售,商业
4栋 s0418,186.66,31461.00,146.88,39981.68,5872510.26,在售,商业
4栋 s0417,157.97,29846.00,127.44,36996.01,4714772.62,在售,商业
4栋 s0416,68.28,38229.00,51.84,50352.54,2610276.12,在售,商业
4栋 s0415,221.42,28121.00,179.04,34777.43,6226551.82,在售,商业
4栋 s0414,282.27,30048.00,233.26,36361.35,8481648.96,在售,商业
4栋 s0413,75.65,38086.00,57.13,50432.45,2881205.90,在售,商业
4栋 s0412,185.07,26952.00,151.54,32915.44,4988006.64,在售,商业
4栋 s0411,71.41,38165.00,53.63,50817.87,2725362.65,在售,商业
4栋 s0410,101.97,29733.00,82.03,36960.55,3031874.01,在售,商业
4栋 s0409,283.49,29872.00,233.85,36213.01,8468413.28,在售,商业
4栋 s0408,95.62,36760.00,74.31,47301.72,3514991.20,在售,商业
4栋 s0407,23.48,51527.00,18.25,66293.36,1209853.96,在售,商业
4栋 s0406,87.54,35280.00,68.03,45397.78,3088411.20,在售,商业
4栋 s0405,59.11,36355.00,45.94,46777.18,2148944.05,在售,商业
4栋 s0404,108.66,34533.00,84.44,44438.13,3752355.78,在售,商业
4栋 s0403,61.57,36288.00,47.85,46692.83,2234252.16,在售,商业
4栋 s0402,68.09,36132.00,52.92,46489.56,2460227.88,在售,商业
4栋 s0401,229.66,36149.00,178.48,46514.89,8301979.34,在售,商业
3栋 s0322,151.40,29623.00,134.79,33273.40,4484922.20,在售,商业
3栋 s0321,53.49,32192.00,43.46,39621.00,1721950.00,在售,商业
3栋 s0320,61.15,38400.00,49.98,46981.99,2348160.00,在售,商业
3栋 s0319,69.37,38206.00,56.70,46743.39,2650350.22,在售,商业
3栋 s0318,318.50,29938.00,287.19,33201.89,9535253.00,在售,商业
3栋 s0317,223.52,28394.00,200.14,31710.93,6346626.88,在售,商业
3栋 s0316,236.53,31073.00,204.64,35915.24,7349696.69,在售,商业
3栋 s0315,62.71,38359.00,51.77,46464.99,2405492.89,在售,商业
3栋 s0314,224.88,29085.00,199.45,32793.35,6540634.80,在售,商业
3栋 s0313,49.36,38790.00,40.45,47334.34,1914674.40,在售,商业
3栋 s0312,175.67,28515.00,156.67,31973.12,5009230.05,在售,商业
3栋 s0311,65.17,38299.00,53.24,46881.02,2495945.83,在售,商业
3栋 s0310,317.04,29965.00,285.84,33235.73,9500103.60,在售,商业
3栋 s0309,129.54,37536.00,109.20,44527.59,4862413.44,在售,商业
3栋 s0308,90.63,37342.00,76.40,44297.19,3384305.46,在售,商业
3栋 s0307,304.99,29474.00,270.08,33283.75,8989275.26,在售,商业
3栋 s0306,316.36,32170.00,283.15,35943.14,10177301.20,在售,商业
3栋 s0305,117.83,36562.00,99.33,43371.59,4308100.46,在售,商业
3栋 s0304,58.69,38468.00,49.47,45637.49,2257686.92,在售,商业
3栋 s0303,40.27,40823.00,33.95,48422.45,1643942.21,在售,商业
3栋 s0302,151.77,36373.00,127.94,43147.80,5520330.21,在售,商业
3栋 s0301,239.49,30891.00,211.81,34927.93,7398085.59,在售,商业
2栋 cs2,2194.97,15000.00,1998.28,16476.44,32924550.00,在售,商业
2栋 s0221,56.19,40647.00,55.05,41488.73,2283954.93,在售,商业
2栋 s0220,60.46,38421.00,59.22,39225.49,2322933.66,在售,商业
2栋 s0219,60.46,37370.00,59.22,38152.48,2259390.20,在售,商业
2栋 s0218,60.46,37370.00,59.22,38152.48,2259390.20,在售,商业
2栋 s0217,60.46,37370.00,59.22,38152.48,2259390.20,在售,商业
