房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋D座二单元3203,186.03,46164.60,142.15,60415.05,8588000.00,在售,住宅
1栋D座二单元3202,94.58,46003.38,72.27,60204.78,4351000.00,在售,住宅
1栋D座二单元3201,95.30,47995.80,72.82,62812.41,4574000.00,在售,住宅
1栋D座二单元3104,88.10,41146.42,67.21,53935.42,3625000.00,在售,住宅
1栋D座二单元3103,88.10,41191.83,67.21,53994.94,3629000.00,在售,住宅
1栋D座二单元3102,87.31,41942.50,66.61,54976.73,3662000.00,在售,住宅
1栋D座二单元3101,87.79,41587.88,66.98,54508.80,3651000.00,在售,住宅
1栋D座二单元3004,88.10,41101.02,67.21,53875.91,3621000.00,在售,住宅
1栋D座二单元3003,88.10,41157.78,67.21,53950.30,3626000.00,在售,住宅
1栋D座二单元3002,87.31,41896.69,66.61,54916.67,3658000.00,在售,住宅
1栋D座二单元3001,87.79,41553.71,66.98,54464.01,3648000.00,在售,住宅
1栋D座二单元2904,88.10,41066.97,67.21,53831.27,3618000.00,在售,住宅
1栋D座二单元2903,88.10,41112.37,67.21,53890.79,3622000.00,在售,住宅
1栋D座二单元2902,87.31,41862.33,66.61,54871.64,3655000.00,在售,住宅
1栋D座二单元2901,87.79,41508.14,66.98,54404.29,3644000.00,在售,住宅
1栋D座二单元2804,88.10,41021.57,67.21,53771.76,3614000.00,在售,住宅
1栋D座二单元2803,88.10,41078.32,67.21,53846.15,3619000.00,在售,住宅
1栋D座二单元2802,87.31,41816.52,66.61,54811.58,3651000.00,在售,住宅
1栋D座二单元2801,87.79,41473.97,66.98,54359.51,3641000.00,在售,住宅
1栋D座二单元2704,88.10,40987.51,67.21,53727.12,3611000.00,在售,住宅
1栋D座二单元2703,88.10,41032.92,67.21,53786.63,3615000.00,在售,住宅
1栋D座二单元2702,87.31,41782.16,66.61,54766.55,3648000.00,在售,住宅
1栋D座二单元2701,87.79,41428.41,66.98,54299.79,3637000.00,在售,住宅
1栋D座二单元2604,88.10,40942.11,67.21,53667.60,3607000.00,在售,住宅
1栋D座二单元2603,88.10,40998.86,67.21,53742.00,3612000.00,在售,住宅
1栋D座二单元2602,87.31,41736.34,66.61,54706.50,3644000.00,在售,住宅
1栋D座二单元2601,87.79,41394.24,66.98,54255.00,3634000.00,在售,住宅
