房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
B909,76.05,40002.00,51.24,59370.64,3042152.00,在售,办公
B908,38.85,38826.00,26.17,57638.13,1508390.00,在售,办公
B907,37.17,38826.00,25.04,57634.26,1443162.00,在售,办公
B906,46.75,41179.00,31.50,61114.85,1925118.00,在售,办公
B905,43.41,41179.00,29.25,61113.84,1787580.00,在售,办公
B904,43.41,41179.00,29.25,61113.84,1787580.00,在售,办公
B903,43.41,41179.00,29.25,61113.84,1787580.00,在售,办公
B902,43.41,41179.00,29.25,61113.84,1787580.00,在售,办公
B901,80.51,42355.00,54.25,62857.16,3410001.00,在售,办公
A909,76.12,39414.00,51.24,58551.79,3000194.00,在售,办公
A908,38.89,38826.00,26.17,57697.47,1509943.00,在售,办公
A907,37.21,38826.00,25.04,57696.28,1444715.00,在售,办公
A906,46.80,41179.00,31.50,61180.22,1927177.00,在售,办公
A905,43.46,41179.00,29.25,61184.23,1789639.00,在售,办公
A904,43.46,41179.00,29.25,61184.23,1789639.00,在售,办公
A903,43.46,41179.00,29.25,61184.23,1789639.00,在售,办公
A902,43.46,41179.00,29.25,61184.23,1789639.00,在售,办公
A901,80.60,41767.00,54.25,62053.82,3366420.00,在售,办公
B809,76.05,39414.00,51.24,58497.95,2997435.00,在售,办公
B808,38.85,38238.00,26.17,56765.22,1485546.00,在售,办公
B807,37.17,38238.00,25.04,56761.42,1421306.00,在售,办公
B806,46.75,40591.00,31.50,60242.19,1897629.00,在售,办公
B805,43.41,40591.00,29.25,60241.19,1762055.00,在售,办公
B804,43.41,40591.00,29.25,60241.19,1762055.00,在售,办公
B803,43.41,40591.00,29.25,60241.19,1762055.00,在售,办公
B802,43.41,40591.00,29.25,60241.19,1762055.00,在售,办公
B801,80.51,41767.00,54.25,61984.53,3362661.00,在售,办公
A809,76.12,38826.00,51.24,57678.27,2955435.00,在售,办公
A808,38.89,38238.00,26.17,56823.69,1487076.00,在售,办公
A807,37.21,38238.00,25.04,56822.52,1422836.00,在售,办公
A806,46.80,40591.00,31.50,60306.63,1899659.00,在售,办公
A805,43.46,40591.00,29.25,60310.59,1764085.00,在售,办公
A804,43.46,40591.00,29.25,60310.59,1764085.00,在售,办公
A803,43.46,40591.00,29.25,60310.59,1764085.00,在售,办公
A802,43.46,40591.00,29.25,60310.59,1764085.00,在售,办公
A801,80.60,41179.00,54.25,61180.22,3319027.00,在售,办公
B709,76.05,38826.00,51.24,57625.23,2952717.00,在售,办公
B708,38.85,37649.00,26.17,55890.86,1462664.00,在售,办公
B707,37.17,37649.00,25.04,55887.10,1399413.00,在售,办公
B706,46.75,40002.00,31.50,59368.06,1870094.00,在售,办公
B705,43.41,40002.00,29.25,59367.07,1736487.00,在售,办公
B704,43.41,40002.00,29.25,59367.07,1736487.00,在售,办公
B703,43.41,40002.00,29.25,59367.07,1736487.00,在售,办公
B702,43.41,40002.00,29.25,59367.07,1736487.00,在售,办公
B701,80.51,41179.00,54.25,61111.90,3315321.00,在售,办公
A709,76.12,38238.00,51.24,56804.78,2910677.00,在售,办公
A708,38.89,37649.00,26.17,55948.41,1464170.00,在售,办公
A707,37.21,37649.00,25.04,55947.24,1400919.00,在售,办公
A706,46.80,40002.00,31.50,59431.55,1872094.00,在售,办公
A705,43.46,33602.00,29.25,49926.25,1460342.92,在售,办公
A704,43.46,40002.00,29.25,59435.45,1738487.00,在售,办公
A703,43.46,40002.00,29.25,59435.45,1738487.00,在售,办公
A702,43.46,40002.00,29.25,59435.45,1738487.00,在售,办公
A701,80.60,40591.00,54.25,60306.63,3271635.00,在售,办公
B615,76.16,38238.00,51.24,56834.62,2912206.00,在售,办公
