房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
420,71.28,69246.00,47.74,103390.34,4935855.00,在售,办公
419,71.55,69245.99,47.92,103392.13,4954551.00,在售,办公
418,171.08,75746.00,114.59,113086.88,12958626.00,在售,办公
417,66.13,73966.00,44.29,110439.64,4891372.00,在售,办公
416,66.13,74121.00,44.29,110671.07,4901622.00,在售,办公
415,65.36,73038.00,43.78,109039.83,4773764.00,在售,办公
414,62.52,72496.00,41.88,108224.68,4532450.00,在售,办公
413,68.96,70870.99,46.19,105807.83,4887264.00,在售,办公
412,66.13,71413.00,44.29,106627.72,4722542.00,在售,办公
411,172.34,74740.00,115.43,111588.77,12880692.00,在售,办公
408,172.34,72018.99,115.43,107526.24,12411754.00,在售,办公
407,66.13,69775.00,44.29,104182.00,4614221.00,在售,办公
406,68.96,69233.00,46.19,103362.37,4774308.00,在售,办公
403,66.13,73876.00,44.29,110305.26,4885420.00,在售,办公
402,66.13,73721.00,44.29,110073.83,4875170.00,在售,办公
401,171.08,73875.99,114.58,110304.64,12638706.00,在售,办公
620,71.34,71246.00,47.73,106488.37,5082690.00,在售,办公
619,71.63,71246.00,47.92,106497.30,5103351.00,在售,办公
618,171.26,77746.00,114.59,116194.95,13314780.00,在售,办公
617,66.20,75965.99,44.29,113545.92,5028949.00,在售,办公
616,66.20,76120.99,44.29,113777.60,5039210.00,在售,办公
615,65.43,75037.99,43.78,112145.63,4909736.00,在售,办公
614,62.59,74496.00,41.88,111334.88,4662705.00,在售,办公
613,69.04,72871.00,46.19,108919.98,5031014.00,在售,办公
612,66.20,73413.00,44.29,109729.98,4859941.00,在售,办公
611,172.52,76740.00,115.43,114694.49,13239185.00,在售,办公
610,57.50,74186.00,38.48,110854.85,4265695.00,在售,办公
609,57.50,72329.00,38.48,108079.98,4158918.00,在售,办公
608,172.51,74419.00,115.42,111228.74,12838022.00,在售,办公
607,66.20,72175.00,44.29,107879.54,4777985.00,在售,办公
606,69.04,71632.99,46.19,107069.53,4945542.00,在售,办公
605,62.59,75115.00,41.87,112286.79,4701448.00,在售,办公
604,65.43,75192.00,43.78,112375.81,4919813.00,在售,办公
603,66.20,76275.99,44.29,114009.27,5049471.00,在售,办公
602,66.20,76120.99,44.29,113777.60,5039210.00,在售,办公
601,171.27,76276.00,114.59,114004.63,13063791.00,在售,办公
720,71.34,72246.00,47.73,107983.02,5154030.00,在售,办公
719,71.63,72246.00,47.92,107992.09,5174981.00,在售,办公
718,171.26,78746.00,114.59,117689.50,13486040.00,在售,办公
717,66.20,76965.99,44.29,115040.61,5095149.00,在售,办公
716,66.20,77120.99,44.29,115272.29,5105410.00,在售,办公
715,65.43,76037.99,43.78,113640.15,4975166.00,在售,办公
714,62.59,75496.00,41.88,112829.39,4725295.00,在售,办公
713,69.04,73871.00,46.19,110414.67,5100054.00,在售,办公
712,66.20,74413.00,44.29,111224.67,4926141.00,在售,办公
711,172.52,77740.00,115.43,116189.07,13411705.00,在售,办公
710,57.50,75186.00,38.48,112349.14,4323195.00,在售,办公
709,57.50,73329.00,38.48,109574.27,4216418.00,在售,办公
708,172.51,75419.00,115.42,112723.37,13010532.00,在售,办公
707,66.20,73175.00,44.29,109374.23,4844185.00,在售,办公
706,69.04,72632.99,46.19,108564.23,5014582.00,在售,办公
705,62.59,76115.00,41.87,113781.65,4764038.00,在售,办公
704,65.43,76192.00,43.78,113870.32,4985243.00,在售,办公
703,66.20,77275.99,44.29,115503.97,5115671.00,在售,办公
702,66.20,77120.99,44.29,115272.29,5105410.00,在售,办公
701,171.27,77276.00,114.59,115499.26,13235061.00,在售,办公
820,71.34,83234.09,47.73,124406.45,5937920.00,在售,办公
819,71.63,83234.09,47.92,124416.90,5962058.00,在售,办公
818,171.26,90620.45,114.59,135436.41,15519659.00,在售,办公
817,66.20,88597.73,44.29,132426.50,5865170.00,在售,办公
816,66.20,88773.86,44.29,132689.77,5876830.00,在售,办公
815,65.43,87543.17,43.78,130834.85,5727950.00,在售,办公
814,62.59,86927.27,41.88,129913.51,5440778.00,在售,办公
813,69.04,85080.67,46.19,127169.73,5873970.00,在售,办公
812,66.20,85696.58,44.29,128090.17,5673114.00,在售,办公
811,172.52,89477.27,115.43,133731.43,15436619.00,在售,办公
810,57.50,86575.00,38.48,129367.54,4978063.00,在售,办公
809,57.50,84464.76,38.48,126214.24,4856724.00,在售,办公
808,172.51,86839.77,115.42,129793.18,14980729.00,在售,办公
807,66.20,84289.77,44.29,125987.42,5579983.00,在售,办公
806,69.04,83673.87,46.19,125066.98,5776844.00,在售,办公
805,62.59,87630.67,41.87,130996.03,5484804.00,在售,办公
804,65.43,87718.18,43.78,131096.41,5739401.00,在售,办公
803,66.20,88950.00,44.29,132953.03,5888490.00,在售,办公
802,66.20,88773.86,44.29,132689.77,5876830.00,在售,办公
801,171.27,88950.00,114.59,132947.61,15234467.00,在售,办公
920,71.34,84370.45,47.73,126104.92,6018988.00,在售,办公
919,71.63,84370.45,47.92,126115.52,6043456.00,在售,办公
918,171.26,91756.82,114.59,137134.76,15714273.00,在售,办公
917,66.20,89734.09,44.29,134125.01,5940397.00,在售,办公
916,66.20,89910.22,44.29,134388.28,5952057.00,在售,办公
