房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2-30,87.78,78315.00,65.63,104747.00,6874482.00,在售,商业
2-29,157.29,83272.00,117.60,111376.00,13097779.00,在售,商业
2-28,94.04,82281.00,70.31,110051.00,7737631.00,在售,商业
2-27,91.66,82281.00,68.53,110052.00,7541803.00,在售,商业
2-26,111.55,86246.00,83.40,115356.00,9620687.00,在售,商业
2-18,65.75,105081.00,49.16,140543.00,6909059.00,在售,商业
2-17,172.15,100125.00,128.71,133917.00,17236364.00,在售,商业
2-13,185.68,107064.00,138.83,143194.00,19879532.00,在售,商业
2-12,96.39,118960.00,72.07,159103.00,11466490.00,在售,商业
2-11,96.58,112021.00,72.21,149826.00,10818895.00,在售,商业
2-10,82.04,112021.00,61.34,149823.00,9190124.00,在售,商业
2-09,174.71,89220.00,130.62,119336.00,15587539.00,在售,商业
2-08,153.37,119951.00,114.67,160433.00,18396833.00,在售,商业
2-07,32.75,123916.00,24.49,165711.00,4058248.00,在售,商业
2-06,52.20,111029.00,39.03,148494.00,5795699.00,在售,商业
2-05,65.85,117969.00,49.24,157762.00,7768193.00,在售,商业
1-15,74.94,177569.00,62.91,211524.00,13306957.00,在售,商业
1-13,172.59,185714.00,144.88,221234.00,32052291.00,在售,商业
1-12,176.45,197117.00,148.13,234803.00,34781285.00,在售,商业
1-07,27.31,212594.00,22.93,253202.00,5805917.00,在售,商业
1-06,44.71,208195.00,37.53,248026.00,9308380.00,在售,商业
1-05,55.09,218458.00,46.24,260269.00,12034836.00,在售,商业
1-01,63.23,246315.00,53.08,293416.00,15574480.00,在售,商业
1栋D座3009,64.41,45230.00,45.78,63635.00,2913204.00,在售,住宅
1栋D座3008,51.02,44071.00,36.27,61994.00,2248489.00,在售,住宅
1栋D座3007,66.67,47336.00,47.39,66593.00,3155831.00,在售,住宅
1栋D座3006,50.94,45418.00,36.20,63912.00,2313586.00,在售,住宅
1栋D座3005,50.94,45418.00,36.20,63912.00,2313586.00,在售,住宅
1栋D座3003,66.67,47256.00,47.39,66481.00,3150505.00,在售,住宅
1栋D座3002,51.02,43472.00,36.26,61168.00,2217921.00,在售,住宅
1栋D座3001,59.90,45190.00,42.58,63571.00,2706829.00,在售,住宅
1栋D座2909,64.41,45126.00,45.78,63490.00,2906541.00,在售,住宅
1栋D座2908,51.02,43968.00,36.27,61848.00,2243211.00,在售,住宅
1栋D座2907,66.67,47198.00,47.39,66399.00,3146635.00,在售,住宅
1栋D座2906,50.94,45280.00,36.20,63718.00,2306560.00,在售,住宅
1栋D座2905,50.94,45280.00,36.20,63718.00,2306560.00,在售,住宅
1栋D座2903,66.67,47118.00,47.39,66287.00,3141310.00,在售,住宅
1栋D座2902,51.02,43369.00,36.26,61022.00,2212643.00,在售,住宅
1栋D座2901,59.90,45086.00,42.58,63425.00,2700632.00,在售,住宅
1栋D座2809,64.41,45126.00,45.78,63490.00,2906541.00,在售,住宅
1栋D座2808,51.02,43968.00,36.27,61848.00,2243211.00,在售,住宅
1栋D座2807,66.67,47198.00,47.39,66399.00,3146635.00,在售,住宅
1栋D座2806,50.94,45280.00,36.20,63718.00,2306560.00,在售,住宅
1栋D座2805,50.94,45280.00,36.20,63718.00,2306560.00,在售,住宅
1栋D座2803,66.67,47118.00,47.39,66287.00,3141310.00,在售,住宅
1栋D座2802,51.02,43369.00,36.26,61022.00,2212643.00,在售,住宅
1栋D座2801,59.90,45086.00,42.58,63425.00,2700632.00,在售,住宅
1栋D座2709,64.41,45126.00,45.78,63490.00,2906541.00,在售,住宅
1栋D座2708,51.02,43968.00,36.27,61848.00,2243211.00,在售,住宅
1栋D座2707,66.67,47198.00,47.39,66399.00,3146635.00,在售,住宅
1栋D座2706,50.94,45280.00,36.20,63718.00,2306560.00,在售,住宅
1栋D座2705,50.94,45280.00,36.20,63718.00,2306560.00,在售,住宅
1栋D座2703,66.67,47118.00,47.39,66287.00,3141310.00,在售,住宅
1栋D座2702,51.02,43369.00,36.26,61022.00,2212643.00,在售,住宅
1栋D座2701,59.90,45086.00,42.58,63425.00,2700632.00,在售,住宅
1栋D座2609,64.41,45126.00,45.78,63490.00,2906541.00,在售,住宅
1栋D座2608,51.02,43968.00,36.27,61848.00,2243211.00,在售,住宅
1栋D座2607,66.67,47198.00,47.39,66399.00,3146635.00,在售,住宅
1栋D座2606,50.94,45280.00,36.20,63718.00,2306560.00,在售,住宅
1栋D座2605,50.94,45280.00,36.20,63718.00,2306560.00,在售,住宅
1栋D座2603,66.67,47118.00,47.39,66287.00,3141310.00,在售,住宅
1栋D座2602,51.02,43369.00,36.26,61022.00,2212643.00,在售,住宅
1栋D座2601,59.90,45086.00,42.58,63425.00,2700632.00,在售,住宅
1栋D座2509,64.41,52859.00,45.78,74369.00,3404648.00,在售,住宅
1栋D座2508,51.02,43968.00,36.27,61848.00,2243211.00,在售,住宅
1栋D座2507,66.67,47198.00,47.39,66399.00,3146635.00,在售,住宅
1栋D座2506,50.94,45280.00,36.20,63718.00,2306560.00,在售,住宅
1栋D座2505,50.94,45280.00,36.20,63718.00,2306560.00,在售,住宅
1栋D座2503,66.67,55294.00,47.39,77789.00,3686450.00,在售,住宅
1栋D座2502,51.02,43369.00,36.26,61022.00,2212643.00,在售,住宅
1栋D座2501,59.90,45086.00,42.58,63425.00,2700632.00,在售,住宅
1栋D座2409,64.41,52694.00,45.78,74137.00,3394020.00,在售,住宅
1栋D座2408,51.02,43795.00,36.27,61606.00,2234415.00,在售,住宅
1栋D座2407,66.67,46991.00,47.39,66108.00,3132842.00,在售,住宅
1栋D座2406,50.94,45074.00,36.20,63426.00,2296020.00,在售,住宅
1栋D座2405,50.94,45074.00,36.20,63426.00,2296020.00,在售,住宅
1栋D座2403,66.67,46911.00,47.39,65996.00,3127516.00,在售,住宅
1栋D座2402,51.02,43196.00,36.26,60780.00,2203847.00,在售,住宅
1栋D座2401,59.90,44914.00,42.58,63183.00,2690305.00,在售,住宅
1栋D座2309,64.41,44954.00,45.78,63247.00,2895436.00,在售,住宅
1栋D座2308,51.02,43795.00,36.27,61606.00,2234415.00,在售,住宅
1栋D座2307,66.67,46991.00,47.39,66108.00,3132842.00,在售,住宅
1栋D座2306,50.94,45074.00,36.20,63426.00,2296020.00,在售,住宅
1栋D座2305,50.94,45074.00,36.20,63426.00,2296020.00,在售,住宅
1栋D座2303,66.67,46911.00,47.39,65996.00,3127516.00,在售,住宅
1栋D座2302,51.02,43196.00,36.26,60780.00,2203847.00,在售,住宅
1栋D座2301,59.90,44914.00,42.58,63183.00,2690305.00,在售,住宅
1栋D座2209,64.41,44954.00,45.78,63247.00,2895436.00,在售,住宅
1栋D座2208,51.02,43795.00,36.27,61606.00,2234415.00,在售,住宅
1栋D座2207,66.67,46991.00,47.39,66108.00,3132842.00,在售,住宅
1栋D座2206,50.94,45074.00,36.20,63426.00,2296020.00,在售,住宅
1栋D座2205,50.94,45074.00,36.20,63426.00,2296020.00,在售,住宅
1栋D座2203,66.67,46911.00,47.39,65996.00,3127516.00,在售,住宅
1栋D座2202,51.02,43196.00,36.26,60780.00,2203847.00,在售,住宅
1栋D座2201,59.90,44914.00,42.58,63183.00,2690305.00,在售,住宅
1栋D座2109,64.41,44954.00,45.78,63247.00,2895436.00,在售,住宅
