房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
208,101.82,70450.19,85.32,84075.00,7173240.00,在售,商业
207,128.00,70450.19,107.25,84080.00,9017626.00,在售,商业
206,111.68,67076.70,93.58,80051.00,7491127.00,在售,商业
205,69.49,60329.71,58.23,71996.00,4192312.00,在售,商业
203,73.82,60329.71,61.86,71994.00,4453540.00,在售,商业
202,62.62,58642.96,52.47,69987.00,3672223.00,在售,商业
201,52.56,60329.71,44.04,72001.00,3170930.00,在售,商业
165,98.17,95383.93,82.26,113832.00,9363841.00,在售,商业
163,136.35,100444.17,114.25,119874.00,13695563.00,在售,商业
162,132.19,100444.17,110.77,119867.00,13277716.00,在售,商业
161,105.78,97070.67,88.64,115841.00,10268137.00,在售,商业
160,103.76,90697.18,86.94,108244.00,9410740.00,在售,商业
159,103.83,91540.55,87.01,109236.00,9504657.00,在售,商业
158,94.50,107191.16,79.18,127931.00,10129565.00,在售,商业
157,85.19,111408.02,71.38,132962.00,9490850.00,在售,商业
156,50.10,114781.52,41.98,136983.00,5750555.00,在售,商业
155,183.86,121528.50,154.06,145036.00,22344232.00,在售,商业
153,53.01,110564.65,44.42,131946.00,5861033.00,在售,商业
152,97.43,97070.67,81.64,115845.00,9457597.00,在售,商业
151,86.77,97070.67,72.71,115841.00,8422823.00,在售,商业
150,90.66,93275.49,75.96,111326.00,8456357.00,在售,商业
149,76.68,91588.75,64.25,109308.00,7023026.00,在售,商业
148,79.67,91588.75,66.75,109316.00,7296876.00,在售,商业
147,89.79,94962.24,75.24,113326.00,8526660.00,在售,商业
146,97.28,86106.82,81.51,102766.00,8376472.00,在售,商业
145,100.27,82733.32,84.02,98734.00,8295671.00,在售,商业
143,107.68,79733.32,90.23,95153.00,8585685.00,在售,商业
142,88.07,83106.82,73.80,99176.00,7319218.00,在售,商业
141,64.65,99600.79,54.17,118870.00,6439192.00,在售,商业
140,121.30,82311.64,101.64,98233.00,9984403.00,在售,商业
139,77.33,82311.64,64.80,98228.00,6365160.00,在售,商业
138,77.33,82311.64,64.80,98228.00,6365160.00,在售,商业
137,81.15,82311.64,68.00,98229.00,6679590.00,在售,商业
136,118.75,85263.44,99.51,101749.00,10125035.00,在售,商业
135,71.29,85263.44,59.73,101765.00,6078432.00,在售,商业
133,99.05,85263.44,83.00,101751.00,8445345.00,在售,商业
132,51.77,72191.16,43.38,86153.00,3737337.00,在售,商业
131,72.92,63757.42,61.10,76092.00,4649192.00,在售,商业
130,76.08,62070.67,63.75,74076.00,4722338.00,在售,商业
129,72.61,68817.66,60.84,82131.00,4996851.00,在售,商业
128,40.39,68817.66,33.84,82138.00,2779546.00,在售,商业
127,93.50,65444.17,78.35,78099.00,6119031.00,在售,商业
126,53.08,55902.00,44.48,66710.00,2967279.00,在售,商业
125,54.71,55269.47,45.84,65964.00,3023793.00,在售,商业
123,44.68,66709.23,37.44,79609.00,2980569.00,在售,商业
122,109.93,55902.00,92.11,66717.00,6145308.00,在售,商业
121,70.05,56588.75,56.70,69913.00,3964042.00,在售,商业
120,70.05,56588.75,56.70,69913.00,3964042.00,在售,商业
119,70.05,56588.75,56.70,69913.00,3964042.00,在售,商业
118,70.05,56588.75,56.70,69913.00,3964042.00,在售,商业
117,76.44,56588.75,64.05,67535.00,4325645.00,在售,商业
116,100.57,56028.50,84.27,66866.00,5634788.00,在售,商业
115,136.15,77673.08,114.09,92692.00,10575191.00,在售,商业
112,41.79,65865.85,35.01,78621.00,2752535.00,在售,商业
111,58.45,67552.60,48.97,80630.00,3948450.00,在售,商业
110,53.87,73034.53,45.14,87159.00,3934371.00,在售,商业
109,70.78,79781.52,59.31,95211.00,5646937.00,在售,商业
108,69.87,91377.90,58.55,109045.00,6384575.00,在售,商业
107,124.02,91377.90,103.92,109052.00,11332689.00,在售,商业
106,65.89,83998.38,55.21,100247.00,5534654.00,在售,商业
105,64.26,83998.38,53.84,100255.00,5397737.00,在售,商业
103,96.90,90745.37,81.19,108304.00,8793228.00,在售,商业
102,101.59,98335.73,85.13,117349.00,9989928.00,在售,商业
101,60.92,94962.24,51.05,113322.00,5785100.00,在售,商业
F座4906,89.38,45942.75,65.06,63116.55,4106363.00,在售,住宅
F座4905,89.38,46130.60,65.06,63374.63,4123154.00,在售,住宅
F座4903,89.60,45530.60,65.22,62550.47,4079542.00,在售,住宅
F座4902,89.31,47170.74,65.01,64802.63,4212819.00,在售,住宅
F座4901,91.91,48305.72,66.90,66364.42,4439780.00,在售,住宅
F座4806,89.38,45942.75,65.06,63116.55,4106363.00,在售,住宅
F座4805,89.38,46130.60,65.06,63374.63,4123154.00,在售,住宅
F座4803,89.60,45530.60,65.22,62550.47,4079542.00,在售,住宅
F座4802,89.31,47170.74,65.01,64802.63,4212819.00,在售,住宅
F座4801,91.91,48305.72,66.90,66364.42,4439780.00,在售,住宅
F座4706,89.38,45942.75,65.06,63116.55,4106363.00,在售,住宅
F座4705,89.38,46130.60,65.06,63374.63,4123154.00,在售,住宅
F座4703,89.60,45530.60,65.22,62550.47,4079542.00,在售,住宅
F座4702,89.31,47170.74,65.01,64802.63,4212819.00,在售,住宅
F座4701,91.91,48305.72,66.90,66364.42,4439780.00,在售,住宅
F座4606,89.38,45942.75,65.06,63116.55,4106363.00,在售,住宅
F座4605,89.38,46130.60,65.06,63374.63,4123154.00,在售,住宅
F座4603,89.60,45530.60,65.22,62550.47,4079542.00,在售,住宅
F座4602,89.31,47170.74,65.01,64802.63,4212819.00,在售,住宅
F座4601,91.91,48305.72,66.90,66364.42,4439780.00,在售,住宅
F座4506,89.38,45942.75,65.06,63116.55,4106363.00,在售,住宅
F座4505,89.38,46130.60,65.06,63374.63,4123154.00,在售,住宅
F座4503,89.60,45530.60,65.22,62550.47,4079542.00,在售,住宅
F座4502,89.31,47170.74,65.01,64802.63,4212819.00,在售,住宅
F座4501,91.91,48305.72,66.90,66364.42,4439780.00,在售,住宅
F座4406,89.38,45942.75,65.06,63116.55,4106363.00,在售,住宅
F座4405,89.38,46130.60,65.06,63374.63,4123154.00,在售,住宅
F座4403,89.60,45530.60,65.22,62550.47,4079542.00,在售,住宅
F座4402,89.31,47170.74,65.01,64802.63,4212819.00,在售,住宅
F座4401,91.91,48305.72,66.90,66364.42,4439780.00,在售,住宅
F座4306,89.38,45942.75,65.06,63116.55,4106363.00,在售,住宅
F座4305,89.38,46130.60,65.06,63374.63,4123154.00,在售,住宅
F座4303,89.60,45530.60,65.22,62550.47,4079542.00,在售,住宅
F座4302,89.31,47170.74,65.01,64802.63,4212819.00,在售,住宅
F座4301,91.91,48305.72,66.90,66364.42,4439780.00,在售,住宅
F座4206,89.38,45942.75,65.06,63116.55,4106363.00,在售,住宅
F座4205,89.38,46130.60,65.06,63374.63,4123154.00,在售,住宅
F座4203,89.60,45530.60,65.22,62550.47,4079542.00,在售,住宅
F座4202,89.31,47170.74,65.01,64802.63,4212819.00,在售,住宅
F座4201,91.91,48305.72,66.90,66364.42,4439780.00,在售,住宅
F座4106,89.38,45942.75,65.06,63116.55,4106363.00,在售,住宅
F座4105,89.38,46130.60,65.06,63374.63,4123154.00,在售,住宅
F座4103,89.60,45530.60,65.22,62550.47,4079542.00,在售,住宅
F座4102,89.31,47170.74,65.01,64802.63,4212819.00,在售,住宅
F座4101,91.91,48305.72,66.90,66364.42,4439780.00,在售,住宅
F座4006,89.38,45942.75,65.06,63116.55,4106363.00,在售,住宅
F座4005,89.38,46130.60,65.06,63374.63,4123154.00,在售,住宅
F座4003,89.60,45530.60,65.22,62550.47,4079542.00,在售,住宅
F座4002,89.31,47170.74,65.01,64802.63,4212819.00,在售,住宅
F座4001,91.91,48305.72,66.90,66364.42,4439780.00,在售,住宅
F座3906,89.38,45892.75,65.06,63047.86,4101894.00,在售,住宅
F座3905,89.38,46080.60,65.06,63305.94,4118685.00,在售,住宅
F座3903,89.60,45480.60,65.22,62481.78,4075062.00,在售,住宅
F座3902,89.31,47120.74,65.01,64733.94,4208354.00,在售,住宅
F座3901,91.91,48255.72,66.90,66295.73,4435185.00,在售,住宅
F座3806,89.38,45842.75,65.06,62979.17,4097425.00,在售,住宅
F座3805,89.38,46030.60,65.06,63237.25,4114216.00,在售,住宅
F座3803,89.60,45430.60,65.22,62413.09,4070582.00,在售,住宅
F座3802,89.31,47070.74,65.01,64665.25,4203888.00,在售,住宅
F座3801,91.91,48205.72,66.90,66227.04,4430589.00,在售,住宅
F座3706,89.38,45792.75,65.06,62910.48,4092956.00,在售,住宅
F座3705,89.38,45980.60,65.06,63168.56,4109747.00,在售,住宅
F座3703,89.60,45380.60,65.22,62344.40,4066102.00,在售,住宅
F座3702,89.31,47020.74,65.01,64596.56,4199423.00,在售,住宅
F座3701,91.91,48155.72,66.90,66158.35,4425994.00,在售,住宅
F座3606,89.38,45742.75,65.06,62841.79,4088487.00,在售,住宅
F座3605,89.38,45930.60,65.06,63099.87,4105278.00,在售,住宅
F座3603,89.60,45330.60,65.22,62275.71,4061622.00,在售,住宅
F座3602,89.31,46970.74,65.01,64527.87,4194957.00,在售,住宅
F座3601,91.91,48105.72,66.90,66089.65,4421398.00,在售,住宅
F座3506,89.38,45692.75,65.06,62773.10,4084018.00,在售,住宅
F座3505,89.38,45880.60,65.06,63031.18,4100809.00,在售,住宅
F座3503,89.60,45280.60,65.22,62207.02,4057142.00,在售,住宅
F座3502,89.31,46920.74,65.01,64459.19,4190492.00,在售,住宅
F座3501,91.91,48055.72,66.90,66020.97,4416803.00,在售,住宅
F座3406,89.38,45642.75,65.06,62704.41,4079549.00,在售,住宅
F座3405,89.38,45830.60,65.06,62962.49,4096340.00,在售,住宅
F座3403,89.60,45230.60,65.22,62138.33,4052662.00,在售,住宅
F座3402,89.31,46870.74,65.01,64390.49,4186026.00,在售,住宅
F座3401,91.91,48005.72,66.90,65952.27,4412207.00,在售,住宅
F座3206,89.38,45592.75,65.06,62635.72,4075080.00,在售,住宅
F座3205,89.38,45780.60,65.06,62893.80,4091871.00,在售,住宅
