房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
A1区商业046,66.30,120000.00,38.33,207565.87,7956000.00,在售,商业
A1区商业045,44.90,120000.00,25.96,207550.07,5388000.00,在售,商业
A1区商业043,73.65,120000.00,42.59,207513.50,8838000.00,在售,商业
A1区商业042,65.40,120000.00,37.82,207509.25,7848000.00,在售,商业
A1区商业041,72.02,120000.00,41.64,207550.43,8642400.00,在售,商业
A1区商业039,46.82,120000.00,27.07,207550.79,5618400.00,在售,商业
A1区商业038,74.02,120000.00,42.80,207532.71,8882400.00,在售,商业
A1区商业036,74.82,120000.00,43.26,207545.07,8978400.00,在售,商业
A1区商业035,73.32,120000.00,42.40,207509.43,8798400.00,在售,商业
A1区商业033,74.82,120000.00,43.26,207545.07,8978400.00,在售,商业
A1区商业032,38.13,120000.00,22.05,207510.20,4575600.00,在售,商业
A1区商业031,70.66,120000.00,40.86,207518.35,8479200.00,在售,商业
A1区商业030,57.46,120000.00,33.23,207499.24,6895200.00,在售,商业
A1区商业029,117.56,120000.00,67.98,207519.85,14107200.00,在售,商业
A1区商业028,159.63,120000.00,92.30,207536.29,19155600.00,在售,商业
A1区商业027,74.11,120000.00,42.85,207542.59,8893200.00,在售,商业
A1区商业026,74.09,120000.00,42.84,207535.01,8890800.00,在售,商业
A1区商业025,73.98,120000.00,42.78,207517.53,8877600.00,在售,商业
A1区商业023,73.15,120000.00,42.29,207566.80,8778000.00,在售,商业
A1区商业022,74.55,120000.00,43.11,207515.65,8946000.00,在售,商业
A1区商业021,48.03,120000.00,27.77,207547.71,5763600.00,在售,商业
A1区商业020,295.93,120000.00,171.11,207536.67,35511600.00,在售,商业
A1区商业019,93.29,120000.00,53.94,207541.71,11194800.00,在售,商业
A1区商业018,58.97,120000.00,34.10,207519.06,7076400.00,在售,商业
A1区商业017,164.10,120000.00,94.89,207524.50,19692000.00,在售,商业
A1区商业016,222.13,120000.00,128.44,207533.47,26655600.00,在售,商业
A1区商业015,237.38,120000.00,137.26,207530.23,28485600.00,在售,商业
A1区商业013,122.98,120000.00,71.11,207531.99,14757600.00,在售,商业
A1区商业012,27.39,120000.00,15.84,207500.00,3286800.00,在售,商业
A1区商业011,47.02,120000.00,27.19,207517.46,5642400.00,在售,商业
A1区商业010,82.48,120000.00,47.69,207540.36,9897600.00,在售,商业
A1区商业009,57.84,120000.00,33.45,207497.75,6940800.00,在售,商业
A1区商业008,184.76,120000.00,106.83,207537.20,22171200.00,在售,商业
A1区商业007,405.97,120000.00,234.74,207533.44,48716400.00,在售,商业
A1区商业006,104.99,120000.00,60.71,207524.29,12598800.00,在售,商业
A1区商业005,110.01,120000.00,63.61,207533.40,13201200.00,在售,商业
A1区商业003,104.45,120000.00,60.39,207550.91,12534000.00,在售,商业
A1区商业002,109.06,120000.00,63.06,207535.68,13087200.00,在售,商业
A1区商业001,558.60,120000.00,322.99,207535.83,67032000.00,在售,商业
