房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
246,44.77,34908.33,39.22,39848.19,1562846.25,在售,商业
245,41.90,34908.33,36.70,39854.47,1462659.32,在售,商业
243A,41.90,34908.33,36.70,39854.47,1462659.32,在售,商业
243,41.90,34908.33,36.70,39854.47,1462659.32,在售,商业
242,41.90,34908.33,36.70,39854.47,1462659.32,在售,商业
241,41.90,34908.33,36.70,39854.47,1462659.32,在售,商业
240,38.57,34908.33,33.79,39846.53,1346414.56,在售,商业
239,38.57,34908.33,33.79,39846.53,1346414.56,在售,商业
238,41.90,34908.33,36.70,39854.47,1462659.32,在售,商业
237,41.90,34908.33,36.70,39854.47,1462659.32,在售,商业
236,41.90,35908.33,36.70,40996.16,1504559.32,在售,商业
235,43.66,45549.60,38.24,52005.64,1988695.75,在售,商业
233A,43.55,44549.60,38.15,50855.44,1940135.29,在售,商业
233,43.55,44549.60,38.15,50855.44,1940135.29,在售,商业
232,40.19,44549.60,35.21,50850.57,1790448.62,在售,商业
231,40.19,44549.60,35.21,50850.57,1790448.62,在售,商业
230,43.55,44549.60,38.15,50855.44,1940135.29,在售,商业
229,43.55,44549.60,38.15,50855.44,1940135.29,在售,商业
228,43.66,44549.60,38.25,50850.60,1945035.75,在售,商业
227,43.66,44549.60,38.25,50850.60,1945035.75,在售,商业
226,43.55,44549.60,38.15,50855.44,1940135.29,在售,商业
225,46.55,44549.60,40.78,50852.96,2073784.11,在售,商业
223A,62.44,45549.60,54.70,51994.83,2844117.33,在售,商业
223,38.46,45549.60,33.69,51998.74,1751837.80,在售,商业
222,27.88,44549.60,24.42,50861.71,1242042.98,在售,商业
221,65.32,44549.60,57.22,50855.99,2909980.20,在售,商业
220,80.35,38549.60,70.39,44004.27,3097460.76,在售,商业
219,48.46,44549.60,42.45,50856.86,2158873.86,在售,商业
218,40.50,44549.60,35.48,50852.84,1804259.00,在售,商业
217,40.50,44549.60,35.48,50852.84,1804259.00,在售,商业
216,42.65,44549.60,37.36,50857.61,1900040.65,在售,商业
215,42.03,32549.60,36.82,37155.34,1368059.89,在售,商业
213A,41.01,32549.60,35.93,37151.66,1334859.30,在售,商业
213,41.11,32549.60,36.02,37149.20,1338114.26,在售,商业
212,42.73,33549.60,37.44,38289.92,1433574.62,在售,商业
211,27.98,33549.60,24.51,38299.38,938717.94,在售,商业
210,17.47,32549.60,15.30,37166.11,568641.60,在售,商业
208,62.58,28549.60,54.82,32590.92,1786634.28,在售,商业
207,57.35,25549.60,50.24,29165.40,1465269.84,在售,商业
206,42.31,25549.60,37.07,29161.14,1081003.78,在售,商业
205,32.11,25549.60,28.13,29164.51,820397.81,在售,商业
203A,56.83,32549.60,49.79,37151.91,1849794.05,在售,商业
203,51.11,46549.60,44.77,53141.61,2379150.31,在售,商业
202,37.98,46049.60,33.27,52568.80,1748963.99,在售,商业
201,49.22,45549.60,43.12,51993.31,2241951.56,在售,商业
118,62.52,79905.70,54.77,91212.43,4995704.96,在售,商业
117,37.42,79405.70,32.78,90645.56,2971361.65,在售,商业
116,26.33,79905.70,23.07,91197.11,2103917.33,在售,商业
115,61.44,68905.70,53.83,78646.97,4233566.80,在售,商业
113A,100.96,61905.70,88.45,70661.39,6250000.44,在售,商业
113,51.89,79905.70,45.46,91207.81,4146307.27,在售,商业
112,44.69,79905.70,39.15,91212.92,3570986.16,在售,商业
111,42.14,74905.70,36.92,85496.38,3156526.60,在售,商业
110,49.00,70905.70,42.92,80950.13,3474379.77,在售,商业
109,41.12,74905.70,36.02,85511.45,3080122.78,在售,商业
108,42.76,75405.70,37.46,86074.42,3224348.14,在售,商业
107,65.05,78905.70,56.99,90065.21,5132816.41,在售,商业
106,74.76,64905.70,65.49,74093.00,4852350.85,在售,商业
105,37.36,73905.70,32.73,84360.44,2761117.31,在售,商业
103A,32.07,73905.70,28.10,84347.19,2370156.10,在售,商业
103,50.58,80905.70,44.31,92354.11,4092210.79,在售,商业
102,37.55,81405.70,32.90,92911.37,3056784.39,在售,商业
101,47.49,92905.70,41.60,106059.90,4412092.15,在售,商业
1栋B座2410号,44.83,38324.44,31.88,53892.25,1718085.00,在售,商务公寓
1栋B座2409号,69.59,40494.65,49.49,56941.26,2818023.00,在售,商务公寓
1栋B座2408号,44.47,37877.85,31.63,53254.12,1684428.00,在售,商务公寓
1栋B座2407号,69.66,40877.63,49.54,57479.53,2847536.00,在售,商务公寓
1栋B座2406号,67.86,40622.31,48.26,57120.38,2756630.00,在售,商务公寓
1栋B座2405号,67.86,40494.65,48.26,56940.88,2747967.00,在售,商务公寓
1栋B座2403号,69.66,43564.85,49.54,61258.13,3034728.00,在售,商务公寓
1栋B座2402号,44.88,39218.04,31.92,55141.16,1760106.00,在售,商务公寓
1栋B座2401号,66.83,44047.83,47.53,61933.87,2943717.00,在售,商务公寓
1栋B座2310号,44.83,38224.44,31.88,53751.63,1713602.00,在售,商务公寓
1栋B座2309号,69.59,40394.65,49.49,56800.64,2811064.00,在售,商务公寓
1栋B座2308号,44.47,37777.85,31.63,53113.53,1679981.00,在售,商务公寓
1栋B座2307号,69.66,40777.63,49.54,57338.91,2840570.00,在售,商务公寓
1栋B座2306号,67.86,40522.31,48.26,56979.77,2749844.00,在售,商务公寓
1栋B座2305号,67.86,40394.65,48.26,56800.26,2741181.00,在售,商务公寓
1栋B座2303号,69.66,43464.85,49.54,61117.52,3027762.00,在售,商务公寓
1栋B座2302号,44.88,39118.04,31.92,55000.56,1755618.00,在售,商务公寓
1栋B座2301号,66.83,43947.83,47.53,61793.26,2937034.00,在售,商务公寓
1栋B座2210号,44.83,38124.44,31.88,53611.01,1709119.00,在售,商务公寓
1栋B座2209号,69.59,40294.65,49.49,56660.03,2804105.00,在售,商务公寓
1栋B座2208号,44.47,37677.85,31.63,52972.93,1675534.00,在售,商务公寓
1栋B座2207号,69.66,40677.63,49.54,57198.30,2833604.00,在售,商务公寓
1栋B座2206号,67.86,40422.31,48.26,56839.16,2743058.00,在售,商务公寓
1栋B座2205号,67.86,40294.65,48.26,56659.65,2734395.00,在售,商务公寓
1栋B座2203号,69.66,43364.85,49.54,60976.90,3020796.00,在售,商务公寓
1栋B座2202号,44.88,39018.04,31.92,54859.96,1751130.00,在售,商务公寓
1栋B座2201号,66.83,43847.83,47.53,61652.66,2930351.00,在售,商务公寓
1栋B座2110号,44.83,38024.44,31.88,53470.38,1704636.00,在售,商务公寓
1栋B座2109号,69.59,40194.65,49.49,56519.41,2797146.00,在售,商务公寓
1栋B座2108号,44.47,37577.85,31.63,52832.34,1671087.00,在售,商务公寓
1栋B座2107号,69.66,40577.63,49.54,57057.69,2826638.00,在售,商务公寓
1栋B座2106号,67.86,40322.31,48.26,56698.54,2736272.00,在售,商务公寓
1栋B座2105号,67.86,40194.65,48.26,56519.04,2727609.00,在售,商务公寓
1栋B座2103号,69.66,43264.85,49.54,60836.29,3013830.00,在售,商务公寓
1栋B座2102号,44.88,38918.04,31.92,54719.36,1746642.00,在售,商务公寓
1栋B座2101号,66.83,43747.83,47.53,61512.05,2923668.00,在售,商务公寓
1栋B座2010号,44.83,37924.44,31.88,53329.76,1700153.00,在售,商务公寓
1栋B座2009号,69.59,40094.65,49.49,56378.80,2790187.00,在售,商务公寓
1栋B座2008号,44.47,37477.85,31.63,52691.74,1666640.00,在售,商务公寓
1栋B座2007号,69.66,40477.63,49.54,56917.07,2819672.00,在售,商务公寓
1栋B座2006号,67.86,40222.31,48.26,56557.93,2729486.00,在售,商务公寓
1栋B座2005号,67.86,40094.65,48.26,56378.42,2720823.00,在售,商务公寓
1栋B座2003号,69.66,43164.85,49.54,60695.68,3006864.00,在售,商务公寓
1栋B座2002号,44.88,38818.04,31.92,54578.75,1742154.00,在售,商务公寓
1栋B座2001号,66.83,43647.83,47.53,61371.44,2916985.00,在售,商务公寓
1栋B座1910号,44.83,37824.44,31.88,53189.14,1695670.00,在售,商务公寓
1栋B座1909号,69.59,39994.65,49.49,56238.18,2783228.00,在售,商务公寓
1栋B座1908号,44.47,37377.85,31.63,52551.15,1662193.00,在售,商务公寓
1栋B座1907号,69.66,40377.63,49.54,56776.46,2812706.00,在售,商务公寓
1栋B座1906号,67.86,40122.31,48.26,56417.32,2722700.00,在售,商务公寓
1栋B座1905号,67.86,39994.65,48.26,56237.81,2714037.00,在售,商务公寓
1栋B座1903号,69.66,43064.85,49.54,60555.06,2999898.00,在售,商务公寓
1栋B座1902号,44.88,38718.04,31.92,54438.15,1737666.00,在售,商务公寓
1栋B座1901号,66.83,43547.83,47.53,61230.84,2910302.00,在售,商务公寓
1栋B座1810号,44.83,37724.44,31.88,53048.52,1691187.00,在售,商务公寓
1栋B座1809号,69.59,39894.65,49.49,56097.57,2776269.00,在售,商务公寓
1栋B座1808号,44.47,37277.85,31.63,52410.55,1657746.00,在售,商务公寓
1栋B座1807号,69.66,40277.63,49.54,56635.84,2805740.00,在售,商务公寓
1栋B座1806号,67.86,40022.31,48.26,56276.70,2715914.00,在售,商务公寓
1栋B座1805号,67.86,39894.65,48.26,56097.20,2707251.00,在售,商务公寓
1栋B座1803号,69.66,42964.85,49.54,60414.45,2992932.00,在售,商务公寓
1栋B座1802号,44.88,38618.04,31.92,54297.55,1733178.00,在售,商务公寓
1栋B座1801号,66.83,43447.83,47.53,61090.23,2903619.00,在售,商务公寓
1栋B座1710号,44.83,37624.44,31.88,52907.90,1686704.00,在售,商务公寓
1栋B座1709号,69.59,39794.65,49.49,55956.96,2769310.00,在售,商务公寓
1栋B座1708号,44.47,37177.85,31.63,52269.96,1653299.00,在售,商务公寓
1栋B座1707号,69.66,40177.63,49.54,56495.23,2798774.00,在售,商务公寓
1栋B座1706号,67.86,39922.31,48.26,56136.09,2709128.00,在售,商务公寓
1栋B座1705号,67.86,39794.65,48.26,55956.58,2700465.00,在售,商务公寓
1栋B座1703号,69.66,42864.85,49.54,60273.83,2985966.00,在售,商务公寓
1栋B座1702号,44.88,38518.04,31.92,54156.95,1728690.00,在售,商务公寓
1栋B座1701号,66.83,43347.83,47.53,60949.63,2896936.00,在售,商务公寓
1栋B座1610号,44.83,37524.44,31.88,52767.28,1682221.00,在售,商务公寓
1栋B座1609号,69.59,39694.65,49.49,55816.34,2762351.00,在售,商务公寓
1栋B座1608号,44.47,37077.85,31.63,52129.37,1648852.00,在售,商务公寓
1栋B座1607号,69.66,40077.63,49.54,56354.62,2791808.00,在售,商务公寓
1栋B座1606号,67.86,39822.31,48.26,55995.48,2702342.00,在售,商务公寓
1栋B座1605号,67.86,39694.65,48.26,55815.97,2693679.00,在售,商务公寓
1栋B座1603号,69.66,42764.85,49.54,60133.22,2979000.00,在售,商务公寓
1栋B座1602号,44.88,38418.04,31.92,54016.35,1724202.00,在售,商务公寓
1栋B座1601号,66.83,43247.83,47.53,60809.02,2890253.00,在售,商务公寓
1栋B座1510号,44.83,37424.44,31.88,52626.66,1677738.00,在售,商务公寓
1栋B座1509号,69.59,39594.65,49.49,55675.73,2755392.00,在售,商务公寓
1栋B座1508号,44.47,36977.85,31.63,51988.77,1644405.00,在售,商务公寓
1栋B座1507号,69.66,39977.63,49.54,56214.00,2784842.00,在售,商务公寓
1栋B座1506号,67.86,39722.31,48.26,55854.86,2695556.00,在售,商务公寓
1栋B座1505号,67.86,39594.65,48.26,55675.36,2686893.00,在售,商务公寓
1栋B座1503号,69.66,42664.85,49.54,59992.61,2972034.00,在售,商务公寓
1栋B座1502号,44.88,38318.04,31.92,53875.75,1719714.00,在售,商务公寓
1栋B座1501号,66.83,43147.83,47.53,60668.41,2883570.00,在售,商务公寓
1栋B座1410号,44.83,37324.44,31.88,52486.04,1673255.00,在售,商务公寓
1栋B座1409号,69.59,39494.65,49.49,55535.11,2748433.00,在售,商务公寓
1栋B座1408号,44.47,36877.85,31.63,51848.18,1639958.00,在售,商务公寓
1栋B座1407号,69.66,39877.63,49.54,56073.39,2777876.00,在售,商务公寓
1栋B座1406号,67.86,39622.31,48.26,55714.25,2688770.00,在售,商务公寓
1栋B座1405号,67.86,39494.65,48.26,55534.74,2680107.00,在售,商务公寓
1栋B座1403号,69.66,42564.85,49.54,59851.99,2965068.00,在售,商务公寓
1栋B座1402号,44.88,38218.04,31.92,53735.15,1715226.00,在售,商务公寓
1栋B座1401号,66.83,43047.83,47.53,60527.81,2876887.00,在售,商务公寓
1栋B座1310号,44.83,37224.44,31.88,52345.42,1668772.00,在售,商务公寓
1栋B座1309号,69.59,39394.65,49.49,55394.50,2741474.00,在售,商务公寓
1栋B座1308号,44.47,36777.85,31.63,51707.58,1635511.00,在售,商务公寓
1栋B座1307号,69.66,39777.63,49.54,55932.78,2770910.00,在售,商务公寓
