房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
8栋4806,87.66,71826.99,65.21,96555.00,6296353.00,在售,住宅
8栋4805,87.84,70121.68,65.35,94253.00,6159488.00,在售,住宅
8栋4803,151.88,72206.85,112.98,97068.00,10966776.00,在售,住宅
8栋4802,55.95,70839.57,41.62,95230.00,3963473.00,在售,住宅
8栋4801,83.71,70839.58,62.27,95230.00,5929981.00,在售,住宅
8栋4706,87.02,71772.99,64.73,96488.00,6245685.00,在售,住宅
8栋4705,87.21,70067.68,64.87,94197.00,6110602.00,在售,住宅
8栋4703,151.89,72120.46,112.98,96958.00,10954376.00,在售,住宅
8栋4702,55.96,70753.18,41.62,95130.00,3959347.00,在售,住宅
8栋4701,83.71,70753.17,62.27,95113.00,5922747.00,在售,住宅
8栋4606,87.66,71718.99,65.21,96409.00,6286886.00,在售,住宅
8栋4605,87.84,70013.67,65.35,94108.00,6150000.00,在售,住宅
8栋4603,151.88,72034.05,112.98,96836.00,10940531.00,在售,住宅
8栋4602,55.95,70666.77,41.62,94997.00,3953805.00,在售,住宅
8栋4601,83.71,70666.78,62.27,94997.00,5915516.00,在售,住宅
8栋4506,87.02,71665.00,64.73,96343.00,6236288.00,在售,住宅
8栋4505,87.21,69959.68,64.87,94052.00,6101183.00,在售,住宅
8栋4503,151.89,71947.65,112.98,96726.00,10928128.00,在售,住宅
8栋4502,55.96,70580.38,41.62,94898.00,3949678.00,在售,住宅
8栋4501,83.71,70580.37,62.27,94881.00,5908282.00,在售,住宅
8栋4406,87.66,71611.00,65.21,96264.00,6277420.00,在售,住宅
8栋4405,87.84,69905.67,65.35,93963.00,6140514.00,在售,住宅
8栋4403,151.88,71861.26,112.98,96603.00,10914288.00,在售,住宅
8栋4402,55.95,70493.98,41.62,94765.00,3944138.00,在售,住宅
8栋4401,83.71,70493.97,62.27,94765.00,5901050.00,在售,住宅
8栋4306,87.02,71557.00,64.73,96197.00,6226890.00,在售,住宅
8栋4305,87.21,69851.68,64.87,93907.00,6091765.00,在售,住宅
8栋4303,151.89,71774.86,112.98,96493.00,10901883.00,在售,住宅
8栋4302,55.96,70407.58,41.62,94666.00,3940008.00,在售,住宅
8栋4301,83.71,70407.57,62.27,94649.00,5893817.00,在售,住宅
8栋4206,87.66,71502.99,65.21,96119.00,6267952.00,在售,住宅
8栋4205,87.84,69797.68,65.35,93818.00,6131028.00,在售,住宅
8栋4203,151.88,71688.46,112.98,96371.00,10888043.00,在售,住宅
8栋4202,55.95,70321.18,41.62,94533.00,3934470.00,在售,住宅
8栋4201,83.71,70321.18,62.27,94533.00,5886585.00,在售,住宅
8栋4106,87.02,71449.00,64.73,96052.00,6217491.00,在售,住宅
8栋4105,87.21,69743.68,64.87,93762.00,6082346.00,在售,住宅
8栋4103,151.89,71602.06,112.98,96261.00,10875636.00,在售,住宅
8栋4102,55.96,70234.77,41.62,94433.00,3930337.00,在售,住宅
8栋4101,83.71,70234.79,62.27,94417.00,5879354.00,在售,住宅
8栋4006,87.66,71394.99,65.21,95974.00,6258484.00,在售,住宅
8栋4005,87.84,69689.67,65.35,93673.00,6121540.00,在售,住宅
8栋4003,151.88,71515.66,112.98,96139.00,10861798.00,在售,住宅
8栋4002,55.95,70148.38,41.62,94300.00,3924801.00,在售,住宅
8栋4001,83.71,70148.37,62.27,94300.00,5872120.00,在售,住宅
8栋3906,87.02,71286.99,64.73,95834.00,6203393.00,在售,住宅
