房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
C座栋C201,262.29,100000.00,224.65,116754.95,26229000.00,在售,商业
C座栋C16,52.83,100000.00,45.25,116751.38,5283000.00,在售,商业
C座栋C15,46.92,100000.00,40.19,116745.45,4692000.00,在售,商业
C座栋C14,37.89,100000.00,32.46,116728.28,3789000.00,在售,商业
C座栋C13,37.19,100000.00,30.77,120864.47,3719000.00,在售,商业
C座栋C12,55.35,100000.00,45.80,120851.52,5535000.00,在售,商业
C座栋C11,55.35,100000.00,45.80,120851.52,5535000.00,在售,商业
C座栋C10,37.19,100000.00,30.77,120864.47,3719000.00,在售,商业
C座栋C09,37.89,100000.00,32.46,116728.28,3789000.00,在售,商业
C座栋C08,46.92,100000.00,40.19,116745.45,4692000.00,在售,商业
C座栋C07,49.90,100000.00,42.74,116752.45,4990000.00,在售,商业
C座栋C06,46.41,100000.00,39.75,116754.71,4641000.00,在售,商业
C座栋C05,47.11,100000.00,40.35,116753.40,4711000.00,在售,商业
C座栋C04,53.96,100000.00,44.89,120204.94,5396000.00,在售,商业
C座栋C03,55.06,100000.00,45.80,120218.34,5506000.00,在售,商业
C座栋C02,33.05,100000.00,28.31,116743.20,3305000.00,在售,商业
C座栋C01,125.83,100000.00,107.77,116757.91,12583000.00,在售,商业
C座栋2单元32D,188.00,28320.69,153.37,34715.32,5324290.00,在售,住宅
C座栋2单元32C,132.30,28687.35,107.93,35164.80,3795337.00,在售,住宅
C座栋2单元32B,266.59,30182.76,217.48,36998.44,8046422.00,在售,住宅
C座栋2单元32A,266.59,29541.38,217.48,36212.23,7875437.00,在售,住宅
C座栋2单元31D,120.51,23223.00,98.32,28464.23,2798604.00,在售,住宅
C座栋2单元31C,89.13,24813.81,72.71,30417.48,2211655.00,在售,住宅
C座栋2单元31B,175.85,25343.68,143.46,31065.71,4456687.00,在售,住宅
C座栋2单元31A,175.85,24809.20,143.46,30410.55,4362698.00,在售,住宅
C座栋2单元30D,120.51,23062.07,98.32,28266.99,2779211.00,在售,住宅
C座栋2单元30C,89.13,24825.30,72.71,30431.56,2212679.00,在售,住宅
C座栋2单元30B,175.85,25228.74,143.46,30924.81,4436474.00,在售,住宅
C座栋2单元30A,175.85,24694.26,143.46,30269.66,4342486.00,在售,住宅
C座栋2单元29D,120.51,23073.57,98.32,28281.08,2780596.00,在售,住宅
C座栋2单元29C,89.13,24836.80,72.71,30445.66,2213704.00,在售,住宅
C座栋2单元29B,171.76,25113.79,140.12,30784.65,4313546.00,在售,住宅
C座栋2单元29A,171.75,24579.31,140.12,30127.72,4221497.00,在售,住宅
C座栋2单元28D,120.51,23085.06,98.32,28295.16,2781981.00,在售,住宅
C座栋2单元28C,89.13,24848.28,72.71,30459.74,2214728.00,在售,住宅
C座栋2单元28B,171.76,24998.85,140.12,30643.76,4293804.00,在售,住宅
C座栋2单元28A,171.75,24464.37,140.12,29986.83,4201756.00,在售,住宅
C座栋2单元27D,120.51,23096.55,98.32,28309.25,2783366.00,在售,住宅
C座栋2单元27C,89.13,24859.77,72.71,30473.82,2215752.00,在售,住宅
C座栋2单元27B,171.76,24883.91,140.12,30502.86,4274061.00,在售,住宅
C座栋2单元27A,171.75,24349.42,140.12,29845.94,4182014.00,在售,住宅
C座栋2单元26D,120.51,23280.46,98.32,28534.67,2805529.00,在售,住宅
C座栋2单元26C,89.13,25043.68,72.71,30699.27,2232144.00,在售,住宅
C座栋2单元26B,171.76,24768.97,140.12,30361.96,4254319.00,在售,住宅
C座栋2单元26A,171.75,24234.48,140.12,29705.05,4162273.00,在售,住宅
C座栋2单元25D,120.51,23291.95,98.32,28548.75,2806914.00,在售,住宅
C座栋2单元25C,89.13,25055.17,72.71,30713.35,2233168.00,在售,住宅
C座栋2单元25B,171.76,24654.02,140.12,30221.06,4234576.00,在售,住宅
C座栋2单元25A,171.75,24119.54,140.12,29564.17,4142532.00,在售,住宅
C座栋2单元24D,120.51,23268.97,98.32,28520.58,2804144.00,在售,住宅
C座栋2单元24C,89.13,25032.20,72.71,30685.18,2231120.00,在售,住宅
C座栋2单元24B,171.76,24677.02,140.12,30249.25,4238525.00,在售,住宅
C座栋2单元24A,171.75,24142.53,140.12,29592.34,4146480.00,在售,住宅
C座栋2单元23D,120.51,23314.94,98.32,28576.93,2809684.00,在售,住宅
C座栋2单元23C,89.13,25078.17,72.71,30741.54,2235218.00,在售,住宅
C座栋2单元23B,171.76,24596.55,140.12,30150.62,4224705.00,在售,住宅
C座栋2单元23A,171.75,24062.07,140.12,29493.72,4132661.00,在售,住宅
C座栋2单元22D,120.51,23326.43,98.32,28591.01,2811069.00,在售,住宅
C座栋2单元22C,89.13,25089.66,72.71,30755.63,2236242.00,在售,住宅
C座栋2单元22B,171.76,24481.61,140.12,30009.72,4204963.00,在售,住宅
C座栋2单元22A,171.75,23947.13,140.12,29352.84,4112920.00,在售,住宅
C座栋2单元21D,120.51,23337.94,98.32,28605.12,2812456.00,在售,住宅
C座栋2单元21C,89.13,25101.15,72.71,30769.71,2237266.00,在售,住宅
C座栋2单元21B,171.76,24366.67,140.12,29868.82,4185220.00,在售,住宅
C座栋2单元21A,171.75,23832.19,140.12,29211.95,4093179.00,在售,住宅
C座栋2单元20D,120.51,23349.43,98.32,28619.21,2813841.00,在售,住宅
C座栋2单元20C,89.13,25112.65,72.71,30783.81,2238291.00,在售,住宅
C座栋2单元20B,171.76,24251.73,140.12,29727.93,4165478.00,在售,住宅
C座栋2单元20A,171.75,23717.24,140.12,29071.06,4073437.00,在售,住宅
C座栋2单元19D,120.51,23291.95,98.32,28548.75,2806914.00,在售,住宅
C座栋2单元19C,89.13,25055.17,72.71,30713.35,2233168.00,在售,住宅
C座栋2单元19B,171.76,24171.27,140.12,29629.30,4151658.00,在售,住宅
C座栋2单元19A,171.75,23636.78,140.12,28972.43,4059618.00,在售,住宅
C座栋2单元18D,120.51,23200.00,98.32,28436.05,2795833.00,在售,住宅
C座栋2单元18C,89.13,24963.23,72.71,30600.64,2224973.00,在售,住宅
C座栋2单元18B,171.76,24056.32,140.12,29488.40,4131915.00,在售,住宅
C座栋2单元18A,171.75,23521.83,140.12,28831.54,4039876.00,在售,住宅
C座栋2单元17D,120.51,23177.02,98.32,28407.88,2793063.00,在售,住宅
C座栋2单元17C,89.13,24940.23,72.71,30572.45,2222923.00,在售,住宅
