房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
F座23M,84.26,127000.00,55.09,194246.14,10701020.00,在售,办公
F座23L,78.08,126102.00,51.04,192908.38,9846044.16,在售,办公
F座23K,80.93,125397.00,52.91,191804.55,10148379.21,在售,办公
F座23H,77.04,125264.00,50.36,191627.05,9650338.56,在售,办公
F座23G,89.55,125364.00,58.55,191739.47,11226346.20,在售,办公
F座23F,239.84,125231.00,156.80,191552.31,30035403.04,在售,办公
F座23E,190.26,126425.00,124.38,193388.16,24053620.50,在售,办公
F座23D,85.83,126352.00,56.11,193277.35,10844792.16,在售,办公
F座23C,85.83,125214.00,56.11,191536.58,10747117.62,在售,办公
F座23B,85.04,126321.00,55.59,193242.27,10742337.84,在售,办公
F座23A,381.81,124253.00,249.62,190053.03,47441037.93,在售,办公
F座22M,89.68,127000.00,55.12,206628.44,11389360.00,在售,办公
F座22L,83.04,126102.00,51.04,205162.81,10471510.08,在售,办公
F座22K,86.08,125397.00,52.91,204010.08,10794173.76,在售,办公
F座22H,82.44,125264.00,50.67,203804.30,10326764.16,在售,办公
F座22G,95.26,125364.00,58.55,203965.40,11942174.64,在售,办公
F座22F,255.05,125231.00,156.77,203739.02,31940166.55,在售,办公
F座22E,202.35,126425.00,124.38,205676.94,25582098.75,在售,办公
F座22D,91.29,126352.00,56.11,205572.51,11534674.08,在售,办公
F座22C,91.29,125214.00,56.11,203721.01,11430786.06,在售,办公
F座22B,90.44,126321.00,55.59,205513.06,11424471.24,在售,办公
F座22A,406.10,124253.00,249.62,202143.83,50459143.30,在售,办公
F座21M,80.89,127000.00,55.12,186375.72,10273030.00,在售,办公
F座21L,74.91,126102.00,51.04,185076.42,9446300.82,在售,办公
F座21K,77.65,125397.00,52.91,184030.94,9737077.05,在售,办公
F座21J,78.57,125264.00,53.53,183859.37,9841992.48,在售,办公
F座21I,75.13,125364.00,51.20,183956.97,9418597.32,在售,办公
F座21H,73.91,125231.00,50.36,183793.15,9255823.21,在售,办公
F座21G,85.93,126425.00,58.55,185545.69,10863700.25,在售,办公
F座21F,230.08,126352.00,156.77,185437.69,29071068.16,在售,办公
F座21E,182.54,125214.00,124.38,183763.97,22856563.56,在售,办公
F座21D,82.35,126321.00,56.11,185395.37,10402534.35,在售,办公
F座21C,82.35,124253.00,56.11,182360.26,10232234.55,在售,办公
F座21B,81.59,127000.00,55.59,186399.17,10361930.00,在售,办公
F座21A,366.33,126102.00,249.62,185061.07,46194945.66,在售,办公
F座20M,80.85,125397.00,55.09,184032.44,10138347.45,在售,办公
F座20L,74.91,125264.00,51.04,183846.51,9383526.24,在售,办公
F座20K,77.65,125364.00,52.91,183982.50,9734514.60,在售,办公
F座20J,78.56,125231.00,53.53,183787.54,9838147.36,在售,办公
F座20I,75.13,126425.00,51.20,185513.87,9498310.25,在售,办公
F座20H,73.91,126352.00,50.36,185438.37,9338676.32,在售,办公
F座20G,85.92,125214.00,58.55,183747.00,10758386.88,在售,办公
F座20F,230.12,126321.00,156.80,185388.95,29068988.52,在售,办公
F座20E,182.54,124253.00,124.38,182353.61,22681142.62,在售,办公
F座20D,82.35,127000.00,56.11,186391.90,10458450.00,在售,办公
F座20C,82.35,126102.00,56.11,185073.95,10384499.70,在售,办公
F座20B,81.59,125397.00,55.59,184046.43,10231141.23,在售,办公
F座20A,366.33,125264.00,249.62,183831.26,45887961.12,在售,办公
F座19M,80.83,125364.00,55.09,183938.50,10133172.12,在售,办公
F座19L,74.90,125231.00,51.04,183773.54,9379801.90,在售,办公
F座19K,77.64,126425.00,52.91,185515.72,9815637.00,在售,办公
F座19J,78.55,126352.00,53.53,185409.10,9924949.60,在售,办公
F座19I,75.12,125214.00,51.20,183712.41,9406075.68,在售,办公
F座19H,73.90,126321.00,50.36,185367.78,9335121.90,在售,办公
F座19G,85.91,126321.00,58.55,185349.90,10852237.11,在售,办公
F座19F,229.76,124215.00,156.58,182268.73,28539638.40,在售,办公
F座19E,182.51,125213.00,124.38,183732.30,22852624.63,在售,办公
F座19D,82.34,124253.00,56.11,182338.12,10230992.02,在售,办公
F座19C,82.34,127000.00,56.11,186369.27,10457180.00,在售,办公
