房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
B座栋2单元32F,193.71,36190.59,154.16,45475.35,7010480.00,在售,住宅
B座栋2单元32C,129.33,37440.00,102.68,47157.34,4842116.00,在售,住宅
B座栋2单元32B,189.48,40450.59,150.45,50944.36,7664579.00,在售,住宅
B座栋2单元32A,190.36,39068.83,151.20,49187.45,7437143.00,在售,住宅
B座栋2单元12H,89.05,29915.30,69.87,38127.35,2663958.00,在售,住宅
B座栋2单元6G,79.76,28718.85,62.58,36602.99,2290615.50,在售,住宅
B座栋2单元6F,79.76,28528.26,62.58,36360.09,2275414.50,在售,住宅
B座栋2单元6E,88.98,30038.84,69.81,38287.58,2672856.00,在售,住宅
B座栋2单元6D,74.19,31794.72,58.21,40523.11,2358850.50,在售,住宅
B座栋2单元6C,52.94,31794.72,41.54,40520.29,1683213.00,在售,住宅
B座栋2单元3E,88.98,29809.44,69.81,37995.18,2652444.00,在售,住宅
B座栋2单元3D,74.19,31265.30,58.21,39848.35,2319573.00,在售,住宅
B座栋2单元3C,52.94,31265.30,41.54,39845.58,1655185.50,在售,住宅
B座栋2单元2H,88.98,28574.14,69.81,36420.67,2542527.00,在售,住宅
B座栋2单元2G,79.76,27960.03,62.58,35635.85,2230092.00,在售,住宅
B座栋2单元2F,79.76,28034.14,62.58,35730.32,2236003.50,在售,住宅
B座栋2单元2E,88.98,29456.49,69.81,37545.31,2621038.50,在售,住宅
B座栋2单元2D,74.19,31177.07,58.21,39735.90,2313027.00,在售,住宅
B座栋2单元2C,52.94,31177.04,41.54,39733.10,1650513.00,在售,住宅
B座栋2单元2B,52.94,30224.12,41.54,38518.65,1600065.00,在售,住宅
B座栋2单元2A,67.91,30224.12,53.28,38523.28,2052520.50,在售,住宅
B座栋1单元32H,127.89,37875.88,103.11,46978.44,4843947.00,在售,住宅
B座栋1单元32E,158.80,37152.35,128.47,45923.51,5899794.00,在售,住宅
B座栋1单元32D,127.55,40545.88,102.84,50288.09,5171628.00,在售,住宅
B座栋1单元32C,127.55,40801.77,102.84,50605.47,5204267.00,在售,住宅
B座栋1单元32B,127.55,41310.01,102.84,51235.82,5269092.00,在售,住宅
B座栋1单元32A,127.55,42167.65,102.84,52299.53,5378484.00,在售,住宅
B座栋1单元23A,87.40,35209.42,70.10,43898.77,3077304.00,在售,住宅
B座栋1单元2H,86.84,29897.67,69.65,37276.58,2596314.00,在售,住宅
B座栋1单元2D,87.26,31662.35,69.99,39475.03,2762857.50,在售,住宅
B座栋1单元2C,87.08,31868.83,69.84,39735.65,2775138.00,在售,住宅
B座栋1单元2B,87.08,32195.30,69.84,40142.71,2803567.50,在售,住宅
B座栋1单元2A,87.26,32897.65,69.99,41015.13,2870649.00,在售,住宅
