房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
D座2单元3304,83.45,27350.91,63.14,36148.78,2282434.17,在售,住宅
D座2单元3204,85.34,27319.00,64.57,36106.60,2331403.79,在售,住宅
D座2单元3104,85.34,27287.08,64.57,36064.42,2328680.17,在售,住宅
D座2单元3004,85.34,27255.17,64.57,36022.24,2325956.56,在售,住宅
D座2单元2904,85.34,27223.25,64.57,35980.06,2323232.94,在售,住宅
D座2单元2804,85.34,27191.34,64.57,35937.88,2320509.32,在售,住宅
D座2单元2704,85.34,27159.42,64.57,35895.70,2317785.71,在售,住宅
D座2单元2604,85.34,27127.51,64.57,35853.52,2315062.09,在售,住宅
D座2单元2504,85.34,27095.59,64.57,35811.34,2312338.47,在售,住宅
D座2单元2404,85.34,27063.68,64.57,35769.16,2309614.86,在售,住宅
D座2单元2304,85.34,27031.76,64.57,35726.98,2306891.24,在售,住宅
D座2单元2204,85.34,26999.85,64.57,35684.80,2304167.62,在售,住宅
D座2单元2104,85.34,26967.94,64.57,35642.62,2301444.00,在售,住宅
D座2单元2004,85.34,26936.02,64.57,35600.43,2298720.39,在售,住宅
D座2单元1904,85.34,26904.11,64.57,35558.25,2295996.77,在售,住宅
D座2单元1804,85.34,26850.91,64.57,35487.95,2291457.41,在售,住宅
D座2单元1704,85.34,26797.72,64.57,35417.65,2286918.05,在售,住宅
D座2单元1604,85.34,26744.53,64.57,35347.35,2282378.69,在售,住宅
D座2单元1504,85.34,26691.34,64.57,35277.05,2277839.32,在售,住宅
D座2单元1404,85.34,26638.15,64.57,35206.75,2273299.96,在售,住宅
D座2单元1304,85.34,26584.96,64.57,35136.45,2268760.60,在售,住宅
D座2单元1204,85.34,26265.81,64.57,34714.64,2241524.43,在售,住宅
D座2单元1104,85.34,25946.66,64.57,34292.83,2214288.26,在售,住宅
D座2单元1004,85.34,25893.47,64.57,34222.53,2209748.90,在售,住宅
D座2单元904,85.34,25840.28,64.57,34152.23,2205209.54,在售,住宅
D座2单元804,85.34,25787.08,64.57,34081.92,2200670.17,在售,住宅
D座2单元704,85.34,25733.89,64.57,34011.62,2196130.81,在售,住宅
D座2单元604,85.34,25680.70,64.57,33941.32,2191591.45,在售,住宅
D座2单元504,85.34,25627.51,64.57,33871.02,2187052.09,在售,住宅
D座2单元404,85.34,25574.32,64.57,33800.72,2182512.73,在售,住宅
D座2单元304,85.34,37235.00,64.57,49213.00,3177683.00,在售,住宅
D座2单元3303,86.40,28715.87,65.38,37948.16,2481051.20,在售,住宅
D座2单元3203,86.40,28683.95,65.38,37905.99,2478293.75,在售,住宅
D座2单元3103,86.40,28652.04,65.38,37863.81,2475536.30,在售,住宅
D座2单元3003,86.40,28620.12,65.38,37821.64,2472778.85,在售,住宅
D座2单元2903,86.40,28588.21,65.38,37779.46,2470021.41,在售,住宅
D座2单元2803,86.40,28556.29,65.38,37737.28,2467263.96,在售,住宅
D座2单元2703,86.40,28524.38,65.38,37695.11,2464506.51,在售,住宅
D座2单元2603,86.40,28492.46,65.38,37652.93,2461749.07,在售,住宅
D座2单元2503,86.40,28460.55,65.38,37610.76,2458991.62,在售,住宅
D座2单元2403,86.40,28428.63,65.38,37568.58,2456234.17,在售,住宅
D座2单元2303,86.40,28396.72,65.38,37526.41,2453476.73,在售,住宅
D座2单元2203,86.40,28364.80,65.38,37484.23,2450719.28,在售,住宅
D座2单元2103,86.40,28332.89,65.38,37442.05,2447961.83,在售,住宅
D座2单元2003,86.40,28300.97,65.38,37399.88,2445204.39,在售,住宅
D座2单元1903,86.40,28269.06,65.38,37357.70,2442446.94,在售,住宅
D座2单元1803,86.40,28215.87,65.38,37287.41,2437851.20,在售,住宅
D座2单元1703,86.40,28162.67,65.38,37217.12,2433255.45,在售,住宅
D座2单元1603,86.40,28109.48,65.38,37146.82,2428659.71,在售,住宅
D座2单元1503,86.40,28056.29,65.38,37076.53,2424063.96,在售,住宅
D座2单元1403,86.40,28003.10,65.38,37006.24,2419468.22,在售,住宅
D座2单元1303,86.40,27949.91,65.38,36935.95,2414872.47,在售,住宅
D座2单元1203,86.40,27630.76,65.38,36514.19,2387298.00,在售,住宅
D座2单元1103,86.40,27311.61,65.38,36092.43,2359723.54,在售,住宅
D座2单元1003,86.40,27258.42,65.38,36022.14,2355127.79,在售,住宅
D座2单元903,86.40,27205.23,65.38,35951.85,2350532.05,在售,住宅
