房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
智慧领寓3栋58,41.08,58280.04,39.85,60078.90,2394144.00,在售,商业
智慧领寓3栋57,41.25,56627.25,40.01,58382.25,2335874.00,在售,商业
智慧领寓3栋56,44.86,58349.78,43.51,60160.22,2617571.00,在售,商业
智慧领寓3栋55,31.91,49001.47,30.95,50521.39,1563637.00,在售,商业
智慧领寓3栋54,42.82,57516.51,41.53,59303.08,2462857.00,在售,商业
智慧领寓3栋53,30.52,55562.09,29.60,57289.02,1695755.00,在售,商业
智慧领寓3栋52,31.58,58278.02,30.63,60085.54,1840420.00,在售,商业
智慧领寓3栋51,95.85,68036.57,92.97,70144.19,6521305.00,在售,商业
智慧领寓3栋50,40.73,65465.87,39.50,67504.43,2666425.00,在售,商业
智慧领寓3栋49,45.72,65180.31,44.34,67208.93,2980044.00,在售,商业
智慧领寓3栋48,41.98,63756.91,40.72,65729.74,2676515.00,在售,商业
智慧领寓3栋47,35.31,65572.61,34.25,67602.01,2315369.00,在售,商业
智慧领寓3栋46,63.61,65545.21,61.69,67585.20,4169331.00,在售,商业
智慧领寓3栋45,63.84,64854.61,61.92,66865.60,4140318.00,在售,商业
智慧领寓3栋44,63.80,65521.39,61.88,67554.38,4180265.00,在售,商业
智慧领寓3栋43,56.34,68005.01,54.64,70120.83,3831402.00,在售,商业
智慧领寓3栋42,56.11,68050.04,54.42,70163.32,3818288.00,在售,商业
智慧领寓3栋41,60.99,61514.92,59.15,63428.49,3751795.00,在售,商业
智慧领寓3栋40,65.33,60601.61,63.36,62485.84,3959103.00,在售,商业
智慧领寓3栋39,57.18,58599.49,55.46,60416.86,3350719.00,在售,商业
智慧领寓3栋38,49.32,63871.74,47.84,65847.70,3150154.00,在售,商业
智慧领寓3栋37,62.42,65802.03,60.55,67834.24,4107363.00,在售,商业
智慧领寓3栋36,62.42,66755.69,60.55,68817.34,4166890.00,在售,商业
智慧领寓3栋35,62.42,66755.69,60.55,68817.34,4166890.00,在售,商业
智慧领寓3栋34,62.42,66755.69,60.55,68817.34,4166890.00,在售,商业
智慧领寓3栋33,62.42,68662.99,60.55,70783.55,4285944.00,在售,商业
智慧领寓3栋32,64.74,69282.00,62.79,71433.62,4485317.00,在售,商业
智慧领寓2栋31,62.95,68918.71,60.80,71355.81,4338433.00,在售,商业
智慧领寓2栋30,41.26,71118.73,39.85,73635.11,2934359.00,在售,商业
智慧领寓2栋29,81.70,63220.02,78.91,65455.28,5165076.00,在售,商业
智慧领寓2栋28,34.67,72474.96,33.48,75050.99,2512707.00,在售,商业
智慧领寓2栋27,32.88,67819.65,31.75,70233.39,2229910.00,在售,商业
智慧领寓2栋26,54.76,64043.17,52.89,66307.51,3507004.00,在售,商业
智慧领寓2栋25A,43.81,71393.75,42.31,73924.84,3127760.00,在售,商业
智慧领寓2栋25,60.04,68021.69,57.99,70426.31,4084022.00,在售,商业
智慧领寓2栋24,31.98,71512.95,30.89,74036.39,2286984.00,在售,商业
智慧领寓1栋23,50.31,71323.93,48.99,73245.70,3588307.00,在售,商业
智慧领寓1栋22,46.83,64262.12,45.60,65995.50,3009395.00,在售,商业
智慧领寓1栋21,46.83,64262.12,45.60,65995.50,3009395.00,在售,商业
智慧领寓1栋20,62.18,64953.84,60.55,66702.39,4038830.00,在售,商业
智慧领寓1栋19,62.18,64953.84,60.55,66702.39,4038830.00,在售,商业
智慧领寓1栋18,62.18,64953.84,60.55,66702.39,4038830.00,在售,商业
智慧领寓1栋17,64.49,64643.40,62.79,66393.58,4168853.00,在售,商业
智慧领寓1栋16,64.53,64638.39,62.83,66387.31,4171115.00,在售,商业
智慧领寓1栋15,34.20,69687.25,33.30,71570.69,2383304.00,在售,商业
智慧领寓1栋14,84.71,56639.77,82.48,58171.13,4797955.00,在售,商业
智慧领寓1栋13,34.39,71677.61,33.48,73625.84,2464993.00,在售,商业
智慧领寓1栋12,35.26,68315.51,34.33,70166.18,2408805.00,在售,商业
智慧领寓1栋11,34.39,73696.71,33.48,75699.82,2534430.00,在售,商业
智慧领寓1栋10,49.87,67099.64,48.56,68909.78,3346259.00,在售,商业
智慧领寓1栋09,62.11,74631.88,60.47,76655.96,4635386.00,在售,商业
智慧领寓1栋08,57.85,77568.31,56.33,79661.41,4487327.00,在售,商业
智慧领寓1栋07,47.58,75776.00,46.33,77820.46,3605422.00,在售,商业
智慧领寓1栋06,59.12,71063.99,57.56,72989.98,4201303.00,在售,商业
智慧领寓1栋05,14.50,88092.41,14.12,90463.17,1277340.00,在售,商业
智慧领寓1栋04,61.32,75110.53,59.71,77135.79,4605778.00,在售,商业
智慧领寓1栋03,49.90,71409.90,48.59,73335.13,3563354.00,在售,商业
智慧领寓1栋02,51.80,70001.22,50.44,71888.64,3626063.00,在售,商业
智慧领寓1栋01,73.56,70889.07,71.62,72809.27,5214600.00,在售,商业
智慧领寓3栋926,47.94,46936.84,37.44,60100.21,2250152.00,在售,办公
智慧领寓3栋925,47.94,47005.55,37.44,60188.19,2253446.00,在售,办公
智慧领寓3栋923,47.94,47074.28,37.44,60276.20,2256741.00,在售,办公
智慧领寓3栋922,47.94,47143.03,37.44,60364.24,2260037.00,在售,办公
智慧领寓3栋921,47.94,47300.35,37.44,60565.68,2267579.00,在售,办公
智慧领寓3栋920,63.91,45993.91,49.92,58883.63,2939471.00,在售,办公
智慧领寓3栋919,47.94,46771.44,37.44,59888.43,2242223.00,在售,办公
智慧领寓3栋918,47.94,46748.73,37.44,59859.35,2241134.00,在售,办公
智慧领寓3栋917,47.94,46726.03,37.44,59830.29,2240046.00,在售,办公
智慧领寓3栋916,47.94,46703.34,37.44,59801.23,2238958.00,在售,办公
智慧领寓3栋915,47.94,46680.64,37.44,59772.17,2237870.00,在售,办公
智慧领寓3栋913,47.94,48974.63,37.44,62709.51,2347844.00,在售,办公
智慧领寓3栋912,47.94,47960.10,37.44,61410.44,2299207.00,在售,办公
智慧领寓3栋911,47.94,47983.44,37.44,61440.33,2300326.00,在售,办公
智慧领寓3栋910,47.94,48006.78,37.44,61470.22,2301445.00,在售,办公
智慧领寓3栋909,47.94,48030.14,37.44,61500.13,2302565.00,在售,办公
智慧领寓3栋908,47.94,48053.48,37.44,61530.02,2303684.00,在售,办公
智慧领寓3栋907,47.94,48067.48,37.44,61547.94,2304355.00,在售,办公
智慧领寓3栋906,47.93,49643.44,37.44,63552.62,2379410.00,在售,办公
智慧领寓3栋905,47.94,46638.82,37.44,59718.62,2235865.00,在售,办公
智慧领寓3栋903,47.94,45415.50,37.44,58152.22,2177219.00,在售,办公
智慧领寓3栋902,47.94,45349.31,37.44,58067.47,2174046.00,在售,办公
智慧领寓3栋901,47.94,45283.19,37.44,57982.80,2170876.00,在售,办公
智慧领寓3栋826,47.94,46826.14,37.44,59958.47,2244845.00,在售,办公
智慧领寓3栋825,47.94,46894.87,37.44,60046.47,2248140.00,在售,办公
智慧领寓3栋823,47.94,46963.60,37.44,60134.48,2251435.00,在售,办公
智慧领寓3栋822,47.94,47032.33,37.44,60222.49,2254730.00,在售,办公
智慧领寓3栋821,47.94,47189.67,37.44,60423.96,2262273.00,在售,办公
智慧领寓3栋820,63.91,45883.23,49.92,58741.93,2932397.00,在售,办公
智慧领寓3栋819,47.94,46660.74,37.44,59746.69,2236916.00,在售,办公
智慧领寓3栋818,47.94,46638.05,37.44,59717.63,2235828.00,在售,办公
智慧领寓3栋817,47.94,46615.35,37.44,59688.57,2234740.00,在售,办公
智慧领寓3栋816,47.94,46592.66,37.44,59659.51,2233652.00,在售,办公
智慧领寓3栋815,47.94,46569.94,37.44,59630.42,2232563.00,在售,办公
智慧领寓3栋813,47.94,48863.95,37.44,62567.79,2342538.00,在售,办公
智慧领寓3栋812,47.94,47849.42,37.44,61268.72,2293901.00,在售,办公
智慧领寓3栋811,47.94,47872.76,37.44,61298.61,2295020.00,在售,办公
智慧领寓3栋810,47.94,47896.10,37.44,61328.50,2296139.00,在售,办公
智慧领寓3栋809,47.94,47919.44,37.44,61358.39,2297258.00,在售,办公
智慧领寓3栋808,47.94,47942.78,37.44,61388.27,2298377.00,在售,办公
智慧领寓3栋807,47.94,47956.76,37.44,61406.17,2299047.00,在售,办公
智慧领寓3栋806,47.93,49532.76,37.44,63410.92,2374105.00,在售,办公
智慧领寓3栋805,47.94,46528.14,37.44,59576.90,2230559.00,在售,办公
智慧领寓3栋803,47.94,45304.82,37.44,58010.50,2171913.00,在售,办公
智慧领寓3栋802,47.94,45238.63,37.44,57925.75,2168740.00,在售,办公
智慧领寓3栋801,47.94,45172.49,37.44,57841.05,2165569.00,在售,办公
智慧领寓3栋726,47.94,46715.44,37.44,59816.72,2239538.00,在售,办公
智慧领寓3栋725,47.94,46784.17,37.44,59904.73,2242833.00,在售,办公
智慧领寓3栋723,47.94,46852.92,37.44,59992.76,2246129.00,在售,办公
智慧领寓3栋722,47.94,46921.65,37.44,60080.77,2249424.00,在售,办公
智慧领寓3栋721,47.94,47078.99,37.44,60282.24,2256967.00,在售,办公
智慧领寓3栋720,63.91,45772.52,49.92,58600.20,2925322.00,在售,办公
智慧领寓3栋719,47.94,46550.06,37.44,59604.97,2231610.00,在售,办公
智慧领寓3栋718,47.94,46527.37,37.44,59575.91,2230522.00,在售,办公
智慧领寓3栋717,47.94,46504.67,37.44,59546.85,2229434.00,在售,办公
智慧领寓3栋716,47.94,46481.94,37.44,59517.74,2228344.00,在售,办公
智慧领寓3栋715,47.94,46459.26,37.44,59488.70,2227257.00,在售,办公
智慧领寓3栋713,47.94,48753.27,37.44,62426.07,2337232.00,在售,办公
智慧领寓3栋712,47.94,47738.72,37.44,61126.98,2288594.00,在售,办公
智慧领寓3栋711,47.94,47762.06,37.44,61156.86,2289713.00,在售,办公
智慧领寓3栋710,47.94,47785.40,37.44,61186.75,2290832.00,在售,办公
智慧领寓3栋709,47.94,47808.76,37.44,61216.67,2291952.00,在售,办公
智慧领寓3栋708,47.94,47832.10,37.44,61246.55,2293071.00,在售,办公
智慧领寓3栋707,47.94,47846.08,37.44,61264.45,2293741.00,在售,办公
智慧领寓3栋706,47.93,49422.07,37.44,63269.23,2368800.00,在售,办公
智慧领寓3栋705,47.94,46417.46,37.44,59435.18,2225253.00,在售,办公
智慧领寓3栋703,47.94,45194.12,37.44,57868.75,2166606.00,在售,办公
智慧领寓3栋702,47.94,45127.95,37.44,57784.03,2163434.00,在售,办公
智慧领寓3栋701,47.94,45061.81,37.44,57699.33,2160263.00,在售,办公
智慧领寓3栋626,47.94,46604.76,37.44,59675.00,2234232.00,在售,办公
智慧领寓3栋625,47.94,46673.49,37.44,59763.01,2237527.00,在售,办公
智慧领寓3栋623,47.94,46742.22,37.44,59851.01,2240822.00,在售,办公
智慧领寓3栋622,47.94,46810.97,37.44,59939.05,2244118.00,在售,办公
智慧领寓3栋621,47.94,46968.29,37.44,60140.49,2251660.00,在售,办公
智慧领寓3栋620,63.91,45661.84,49.92,58458.49,2918248.00,在售,办公
智慧领寓3栋619,47.94,46439.38,37.44,59463.25,2226304.00,在售,办公
智慧领寓3栋618,47.94,46416.67,37.44,59434.16,2225215.00,在售,办公
智慧领寓3栋617,47.94,46393.97,37.44,59405.10,2224127.00,在售,办公
智慧领寓3栋616,47.94,46371.26,37.44,59376.01,2223038.00,在售,办公
智慧领寓3栋615,47.94,46348.58,37.44,59346.98,2221951.00,在售,办公
智慧领寓3栋613,47.94,48642.57,37.44,62284.32,2331925.00,在售,办公
智慧领寓3栋612,47.94,47628.04,37.44,60985.26,2283288.00,在售,办公
智慧领寓3栋611,47.94,47651.38,37.44,61015.14,2284407.00,在售,办公
智慧领寓3栋610,47.94,47674.72,37.44,61045.03,2285526.00,在售,办公
智慧领寓3栋609,47.94,47698.06,37.44,61074.92,2286645.00,在售,办公
