房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
D座2904,88.09,59353.79,65.21,80179.00,5228475.00,在售,住宅
D座2903,97.49,57270.94,72.17,77363.00,5583343.00,在售,住宅
D座2902,90.11,84977.97,66.70,114803.07,7657365.00,在售,住宅
D座2901,90.13,58010.38,66.72,78364.00,5228475.00,在售,住宅
D座2804,87.03,72911.92,62.76,101107.78,6345524.00,在售,住宅
D座2803,96.62,70154.10,69.68,97277.40,6778289.00,在售,住宅
D座2802,88.69,69852.53,63.96,96860.00,6195220.00,在售,住宅
D座2801,88.69,71547.23,63.96,99210.82,6345524.00,在售,住宅
D座2704,84.79,74476.46,62.77,100603.14,6314859.00,在售,住宅
D座2703,94.19,71638.42,69.73,96767.86,6747623.00,在售,住宅
D座2702,87.03,84461.79,64.43,114088.31,7350710.00,在售,住宅
D座2701,87.03,72559.57,64.43,98011.16,6314859.00,在售,住宅
D座2604,87.03,59209.91,62.76,82107.00,5153038.00,在售,住宅
D座2603,96.62,69519.33,69.68,96397.22,6716958.00,在售,住宅
D座2602,88.69,81728.40,63.96,113328.52,7248492.00,在售,住宅
D座2601,88.69,70855.71,63.96,98251.92,6284193.00,在售,住宅
D座2504,84.79,73753.13,62.77,99626.06,6253528.00,在售,住宅
D座2503,94.19,70987.29,69.73,95888.33,6686293.00,在售,住宅
D座2502,87.03,67428.79,64.43,91080.00,5868327.00,在售,住宅
D座2501,87.03,71854.85,64.43,97059.26,6253528.00,在售,住宅
D座2404,87.03,58632.05,62.76,81305.00,5102747.00,在售,住宅
D座2403,96.62,68884.57,69.68,95517.04,6655627.00,在售,住宅
D座2402,88.69,79653.85,63.96,110451.84,7064500.00,在售,住宅
D座2401,88.69,57534.64,63.96,79780.00,5102747.00,在售,住宅
D座2304,84.79,73029.80,62.77,98648.99,6192197.00,在售,住宅
D座2303,94.19,70336.15,69.73,95008.78,6624962.00,在售,住宅
D座2302,87.03,80820.80,64.43,109170.17,7033834.00,在售,住宅
D座2301,87.03,71150.14,64.43,96107.36,6192197.00,在售,住宅
D座2204,87.03,70797.78,62.76,98176.08,6161531.00,在售,住宅
D座2203,96.62,68249.80,69.68,94636.85,6594296.00,在售,住宅
D座2202,88.69,78962.33,63.96,109492.95,7003169.00,在售,住宅
D座2201,88.69,69472.67,63.96,96334.13,6161531.00,在售,住宅
D座2104,84.79,72306.47,62.77,97671.91,6130866.00,在售,住宅
D座2103,94.19,69685.01,69.73,94129.23,6563631.00,在售,住宅
D座2102,87.03,80116.09,64.43,108218.27,6972503.00,在售,住宅
D座2101,87.03,70445.43,64.43,95155.46,6130866.00,在售,住宅
D座2004,87.03,70093.07,62.76,97198.85,6100200.00,在售,住宅
D座2003,96.62,67615.04,69.68,93756.67,6532965.00,在售,住宅
D座2002,88.69,78270.81,63.96,108534.05,6941838.00,在售,住宅
D座2001,88.69,68781.15,63.96,95375.23,6100200.00,在售,住宅
D座1904,84.79,71583.15,62.77,96694.84,6069535.00,在售,住宅
D座1903,94.19,69033.87,69.73,93249.68,6502300.00,在售,住宅
D座1902,87.03,79411.38,64.43,107266.37,6911172.00,在售,住宅
D座1901,87.03,69740.72,64.43,94203.55,6069535.00,在售,住宅
D座1804,87.03,69388.37,62.76,96221.64,6038870.00,在售,住宅
D座1803,96.62,66980.27,69.68,92876.49,6471634.00,在售,住宅
D座1802,88.69,77579.29,63.96,107575.16,6880507.00,在售,住宅
D座1801,88.69,68089.64,63.96,94416.35,6038870.00,在售,住宅
D座1704,84.79,70859.82,62.77,95717.76,6008204.00,在售,住宅
D座1703,94.19,68382.73,69.73,92370.13,6440969.00,在售,住宅
D座1702,87.03,78706.68,64.43,106314.48,6849842.00,在售,住宅
