房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
M,752.93,200000.00,579.07,260048.00,150586000.00,在售,住宅
49F,262.26,180827.06,201.70,235120.01,47423707.00,在售,住宅
48F,262.26,179704.66,201.70,233660.60,47129345.00,在售,住宅
47F,262.26,178582.25,201.70,232201.20,46834983.00,在售,住宅
46F,262.26,177459.85,201.70,230741.79,46540621.00,在售,住宅
45F,262.26,176337.45,201.70,229282.39,46246260.00,在售,住宅
44F,262.26,175215.04,201.70,227822.99,45951898.00,在售,住宅
43F,262.26,174092.64,201.70,226363.58,45657536.00,在售,住宅
42F,262.26,172970.23,201.70,224904.18,45363174.00,在售,住宅
41F,262.26,171847.83,201.70,223444.77,45068812.00,在售,住宅
40F,262.26,170725.42,201.70,221985.37,44774450.00,在售,住宅
39F,262.26,147154.92,201.70,191337.87,38592850.00,在售,住宅
38F,262.26,146032.51,201.70,189878.47,38298488.00,在售,住宅
37F,262.26,144910.11,201.70,188419.07,38004127.00,在售,住宅
36F,262.26,143787.71,201.70,186959.66,37709765.00,在售,住宅
35F,261.20,140420.49,200.89,182576.69,36677833.00,在售,住宅
34F,261.20,139298.08,200.89,181117.33,36384661.00,在售,住宅
33F,261.20,138175.68,200.89,179657.96,36091489.00,在售,住宅
32F,261.20,137502.24,200.89,178782.34,35915586.00,在售,住宅
31F,261.20,133012.62,200.89,172944.88,34742897.00,在售,住宅
30F,261.20,129533.16,200.89,168420.84,33834063.00,在售,住宅
29F,261.20,126614.91,200.89,164626.49,33071816.00,在售,住宅
28F,261.20,125941.47,200.89,163750.87,32895913.00,在售,住宅
27F,261.20,125268.02,200.89,162875.25,32720009.00,在售,住宅
26F,261.20,124594.58,200.89,161999.63,32544106.00,在售,住宅
25F,261.20,123921.14,200.89,161124.01,32368203.00,在售,住宅
24F,261.20,123247.69,200.89,160248.38,32192299.00,在售,住宅
23F,261.20,122574.25,200.89,159372.77,32016396.00,在售,住宅
22F,261.20,121900.81,200.89,158497.15,31840493.00,在售,住宅
21F,261.20,121227.37,200.89,157621.53,31664590.00,在售,住宅
20F,261.20,120553.92,200.89,156745.91,31488686.00,在售,住宅
19F,261.20,119880.48,200.89,155870.29,31312783.00,在售,住宅
18F,261.20,119207.04,200.89,154994.67,31136880.00,在售,住宅
17F,261.20,118533.59,200.89,154119.05,30960976.00,在售,住宅
16F,261.20,117298.95,200.89,152513.74,30638487.00,在售,住宅
14F,260.49,115839.82,200.34,150619.53,30175117.00,在售,住宅
13F,260.49,114156.22,200.34,148430.43,29736554.00,在售,住宅
12F,260.49,113819.50,200.34,147992.62,29648842.00,在售,住宅
11F,260.49,113482.77,200.34,147554.80,29561129.00,在售,住宅
10F,260.49,113146.05,200.34,147116.98,29473416.00,在售,住宅
9F,260.49,113146.05,200.34,147116.98,29473416.00,在售,住宅
8F,260.49,113146.05,200.34,147116.98,29473416.00,在售,住宅
7F,260.49,112809.33,200.34,146679.16,29385704.00,在售,住宅
6F,260.49,112472.61,200.34,146241.34,29297991.00,在售,住宅
5F,260.49,112135.89,200.34,145803.52,29210279.00,在售,住宅
4F,260.49,111799.17,200.34,145365.70,29122566.00,在售,住宅
3F,260.49,111462.45,200.34,144927.89,29034854.00,在售,住宅
2F,260.49,111125.72,200.34,144490.07,28947141.00,在售,住宅
49E,362.78,186532.14,279.01,242536.58,67670133.00,在售,住宅
48E,362.78,185409.74,279.01,241077.19,67262947.00,在售,住宅
47E,362.78,184287.33,279.01,239617.79,66855761.00,在售,住宅
46E,362.78,183164.93,279.01,238158.39,66448575.00,在售,住宅
45E,362.78,182042.52,279.01,236699.00,66041389.00,在售,住宅
44E,362.78,180920.12,279.01,235239.60,65634203.00,在售,住宅
43E,362.78,179797.72,279.01,233780.21,65227017.00,在售,住宅
42E,362.78,178675.31,279.01,232320.81,64819831.00,在售,住宅
41E,362.78,177552.91,279.01,230861.42,64412645.00,在售,住宅
40E,362.78,176430.50,279.01,229402.02,64005459.00,在售,住宅
39E,362.78,152860.00,279.01,198754.71,55454552.00,在售,住宅
38E,362.78,151737.59,279.01,197295.31,55047366.00,在售,住宅
37E,362.78,150615.19,279.01,195835.91,54640180.00,在售,住宅
