房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2座42E,232.86,156731.96,164.18,222296.29,36496606.00,在售,住宅
2座41E,232.86,155508.10,164.18,220560.46,36211617.00,在售,住宅
2座40E,232.86,154284.23,164.18,218824.62,35926627.00,在售,住宅
2座39E,232.86,153060.37,164.18,217088.79,35641638.00,在售,住宅
2座38E,232.86,151836.50,164.18,215352.96,35356649.00,在售,住宅
2座37E,232.86,150612.63,164.18,213617.12,35071659.00,在售,住宅
2座36E,232.86,149388.77,164.18,211881.28,34786670.00,在售,住宅
2座35E,232.86,148164.91,164.18,210145.45,34501681.00,在售,住宅
2座33E,232.72,146941.04,164.08,208411.26,34196120.00,在售,住宅
2座32E,232.72,145513.20,164.08,206386.10,33863832.00,在售,住宅
2座31E,232.72,144085.36,164.08,204360.95,33531545.00,在售,住宅
2座30E,232.72,142657.51,164.08,202335.79,33199257.00,在售,住宅
2座29E,232.72,141229.67,164.08,200310.63,32866969.00,在售,住宅
2座28E,232.72,139801.83,164.08,198285.48,32534682.00,在售,住宅
2座27E,232.72,138373.98,164.08,196260.32,32202394.00,在售,住宅
2座26E,232.72,136946.14,164.08,194235.16,31870106.00,在售,住宅
2座25E,232.72,135518.30,164.08,192210.01,31537819.00,在售,住宅
2座24E,232.72,134090.45,164.08,190184.85,31205531.00,在售,住宅
2座23E,232.72,132662.61,164.08,188159.70,30873244.00,在售,住宅
2座22E,232.72,131234.77,164.08,186134.54,30540956.00,在售,住宅
2座21E,232.72,129806.92,164.08,184109.38,30208668.00,在售,住宅
2座19E,232.72,128379.08,164.08,182084.23,29876381.00,在售,住宅
2座18E,232.72,126951.24,164.08,180059.07,29544093.00,在售,住宅
2座17E,232.72,125523.40,164.08,178033.92,29211806.00,在售,住宅
2座16E,232.72,124095.55,164.08,176008.76,28879518.00,在售,住宅
2座15E,232.72,122157.76,164.08,173260.33,28428556.00,在售,住宅
2座14E,232.72,120423.96,164.08,170801.21,28025064.00,在售,住宅
2座13E,232.72,118690.15,164.08,168342.10,27621572.00,在售,住宅
2座12E,232.72,118078.21,164.08,167474.17,27479163.00,在售,住宅
2座11E,232.72,117466.28,164.08,166606.25,27336754.00,在售,住宅
2座10E,232.72,117058.33,164.08,166027.63,27241815.00,在售,住宅
2座9E,232.72,116650.37,164.08,165449.01,27146875.00,在售,住宅
2座8E,232.72,116344.40,164.08,165015.05,27075671.00,在售,住宅
2座7E,232.72,115732.47,164.08,164147.13,26933262.00,在售,住宅
