房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
B2406,73.46,32840.66,55.85,43195.61,2412475.00,在售,住宅
B2405,72.11,30958.54,54.83,40715.32,2232421.00,在售,住宅
B2404,72.11,31581.26,54.83,41534.28,2277325.00,在售,住宅
B2403,74.72,34107.90,56.81,44860.81,2548543.00,在售,住宅
B2402,79.74,36587.12,60.63,48119.03,2917457.00,在售,住宅
B2401,85.65,36698.57,65.12,48268.32,3143233.00,在售,住宅
B2306,76.69,31457.49,58.36,41337.81,2412475.00,在售,住宅
B2305,75.25,29666.73,57.27,38980.65,2232422.00,在售,住宅
B2304,75.26,30259.43,57.27,39764.71,2277325.00,在售,住宅
B2303,77.95,41538.48,59.32,54584.00,3237924.00,在售,住宅
B2302,82.40,35406.03,62.70,46530.41,2917457.00,在售,住宅
B2301,88.50,35516.77,67.35,46670.15,3143235.00,在售,住宅
B2206,76.69,39899.77,58.36,52431.00,3059913.00,在售,住宅
B2205,75.25,29614.00,57.27,38911.36,2228454.00,在售,住宅
B2204,75.26,30206.71,57.27,39695.42,2273357.00,在售,住宅
B2203,77.95,32641.84,59.32,42893.32,2544432.00,在售,住宅
B2202,82.40,47055.25,62.70,61839.00,3877352.00,在售,住宅
B2201,88.50,35464.04,67.35,46600.86,3138568.00,在售,住宅
B2106,76.69,39832.75,58.36,52343.00,3054773.00,在售,住宅
B2105,75.25,37557.60,57.27,49348.00,2826209.00,在售,住宅
B2104,75.26,30153.97,57.27,39626.12,2269388.00,在售,住宅
B2103,77.95,32589.12,59.32,42824.03,2540322.00,在售,住宅
B2102,82.40,46985.07,62.70,61747.00,3871569.00,在售,住宅
B2101,88.50,35411.31,67.35,46531.56,3133901.00,在售,住宅
B2006,76.69,31299.30,58.36,41129.95,2400344.00,在售,住宅
B2005,75.25,29508.54,57.27,38772.79,2220518.00,在售,住宅
B2004,75.26,30101.24,57.27,39556.83,2265420.00,在售,住宅
B2003,77.95,41337.49,59.32,54319.00,3222257.00,在售,住宅
B2002,82.40,46914.87,62.70,61655.00,3865785.00,在售,住宅
B2001,88.50,35358.57,67.35,46462.27,3129234.00,在售,住宅
B1906,76.69,31246.56,58.36,41060.64,2396299.00,在售,住宅
B1905,75.25,29455.81,57.27,38703.50,2216550.00,在售,住宅
B1904,75.26,30048.51,57.27,39487.53,2261451.00,在售,住宅
B1903,77.95,32483.65,59.32,42685.45,2532101.00,在售,住宅
B1902,82.40,46844.70,62.70,61563.00,3860003.00,在售,住宅
B1901,88.50,35305.85,67.35,46392.99,3124568.00,在售,住宅
B1806,76.69,31088.38,58.36,40852.77,2384168.00,在售,住宅
B1805,75.25,29297.62,57.27,38495.65,2204646.00,在售,住宅
B1804,75.26,29890.31,57.27,39279.64,2249545.00,在售,住宅
B1803,77.95,41069.49,59.32,53967.00,3201366.00,在售,住宅
B1802,82.40,46774.51,62.70,61470.00,3854219.00,在售,住宅
B1801,88.50,35253.11,67.35,46323.69,3119901.00,在售,住宅
B1706,76.69,30719.25,58.36,40367.71,2355860.00,在售,住宅
B1705,75.25,28928.50,57.27,38010.65,2176870.00,在售,住宅
B1704,75.26,29521.19,57.27,38794.56,2221765.00,在售,住宅
B1703,77.95,31956.34,59.32,41992.53,2490997.00,在售,住宅
B1702,82.40,46704.33,62.70,61378.00,3848436.00,在售,住宅
B1701,88.50,35200.38,67.35,46254.40,3115234.00,在售,住宅
B1606,76.69,30687.62,58.36,40326.14,2353434.00,在售,住宅
B1605,75.25,28896.86,57.27,37969.07,2174489.00,在售,住宅
B1604,75.26,29489.55,57.27,38752.99,2219384.00,在售,住宅
B1603,77.95,31924.69,59.32,41950.94,2488530.00,在售,住宅
B1602,82.40,35058.00,62.70,46073.04,2888780.00,在售,住宅
B1601,88.50,35168.74,67.35,46212.82,3112434.00,在售,住宅
B1506,76.69,30655.97,58.36,40284.56,2351007.00,在售,住宅
B1505,75.25,28865.22,57.27,37927.50,2172108.00,在售,住宅
