房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋6座40C,226.94,64044.00,170.45,85269.25,14534145.00,在售,住宅
1栋6座40B,170.34,65950.00,127.93,87813.04,11233923.00,在售,住宅
1栋6座40A,260.08,62979.00,195.33,83855.92,16379578.00,在售,住宅
1栋6座39C,226.94,63540.00,170.45,84598.22,14419768.00,在售,住宅
1栋6座38C,226.94,63036.00,170.45,83927.19,14305390.00,在售,住宅
1栋6座38B,170.34,64941.00,127.93,86469.55,11062050.00,在售,住宅
1栋6座38A,260.08,62307.00,195.33,82961.16,16204805.00,在售,住宅
1栋6座37C,226.94,62531.00,170.45,83254.82,14190785.00,在售,住宅
1栋6座37B,170.34,64437.00,127.93,85798.47,10976199.00,在售,住宅
1栋6座37A,260.08,61971.00,195.33,82513.78,16117418.00,在售,住宅
1栋6座36C,226.94,62027.00,170.45,82583.78,14076407.00,在售,住宅
1栋6座36B,170.34,63932.00,127.93,85126.06,10890177.00,在售,住宅
1栋6座36A,260.08,61634.00,195.33,82065.07,16029771.00,在售,住宅
1栋6座35C,226.94,61522.00,170.45,81911.42,13961803.00,在售,住宅
1栋6座35B,170.34,63428.00,127.93,84454.98,10804326.00,在售,住宅
1栋6座35A,260.08,61298.00,195.33,81617.69,15942384.00,在售,住宅
1栋6座34C,226.94,60794.00,170.45,80942.15,13796590.00,在售,住宅
1栋6座34B,170.34,62699.00,127.93,83484.31,10680148.00,在售,住宅
1栋6座34A,260.08,60737.00,195.33,80870.72,15796479.00,在售,住宅
1栋6座33C,226.94,60513.00,170.45,80568.02,13732820.00,在售,住宅
1栋6座33B,170.34,62419.00,127.93,83111.48,10632452.00,在售,住宅
1栋6座33A,260.08,60625.00,195.33,80721.59,15767350.00,在售,住宅
1栋6座32C,226.94,60009.00,170.45,79896.99,13618442.00,在售,住宅
1栋6座32B,170.34,61915.00,127.93,82440.40,10546601.00,在售,住宅
1栋6座32A,260.08,60289.00,195.33,80274.21,15679963.00,在售,住宅
1栋6座31C,226.94,59841.00,170.45,79673.31,13580317.00,在售,住宅
1栋6座31B,170.34,61746.00,127.93,82215.38,10517814.00,在售,住宅
1栋6座31A,260.08,59953.00,195.33,79826.83,15592576.00,在售,住宅
1栋6座30A,260.08,61298.00,195.33,81617.69,15942384.00,在售,住宅
1栋6座29C,226.94,56141.00,170.45,74747.07,12740639.00,在售,住宅
1栋6座29B,170.34,59504.00,127.93,79230.13,10135911.00,在售,住宅
1栋6座29A,260.08,60962.00,195.33,81170.31,15854997.00,在售,住宅
1栋6座28C,226.94,55245.00,170.45,73554.12,12537300.00,在售,住宅
1栋6座28B,170.34,58608.00,127.93,78037.10,9983287.00,在售,住宅
1栋6座28A,260.08,60625.00,195.33,80721.59,15767350.00,在售,住宅
1栋6座27C,226.94,54684.00,170.45,72807.19,12409987.00,在售,住宅
1栋6座27B,170.34,58047.00,127.93,77290.12,9887726.00,在售,住宅
1栋6座27A,260.08,60289.00,195.33,80274.21,15679963.00,在售,住宅
1栋6座26C,226.94,54124.00,170.45,72061.60,12282901.00,在售,住宅
1栋6座26B,170.34,57487.00,127.93,76544.48,9792336.00,在售,住宅
1栋6座26A,260.08,59953.00,195.33,79826.83,15592576.00,在售,住宅
1栋6座25C,226.94,53563.00,170.45,71314.67,12155587.00,在售,住宅
1栋6座25B,170.34,56926.00,127.93,75797.50,9696775.00,在售,住宅
1栋6座25A,260.08,59616.00,195.33,79378.12,15504929.00,在售,住宅
1栋6座24C,226.94,52778.00,170.45,70269.51,11977439.00,在售,住宅
1栋6座24B,170.34,56141.00,127.93,74752.27,9563058.00,在售,住宅
1栋6座24A,260.08,59056.00,195.33,78632.48,15359284.00,在售,住宅
1栋6座23C,226.94,52442.00,170.45,69822.15,11901187.00,在售,住宅
1栋6座23B,170.34,55805.00,127.93,74304.88,9505824.00,在售,住宅
1栋6座23A,260.08,58944.00,195.33,78483.36,15330156.00,在售,住宅
1栋6座22C,227.15,51882.00,170.60,69079.69,11784996.00,在售,住宅
1栋6座22B,169.68,55245.00,127.44,73555.96,9373972.00,在售,住宅
1栋6座22A,259.76,58608.00,195.09,78035.85,15224014.00,在售,住宅
1栋6座21C,227.15,51321.00,170.60,68332.73,11657565.00,在售,住宅
1栋6座21B,169.68,54684.00,127.44,72809.01,9278781.00,在售,住宅
1栋6座21A,259.76,58271.00,195.09,77587.13,15136475.00,在售,住宅
1栋6座20C,227.15,50761.00,170.60,67587.11,11530361.00,在售,住宅
1栋6座20B,169.68,54124.00,127.44,72063.40,9183760.00,在售,住宅
1栋6座20A,259.76,57935.00,195.09,77139.76,15049196.00,在售,住宅
1栋6座19C,227.15,50200.00,170.60,66840.15,11402930.00,在售,住宅
1栋6座19B,169.68,53563.00,127.44,71316.46,9088570.00,在售,住宅
1栋6座19A,259.76,57599.00,195.09,76692.37,14961916.00,在售,住宅
1栋6座18C,227.15,49415.00,170.60,65794.94,11224617.00,在售,住宅
1栋6座18B,169.68,52778.00,127.44,70271.27,8955371.00,在售,住宅
1栋6座18A,259.76,57038.00,195.09,75945.41,14816191.00,在售,住宅
1栋6座17C,227.15,49079.00,170.60,65347.56,11148295.00,在售,住宅
1栋6座17B,169.68,52442.00,127.44,69823.90,8898359.00,在售,住宅
1栋6座17A,259.76,56926.00,195.09,75796.28,14787098.00,在售,住宅
1栋6座16C,227.15,48855.00,170.60,65049.31,11097413.00,在售,住宅
1栋6座16B,169.68,52218.00,127.44,69525.65,8860350.00,在售,住宅
1栋6座16A,259.76,56590.00,195.09,75348.90,14699818.00,在售,住宅
1栋6座15A,259.76,56814.00,195.09,75647.16,14758005.00,在售,住宅
1栋6座14A,259.76,55917.00,195.09,74452.81,14525000.00,在售,住宅
1栋6座13C,227.15,48500.00,170.60,64576.64,11016775.00,在售,住宅
1栋6座13B,169.68,50088.00,127.44,66689.67,8498932.00,在售,住宅
1栋6座13A,259.76,55581.00,195.09,74005.43,14437721.00,在售,住宅
1栋6座12C,227.15,48500.00,170.60,64576.64,11016775.00,在售,住宅
1栋6座12B,169.68,49976.00,127.44,66540.55,8479928.00,在售,住宅
1栋6座12A,259.76,55469.00,195.09,73856.30,14408627.00,在售,住宅
1栋6座11C,227.15,48500.00,170.60,64576.64,11016775.00,在售,住宅
1栋6座11B,169.68,49640.00,127.44,66093.18,8422915.00,在售,住宅
1栋6座11A,259.76,55132.00,195.09,73407.59,14321088.00,在售,住宅
1栋6座10C,227.15,48500.00,170.60,64576.64,11016775.00,在售,住宅
1栋6座10B,169.68,49303.00,127.44,65644.48,8365733.00,在售,住宅
1栋6座10A,259.76,54796.00,195.09,72960.21,14233809.00,在售,住宅
1栋6座9C,227.15,48500.00,170.60,64576.64,11016775.00,在售,住宅
1栋6座9B,169.68,48406.00,127.44,64450.17,8213530.00,在售,住宅
1栋6座9A,259.76,53899.00,195.09,71765.87,14000804.00,在售,住宅
1栋6座8C,227.15,48000.00,170.60,63910.90,10903200.00,在售,住宅
1栋6座8B,169.68,48070.00,127.44,64002.80,8156518.00,在售,住宅
1栋6座8A,259.76,53563.00,195.09,71318.49,13913525.00,在售,住宅
1栋6座7C,226.03,47500.00,169.76,63244.72,10736425.00,在售,住宅
1栋6座7B,169.30,48000.00,127.15,63911.91,8126400.00,在售,住宅
1栋6座7A,259.47,48355.00,194.88,64381.52,12546672.00,在售,住宅
1栋6座6C,226.03,47000.00,169.76,62578.99,10623410.00,在售,住宅
1栋6座6B,169.30,47500.00,127.15,63246.16,8041750.00,在售,住宅
1栋6座6A,259.47,48001.00,194.88,63910.19,12454819.00,在售,住宅
1栋6座5B,169.26,47000.00,127.12,62580.39,7955220.00,在售,住宅
1栋6座5A,258.78,47649.00,194.35,63445.37,12330608.00,在售,住宅
1栋4座40B,255.49,71219.00,196.47,92613.33,18195742.00,在售,住宅
1栋4座40A,255.48,67856.00,196.46,88241.12,17335851.00,在售,住宅
1栋4座39B,255.49,70714.00,196.47,91956.63,18066720.00,在售,住宅
1栋4座39A,255.48,67351.00,196.46,87584.40,17206833.00,在售,住宅
1栋4座38B,255.49,70210.00,196.47,91301.23,17937953.00,在售,住宅
1栋4座38A,255.48,66847.00,196.46,86929.00,17078072.00,在售,住宅
1栋4座37B,255.49,69705.00,196.47,90644.52,17808930.00,在售,住宅
1栋4座37A,255.48,66342.00,196.46,86272.28,16949054.00,在售,住宅
1栋4座36B,255.49,69201.00,196.47,89989.12,17680163.00,在售,住宅
1栋4座36A,255.48,65838.00,196.46,85616.87,16820292.00,在售,住宅
1栋4座35B,255.49,68697.00,196.47,89333.72,17551397.00,在售,住宅
1栋4座35A,255.48,65334.00,196.46,84961.46,16691530.00,在售,住宅
1栋4座34B,255.49,67968.00,196.47,88385.72,17365144.00,在售,住宅
1栋4座34A,255.48,64605.00,196.46,84013.46,16505285.00,在售,住宅
1栋4座33B,255.49,67688.00,196.47,88021.61,17293607.00,在售,住宅
1栋4座33A,255.48,64325.00,196.46,83649.34,16433751.00,在售,住宅
1栋4座32B,255.49,67183.00,196.47,87364.91,17164585.00,在售,住宅
1栋4座32A,255.48,63820.00,196.46,82992.63,16304734.00,在售,住宅
1栋4座31B,255.49,67015.00,196.47,87146.44,17121662.00,在售,住宅
1栋4座31A,255.48,63652.00,196.46,82774.16,16261813.00,在售,住宅
1栋4座28B,255.49,62000.00,196.47,80624.93,15840380.00,在售,住宅
1栋4座28A,255.48,59000.00,196.46,76724.62,15073320.00,在售,住宅
1栋4座27B,255.49,61300.00,196.47,79714.64,15661537.00,在售,住宅
1栋4座27A,255.48,58600.00,196.46,76204.45,14971128.00,在售,住宅
1栋4座26B,255.49,61000.00,196.47,79324.52,15584890.00,在售,住宅
1栋4座26A,255.48,58200.00,196.46,75684.29,14868936.00,在售,住宅
1栋4座25B,255.49,60700.00,196.47,78934.40,15508243.00,在售,住宅
1栋4座25A,255.48,57500.00,196.46,74773.99,14690100.00,在售,住宅
1栋4座24B,255.49,60400.00,196.47,78544.28,15431596.00,在售,住宅
1栋4座24A,255.48,57100.00,196.46,74253.83,14587908.00,在售,住宅
1栋4座23B,255.49,60100.00,196.47,78154.16,15354949.00,在售,住宅
