房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
B-3512,128.35,30709.08,88.54,44516.71,3941510.00,在售,产业研发
B-3511,172.11,30323.87,118.73,43957.22,5219041.00,在售,产业研发
B-3510,149.16,30487.89,102.90,44194.11,4547574.00,在售,产业研发
B-3509,149.16,30449.66,102.90,44138.68,4541871.00,在售,产业研发
B-3508,149.16,30612.80,102.90,44375.17,4566205.00,在售,产业研发
B-3507,170.08,30704.44,117.33,44508.74,5222211.00,在售,产业研发
B-3506,119.11,30974.33,82.17,44899.01,3689352.00,在售,产业研发
B-3505,170.08,30838.23,117.33,44702.68,5244966.00,在售,产业研发
B-3504,149.16,30857.32,102.90,44729.62,4602678.00,在售,产业研发
B-3503,149.16,30694.04,102.90,44492.93,4578323.00,在售,产业研发
B-3502,149.16,30732.40,102.90,44548.54,4584045.00,在售,产业研发
B-3501,172.11,30437.86,118.73,44122.46,5238660.00,在售,产业研发
B-3412,128.35,30659.08,88.54,44444.23,3935093.00,在售,产业研发
B-3411,172.11,30273.87,118.73,43884.74,5210436.00,在售,产业研发
B-3410,149.16,30437.89,102.90,44121.63,4540116.00,在售,产业研发
B-3409,149.16,30399.66,102.90,44066.20,4534413.00,在售,产业研发
B-3408,149.16,30562.80,102.90,44302.69,4558747.00,在售,产业研发
B-3407,170.08,30654.44,117.33,44436.26,5213707.00,在售,产业研发
B-3406,119.11,30924.33,82.17,44826.54,3683397.00,在售,产业研发
B-3405,170.08,30788.23,117.33,44630.20,5236462.00,在售,产业研发
B-3404,149.16,30807.32,102.90,44657.14,4595220.00,在售,产业研发
B-3403,149.16,30644.04,102.90,44420.45,4570865.00,在售,产业研发
B-3402,149.16,30682.40,102.90,44476.06,4576587.00,在售,产业研发
B-3401,172.11,30387.86,118.73,44049.98,5230055.00,在售,产业研发
B-3312,128.35,30609.08,88.54,44371.75,3928675.00,在售,产业研发
B-3311,172.11,30223.87,118.73,43812.26,5201830.00,在售,产业研发
B-3310,149.16,30387.89,102.90,44049.15,4532658.00,在售,产业研发
B-3309,149.16,30349.66,102.90,43993.73,4526955.00,在售,产业研发
B-3308,149.16,30512.80,102.90,44230.21,4551289.00,在售,产业研发
B-3307,170.08,30604.44,117.33,44363.78,5205203.00,在售,产业研发
B-3306,119.11,30874.33,82.17,44754.05,3677441.00,在售,产业研发
B-3305,170.08,30738.23,117.33,44557.72,5227958.00,在售,产业研发
B-3304,149.16,30757.32,102.90,44584.66,4587762.00,在售,产业研发
B-3303,149.16,30594.04,102.90,44347.97,4563407.00,在售,产业研发
B-3302,149.16,30632.40,102.90,44403.58,4569129.00,在售,产业研发
B-3301,172.11,30337.86,118.73,43977.50,5221449.00,在售,产业研发
B-3212,128.35,30559.08,88.54,44299.27,3922258.00,在售,产业研发
B-3211,172.11,30173.87,118.73,43739.78,5193225.00,在售,产业研发
B-3210,149.16,30337.89,102.90,43976.67,4525200.00,在售,产业研发
B-3209,149.16,30299.66,102.90,43921.25,4519497.00,在售,产业研发
B-3208,149.16,30462.80,102.90,44157.73,4543831.00,在售,产业研发
B-3207,170.08,30554.44,117.33,44291.30,5196699.00,在售,产业研发
B-3206,119.11,30824.33,82.17,44681.58,3671486.00,在售,产业研发
B-3205,170.08,30688.23,117.33,44485.24,5219454.00,在售,产业研发
B-3204,149.16,30707.32,102.90,44512.18,4580304.00,在售,产业研发
B-3203,149.16,30544.04,102.90,44275.50,4555949.00,在售,产业研发
B-3202,149.16,30582.40,102.90,44331.10,4561671.00,在售,产业研发
B-3201,172.11,30287.86,118.73,43905.02,5212844.00,在售,产业研发
B-3112,128.35,30509.08,88.54,44226.79,3915840.00,在售,产业研发
B-3111,172.11,30123.87,118.73,43667.30,5184619.00,在售,产业研发
B-3110,149.16,30287.89,102.90,43904.19,4517742.00,在售,产业研发
B-3109,149.16,30249.66,102.90,43848.77,4512039.00,在售,产业研发
B-3108,149.16,30412.80,102.90,44085.25,4536373.00,在售,产业研发
B-3107,170.08,30504.44,117.33,44218.82,5188195.00,在售,产业研发
B-3106,119.11,30774.33,82.17,44609.10,3665530.00,在售,产业研发
B-3105,170.08,30638.23,117.33,44412.76,5210950.00,在售,产业研发
B-3104,149.16,30657.32,102.90,44439.70,4572846.00,在售,产业研发
B-3103,149.16,30494.04,102.90,44203.02,4548491.00,在售,产业研发
B-3102,149.16,30532.40,102.90,44258.62,4554213.00,在售,产业研发
B-3101,172.11,30237.86,118.73,43832.54,5204238.00,在售,产业研发
B-3012,128.35,30459.08,88.54,44154.31,3909423.00,在售,产业研发
B-3011,172.11,30073.87,118.73,43594.82,5176014.00,在售,产业研发
B-3010,149.16,30237.89,102.90,43831.72,4510284.00,在售,产业研发
B-3009,149.16,30199.66,102.90,43776.29,4504581.00,在售,产业研发
B-3008,149.16,30362.80,102.90,44012.77,4528915.00,在售,产业研发
B-3007,170.08,30454.44,117.33,44146.34,5179691.00,在售,产业研发
B-3006,119.11,30724.33,82.17,44536.63,3659575.00,在售,产业研发
B-3005,170.08,30588.23,117.33,44340.28,5202446.00,在售,产业研发
B-3004,149.16,30607.32,102.90,44367.23,4565388.00,在售,产业研发
B-3003,149.16,30444.04,102.90,44130.54,4541033.00,在售,产业研发
B-3002,149.16,30482.40,102.90,44186.15,4546755.00,在售,产业研发
B-3001,172.11,30187.86,118.73,43760.06,5195633.00,在售,产业研发
B-2912,128.35,30409.08,88.54,44081.82,3903005.00,在售,产业研发
B-2911,172.11,30023.87,118.73,43522.34,5167408.00,在售,产业研发
B-2910,149.16,30187.89,102.90,43759.24,4502826.00,在售,产业研发
B-2909,149.16,30149.66,102.90,43703.81,4497123.00,在售,产业研发
B-2908,149.16,30312.80,102.90,43940.30,4521457.00,在售,产业研发
B-2907,170.08,30404.44,117.33,44073.86,5171187.00,在售,产业研发
B-2906,119.11,30674.33,82.17,44464.14,3653619.00,在售,产业研发
B-2905,170.08,30538.23,117.33,44267.80,5193942.00,在售,产业研发
B-2904,149.16,30557.32,102.90,44294.75,4557930.00,在售,产业研发
B-2903,149.16,30394.04,102.90,44058.06,4533575.00,在售,产业研发
B-2902,149.16,30432.40,102.90,44113.67,4539297.00,在售,产业研发
B-2901,172.11,30137.86,118.73,43687.58,5187027.00,在售,产业研发
B-2812,128.35,30359.08,88.54,44009.35,3896588.00,在售,产业研发
B-2811,172.11,29973.87,118.73,43449.86,5158803.00,在售,产业研发
B-2810,149.16,30137.89,102.90,43686.76,4495368.00,在售,产业研发
B-2809,149.16,30099.66,102.90,43631.34,4489665.00,在售,产业研发
B-2808,149.16,30262.80,102.90,43867.82,4513999.00,在售,产业研发
B-2807,170.08,30354.44,117.33,44001.38,5162683.00,在售,产业研发
B-2806,119.11,30624.33,82.17,44391.67,3647664.00,在售,产业研发
B-2805,170.08,30488.23,117.33,44195.32,5185438.00,在售,产业研发
B-2804,149.16,30507.32,102.90,44222.27,4550472.00,在售,产业研发
B-2803,149.16,30344.04,102.90,43985.58,4526117.00,在售,产业研发
B-2802,149.16,30382.40,102.90,44041.19,4531839.00,在售,产业研发
B-2801,172.11,30087.86,118.73,43615.10,5178422.00,在售,产业研发
B-2712,128.35,30159.08,88.54,43719.42,3870918.00,在售,产业研发
B-2711,172.11,29773.87,118.73,43159.95,5124381.00,在售,产业研发
B-2710,149.16,29937.89,102.90,43396.85,4465536.00,在售,产业研发
B-2709,149.16,29899.66,102.90,43341.42,4459833.00,在售,产业研发
B-2708,149.16,30062.80,102.90,43577.91,4484167.00,在售,产业研发
B-2707,170.08,30154.44,117.33,43711.47,5128667.00,在售,产业研发
B-2706,119.11,30424.33,82.17,44101.76,3623842.00,在售,产业研发
B-2705,170.08,30288.23,117.33,43905.41,5151422.00,在售,产业研发
B-2704,149.16,30307.32,102.90,43932.36,4520640.00,在售,产业研发
