房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3栋3206,76.79,28047.00,59.94,35931.00,2153734.00,在售,住宅
3栋3205,76.72,29224.00,59.89,37436.00,2242029.00,在售,住宅
3栋3204,87.41,28047.00,68.23,35931.00,2451593.00,在售,住宅
3栋3203,87.75,34024.00,68.49,43591.00,2985565.00,在售,住宅
3栋3202,88.10,30988.00,68.77,39698.00,2730064.00,在售,住宅
3栋3201,76.79,30988.00,59.94,39699.00,2379587.00,在售,住宅
3栋3106,76.79,28047.00,59.94,35931.00,2153734.00,在售,住宅
3栋3105,76.72,29224.00,59.89,37436.00,2242029.00,在售,住宅
3栋3104,87.41,28047.00,68.23,35931.00,2451593.00,在售,住宅
3栋3103,87.75,34024.00,68.49,43591.00,2985565.00,在售,住宅
3栋3102,88.10,30988.00,68.77,39698.00,2730064.00,在售,住宅
3栋3101,76.79,30988.00,59.94,39699.00,2379587.00,在售,住宅
3栋3006,76.79,27953.00,59.94,35811.00,2146506.00,在售,住宅
3栋3005,76.72,29129.00,59.89,37315.00,2234808.00,在售,住宅
3栋3004,87.41,27953.00,68.23,35811.00,2443367.00,在售,住宅
3栋3003,87.75,33906.00,68.49,43441.00,2975241.00,在售,住宅
3栋3002,88.10,30894.00,68.77,39578.00,2721772.00,在售,住宅
3栋3001,76.79,30894.00,59.94,39579.00,2372359.00,在售,住宅
3栋2906,76.79,27859.00,59.94,35690.00,2139279.00,在售,住宅
3栋2905,76.72,29035.00,59.89,37195.00,2227588.00,在售,住宅
3栋2904,87.41,27859.00,68.23,35690.00,2435140.00,在售,住宅
3栋2903,87.75,33788.00,68.49,43290.00,2964918.00,在售,住宅
3栋2902,88.10,30800.00,68.77,39457.00,2713480.00,在售,住宅
3栋2901,76.79,30800.00,59.94,39458.00,2365132.00,在售,住宅
3栋2806,76.79,27765.00,59.94,35570.00,2132052.00,在售,住宅
3栋2805,76.72,28941.00,59.89,37074.00,2220367.00,在售,住宅
3栋2804,87.41,27765.00,68.23,35570.00,2426913.00,在售,住宅
3栋2803,87.75,33671.00,68.49,43139.00,2954594.00,在售,住宅
3栋2802,88.10,30706.00,68.77,39337.00,2705188.00,在售,住宅
3栋2801,76.79,30706.00,59.94,39338.00,2357905.00,在售,住宅
3栋2706,76.79,27671.00,59.94,35449.00,2124824.00,在售,住宅
3栋2705,76.72,28847.00,59.89,36954.00,2213146.00,在售,住宅
3栋2704,87.41,27671.00,68.23,35449.00,2418686.00,在售,住宅
3栋2703,87.75,33553.00,68.49,42988.00,2944271.00,在售,住宅
3栋2702,88.10,30612.00,68.77,39216.00,2696896.00,在售,住宅
3栋2701,76.79,30612.00,59.94,39217.00,2350677.00,在售,住宅
3栋2606,76.79,27576.00,59.94,35329.00,2117597.00,在售,住宅
3栋2605,76.72,28753.00,59.89,36833.00,2205926.00,在售,住宅
3栋2604,87.41,27576.00,68.23,35328.00,2410459.00,在售,住宅
3栋2603,87.75,33435.00,68.49,42838.00,2933947.00,在售,住宅
3栋2602,88.10,30518.00,68.77,39096.00,2688605.00,在售,住宅
3栋2601,76.79,30518.00,59.94,39097.00,2343450.00,在售,住宅
3栋2506,76.79,27482.00,59.94,35208.00,2110370.00,在售,住宅
3栋2505,76.72,28659.00,59.89,36712.00,2198705.00,在售,住宅
3栋2504,87.41,27482.00,68.23,35208.00,2402232.00,在售,住宅
3栋2503,87.75,33318.00,68.49,42687.00,2923624.00,在售,住宅
3栋2502,88.10,30424.00,68.77,38975.00,2680313.00,在售,住宅
3栋2501,76.79,30424.00,59.94,38976.00,2336223.00,在售,住宅
3栋2406,76.79,27388.00,59.94,35087.00,2103143.00,在售,住宅
3栋2405,76.72,28565.00,59.89,36592.00,2191484.00,在售,住宅
