房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
塔楼2132,59.23,67525.00,43.11,92774.00,3999506.00,在售,商业性办公
塔楼2131,59.59,67525.00,43.36,92800.00,4023815.00,在售,商业性办公
塔楼2130,59.59,67525.00,43.36,92800.00,4023815.00,在售,商业性办公
塔楼2129,59.59,67525.00,43.37,92779.00,4023815.00,在售,商业性办公
塔楼2128,59.59,67525.00,43.36,92800.00,4023815.00,在售,商业性办公
塔楼2127,59.23,67525.00,43.11,92774.00,3999506.00,在售,商业性办公
塔楼2126,79.85,76455.00,58.11,105058.00,6104895.00,在售,商业性办公
塔楼2125,59.94,68889.00,43.62,94663.00,4129185.00,在售,商业性办公
塔楼2124,59.59,68889.00,43.37,94652.00,4105074.00,在售,商业性办公
塔楼2123,59.59,68889.00,43.37,94652.00,4105074.00,在售,商业性办公
塔楼2122,59.59,66843.00,43.36,91863.00,3983185.00,在售,商业性办公
塔楼2121,59.59,66843.00,43.37,91842.00,3983185.00,在售,商业性办公
塔楼2120,59.59,66843.00,43.36,91863.00,3983185.00,在售,商业性办公
塔楼2119,59.59,66843.00,43.36,91863.00,3983185.00,在售,商业性办公
塔楼2118,59.94,66843.00,43.62,91852.00,4006580.00,在售,商业性办公
塔楼2117,77.64,74182.00,56.50,101938.00,5759476.00,在售,商业性办公
塔楼2116,59.23,69457.00,43.11,95429.00,4113927.00,在售,商业性办公
塔楼2115,59.59,69457.00,43.36,95455.00,4138932.00,在售,商业性办公
塔楼2114,59.59,69457.00,43.36,95455.00,4138932.00,在售,商业性办公
塔楼2113,59.59,69457.00,43.36,95455.00,4138932.00,在售,商业性办公
塔楼2112,59.59,69457.00,43.36,95455.00,4138932.00,在售,商业性办公
塔楼2111,59.23,69457.00,43.11,95429.00,4113927.00,在售,商业性办公
塔楼2110,77.64,76455.00,56.50,105061.00,5935931.00,在售,商业性办公
塔楼2109,59.94,71332.00,43.62,98020.00,4275629.00,在售,商业性办公
塔楼2108,59.59,71332.00,43.37,98009.00,4250663.00,在售,商业性办公
塔楼2107,59.59,71332.00,43.37,98009.00,4250663.00,在售,商业性办公
塔楼2106,59.59,71332.00,43.37,98009.00,4250663.00,在售,商业性办公
塔楼2105,59.59,71332.00,43.37,98009.00,4250663.00,在售,商业性办公
塔楼2104,59.59,71332.00,43.37,98009.00,4250663.00,在售,商业性办公
