房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
B栋01,294.55,38845.00,294.55,38845.00,11441795.00,在售,商业
A栋112,58.83,48583.00,54.96,52003.00,2858137.00,在售,商业
A栋111,28.46,50107.00,26.59,53630.00,1426045.00,在售,商业
A栋110,58.23,49975.00,54.40,53493.00,2910044.00,在售,商业
A栋109,55.42,49718.00,51.77,53223.00,2755371.00,在售,商业
A栋108,49.93,45287.00,46.64,48481.00,2261179.00,在售,商业
A栋107,81.11,49081.00,75.78,52533.00,3980959.00,在售,商业
A栋106,107.61,45403.00,100.54,48596.00,4885817.00,在售,商业
A栋105,65.19,48640.00,60.91,52057.00,3170841.00,在售,商业
A栋104,45.83,45334.00,42.81,48532.00,2077657.00,在售,商业
A栋103,42.47,49383.00,39.68,52855.00,2097296.00,在售,商业
A栋102,42.82,47892.00,40.00,51268.00,2050735.00,在售,商业
A栋101,66.17,44312.00,61.81,47438.00,2932125.00,在售,商业
A栋1603,48.90,14058.00,34.02,20207.00,687447.00,在售,住宅
A栋1602,77.29,16028.00,53.78,23034.00,1238767.00,在售,住宅
A栋1601,77.28,15590.00,53.77,22406.00,1204784.00,在售,住宅
A栋1507,86.07,16148.00,60.31,23046.00,1389882.00,在售,住宅
A栋1506,48.37,14023.00,33.89,20015.00,678316.00,在售,住宅
A栋1505,48.41,14023.00,33.92,20013.00,678836.00,在售,住宅
A栋1504,48.41,14023.00,33.92,20013.00,678836.00,在售,住宅
A栋1503,48.41,14154.00,33.92,20201.00,685208.00,在售,住宅
A栋1502,76.75,16141.00,53.78,23035.00,1238842.00,在售,住宅
A栋1501,76.74,15595.00,53.77,22258.00,1196793.00,在售,住宅
A栋1407,86.14,16102.00,60.31,22998.00,1387016.00,在售,住宅
A栋1406,48.41,14108.00,33.89,20153.00,682986.00,在售,住宅
A栋1405,48.45,14107.00,33.92,20151.00,683508.00,在售,住宅
A栋1404,48.45,14107.00,33.92,20151.00,683508.00,在售,住宅
A栋1403,48.45,14107.00,33.92,20151.00,683508.00,在售,住宅
A栋1402,76.81,16095.00,53.78,22987.00,1236244.00,在售,住宅
A栋1401,74.19,15675.00,51.94,22390.00,1162926.00,在售,住宅
A栋1307,86.14,16056.00,60.31,22933.00,1383060.00,在售,住宅
A栋1306,48.41,14062.00,33.89,20087.00,680762.00,在售,住宅
A栋1305,48.45,14062.00,33.92,20085.00,681284.00,在售,住宅
A栋1304,48.45,14062.00,33.92,20085.00,681284.00,在售,住宅
A栋1303,48.45,14062.00,33.92,20085.00,681284.00,在售,住宅
A栋1302,76.81,16049.00,53.78,22921.00,1232717.00,在售,住宅
A栋1301,74.19,15525.00,51.94,22176.00,1151797.00,在售,住宅
A栋1207,86.14,16010.00,60.31,22867.00,1379105.00,在售,住宅
A栋1206,48.41,14017.00,33.89,20022.00,678540.00,在售,住宅
A栋1205,48.45,14016.00,33.92,20019.00,679059.00,在售,住宅
A栋1204,48.45,14016.00,33.92,20019.00,679059.00,在售,住宅
A栋1203,48.45,14016.00,33.92,20019.00,679059.00,在售,住宅
A栋1202,76.81,16003.00,53.78,22856.00,1229190.00,在售,住宅
A栋1201,74.19,15582.00,51.94,22257.00,1156037.00,在售,住宅
A栋1107,86.14,15964.00,60.31,22801.00,1375150.00,在售,住宅
A栋1106,48.41,13991.00,33.89,19985.00,677305.00,在售,住宅
A栋1105,48.45,13990.00,33.92,19983.00,677823.00,在售,住宅
A栋1104,48.45,13990.00,33.92,19983.00,677823.00,在售,住宅
A栋1103,48.45,13990.00,33.92,19983.00,677823.00,在售,住宅
A栋1102,76.81,15957.00,53.78,22790.00,1225663.00,在售,住宅
A栋1101,74.19,15432.00,51.94,22043.00,1144908.00,在售,住宅
A栋1007,86.14,15918.00,60.31,22736.00,1371194.00,在售,住宅
A栋1006,48.41,13965.00,33.89,19949.00,676069.00,在售,住宅
A栋1005,48.45,13965.00,33.92,19947.00,676587.00,在售,住宅
A栋1004,48.45,13965.00,33.92,19947.00,676587.00,在售,住宅
A栋1003,48.45,13965.00,33.92,19947.00,676587.00,在售,住宅
A栋1002,76.81,15911.00,53.78,22725.00,1222137.00,在售,住宅
