房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2栋1808,176.26,44603.99,129.50,60709.66,7861901.00,在售,待售
2栋1807,173.78,45125.99,127.68,61419.14,7841996.00,在售,待售
2栋1806,203.22,42777.99,149.31,58223.46,8693345.00,在售,待售
2栋1805,181.68,41204.00,133.48,56082.88,7485943.00,在售,待售
2栋1804,181.79,41255.99,133.56,56153.99,7499928.00,在售,待售
2栋1803,181.79,41255.99,133.56,56153.99,7499928.00,在售,待售
2栋1802,181.68,41126.00,133.48,55976.71,7471772.00,在售,待售
2栋1801,203.11,42052.00,149.23,57235.01,8541182.00,在售,待售
2栋1708,176.26,44103.99,129.50,60029.11,7773771.00,在售,待售
2栋1707,173.78,44625.99,127.68,60738.61,7755106.00,在售,待售
2栋1706,203.22,42277.99,149.31,57542.93,8591735.00,在售,待售
2栋1705,181.68,40704.00,133.48,55402.32,7395103.00,在售,待售
2栋1704,181.79,40755.99,133.56,55473.44,7409033.00,在售,待售
2栋1703,181.79,40755.99,133.56,55473.44,7409033.00,在售,待售
2栋1702,181.68,40626.00,133.48,55296.16,7380932.00,在售,待售
2栋1701,203.11,41552.00,149.23,56554.49,8439627.00,在售,待售
2栋1608,176.26,43603.99,129.50,59348.57,7685641.00,在售,待售
2栋1607,173.78,44125.99,127.68,60058.08,7668216.00,在售,待售
2栋1606,203.22,41777.99,149.31,56862.40,8490125.00,在售,待售
2栋1605,181.68,40204.00,133.48,54721.77,7304263.00,在售,待售
2栋1604,181.79,40255.99,133.56,54792.88,7318138.00,在售,待售
2栋1603,181.79,40255.99,133.56,54792.88,7318138.00,在售,待售
2栋1602,181.68,40126.00,133.48,54615.61,7290092.00,在售,待售
2栋1601,203.11,41052.00,149.23,55873.96,8338072.00,在售,待售
2栋1508,176.26,43103.99,129.50,58668.03,7597511.00,在售,待售
2栋1507,173.78,43625.99,127.68,59377.55,7581326.00,在售,待售
2栋1506,203.22,41277.99,149.31,56181.86,8388515.00,在售,待售
2栋1505,181.68,39704.00,133.48,54041.22,7213423.00,在售,待售
2栋1504,181.79,39755.99,133.56,54112.33,7227243.00,在售,待售
2栋1503,181.79,39755.99,133.56,54112.33,7227243.00,在售,待售
2栋1502,181.68,39626.00,133.48,53935.06,7199252.00,在售,待售
2栋1501,203.11,40552.00,149.23,55193.43,8236517.00,在售,待售
2栋1408,176.26,42803.99,129.50,58259.71,7544633.00,在售,待售
2栋1407,173.78,43325.99,127.68,58969.23,7529192.00,在售,待售
2栋1406,203.22,40977.99,149.31,55773.55,8327549.00,在售,待售
2栋1405,181.68,39404.00,133.48,53632.89,7158919.00,在售,待售
2栋1404,181.79,39455.99,133.56,53703.99,7172706.00,在售,待售
2栋1403,181.79,39455.99,133.56,53703.99,7172706.00,在售,待售
2栋1402,181.68,39326.00,133.48,53526.73,7144748.00,在售,待售
2栋1401,203.11,40252.00,149.23,54785.12,8175584.00,在售,待售
2栋1308,176.26,42503.99,129.50,57851.38,7491755.00,在售,待售
2栋1307,173.78,43025.99,127.68,58560.91,7477058.00,在售,待售
2栋1306,203.22,40677.99,149.31,55365.23,8266583.00,在售,待售
2栋1305,181.68,39104.00,133.48,53224.56,7104415.00,在售,待售
2栋1304,181.79,39155.99,133.56,53295.66,7118169.00,在售,待售
2栋1303,181.79,39155.99,133.56,53295.66,7118169.00,在售,待售
2栋1302,181.68,39026.00,133.48,53118.39,7090244.00,在售,待售
2栋1301,203.11,39952.00,149.23,54376.80,8114651.00,在售,待售
