房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2栋裙楼115,86.04,71937.40,74.07,83562.77,6189494.54,在售,商业
2栋裙楼112,202.83,92926.17,174.61,107944.65,18848216.23,在售,商业
2栋裙楼111,125.60,113806.56,108.12,132205.92,14294104.97,在售,商业
2栋裙楼108,44.58,89458.15,38.38,103909.44,3988044.42,在售,商业
2栋裙楼107,120.28,85086.99,103.54,98843.57,10234264.03,在售,商业
2栋裙楼106,117.09,83461.36,100.80,96949.31,9772490.78,在售,商业
2栋裙楼105,163.33,84834.12,140.60,98548.76,13855956.91,在售,商业
2栋裙楼104,126.09,86170.75,108.54,100103.83,10865270.45,在售,商业
2栋裙楼103,126.09,84545.11,108.54,98215.34,10660294.00,在售,商业
2栋裙楼102,126.09,74791.30,108.54,86884.42,9430435.27,在售,商业
2栋裙楼101,121.42,74971.92,104.52,87094.25,9103091.53,在售,商业
2栋半地下119,141.67,54356.34,125.95,61140.63,7700663.47,在售,商业
2栋半地下118,177.45,46540.34,157.98,52276.13,8258583.36,在售,商业
2栋半地下111,59.76,57900.53,55.08,62820.18,3460135.76,在售,商业
2栋半地下110,76.16,59078.94,70.20,64094.76,4499452.71,在售,商业
2栋半地下109,109.86,59587.81,101.27,64642.21,6546316.84,在售,商业
2栋半地下108,95.49,60926.92,88.02,66097.61,5817911.63,在售,商业
2栋半地下107,214.74,59293.20,197.94,64325.66,12732623.08,在售,商业
2栋半地下106,210.12,60900.13,193.68,66069.48,12796337.06,在售,商业
2栋半地下105,215.96,64114.00,199.06,69557.21,13846060.02,在售,商业
2栋半地下104,236.38,71238.06,217.89,77283.28,16839254.69,在售,商业
2栋半地下102,159.93,70782.77,147.42,76789.36,11320288.61,在售,商业
2栋半地下101,133.72,81763.47,123.26,88702.02,10933411.82,在售,商业
1栋裙楼141,167.90,80805.39,161.68,83914.06,13567226.09,在售,商业
1栋裙楼139,154.91,64628.97,149.19,67106.87,10011674.28,在售,商业
1栋裙楼138,147.39,66925.74,141.93,69500.35,9864185.18,在售,商业
1栋裙楼137,194.49,84776.00,187.24,88058.56,16488084.97,在售,商业
1栋裙楼136,253.69,66209.78,244.24,68771.53,16796759.26,在售,商业
1栋裙楼135,213.85,65852.43,205.82,68421.64,14082543.97,在售,商业
1栋裙楼134,177.16,59902.98,170.53,62231.93,10612412.27,在售,商业
1栋裙楼133,124.99,59598.50,120.28,61932.29,7449216.76,在售,商业
1栋裙楼132,153.53,64771.98,147.73,67314.98,9944443.39,在售,商业
1栋半地下131,256.28,62894.61,246.67,65344.92,16118632.90,在售,商业
1栋半地下130,155.62,45038.30,149.64,46838.15,7008861.24,在售,商业
1栋半地下129,45.77,69336.53,44.14,71896.98,3173533.08,在售,商业
1栋半地下127,237.24,45038.21,228.07,46849.06,10684866.81,在售,商业
1栋半地下123,189.39,43954.94,182.22,45684.48,8324627.22,在售,商业
1栋半地下122,292.71,39808.36,281.50,41393.62,11652305.13,在售,商业
1栋半地下121,108.83,51928.10,104.96,53842.75,5651335.14,在售,商业
1栋半地下120,77.84,51472.80,75.06,53379.20,4006642.96,在售,商业
1栋半地下119,261.62,35711.32,251.51,37146.81,9342795.71,在售,商业
1栋半地下118,48.13,50535.42,46.42,52397.02,2432270.03,在售,商业
1栋半地下117,213.69,41161.49,205.60,42781.13,8795800.63,在售,商业
1栋半地下116,58.33,45821.75,56.26,47507.69,2672783.13,在售,商业
1栋半地下115,182.01,34722.68,175.05,36103.26,6319876.15,在售,商业
1栋半地下105,161.02,56989.93,155.28,59096.59,9176519.59,在售,商业
1栋半地下104,164.11,57980.87,158.26,60124.11,9515241.91,在售,商业
1栋半地下102,40.06,55838.30,38.63,57905.31,2236882.37,在售,商业
1栋半地下101,173.06,54070.67,166.90,56066.33,9357471.27,在售,商业
2栋2912,44.18,29201.24,31.49,40968.90,1290110.82,在售,商务公寓
2栋2911,70.90,29411.48,50.53,41268.05,2085274.63,在售,商务公寓
2栋2910,70.90,30579.53,50.53,42906.97,2168089.35,在售,商务公寓
2栋2909,44.18,30813.14,31.49,43230.38,1361324.94,在售,商务公寓
2栋2908,44.18,30813.14,31.49,43230.38,1361324.94,在售,商务公寓
2栋2907,44.27,30813.14,31.55,43236.07,1364098.12,在售,商务公寓
2栋2906,44.27,30813.14,31.55,43236.07,1364098.12,在售,商务公寓
2栋2905,44.18,30813.14,31.49,43230.38,1361324.94,在售,商务公寓
2栋2903,44.18,30813.14,31.49,43230.38,1361324.94,在售,商务公寓
2栋2902,44.18,30813.14,31.49,43230.38,1361324.94,在售,商务公寓
2栋2901,44.18,31397.17,31.49,44049.76,1387127.15,在售,商务公寓
2栋2816,44.18,29995.51,31.49,42083.25,1325201.83,在售,商务公寓
2栋2813,44.18,29201.24,31.49,40968.90,1290110.82,在售,商务公寓
2栋2811,70.90,29411.48,50.53,41268.05,2085274.63,在售,商务公寓
2栋2717,44.18,29902.07,31.49,41952.15,1321073.48,在售,商务公寓
2栋2711,70.90,29318.04,50.53,41136.93,2078649.45,在售,商务公寓
2栋2415,44.18,28967.63,31.49,40641.15,1279789.93,在售,商务公寓
2栋2408,44.18,30439.37,31.49,42705.98,1344811.52,在售,商务公寓
2栋2407,44.27,30439.37,31.55,42711.60,1347551.06,在售,商务公寓
2栋2311,70.90,28944.27,50.53,40612.48,2052148.74,在售,商务公寓
2栋2212,44.18,28500.41,31.49,39985.65,1259148.16,在售,办公
2栋2211,70.90,28850.82,50.53,40481.36,2045523.56,在售,办公
2栋2210,70.90,30018.87,50.53,42120.29,2128338.28,在售,办公
2栋2209,44.18,30252.48,31.49,42443.78,1336554.81,在售,办公
2栋2118,44.18,28990.99,31.49,40673.92,1280822.02,在售,办公
2栋2117,44.18,29341.40,31.49,41165.55,1296303.35,在售,办公
2栋2116,44.18,29341.40,31.49,41165.55,1296303.35,在售,办公
2栋2115,44.18,28617.21,31.49,40149.52,1264308.60,在售,办公
2栋2113,44.18,28383.60,31.49,39821.77,1253987.72,在售,办公
2栋2112,44.18,28383.60,31.49,39821.77,1253987.72,在售,办公
2栋2111,70.90,28757.38,50.53,40350.25,2038898.38,在售,办公
2栋2110,70.90,29925.43,50.53,41989.17,2121713.10,在售,办公
2栋2109,44.18,30159.04,31.49,42312.68,1332426.45,在售,办公
