房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
B1706,49.51,20996.56,31.82,32669.38,1039539.69,在售,住宅
B1705,52.12,23968.88,33.49,37302.41,1249258.03,在售,住宅
B1703,52.59,25376.00,33.80,39482.95,1334523.84,在售,住宅
B1606,50.30,20584.72,32.40,31957.14,1035411.42,在售,住宅
B1605,54.28,22900.79,34.97,35546.33,1243055.42,在售,住宅
B1603,54.75,24268.40,35.26,37682.78,1328694.90,在售,住宅
B1506,49.51,20830.15,31.82,32410.47,1031301.22,在售,住宅
B1505,52.12,23732.80,33.49,36935.01,1236953.54,在售,住宅
B1503,52.59,25147.20,33.80,39126.96,1322491.25,在售,住宅
B1306,49.51,20662.72,31.82,32149.94,1023011.27,在售,住宅
B1305,52.12,23493.59,33.49,36562.74,1224486.43,在售,住宅
B1303,52.59,24918.40,33.80,38770.96,1310458.66,在售,住宅
B1206,50.30,20256.07,32.40,31446.93,1018880.82,在售,住宅
B1205,54.28,22443.20,34.97,34836.05,1218216.90,在售,住宅
B1203,54.75,23826.40,35.26,36996.46,1304495.40,在售,住宅
B1106,49.51,20495.27,31.82,31889.41,1014721.31,在售,住宅
B1105,52.12,23233.59,33.49,36158.11,1210935.23,在售,住宅
B1103,52.59,24689.59,33.80,38414.97,1298426.06,在售,住宅
B1007,68.80,27456.00,44.32,42621.22,1888972.80,在售,住宅
B1006,50.30,20090.71,32.40,31190.20,1010562.80,在售,住宅
B1005,54.28,22214.39,34.97,34480.91,1205797.63,在售,住宅
B1003,54.75,23608.00,35.26,36657.34,1292538.00,在售,住宅
B1002,54.92,26936.00,35.38,41812.46,1479325.12,在售,住宅
B1001,80.37,25376.00,51.77,39394.80,2039469.12,在售,住宅
B0907,68.96,27456.00,44.32,42720.34,1893365.76,在售,住宅
B0906,49.51,20327.84,31.82,31628.89,1006431.36,在售,住宅
B0905,52.12,23036.00,33.49,35850.59,1200636.32,在售,住宅
B0903,52.59,24460.79,33.80,38058.97,1286393.47,在售,住宅
B0902,56.10,26832.00,36.05,41755.20,1505275.20,在售,住宅
B0901,78.27,25168.00,50.30,39163.00,1969899.36,在售,住宅
B0807,68.80,27248.00,44.32,42298.33,1874662.40,在售,住宅
B0806,50.30,19926.40,32.40,30935.12,1002297.92,在售,住宅
B0805,54.28,22027.20,34.97,34190.34,1195636.42,在售,住宅
B0803,54.75,23389.60,35.26,36318.22,1280580.60,在售,住宅
B0802,54.92,26728.00,35.38,41489.59,1467901.76,在售,住宅
B0801,80.37,25168.00,51.77,39071.89,2022752.16,在售,住宅
B0707,68.96,27248.00,44.32,42396.70,1879022.08,在售,住宅
B0706,49.51,20159.32,31.82,31366.68,998088.00,在售,住宅
B0705,52.12,22838.40,33.49,35543.06,1190337.41,在售,住宅
B0703,52.59,24232.00,33.80,37702.98,1274360.88,在售,住宅
B0702,56.10,26624.00,36.05,41431.52,1493606.40,在售,住宅
B0701,78.27,24960.00,50.30,38839.34,1953619.20,在售,住宅
B0607,68.80,27040.00,44.32,41975.45,1860352.00,在售,住宅
B0606,50.30,19760.00,32.40,30676.79,993928.00,在售,住宅
B0605,54.28,21840.00,34.97,33899.77,1185475.20,在售,住宅
B0603,54.75,23192.00,35.26,36011.40,1269762.00,在售,住宅
